😀;grínandi andlit;andlit|grín
🛬;komandi flogfar;flogfar|flúgvari|koma|lending
🪂;fallskíggi;fallskíggjalop|loftkavari
💺;setur;stólur
🚁;tyrla;
🚟;heingijarnbreyt;jarnbreyt|tok
🚠;fjallarennistrongur;gondol|strongur
🚡;rennistrongur;gondol|strongur
🛰️;fylgisveinur;rúmdin
🚀;rakett;rúmdin
🛸;flúgvandi diskur;ufo
🛎️;piccoloklokka;hotell|klokka|piccolo
🧳;viðføri;bagasja|ferðast|pakka
⌛;runnið tímaglas;runnið|tímaglas
⏳;hálvrunnið tímaglas;hálvrunnið|tímaglas
⌚;ur;armbandsur|klokka
⏰;vekjari;klokka|vekjaraklokka
⏱️;stoppur;klokka|taka tíð|tíðartøka
⏲️;eggjaur;klokka|køksur|stoppur|tíðarmálari|tíðartakari
🕰️;eldstaðarhillklokka;eldstaðarhill|eldstaðarkarmur|kaminhill|kaminkarmur|kaminumgerð|klokka
🕛;klokkan tólv;00:00|12|12:00|klokka|klokkan|tólv
🕧;hálvgun eitt;00:30|12:30|eitt|hálvgun|klokka|klokkan
🕐;klokkan eitt;01:00|1|13:00|eitt|klokka|klokkan
🕜;hálvgun tvey;01:30|13:30|hálvgun|klokka|klokkan|tvey
🕑;klokkan tvey;02:00|14:00|2|klokka|klokkan|tvey
🕝;hálvgun trý;02:30|14:30|hálvgun|klokka|klokkan|trý
🕒;klokkan trý;03:00|15:00|3|klokka|klokkan|trý
🕞;hálvgun fýra;03:30|15:30|fýra|hálvgun|klokka|klokkan
🕓;klokkan fýra;04:00|16:00|4|fýra|klokka|klokkan
🕟;hálvgun fimm;04:30|16:30|fimm|hálvgun|klokka|klokkan
🕔;klokkan fimm;05:00|17:00|5|fimm|klokka|klokkan
🕠;hálvgun seks;05:30|17:30|hálvgun|klokka|klokkan|seks
🕕;klokkan seks;06:00|18:00|6|klokka|klokkan|seks
🕡;hálvgun sjey;06:30|18:30|hálvgun|klokka|klokkan|sjey
🕖;klokkan sjey;07:00|19:00|7|klokka|klokkan|sjey
🕢;hálvgun átta;07:30|19:30|átta|hálvgun|klokka|klokkan
🕗;klokkan átta;08:00|20:00|8|átta|klokka|klokkan
🕣;hálvgun níggju;08:30|20:30|hálvgun|klokka|klokkan|níggju
🕘;klokkan níggju;09:00|21:00|9|klokka|klokkan|níggju
🕤;hálvgun tíggju;09:30|21:30|hálvgun|klokka|klokkan|tíggju
🕙;klokkan tíggju;10|10:00|22:00|klokka|klokkan|tíggju
🕥;hálvgun ellivu;10:30|22:30|ellivu|hálvgun|klokka|klokkan
🕚;klokkan ellivu;11|11:00|23:00|ellivu|klokka|klokkan
🕦;hálvgun tólv;11:30|23:30|hálvgun|klokka|klokkan|tólv
🌑;nýmáni;máni
🌒;lítil vaksandi hálvmáni;hálvmáni|máni|vaksandi
🌓;vaksandi hálvmáni;hálvmáni|máni|vaksandi
🌔;stórur vaksandi hálvmáni;hálvmáni|máni|vaksandi
🌕;fullmáni;máni
🌖;stórur minkandi hálvmáni;hálvmáni|máni|minkandi
🌗;minkandi hálvmáni;hálvmáni|máni|minkandi
🌘;lítil minkandi hálvmáni;hálvmáni|máni|minkandi
🌙;hálvmáni;máni
🌚;andlit á nýmána;andlit|máni|nýmáni
🌛;andlit á vaksandi mána;andlit|hálvmáni|máni|vaksandi
🌜;andlit á minkandi mána;andlit|hálvmáni|máni|minkandi
🌡️;termometur;fepurstokkur|hitamálari
☀️;sól;sólskin
🌝;andlit á fullmána;andlit|fullmáni|máni
🌞;andlit á sól;andlit|sól
🪐;gongustjørna við ringi;dapur|gongustjørna|saturn|tunglyntur
⭐;hvit og gul stjørna;stjørna
🌟;glógvandi stjørna;stjørna
🌠;stjørnuskot;stjørna
🌌;vetrarbreytin;mjólkarvegur|rúmdin|stjørnubreyt
☁️;skýggj;veðrið|veður|yvirskýggja
⛅;sólin aftanfyri skyggj;sól|sólarglottar|sólglottur|veðrið|veður|yvirskýggja
⛈️;skýggj við regni og snarljósi;regn|skýggj|snarljós|tora|torusláttur|veðrið|veður
🌤️;sólin aftanfyri eitt lítið skýggj;sól|sólarglottar|sólglottur|sólskinsveður|veðrið|veður
🌥️;sólin aftanfyri eitt stórt skýggj;sól|sólarglottar|sólglottur|veðrið|veður|yvirskýggja
🌦️;sólin aftanfyri eitt regnskýggj;æl|avfall|regn|sól|sólarglottar|sólglottur|veðrið|veður|yvirskýggja
🌧️;skýggj og regn;æl|avfall|regn|veðrið|veður
🌨️;skýggj og kavi;kavar|kavaveður|kavi|veðrið|veður
🌩️;skýggj og snarljós;snarljós|tora|torusláttur|veðrið|veður
🌪️;melduródn;hvirla|meldurhvirla
🌫️;mjørki;toka
🌬️;andlit sum blæsur vind;andlit|blás|skýggj|vind
🌀;meldurhvirla;ódn|stormur|tropisk ódn|veðrið|veður
🌈;ælabogi;
🌂;afturlatin paraplý;paraplý|regnskjól
☂️;paraplý;regnskjól
☔;paraplý og regndropar;dropar|paraplý|regn|regnskjól
⛱️;sólskjól;sólskermur|sóltjald
⚡;snarljós;elektrisitet|ravmagn|spenningur|tora|torusláttur
❄️;kavaflykra;flykra|frost|kavar|kavi|snjóflykra
☃️;kavamaður;kavi|snjókelling
⛄;kavamaður við hatti;kavamaður|kavi|snjókelling
☄️;komet;halastjørna|rúmdin
🔥;eldur;bál|eldsbruni|logi
💧;dropi;smádropi|sveitti|vatn|vatndropi
🌊;alda;brim|sjógvur
🎃;graskarhøvd;allahalgannaaftan|graskar|halloween|høvd|lanterna
🎄;jólatræ;jól|træ
🎆;fýrverk;eldverk|skreyteldur
🎇;stjørnukastari;stjørnuljós
🧨;kinesari;dynamitt|eldverk|skreyteldur|spreingievni
✨;neistafok;glampi|glansur|glitran|glógvan|ljómi|skyggjan
🎈;ballón;reyð
🎉;borðbumba;veitsla
🎊;konfetti;
🎋;tanabata træ;japanskt|tanabata|træ
🎍;kadomatsu;furutræ|japanskt
🎎;japanskar dukkur;dukkur|japanskar
🎏;Koinobori;japanskt
🎐;vindharpa;
🎑;tsukimi;japanskt|jugoya|otsukimi
🧧;reyður brævbjálvi;brævbjálvi|gáva|hóngbāo|lai see
🎀;band;prýðisrósa
🎁;gáva;
🎗️;eftirtektarband;band|eftirtekt
🎟️;atgongumerki;atgongd|atgongukort|kort|merki
🎫;farseðil;atgongd|atgongumerki
🎖️;hernaðarmedalja;hervald|medalja
🏆;steyp;
🏅;ítróttamedalja;ítróttur|medalja
🥇;gullmedalja;gull|medalja
🥈;silvurmedalja;medalja|silvur
🥉;bronsumedalja;bronsa|medalja
⚽;fótbóltur;bóltur|fótbólt
⚾;baseball;hornabóltur
🥎;softball;
🏀;kurvabóltur;bóltur
🏐;flogbóltur;bóltur
🏈;amerikanskur fótbóltur;bóltur|nfl
🏉;rugbybóltur;bóltur|rugby
🎾;tennisbóltur;bóltur|tennis
🥏;frisbee;diskur|flúgvandi diskur
🎳;bowling;bowlingkúla|keyla
🏏;krikket;batt|bólttræ|cricket|krikketbatt
🏑;hokki;stavbóltur
🏒;íshokki;pukkur|stavur
🥍;lacrosse;
🏓;borðtennis;batt|borðtennisbatt|ping pong
🏸;badminton;ketsjari
🥊;boksihandski;boxing
🥋;stríðsítróttarbúni;bardagaítróttur|búni|judo|karate|stríðsítróttur|taekwondo
🥅;mál;net
⛳;golf;flagg|hol
⛸️;skoyta;ísskoyta
🎣;tráða;fiskur
🤿;kavaramaska;andingarpípa|kava|kavari|luftpípa|maska|snorkul
🎽;ítróttatroyggja;frælsur|ítróttur|troyggja
🎿;skíð;
🛷;sleta;skreiða
🥌;curling;steinur
🎯;dart;beinrakið|bullseye|kúgveyga
🪀;jojo;leika|yo yo|yo-yo|yoyo
🪁;flúgvandi dreki;dreki
🔫;pistólur;handvápn|revolvari|skotvápn|vápn
🎱;pul;billard|kúla|pool
🔮;krystalkúla;ævintýr|krystal|kúla|lagna
🪄;gandastavur;gandakallur|gandakelling|gandur|rúnakelvi
🎮;kontrollari;controller|telduspæl|teldustýri
🕹️;stýripinnur;joystick|telduspæl
🎰;spæliautomat;kasino
🎲;terningur;terningar
🧩;putlispælbrot;brot|petti|puntur|putlispæl|spor
🧸;bamsa;leikatoy|spælitoy
🪅;pinata;piñata|veitsla
🪩;diskokúla;bóltur|disko|kúla|veitsla
🪆;babusjka;matrjosjka|russisk dukka|Russland
♠️;spaðari;kort
♥️;hjartari;kort
♦️;rútari;kort
♣️;kleyvari;kort
♟️;finna;talv
🃏;jokari;kort
🀄;mah-jong;mahjong|spæl
🎴;hanafuda;japanskt|kort|spæl
🎭;útinnandi leiklistir;ballett|leikhús|list|sjónleikur
🖼️;innrammað mynd;innrammað|list|málningur|mynd
🎨;litafjøl;list|litaborð|mála|palett
🧵;tráður;nál|seyma|spoli
🪡;nál;baldýring|íseyming|lappa|seyminál|stingur
🧶;tógv;garn|noða
🪢;knútur;binda|knýta|reip|tog
👓;brillur;eyga
🕶️;sólbrillur;brillur|sól
🥽;verjubrillur;brillur|froskmanna brillur|skíðbrillur
🥼;kittil;lækni|náttúruvísind|roynd
🦺;trygdarvestur;trygd|vestur
👔;slips;klæði|skjúrta
👕;t-shirt;klæði|skjúrta|tshirt
👖;cowboybuksur;buksur|klæði
🧣;hálsturriklæði;háls|klæði|turriklæði
🧤;handskar;hond|klæði|vøttur
🧥;jakki;frakki|klæði
🧦;sokkar;hosur|klæði
👗;kjóli;klæði
👘;kimono;klæði
🥻;sari;búni|India|konufólkabúni
🩱;svimjibúni;svimjing
🩲;trussur;svimjibuksir|undirklæðir
🩳;shorts;brøkur|stuttar|svimjibrøkur
👙;bikini;klæði|svimjiklæðir
👚;konufólkaklæðir;klæði|kona|konufólk|kvinna|plagg
🪭;vifta;handvifta|heitt|hondvifta|køling
👛;pungur;klæði|myntir|pengar
👜;handtaska;hondtaska|klæði|taska
👝;taska;handtaska|hondtaska|klæði|pungur
🛍️;keypstaskur;beriposar|beriposi|innkeyp|keyp|posar|posi|shoppa|shopping
🎒;skúlataska;herðataska|skúli|taska
🩴;sandála;thong
👞;mannfólkaskógvur;klæði|mannfólk|skógvur
👟;renniskógvur;ítrótt|klæði|skógvur|tennisskógvur
🥾;gangistilvi;fjakka|ganga|gongutúr|stilvi|tjalding
🥿;flatbotnaður skógvur;flatbotnaður|flatur|skógvur
👠;høghælaður skógvur;klæði|kona|konufólk|kvinna|skógvur
👡;konufólkasandála;klæði|kona|konufólk|kvinna|sandála|skógvur
🩰;balletskógvar;ballet|dansa|dansiskógvar|skógvar
👢;konufólkastilvi;klæði|kona|konufólk|kvinna|skógvur|stivli
🪮;kambur;afrokambur|hár
👑;krúna;drotning|kongur|prinsessa|prinsur
👒;konufólkahattur;hattur|klæði|kona|konufólk|kvinna
🎩;høgur hattur;hattur|høgur|klæði
🎓;fráfaringarhúgva;fráfaring|hattur|húgva|klæði|próvtøka
🧢;keppur;baseball|hattur|hornabóltur|kaskettur
🪖;herhjálmur;hereind|hermaður|herur|hjálmur
⛑️;bjargingarhjálmur;hjálmur|hjálp|krossur|reyði
📿;biðikransur;átrúnaður|bøn|perlukransur|religión|rósukransur|trúgv
💄;varrastift;fríðkanarevni|makeup|sminka
💍;ringur;diamantur
💎;gimsteinur;diamantur
🔇;doyvdur hátalari;doyvdur|doyvt|einki ljóð|hátalari|ljóðleyst
🔈;lág ljóðstyrki á hátalara;hátalari|lág|ljóðstyrki
🔉;miðal ljóðstyrki á hátalara;hátalari|ljóðstyrki|miðal
🔊;høg ljóðstyrki á hátalara;hátalari|høg|ljóðstyrki
📢;rópari;megafon
📣;megafon;rópari
📯;posthorn;horn|post|postur
🔔;klokka;ljóð
🔕;klokka við skrástriku;doyvdur|doyvt|einki ljóð|klokka|ljóðleyst
🎼;fjølrøddabók;partiturur|tónleikur
🎵;nóti;tónleikur
🎶;nótar;tónleikur
🎙️;ljóðstovumikrofon;ljóðfatur|ljóðtak|mikrofon
🎚️;dragil;dragistýrari|ljóðstyrki|ljóðstyrkidragil|stýring|tónleikur
🎛️;stýringsknøttar;stýring|tónleikur
🎤;mikrofon;karaoke|ljóðfatur|ljóðtak
🎧;høvuðsett;høvuðtelefon|oyramikrofon
📻;útvarp;
🎷;saksofon;ljóðføri|tónleikur
🎺;trompet;ljóðføri|tónleikur
🪗;harmonika;dans|dansur|ljóðføri|tónleikur
🎸;gittari;ljóðføri|tónleikur
🎹;ljómborð;keyboard|ljóðføri|tónleikur
🎻;violin;ljóðføri|tónleikur
🪕;banjo;ljóðføri|tónleikur
🥁;trumma;ljóðføri|tónleikur
🪘;long trumma;ljóðføri|tónleikur|trumma
🪇;marakas;djass|ljóðføri|ringla|ringliljóðfør|tónleikur
🪈;floyta;ljóðføri|tónleikur
🪉;harpa;Amor|ljóðføri|tónleikur
📱;fartelefon;telefon
📲;fartelefon við píli;fartelefon|kall|uppkall|uppringing
☎️;telefon;
📞;horn á telefon;telefonhorn|telefonrør
📟;persónleitari;
📠;telefaks;faks
🔋;battarí;ravlað
🪫;lágt battarí;battarí|lágt|næstan einki eftir
🔌;stikkari;elektrisitet|ravmagn|stikkproppur
💻;fartelda;telda
🖥️;telda;borðtelda
🖨️;prentari;
⌨️;knappaborð;
🖱️;teldumús;mús
🖲️;stýrikúla;
💽;teldudiskur;diskur
💾;diskil;disketta
💿;sjónbandsfløga;cd|diskur
📀;margfløga;blu-ray|diskur|dvd
🧮;kúluramma;abakus|roknibretti
🎥;filmstól;biografur|filmur|upptøkutól
🎞️;filmstrimmil;biografur|filmur|stakmynd
📽️;ljósvørpa;biografur|filmur|myndatól
🎬;klapptræ;filmur|upptøka
📺;sjónvarp;sjónvarpsskíggi
📷;myndatól;fotografi
📸;myndatól við blits;blits|fotografi|myndatól
📹;sjónupptøkutól;myndatól|upptøkutól|video
📼;sjónband;band|sjónbandshúsi|video
🔍;luppur á skák til vinstru;lesiglas|luppur|sjóneyka|størkingarglas
🔎;luppur á skák til høgru;lesiglas|luppur|sjóneyka|størkingarglas
🕯️;livandi ljós;kertiljós|ljós
💡;ljóspera;hugskot|ljós|pera
🔦;lummalykt;ljós|lykt|stavlykt
🏮;reyð pappírlanterna;lanterna|ljós|pappírlanterna|reyð
🪔;diyalampa;diya|lampa|olja
📔;lummabók við prýðiligari perma;lummabók|perma|prýðilig|umslag
📕;afturlatin bók;afturlatin|bók
📖;opin bók;bók|opin
📗;grøn bók;bók|grøn
📘;blá bók;blá|bók
📙;appilsingul bók;appilsingul|bók
📚;bøkur;bók
📓;lummabók;blokkur|bók|minnisbók|skriviblokkur|uppritsbók|uppskrivingarbók
📒;høvuðsbók;lummabók
📃;krúlla pappír;bræv|krúlla|pappír|prógv|skjal
📜;skriftrulla;bókarrulla|rulla
📄;pappír sum vendur uppeftir;bræv|pappír|prógv|skjal
📰;tíðindablað;blað|nýggjheitir|tíðindi
🗞️;samanrulla tíðindablað;blað|nýggjheitir|samanrulla|tíðindablað|tíðindi
📑;bókamerkir;bókamerki
🔖;bókamerki;bókamerkir
🏷️;merkiseðil;navnaseðil|seðil|spjaldur
🪙;myntur;gull|pengar|pengi|skattur
💰;pengasekkur;dollarar|dollari|pengar|peningasekkur|peningur|sekkur
💴;jenn pengaseðil;gjaldoyra|jenn|jennur|pengaseðil|seðil
💵;dollari pengaseðil;dollarar|dollari|gjaldoyra|pengaseðil|seðil
💶;evra pengaseðil;evra|evrur|gjaldoyra|pengaseðil|seðil
💷;pund pengaseðil;gjaldoyra|pengaseðil|pund|seðil
💸;pengar við veingjum;dollarar|dollari|gjaldoyra|pengaseðil|seðil|veingjar
💳;kredittkort;keypskort|kontukort|kritkort|pengar|peningur
🧾;kvittan;keyp|prógv|søla
💹;strikumynd við jenn tekni;gjaldoyra|hækkadi|hækkan|jenn|jennur|marknaður|strikumynd
✉️;brævbjálvi;bræv|t-postur|teldupostur
📧;teldupostur;bræv|postur|t-postur
📨;innkomandi brævbjálvi;bræv|brævbjálvi|innkomandi|komandi|postur|t-postur|teldupostur
📩;brævbjálvi og pílur;bræv|brævbjálvi|postur|t-postur|teldupostur
📤;útgangandi brævabakki;bræv|brævabakki|postur|t-postur|teldupostur|útgangandi
📥;innkomandi brævabakki;bræv|brævabakki|innkomandi|postur|t-postur|teldupostur
📦;pakki;boks|eskja|farmavøra|kolli|vøra
📫;afturlatin postkassi við standandi flaggi;afturlatin|bræv|flagg|post|postkassi|postur|standandi
📪;afturlatin postkassi við liggjandi flaggi;afturlatin|bræv|flagg|liggjandi|post|postkassi|postur
📬;opin postkassi við standandi flaggi;bræv|flagg|opin|post|postkassi|postur|standandi
📭;opin postkassi við liggjandi flaggi;bræv|flagg|liggjandi|opin|post|postkassi|postur
📮;postkassi;bræv|post|postur
🗳️;atkvøðukassi;atkvøða|kassi|stemma|val
✏️;blýantur;skriva
✒️;svarur oddur á penni;oddur|pennur
🖋️;fyllipennur;pennur
🖊️;pennur;kúlupennur
🖌️;pensil;mála|málingarkustur
🖍️;litblýantur;kolstift
📝;skrivlig viðmerking;greinargerð|upprit|uppskrift
💼;skjalamappa;mappa|taska
📁;skjalalummi;faldari|fíl|lummi|mappa|skjalamappa
📂;opin skjalalummi;faldari|fíl|lummi i skjalalummi|mappa|opin|skjalamappa
🗂️;seðlaskrábókamerki;bókamerki|indeks|seðlaskrá
📅;kalendari;álmanakki|dagfesting|dagseting|dato|tíðarfesting|tíðarmerking
📆;kalendari sum kann skræðast úr;álmanakki|dagfesting|dagseting|dato|kalendari|skræða|tíðarfesting|tíðarmerking
🗒️;spiralheftur skriviblokkur;blokkur|skriviblokkur|snyril|spiralheftur|spiralur
🗓️;spiralheftur kalendari;álmanakki|dagfesting|dagseting|dato|kalendari|spiralheftur|tíðarfesting|tíðarmerking
📇;kartotek;kortsavn|seðlasavn|seðlaskrá
📈;strikumynd við vøkstri;diagramm|rásmynd|strikumynd|upp|veksur|vøkstur
📉;strikumynd við lækking;diagramm|lækkar|lækking|minkar|minking|niður|rásmynd|strikumynd
📊;stabbamynd;diagramm|rásmynd|strikumynd
📋;klemmuspjald;setiborð
📌;nipsnál;nál
📍;rund nipsnál;nál|nipsnál
📎;klips;pappírsklemma
🖇️;klips sum hanga saman;klips|pappírsklemmur
📏;lineal;strikfjøl
📐;tríkanta lineal;lineal|strikfjøl|tríkantur
✂️;saksur;klipp
🗃️;savnskassi;kartotek|kortsavn|seðlasavn|seðlaskrá
🗄️;savnsskáp;kartotek|kortsavn|savnskassi|savnsskipan|seðlasavn|seðlaskrá|skáp
🗑️;pappírskurv;pappírsleypur|skrell
🔒;læst heingilás;afturlati|heingilás|læst|lás|stongt
🔓;opi heingilás;heingilás|lás|ólæst|opi
🔏;lás og fyllipennur;afturlati|fyllipennur|heingilás|læst|lás|pennur|stongt
🔐;heingilás og lykil;afturlati|ás|heingilás|læst|lykil|stongt
🔑;lykil;lás|loyniorð
🗝️;gamal lykil;lás|lykil
🔨;hamari;amboð|smíða
🪓;øks;amboð|høgg|høgga|hondøks
⛏️;hakkari;amboð|nám|námídnaður|námvinna|námvirki
⚒️;hamari og hakkari;amboð|hakkari|hamari
🛠️;hamari og skrúvulykil;amboð|hamari|skiftilykil|skrúvulykil
🗡️;stutt svørð;dolkur|knívur|svørð|vápn
⚔️;krossa svørð;krossa|svørð|vápn
💣;bumba;vopn
🪃;boomerang;Avstralia|bomerang|kastivápn
🏹;bogi of pílur;Bogamaður|bogaskjótari|bogaskjóting|bogi|ørvargarpur|pílur|stjørnumerki|vápn
🛡️;skjøldur;vápn|verja|vernd
🪚;sag;amboð|hondsag
🔧;skrúvulykil;amboð|skiftilykil
🪛;skrúvublað;amboð|skrúva
🔩;møtrikkur og boltur;amboð|boltur|møtrikkur
⚙️;tannhjól;amboð|gir
🗜️;skrúvutvinga;amboð|skrúvustikka|spenniskrúva|tvinga
⚖️;vágskál;amboð|rættvísi|stjørnumerki|Vágmerkið|vekt
🦯;blindastavur;blind|blindur|brek|handikapp|stavur
🔗;liður;leinkja|samband|sambinding|sambindingarliður
⛓️‍💥;brotin keta;brotin|frælsi|keta
⛓️;keta;leinkja|liður|samband|sambinding|sambindingarliður
🪝;krókur;
🧰;amboðskassi;amboð|kassi
🧲;magnet;magnetisk|magnetiskur|sigul
🪜;stigi;klatra|stig|upp
🪏;spaki;amboð|grava|hol
⚗️;dropadríva;amboð|evnafrøði|kemi
🧪;royndarglas;evnafrøði|náttúruvísind|roynd
🧫;petriskál;lívfrøði|náttúruvísind|tilbúningarglas|tilbúningsglas
🧬;dna;arvaeind|ílega|lív|lívfrøði|lívmenning|náttúruvísind
🔬;mikroskop;náttúruvísindi|sjóneyka|vísind
🔭;stjørnukikari;kikari|náttúruvísindi|spegilskikari|teleskop|vísindfjarvísi
📡;parabolur;antenna|skálkampur
💉;sproyta;amboð|heilivágur|innspræning|lækni|medisin|nál|sjúka
🩸;blóðdropi;blóð|blóðgáva|blóðgevi|dropi
💊;pillari;heilivágur|lækni|medisin|sjúka
🩹;heftiplástur;plástur
🩼;høkja;avlami|skaddur|skaði|stuðli
🩺;stetoskop;læknalurt|læknapípa|lurt
🩻;røntgenmynd;beinagrind|heilsa|læknakanning|lækni|røntgen|viðger
🚪;hurð;
🛗;lyfta;elevatorur
🪞;spegil;spegilsmynd|spegl|speglast|sýna|vísa
🪟;vindeyga;gluggi|rútar|rútur
🛏️;song;sova
🛋️;sofa og lampa;lampa|sofa
🪑;stólur;sæti|sessur|setur
🚽;ves;kumma|toilett
🪠;súgvari;kumma|toilett|typt|ves
🚿;brúsubað;brúsa|vatn
🛁;baðikar;bað
🪤;músafella;fella|lokkingarmatur
🪒;rakiknívur;barberblað|knívur|raka|rakiblað
🧴;lotiónfløska;fløska|húðkrem|lotión|smyrsl
🧷;trygdarnál;læsinál|nál
🧹;kustur;gandakelling|kelling|sópa|vaska
🧺;kurv;
🧻;vesipappír;kukka|toilettpappír|ves
🪣;spann;oysa|pøs
🧼;hondsápa;hendur|hond|sápa|vaska
🫧;bløðrur;bløðra|sápa|vaska
🪥;tannbust;busta|tannrøkt|tenn
🧽;svampur;holutur|vaska
🧯;eldskøkkjari;eld|eldur|sløkkja|trygd
🛒;innkeypsvognur;innkeyp|keypsvognur|vognur
🚬;tendra sigarett;royking|roykja|roykur|sigarett|tubbak
⚰️;líkkista;andlát|deyði|gravarferð|jarðarferð|kista|lík
🪦;gravsteinur;deyði|grøv|kirkjugarður
⚱️;øskukrukka;andlát|deyði|gravarferð|jarðarferð|krukka|øska
🧿;nasaramulett;amulett|eydnulutur|kúla|nasar|nazar|verndargripur
🪬;hamsa;amulett|eyga|Fatima|hond|lógvi|verndargripur
🗿;moai;Páskaoyggin|standmynd
🪧;skelti;kunnger|mótmæli|plakat|uppslag
🪪;samleikakort;eyðkenniskort|fulltrúarváttan|id
🏧;sjálvtøkuskeltið;automat|pengar|sjálvtøka|út
🚮;ruskílatskelti;burturkast|órudd|rusk
🚰;drekkivatn;drekkandi|drekkingarvatn|vatn
♿;koyristólur symbol;atgongd|hjólstólur|rullistólur
🚹;mannfólkaves;maður|ves|wc
🚺;konufólkaves;kona|kvinna|ves|wc
🚻;ves symbol;ves|wc
🚼;pinkubarna symbol;skiftingarrúm|skiftirúm
🚾;wc symbol;ves|vesi|wc
🛂;passeftirlit;eftirlit|landamark|pass
🛃;tolleftirlit;eftirlit|toll|tollur|tollverk
🛄;viðførisútflýggjan;útflýggjan|viðføri
🛅;gloymt viðføri;gloymt|viðføri
⚠️;ávaring;
🚸;barnagonguteigur;ávaring|børn|gonguteigur
⛔;innkoyring forboðið;ávaring|forboð
🚫;bannað;atgongd|forboð
🚳;ongar súkklur;forboð|súkkla
🚭;royking bannað;bannað|forboði|royking
🚯;ikki tveita burturkast;bannað|blaka|burturkast|forboð|órudd|rusk|tveita
🚱;ikki drekkandi vatn;drekkivatn|vatn
🚷;bannað fyri gangandi fólki;bannað|forboð|ganga
📵;fartelefon ikki loyvd;bannað|fartelefon|forboð
🔞;átjanára aldursmark;18|aldursmark|átjan|bannað|forboð
☢️;geislavirki;ávaring|geislavirkin
☣️;lívfrøðiligur vandi;ávaring|lívfrøðili|vandi
⬆️;pílur sum peikar uppeftir;ætt|k´ós|norður|pílur
↗️;pílur sum peikar uppeftir og til høgru;ætt|k´ós|landnyrðingur|pílur
➡️;pílur sum peikar til høgru;ætt|eystur|k´ós|pílur
↘️;pílur sum peikar niðureftir og til høgru;ætt|k´ós|landsynningur|pílur
⬇️;pílur sum peikar niðureftir;ætt|k´ós|niður|pílur|suður
↙️;pílur sum peikar niðureftir og til vinstru;ætt|k´ós|pílur|útsynningur
⬅️;pílur sum peikar til vinstru;ætt|k´ós|pílur|vestur
↖️;pílur sum peikar uppeftir og til vinstru;ætt|k´ós|pílur|útnyrðingur
↕️;pílur sum peikar upp og niður;pílur
↔️;pílur sum peikar til høgru og vinstu;pílur
↩️;bogin pílur sum peikar til vinstru;bogin|pílur
↪️;bogin pílur sum peikar til høgru;bogin|pílur
⤴️;bogin pílur sum peikar uppeftir;bogin|pílur
⤵️;bogin pílur sum peikar niðureftir;bogin|pílur
🔃;loddrættir pílar sum ganga við urinum;lodrættir|pílar|við urinum
🔄;vatnrættir pílar sum ganga ímóti urinum;ímóti urinum|pílar|vatnrættir
🔙;BACK pílur;back|pílur
🔚;END pílur;end|pílur
🔛;ON! pílur;on|pílur
🔜;SOON pílur;pílur|soon
🔝;TOP pílur;pílur top
🛐;bønarstað;átrúnaður|bøn|religión|trúgv
⚛️;atom symbol;ateistur|atom|gudloysingur|gudsnoktari
🕉️;aúm;átrúnaður|hindui|om|religión|trúgv
✡️;dávidsstjørna;gýðingastjørna|gýðingur|jødi|jødiskur|stjørna
☸️;dharmahjól;átrúnaður|buddistur|religión|trúgv
☯️;jin yang;yang taoisma|yin
✝️;latínskur krossur;átrúnaður|kristin|krossur|religión|trúgv
☦️;ortodoksur krossur;átrúnaður|kristin|krossur|religión|trúgv
☪️;stjørna og hálvmáni;átrúnaður|islam|muslimur|religión|trúgv
☮️;friðarsymbol;frið|friður
🕎;menorah;átrúnaður|ljósastaki|religión|trúgv
🔯;stjørna við seks spískum;eydna|lagna|stjørna
🪯;khanda;sikki|sikkur|svørð
♈;Veðrurin;stjørnumerki|veðramerki|veðrur
♉;Tarvurin;oksi|stjørnumerki|tarvsmerkið|tarvur
♊;Tvíburarnir;stjørnumerki|tvíburamerki|tvíburar
♋;Krabbin;krabbamerkið|krabbi|stjørnumerki
♌;Ljónið;leyva|ljónsmerkið|stjørnumerki
♍;Moyggin;moyarmerkið|moyggj|stjørnumerki
♎;Vágin;stjørnumerki|vágmerkið|vágskál|vekt
♏;Sporðdrekin;skorpión|sporðdrekamerkið|stjørnumerki
♐;Bogamaðurin;bogamaður|skotmaður|stjørnumerki
♑;Steingeitin;geit|steingeitarmerki|stjørnumerki
♒;Vatnberin;berari|stjørnumerki|vatn
♓;Fiskarnir;fiskamerkið|fiskur|stjørnumerki
⛎;Ormberin;berari|ormur|slanga|stjørnumerki
🔀;blanda knappur;blanda
🔁;endurtak knappur;endurtak|endurtøka|umaftur
🔂;endurtak einaferð knappur;einaferð|endurtak|endurtøka|umaftur
▶️;spæl knappur;spæl
⏩;spola skjótt fram knappur;fram|skjótt|spola
⏭️;næsta knappur;næsta|næsti
⏯️;spæl ella pausa knappur;pausa|spæl
◀️;spola aftur knappur;aftur|spola
⏪;spola skjótt aftur knappur;aftur|skjótt|spola
⏮️;undanfari knappur;undanfari|undanfarna|undanfarni
🔼;upp knappur;upp
⏫;skjótt upp knappur;skjótt|upp
🔽;niður knappur;niður
⏬;skjótt niður knappur;niður|skjótt
⏸️;pausaknappur;hvíld|pausa
⏹️;steðgiknappur;stopp|stoppknappur
⏺️;upptøkuknappur;taka upp|upptøka
⏏️;varpa út knappur;út|varpa út
