😀;خنده;صورت|صورت با لبخند|لبخند|نیش باز
👨‍👩‍👦;خانواده: مرد،‏ زن، و پسر;پسر|خانه‌وار|خانواده|زن|عائله|فامیل|فرزند|کودک|مرد
👨‍👩‍👧;خانواده: مرد،‏ زن، و دختر;خانه‌وار|خانواده|دختر|زن|عائله|فامیل|فرزند|کودک|مرد
👨‍👩‍👧‍👦;خانواده: مرد،‏ زن،‏ دختر، و پسر;پسر|خانه‌وار|خانواده|دختر|زن|عائله|فامیل|فرزند|کودک|مرد
👨‍👩‍👦‍👦;خانواده: مرد،‏ زن،‏ پسر، و پسر;پسر|خانه‌وار|خانواده|زن|عائله|فامیل|فرزند|کودک|مرد
👨‍👩‍👧‍👧;خانواده: مرد،‏ زن،‏ دختر، و دختر;خانه‌وار|خانواده|دختر|زن|عائله|فامیل|فرزند|کودک|مرد
👨‍👨‍👦;خانواده: مرد،‏ مرد، و پسر;پسر|خانه‌وار|خانواده|عائله|فامیل|فرزند|کودک|مرد
👨‍👨‍👧;خانواده: مرد،‏ مرد، و دختر;خانه‌وار|خانواده|دختر|عائله|فامیل|فرزند|کودک|مرد
👨‍👨‍👧‍👦;خانواده: مرد،‏ مرد،‏ دختر، و پسر;پسر|خانه‌وار|خانواده|دختر|عائله|فامیل|فرزند|کودک|مرد
👨‍👨‍👦‍👦;خانواده: مرد،‏ مرد،‏ پسر، و پسر;پسر|خانه‌وار|خانواده|عائله|فامیل|فرزند|کودک|مرد
👨‍👨‍👧‍👧;خانواده: مرد،‏ مرد،‏ دختر، و دختر;خانه‌وار|خانواده|دختر|عائله|فامیل|فرزند|کودک|مرد
👩‍👩‍👦;خانواده: زن،‏ زن، و پسر;پسر|خانه‌وار|خانواده|زن|عائله|فامیل|فرزند|کودک
👩‍👩‍👧;خانواده: زن،‏ زن، و دختر;خانه‌وار|خانواده|دختر|زن|عائله|فامیل|فرزند|کودک
👩‍👩‍👧‍👦;خانواده: زن،‏ زن،‏ دختر، و پسر;پسر|خانه‌وار|خانواده|دختر|زن|عائله|فامیل|فرزند|کودک
👩‍👩‍👦‍👦;خانواده: زن،‏ زن،‏ پسر، و پسر;پسر|خانه‌وار|خانواده|زن|عائله|فامیل|فرزند|کودک
👩‍👩‍👧‍👧;خانواده: زن،‏ زن،‏ دختر، و دختر;خانه‌وار|خانواده|دختر|زن|عائله|فامیل|فرزند|کودک
👨‍👦;خانواده: مرد،‏ پسر;پسر|خانه‌وار|خانواده|عائله|فامیل|فرزند|کودک|مرد
👨‍👦‍👦;خانواده: مرد،‏ پسر، و پسر;پسر|خانه‌وار|خانواده|عائله|فامیل|فرزند|کودک|مرد
👨‍👧;خانواده: مرد،‏ دختر;خانه‌وار|خانواده|دختر|عائله|فامیل|فرزند|کودک|مرد
👨‍👧‍👦;خانواده: مرد،‏ دختر، و پسر;پسر|خانه‌وار|خانواده|دختر|عائله|فامیل|فرزند|کودک|مرد
👨‍👧‍👧;خانواده: مرد،‏ دختر، و دختر;خانه‌وار|خانواده|دختر|عائله|فامیل|فرزند|کودک|مرد
👩‍👦;خانواده: زن،‏ پسر;پسر|خانه‌وار|خانواده|زن|عائله|فامیل|فرزند|کودک
👩‍👦‍👦;خانواده: زن،‏ پسر، و پسر;پسر|خانه‌وار|خانواده|زن|عائله|فامیل|فرزند|کودک
👩‍👧;خانواده: زن،‏ دختر;خانه‌وار|خانواده|دختر|زن|عائله|فامیل|فرزند|کودک
👩‍👧‍👦;خانواده: زن،‏ دختر، و پسر;پسر|خانه‌وار|خانواده|دختر|زن|عائله|فامیل|فرزند|کودک
👩‍👧‍👧;خانواده: زن،‏ دختر، و دختر;خانه‌وار|خانواده|دختر|زن|عائله|فامیل|فرزند|کودک
🗣️;درحال صحبت کردن;در حال صحبت|سایه|سایه‌نما|سر|صحبت|صحبت کردن|صورت|ضد نور
👤;تندیس سایه‌نما;بالاتنه سایه نما|تندیس|سایه نما|سایه‌نما|سیاه‌نما|سیلوئت|ضد نور|عکس|نیم‌تنه|نیم‌چهره‌نما
👥;تندیس‌های سایه‌نما;تندیس|دو بالاتنه سایه نما|سایه‌نما|سیاه‌نما|سیلوئت|نیم‌چهره‌نما
🫂;درآغوش گرفتن;آغوش|انسان|بدن|بغل|بغل کردن|تشکر|خداحافظ|خداحافظی|دوستی|راحتی|روبوسی|سلام|عشق|محبت|مردم
👪;خانواده;خانه‌وار|عائله|فامیل|فرزند|کودک
🧑‍🧑‍🧒;خانواده: بزرگسال، بالغ، کودک;
🧑‍🧑‍🧒‍🧒;خانواده: بزرگسال، بالغ، کودک، فرزند;
🧑‍🧒;خانواده: بزرگسال، کودک;
🧑‍🧒‍🧒;خانواده: بزرگسال، کودک، فرزند;
👣;رد پا;اثر|بدن|پوشاک|جای پا
🫆;اثر انگشت;ایمنی|پزشکی قانونی|هویت
🐵;صورت میمون;جانور|حیوان|صورت|میمون
🐒;میمون;
🦍;گوریل;جانور|حیوان
🦧;اورانگوتان;جانور|حیوان|کپی|میمون
🐶;صورت سگ;حیوان خانگی|سگ|صورت
🐕;سگ;جانور|حیوان خانگی
🦮;سگ راهنما;جانور|حیوان|دسترس‌پذیری|راهنما|قابلیت دسترسی|نابینا
🐕‍🦺;سگ کمکی;خدمت|دسترس‌پذیری|راهنما|سگ|قابلیت دسترسی|کمک|کمکی
🐩;پودل;سگ
🐺;گرگ;جانور|حیوان|صورت
🦊;روباه;جانور|حیوان|صورت
🦝;راکون;باهوش|پستاندار|جاندار|جانور|حیوان|خاکستری|خجالتی|کمرو|کنجکاو|ماهر
🐱;صورت گربه;جانور|حیوان|حیوان خانگی|صورت|گربه
🐈;گربه;جانور|حیوان|حیوان خانگی
🐈‍⬛;گربه سیاه;بدشانس|جاندار|جانور|حیوان|سیاه|گربه|گربه سان|گربه‌سان|میو|هالووین
🦁;شیر;برج فلکی|زودیاک|شیر جنگل|صورت
🐯;صورت ببر;ببر|صورت
🐅;ببر;
🐆;پلنگ;
🐴;صورت اسب;اسب|جانور|حیوان|صورت
🫎;موس;پستاندار|حیوان|شاخ|گوزن|گوزن شمالی
🫏;الاغ;پستاندار|حیوان|شیهه|قاطر|کره الاغ|کله‌شق|لگد
🐎;اسب;اسب‌سواری|مسابقه
🦄;تک‌شاخ;اسب تک شاخ|صورت
🦓;گورخر;حیوان راه‌راه|راه‌راه|گور
🦌;گوزن;جانور|حیوان
🦬;گاومیش;بایسون|بوفالو|پستاندار|جاندار|جانور|حیوان|گله|ویسنت
🐮;صورت گاو;جانور|حیوان|صورت|گاو
🐂;گاو نر;برج ثور|برج فلکی|زودیاک
🐃;بوفالوی آبی;آب|بوفالو
🐄;گاو ماده;جانور|حیوان|گاو
🐷;صورت خوک;خوک|صورت
🐖;خوک;ماده خوک
🐗;گراز نر;جانور|حیوان|خوک نر|گراز
🐽;دماغ خوک;خوک|دماغ|صورت
🐏;قوچ;برج حمل|برج فلکی|زودیاک|گوسفند
🐑;میش;جانور|حیوان|گوسفند
🐐;بز;برج جدی|برج فلکی|بزغاله|جانور|حیوان|دام|زودیاک
🐪;شتر;جانور|حیوان|قوز|کوهان
🐫;شتر دو کوهان;باختری|جانور|حیوان|شتر|کوهان
🦙;لاما;آلپاکا|پشم|جانور|حیوان|شتر لاما|شترچه|گواناکو|لامای وحشی|وایکونا|ویکونیا
🦒;زرافه;خال|خال‌خالی|لکه‌لکه|نقطه‌نقطه
🐘;فیل;جانور|حیوان
🦣;ماموت;انقراض|انهدام|بزرگ|پستاندار|پشمالو|جاندار|جانور|حیوان|طبیعت|عاج|منقرض
🦏;کرگدن;حیوان
🦛;اسب آبی;اسب‌آبی|جاندار|جانور|حیوان
🐭;صورت موش;صورت|موش
🐁;موش;جانور|حیوان
🐀;موش صحرایی;خرموش|موش
🐹;همستر;حیوان خانگی|صورت
🐰;صورت خرگوش;بانی|حیوان خانگی|خرگوش|صورت
🐇;خرگوش;بانی|حیوان خانگی
🐿️;سنجاب راه‌راه;جانور|حیوان|سنجاب|سنجاب بلوچی|سنجاب راه‌راه بلوچی
🦫;بیدستر;بیدَستَر|جانور|حیوان|دندان|سد|سگ آبی
🦔;جوجه‌تیغی;پرخار|تیغ‌دار|جوجه تیغی|خارپشت|خارخاری|خاردار
🦇;خفاش;حیوان|خون‌آشام|خوناشام
🐻;خرس;صورت
🐻‍❄️;خرس قطبی;خرس|سفید|قطبی
🐨;کوآلا;کوالا
🐼;پاندا;صورت
🦥;تنبل;تن پرور|جانور|حیوان|کاهل|کند
🦦;سمور آبی;بازی‌گوش|جانور|حیوان|ماهی‌گیری
🦨;راسو;بوی گند|جانور|حیوان|گندو
🦘;کانگورو;استرالیا|اسکیپی|بچه کانگورو|پرش|پریدن|جانور|جهش|جهیدن|حیوان|کیسه داران|کیسه‌دار
🦡;گورکن;جاندار|جانور|حیوان|خرسک|راسو|رودک|رودک عسل خوار|شغار|گورکن عسل خوار|گورکن عسل‌خوار
🐾;رد پنجه;اثر|پا|پنجه|رد
🦃;بوقلمون;گوشت بوقلمون
🐔;مرغ;جوجه
🐓;خروس;
🐣;جوجه ازتخم‌بیرون‌آمده;از تخم بیرون آمدن|تولد|جوجه|نوزاد
🐤;جوجه;نوزاد|نیم‌رخ جوجه
🐥;جوجه از روبرو;تمام رخ جوجه|جوجه|نوزاد
🐦;پرنده;
🐧;پنگوئن;جانور|حیوان
🕊️;کبوتر;پرنده|پریدن|صلح
🦅;عقاب;پرنده
🦆;مرغابی;پرنده
🦢;قو;بچه قو|پرنده|جاندار|جانور|جوجه اردک زشت|جوجه قو|جوجهٔ قو|حیوان|قوبچه
🦉;جغد;بیدار|پرنده|خردمند|شب زنده دار
🦤;دودو;انقراض|انهدام|بزرگ|پرنده|جانور|جزیره موریس|حیوان|طبیعت|منقرض
🪶;پَر;بال|بال و پَر|پر|پرنده|پرواز|جانور|حیوان|سَبُک|طبیعت
🦩;فلامینگو;استوایی|براق|جانور|حیوان|گرمسیر
🦚;طاووس;پرنده|پرنده زیبا|تظاهر|جانور|حیوان|خرامیدن|خودنما|خودنمایی|رنگارنگ|طاووس ماده|ظاهری|فخرفروشی|مغرور
🦜;طوطی;پرحرف|پرنده|جاندار|جانور|حرف زدن|حیوان|دزد دریایی|دزدان دریایی|سخنگو|یاوه‌گویی
🪽;بال;آسمانی|اساطیر|اوج گرفتن|پرواز|پرواز کردن|صعود|فرشته|فرشته‌گون|هوانوردی
🐦‍⬛;پرنده سیاه;پرنده|حقه‌باز|حیوان|رخ|زاغ|سیاه|قارقار|کلاغ|منقار
🪿;غاز;احمق|اردک|پرنده|حیوان|خنگ|دسته|صدای غاز|مرغابی
🐦‍🔥;ققنوس;برخاستن|تولد دوباره|جاودانه|جلال|زنده شدن|شکوه|فانتزی، پرنده آتشین، تولد دوباره، تناسخ|متحول شدن|مرغ آتش|نامیرا
🐸;قورباغه;جانور|حیوان|صورت
🐊;تمساح;سوسمار|کروکودیل
🐢;لاک‌پشت;سنگ‌پشت|کاس‌پشت|کاسه‌پشت
🦎;مارمولک;خزنده
🐍;مار;افعی|اهریمن|حامل|زودیاک|مارگیر
🐲;صورت اژدها;اژدها|افسانه|جن و پری|صورت
🐉;اژدها;افسانه|جن و پری
🦕;سوسمار;برانتوسور|برکیوسور|دایناسور|دایناسور دوپا
🦖;تی‌رکس;تیرانوسوروس|دایناسور|مارمولک ستمگر
🐳;نهنگ در حال آب‌فشانی;آب‌فشانی|صورت|نهنگ|وال
🐋;نهنگ;جانور|حیوان|وال
🐬;دلفین;
🫍;نهنگ قاتل;اقیانوس|دریازی|نهنگ
🦭;فُک;اقیانوس|جاندار|جانور|حیوان|دریا|شیر دریایی|طبیعت
🐟;ماهی;برج فلکی|حوت|زودیاک
🐠;ماهی استوایی;استوایی|ماهی
🐡;ماهی بادکنکی;ماهی
🦈;کوسه;ماهی
🐙;هشت‌پا;اختاپوس|جانور|حیوان
🐚;صدف مارپیچی;صدف|مارپیچ
🪸;مرجان;آبسنگ|اقیانوس|تغییرات آب‌وهوایی|حیوانات|دریا|صخره|طبیعت
🪼;عروس دریایی;آبزی|آبزیان|آکواریوم|اقیانوس|بی‌مهره|پلانکتون|جواهرنشان|حیوان|دریا|دریایی|سوختن|شاخک|عروس|لزج|نیش|نیش‌دار
🦀;خرچنگ;برج فلکی|زودیاک|سرطان
🦞;لابستر;آبزی|اقیانوس|انبرک|جاندار|جانور|چنگال|چنگک|حیوان|دریا|سوپ غلیظ|شاه میگو|غذای دریایی|میگو
🦐;میگو;جانور دریایی|ماهی
🦑;ماهی مرکب;اختاپوس|جانور دریایی|هشت‌پا
🦪;صدف خوراکی;آبزی|خوراک|خوراکی|دریایی|شیرجه|غذا|غواصی|مروارید
🐌;حلزون;جانور|حیوان|خزنده|لیسک
🦋;پروانه;حشره|زیبا|عاشق
🐛;حشره;باگ|کرم
🐜;مورچه;حشره|ماهی
🐝;زنبور عسل;جانور|حشره|حیوان
🪲;سوسک;جاندار|جانور|حشره|حیوان|سرگین غلتانک|طبیعت|قاب بالان|قاب‌بالان
🐞;کفشدوزک;حشره|سوسک|کفشدوز
🦗;جیرجیرک;حشره، جیرجیرک|زنجره|ملخ
🪳;سوسک حمام;بی‌ریخت|جاندار|جانور|حشره|حیوان|سوسک|طبیعت
🕷️;عنکبوت;حشره
🕸️;تار عنکبوت;تار|عنکبوت
🦂;عقرب;برج عقرب|برج فلکی|زودیاک|کژدم
🦟;پشه;آلودگی|آلوده|بیماری|تب|حشره|مالاریا|مریضی|نیش|ویروس
🪰;مگس;بیماری|پوسیدن|تسه تسه|جاندار|جانور|حشره|حیوان|خرمگس|طبیعت|کرم حشره|مگس بطری فیروزه‌ای|مگس خانگی
🪱;کرم;انگل|جاندار|جانور|حیوان|طبیعت|کرم حلقوی|کرم خاکی
🦠;میکروب;آمیب|باکتری|تک سلولی|تک یاخته ای|جاندار تک یاخته‌ای|دانش|دانشمند|زیست|شیمی|علم|علوم|موجود ذره بینی|ویروس
💐;دسته گل;عاشقانه|گل|گیاه
🌸;شکوفه گیلاس;شکوفه|گل|گیاه|گیلاس
💮;گل سفید;گل
🪷;نیلوفر;آراستگی|آرامش|بودایی|حیوانات|خلوص|زیبایی|صلح|طبیعت|گل|لوتوس|متانت|نیلوفر آبی|هند|هندو|ویتنام
🏵️;گل رزت;گل|گیاه
🌹;رز;گل|گیاه
🥀;گل پژمرده;پژمرده|دل شکسته|غمگین|گل
🌺;گل ختمی;گل|گل بامیه|گیاه
🌻;گل آفتابگردان;خورشید|گل|گیاه
🌼;شکوفه;گل|گیاه
🌷;لاله;گل|گیاه
🪻;سنبل;استوخودوس|اسطوخودوس|بنفش|بنفشه|بهار|درختچه|شکوفه|گل|گل میمون|گیاه|لوپن|مامیران آبی|نیلی|یاس|یاسی
🌱;جوانه;جوان|گیاه
🪴;گیاه گلدانی;بی‌ثمر|تزیین|خانه|دکور|رشد|طبیعت|کسل‌کننده|گل|گل و گیاه|گلخانه|گلدان|گیاه|مراقبت
🌲;همیشه‌سبز;درخت|گیاه
🌳;درخت سبز;برگ‌ریز|درخت|گیاه
🌴;نخل;درخت|گیاه
🌵;کاکتوس;گیاه
🌾;خوشه برنج;برنج|خوشه|دسته|گیاه
🌿;گیاه دارویی;برگ|گیاه
☘️;برگ شبدر;گیاه
🍀;شبدر چهاربرگ;۴|برگ|چهار|شبدر|گیاه
🍁;برگ افرا;افتادن|افرا|برگ|برگ‌ریز|پاییز|گیاه
🍂;برگ‌ریزان;افتادن|برگ|پاییز|گیاه
🍃;رقص برگ در باد;باد|برگ|حرکت در باد|گیاه|وزیدن
🪹;آشیانه خالی;آشیانه|پرنده|حیوانات|خانه|شاخه|طبیعت|لانه کردن
🪺;آشیانه با تخم;آشیانه|پرنده|تخم|تخم‌ها|حیوانات|شاخه|طبیعت|لانه کردن
🍄;قارچ;گیاه
🪾;درخت بدون برگ;بی‌ثمر|خشکسالی|درخت بی‌برگ|زمستان
🍇;انگور;گیاه|میوه
🍈;طالبی;گیاه|میوه
🍉;هندوانه;گیاه|میوه
🍊;نارنگی;گیاه|میوه|نارنجی
🍋;لیمو ترش;گیاه|مرکبات|میوه
🍋‍🟩;لیمو;آبمیوه|ترش|تکیلا|طراوت بخش|کوکتل|مرکبات|مرکبات، میوه، گرمسیری|مزه تند|موهیتو|نوشیدنی
🍌;موز;گیاه|میوه
🍍;آناناس;گیاه|میوه
🥭;انبه;استوایی|غذا|گرمسیری|مانگو|منگو|میوه
🍎;سیب سرخ;سیب|قرمز|گیاه|میوه
🍏;سیب سبز;سبز|سیب|گیاه|میوه
🍐;گلابی;گیاه|میوه
🍑;هلو;گیاه|میوه
🍒;گیلاس;گیاه|میوه
🍓;توت‌فرنگی;توت|گیاه|میوه
🫐;توت آبی;آبی|تمشک آبی|توت|توت‌آبی|سیاه گیله|غذا|قره‌گیله|میوه
🥝;کیوی;خوراکی|غذا|میوه
🍅;گوجه‌فرنگی;سبزیجات|گیاه
🫒;زیتون;غذا
🥥;نارگیل;پیناکولادا|نخل
🥑;آووکادو;خوراکی|غذا|میوه
🍆;بادمجان;خوراک|خوراکی|سبزیجات|غذا|گیاه
🥔;سیب زمینی;خوراکی|سبزیجات|سیب‌زمینی|صیفی|صیفیجات|غذا
🥕;هویج;خوراکی|سبزیجات|غذا
🌽;بلال ذرت;بلال|خوراک|خوراکی|دانه ذرت|ذرت|غذا|گیاه
🌶️;فلفل قرمز;تند|داغ|فلفل|فلفل سرخ|گیاه
🫑;فلفل دلمه‌ای;سبزیجات|غذا|فلفل|فلفل سبز
🥒;خیار;خیارشور|سبزیجات|غذا|میوه
🥬;برگ‌سبز;برگ|برگر|سالاد|سبز|سبزی|سبزیجات|کاهو|کلم|کلم بروکلی|کلم کالی|گیاه
🥦;بروکلی;کلم
🧄;سیر;چاشنی|خوراک|خوراکی|غذا
🧅;پیاز;چاشنی|طعم‌دهنده
🥜;بادام زمینی;بادام|بادم زمینی|بادوم
🫘;لوبیا;حبوبات|خوراک|غذا|کلیه|کوچک|نوشیدنی
🌰;فندق;گیاه
🫚;زنجبیل;آبجو|ادویه|تندرستی|داروی گیاهی|ریشه|زنجفیل|سلامت|طبیعی|گیاه
🫛;نخودفرنگی;حبوبات|دولپه‌ای|ساقه لوبیا|سبزیجات|سویا|سویای سبز|غلاف|لوبیا|نخود
🍄‍🟫;قارچ قهوه‌ای;چاشنی روی غذا|سبز شدن|سبزیجات|شکفتن|غذا|غذا، قارچ، طبیعت، سبزیجات|قارچ|قارچ دکمه ای|گیاهخواری|نوشیدنی|هاگ
🫜;سبزیجات ریشه‌ای;باغچه|چغندر|ریشه|سبزیجات|شلغم
🍞;نان;تکه|قرص|لقمه|نان جو
🥐;کرواسان;پیراشکی|کروسان|نان|نون
🥖;نان باگت;باگت|نان|نون
🫓;نان مسطح;آره پا|آره‌پا|پیتا|غذا|غذا و آشامیدنی|گوردیتا|لواش|نان
🥨;چوب‌شور;پریتزل|پیراشکی|تنقلات|خوراکی|شیرینی|غذا|نان پیچانده
🥯;نان بیگل;بیگل|دونات|صبحانه|مالیدن|نان|نان حجیم|نان حلقوی|نان گرد|نانوایی
🥞;پنکیک;کیک|کیک تابه‌ای
🧇;وافل;آهن|خاگینه|صبحانه|مردد
🧀;قاچ پنیر;پنیر|خوراک|خوراکی|غذا
🍖;گوشت با استخوان;استخوان|گوشت
🍗;ران ماکیان;استخوان|پا|ران|ماکیان|مرغ
🥩;برش گوشت;استیک|تکه گوشت|کوشت با استخوان دنده|کوشت با استخوان گوسفند|گوشت|گوشت با استخوان خوک|گوشت قرمز
🥓;بیکن;صبحانه|غذا|گوشت|گوشت خوک|گوشت خوک سوده‌شده|گوشت سوده‌شده
🍔;همبرگر;برگر|چیزبرگر
🍟;سیب‌زمینی سرخ‌کرده;سرخ‌کرده|سیب‌زمینی
🍕;پیتزا;پنیر|قاچ
🌭;هات داگ;خوراکی|ساندویچ|سوسیس|غذا
🥪;ساندویچ;نان
🌮;تاکو;خوراک|خوراکی|غذا|مکزیکی
🌯;بوریتو;غذا|مکزیکی
🫔;تامال;پانونها|غذا|لقمه|مکزیکی
🥙;لقمه;جایرو|غذا|فلافل|کباب|کباب ترکی|نان پیتا
🧆;فلافل;خوراک|خوراکی|غذا|کوفته|کوفته ریزه|کوفته قلقلی|نخود
🥚;تخم مرغ;آبپز|غذا
🍳;آشپزی;تابه|تخم‌مرغ|خوراک|خوراکی|سرخ کردن|غذا|نیمرو
🥘;ماهیتابه غذا;املت|پلو اسپانیایی|دیگ|غذا|ماهی‌تابه
🍲;ظرف غذا;خورش
🫕;فوندو;آب شده|پنیر|سوییس|شکلات|غذا|قابلمه
🥣;کاسه و قاشق;آش برنج|حلیم صبحانه|خوراک|خوراکی|شله|صبحانه|غذا|کاسه با قاشق
🥗;سالاد سبزیجات;سالاد|سبزی|سبزیجات|غذا
🍿;ذرت بوداده;بوداده|پاپ کرن|ذرت
🧈;کره;لبنیات
🧂;نمک;ادویه|بامزه|بانمک|چاشنی|شور|طعم|مزه|نمک پاش|نمک‌پاش|نمکدان
🥫;غذای کنسروشده;قوطی|کنسرو
🍱;جعبه بنتو;بنتو|جعبه|ژاپنی|غذا
🍘;تردک برنجی;برنج|تردک|خوراک|خوراکی|غذا|کراکر
🍙;کوفته برنجی;برنج|توپ|ژاپنی|غذا|کوفته
🍚;برنج پخته;برنج|پخته|خوراک|خوراکی|غذا
🍛;برنج با کاری;برنج|کاری
🍜;کاسه نودل;بخار|داغ|رامن|رشته|کاسه|نودل
🍝;اسپاگتی;پاستا|ماکارونی
🍠;سیب‌زمینی شیرین کباب‌شده;سیب زمینی شیرین|سیب‌زمینی|سیب‌زمینی شیرین|کبابی
🍢;اودن;سیخ|غذای دریایی|کباب
🍣;سوشی;خوراک ژاپنی
🍤;میگو سوخاری;تمپورا|سرخ‌شده|شاه میگو|میگو
🍥;کیک ماهی;پیچ|شیرینی|کیک|ماهی
🥮;کیک ماه;پاییز|جشنواره|خزان|فستیوال|کیک|یوئه‌بینگ
🍡;دانگو;تنقلات|چوب|خوراکی|دسر|ژاپنی|سیخ|شیرین|غذا
🥟;کوفته;امپاندا|پیروگی|جیائوزی|دامپلینگ|کوفته سرخ‌شده|گیوزا
🥠;شیرینی شانس;پیشگویی|شرینی شانسی|غیب‌گویی
🥡;جعبه بردنی;تحویل غذا|جعبه غذا|سطل صدف خوراکی|ظرف غذای ژاپنی|ظرف غذای گاغذی
🍦;بستنی قیفی;بستنی|تنقلات|خامه|خوراکی|دسر|شیرین|قیف|نرم|یخ
🍧;یخ در بهشت;خوراک|خوراکی|دسر|شیرین|غذا|یخ
🍨;بستنی;تنقلات|خوراکی|دسر|شیرین|یخ
🍩;دونات;پیراشکی|خوراک|خوراکی|دسر|شیرین|غذا
🍪;کلوچه;دسر|شیرین|شیرینی|کوکی
🎂;کیک تولد;تولد|تولد مبارک|تولدت مبارک|جشن|دسر|روز تولد|شیرین|شیرینی|غذا|کیک
🍰;شُرت‌کیک;دسر|شیرین|شیرینی|قاچ|کیک
🧁;کیک فنجانی;دسر|شکر|شیرین|شیرینی|قنادی|قند|کیک|کیک یزدی|نانوایی
🥧;پای;پای سیب|خمیر شیرینی|شیرینی|کیک|مواد روی کیک
🍫;تخته شکلات;تکه|دسر|شکلات|شکلات کاکائوی|شیرین|کاکائو
🍬;آب‌نبات‌;دسر|شکلات|شیرین
🍭;آب‌نبات‌چوبی;آب‌نبات|خروس‌قندی|دسر|شکلات|شیرین
🍮;کاستارد;پودینگ|دسر|شیرین
🍯;ظرف عسل;انگبین|شیرین|ظرف|عسل|عسلی
🍼;شیشه شیر;بچه|بطری|شیر|نوزاد|نوشیدن
🥛;لیوان شیر;شیر|لیوان|نوشیدن
☕;نوشیدنی گرم;بخار|چای|داغ|قهوه|نوشیدن|نوشیدنی
🫖;قوری;چای|دم کردن|غذا|قوریِ‌چای|نوشیدن
🍵;فنجان چای بدون دسته;چای|فنجان چای|فنجان و نعلبکی|لیوان|نوشیدن|نوشیدنی
🍶;ساکی;بار|بطری|لیوان|میخانه|نوشیدن|نوشیدنی الکلی
🍾;شامپاین جوشان;بار|بطری|بطری با چوب‌پنبه|پراندن|چوب‌پنبه|شامپانی|لیوان|میخانه|نوشیدنی الکلی
🍷;جام شراب;بار|شراب|میخانه|نوشیدن|نوشیدنی الکلی
🍸;جام کوکتل;بار|جام|کوکتل|مشروب|میخانه|نوشیدن
🍹;نوشیدنی استوایی;استوایی|بار|میخانه|نوشیدن
🍺;لیوان آب‌جو;آبجو|بار|لیوان|ماگ|میخانه|نوشیدن
🍻;لیوان‌های آبجو را به‌هم زدن;آبجو|بار|به سلامتی|به هم زدن|به‌هم زدن لیوان‌های آبجو|لیوان آبجو|میخانه|نوشیدن
🥂;صدای به‌هم خوردن پیاله‌ها;به سلامتی|پیاله|جشن|جلینگ|صدای به هم خوردن دو پیاله|مشروب|نوشیدن
🥃;لیوان ته‌گنبدی;الکل|بی‌دسته|جرعه|قُلُپ|لیوان|لیوان پهن|مشروب|نوشابه الکلی|ویسکی
🫗;ریختن مایع;آب|اتفاقی|تصادف|خالی کردن|خوراک|ریختن|سر رفتن|غذا|لیوان|نوشابه|نوشیدنی|وای
🥤;فنجان با نی;آب|آب‌میوه|افشره|سودا|لیموناد|لیوان با نی|نوشابه|نوشابهٔ گازدار
🧋;چای حُبابی;آشامیدنی|تایوان|چای|چای حباب دار|چای حباب‌دار|حباب|شیر|غذا|مروارید|نوشیدنی
🧃;پاکت نوشیدنی;آب میوه|پاکت|پاکت آب‌میوه|شیرین|نوشیدنی|نی
🧉;ماته;نوشیدنی
🧊;قالب یخ;سرد|کوه یخ|کوه یخی|یخ
🥢;چاپ‌استیک;چاپ استیک|چوب غذاخوری|چوب‌های غذا|هاشی
🍽️;بشقاب و کارد و چنگال;آشپزی|بشقاب|چنگال|کارد
🍴;کارد و چنگال;آشپزی|اولین وعده|تغذیه|چاقو|چنگال|خوردن|خوشمزه|رستوران|شام|صبحانه|غذا|قاشق و چنگال|کارد|گرسنه|لذیذ|ناهار
🥄;قاشق;اسباب سفره|ظروف میز غذا|قاشق غذا خوری|قاشق غذاخوری|لوازم صرف غذا
🔪;چاقوی آشپزخانه;آشپزی|ابزار|اسلحه|چاقو|ساطور|هوچو
🫙;شیشه دهان‌گشاد;ادویه|تهی|خالی|خوراک|سس|ظرف شیشه‌ای|غذا|قوطی|مغازه|نوشیدنی
🏺;سبو;آشپزی|آمفورا|ابزار|برج فلکی|دلو|زودیاک|کوزه|ماه بهمن|نوشیدنی
🌍;نقشهٔ اروپا-افریقا روی کره;آفریقا|اروپا|افریقا|جهان|دنیا|زمین|کرهٔ جغرافیایی|کرهٔ زمین|نقشه اروپا-آفریقا
🌎;نقشهٔ قارهٔ امریکا روی کره;آمریکا|امریکای شمالی و جنوبی|جهان|دنیا|زمین|کرهٔ جغرافیایی|کرهٔ زمین|نقشه آمریکا
🌏;نقشهٔ آسیا-اقیانوسیه روی کره;آسیا|استرالیا|جهان|دنیا|زمین|کرهٔ جغرافیایی|کرهٔ زمین|نقشه آسیا-اقیانوسیه
🌐;کره با نصف‌النهارها;جهان|دنیا|زمین|کرهٔ جغرافیایی|کرهٔ زمین|نصف‌النهار
🗺️;نقشهٔ جهان;دنیا|نقشه|نقشه جهان
🗾;نقشهٔ ژاپن;ژاپن|نقشه
🧭;قطب‌نما;جهت|جهت یابی|جهتیابی|رهیابی|قبله نما|قطب نما|مسابقٔ دوصحرایی به‌کمک قطب‌نما|مسیر|مسیریابی|مغناطیس|مغناطیسی|ناوبری
🏔️;قلهٔ برفی;برف|سرد|قله برفی|کوه
⛰️;کوه;کوهستان
🛘;ریزش کوه;بهمن|خطر|زلزله|زمین‌لغزش|سنگ|فاجعه|کوه
