😀;ծիծաղող դեմք;դեմք|քմծիծաղել
🫚;կոճապղպեղի արմատ;արմատ|իմբիր|համեմունք|տաքկոճ
🫛;սիսեռապատիճ;բանջարեղեն|լոբազգի|ոլոռ|սիսեռ
🍄‍🟫;շագանակագույն սունկ;բնություն|բորբոս|բուսական|բուսակեր|բուսակերական|դարչնագույն սունկ|լցոնումներ|ծիլ|շամպինյոն|շիտակե|պիցցայի լցոնումներ|սնունդ|սունկ|սպոր|տրյուֆել
🫜;արմատապտուղ;այգի|արմատ|բուսական|ճակնդեղ|շաղգամ
🍞;հաց;բոքոն
🥐;կրուասան;խմորեղեն|հաց|ուտելիք|ֆրանսիական
🥖;բագետ հաց;բագետ|հաց|ուտելիք|ֆրանսիական
🫓;լոշիկ;արեպա|լավաշ|պիտա
🥨;ոլորաբլիթ;բոկեղ|ոլորած|սիմիթ
🥯;բեյգլ;բուլկի|թխվածք
🥞;ձիթաբլիթ;բլիթ|կրեպ|ուտելիք
🧇;վաֆլի;աղանդեր|նախաճաշ
🧀;պանրի կտոր;պանիր
🍖;ոսկորով միս;միս|ոսկոր
🍗;հավի բուդ;բուդ|թռչնամիս|հավ|ոսկոր
🥩;մսի կտոր;ոսկրամիս|տավար|փափկամիս
🥓;բեկոն;միս|ուտելիք
🍔;համբուրգեր;բուրգեր
🍟;տապակած կարտոֆիլ;կարտոֆիլ
🍕;պիցցա;կտոր|պանիր
🌭;հոթդոգ;նրբերշիկ|ֆրանկֆուրտեր
🥪;սենդվիչ;հաց
🌮;տակո;մեքսիկական
🌯;բուրիտո;բրդուճ|մեքսիկական|պատառ
🫔;տամալե;բրդուճ|մեքսիկական|պատառ
🥙;լցոնված լոշիկ;բրդուճ|գիրոս|լավաշ
🧆;ֆալաֆել;մսագնդիկ|սիսեռ
🥚;ձու;ուտելիք
🍳;եփում;եփել|թավա|թավայով ձվածեղ|ձու|նախաճաշ|տապակել
🥘;տապակ;թավա|ուտելիք|պաելյա|տապակա|տապակած
🍲;թասով ճաշ;թաս|ճաշ
🫕;ֆոնդյու;կճուճ|հալած|շոկոլադ|շվեյցարական|պանիր
🥣;գդալով աման;նախաճաշ|շիլա
🥗;աղցան;բանջարեղեն|ուտելիք
🍿;ադիբուդի;
🧈;կարագ;կաթնամթերք
🧂;աղ;համեմունք|հավելում
🥫;պահածո;
🍱;բենտո արկղ;արկղ|բենտո
🍘;բրնձի կրեկեր;բրինձ|կրեկեր
🍙;բրնձի գնդիկ;բրինձ|գնդիկ|ճապոնական
🍚;եփած բրինձ;բրինձ|եփած
🍛;քարրիով բրինձ;բրինձ|կարրի
🍜;տաք ապուր;գոլորշի|թաս|լապշա|ռամեն|ռամյոն|տաք ուտեստ
🍝;սպագետի;մակարոնեղեն
🍠;բոված քաղցր կարտոֆիլ;բոված|կարտոֆիլ|քաղցր
🍢;օդեն;ծովամթերք|շամփուր|փայտիկ|քյաբաբ
🍣;սուշի;
🍤;տապակած ծովախեցգետին;ծովախեցգետին|տապակած
🍥;ձկնային տորթ պտտանախշով;խմորեղեն|ձուկ|պտտանախշ|տորթ
🥮;լուսնային թխվածք;աշուն|փառատոն
🍡;դանգո;աղանդեր|ճապոնական|շամփուր|փայտիկ|քաղցր
🥟;լցոնվածքներ;խինկալի|մանտի
🥠;գուշակությունով բլիթ;գուշակություն
🥡;դուրս հանելու տուփ;ոստրեների տուփ
🍦;լցնովի պաղպաղակ;աղանդեր|լցնովի|կրեմ|պաղպաղակ|քաղցր
🍧;մանրացված սառույց;աղանդեր|մանրացված|սառույց|քաղցր
🍨;պաղպաղակ;աղանդեր|կրեմ|քաղցր
🍩;դոնաթ;աղանդեր|քաղցր
🍪;թխվածքաբլիթ;աղանդեր|քաղցր
🎂;ծննդյան տորթ;աղանդեր|խմորեղեն|տարեդարձ|տոն|քաղցր
🍰;տորթի կտոր;աղանդեր|խմորեղեն|կտոր|տորթ|քաղցր
🧁;կեքս;թխվածք|քաղցրավենիք
🥧;կարկանդակ;լցոնած|խմորեղեն
🍫;շոկոլադե սալիկ;աղանդեր|շոկոլադ|սալիկ|քաղցր
🍬;կոնֆետ;աղանդեր|քաղցր
🍭;սառնաշաքար;աղանդեր|կոնֆետ|քաղցր
🍮;պուդինգ;աղանդեր|քաղցր
🍯;մեղրի կճուճ;կճուճ|մեղր|քաղցր
🍼;մանկական շիշ;խմել|կաթ|մանկական|շիշ
🥛;կաթով բաժակ;բաժակ|ըմպելիք|կաթ
☕;տաք ըմպելիք;ըմպելիք|թեյ|խմել|սուրճ|տաք
🫖;թեյնիկ;ըմպելիք|թեյ|խմիչք
🍵;թեյի բաժակ առանց բռնակի;բաժակ|ըմպելիք|թեյ|թեյի բաժակ|խմել
🍶;սակե;բաժակ|բար|ըմպելիք|խմել|շիշ
🍾;թռչող խցանով շիշ;բար|դուրս թռչել|խմել|խցան|շիշ
🍷;գինու բաժակ;բաժակ|բար|գինի|ըմպելիք|խմել
🍸;կոկտեյլի բաժակ;բաժակ|բար|խմել|կոկտեյլ
🍹;արևադարձային ընպելիք;արևադարձային|բար|խմել
🍺;գարեջրի գավաթ;բար|գավաթ|գարեջուր|խմել
🍻;զրնգացող գարեջրի գավաթներ;բար|գավաթ|գարեջուր|զրնգալ|խմել
🥂;զնգացող բաժակներ;բաժակ|զնգոց|ծլնգոց|նշել|տոնել
🥃;խոշոր բաժակ;բաժակ|գինի|կոնյակ|վիսկի|օղի
🫗;հեղուկի լցում;բաժակ|դատարկել|ըմպելիք|լցնել|խմիչք
🥤;ձողիկով բաժակ;զովացուցիչ|ըմպելիք|կոլա|հյութ
🧋;պղպջակներով թեյ;թեյ|կաթ|մարգարիտ|պղպջակ
🧃;խմիչքի տուփ;հյութի տուփ
🧉;մատե;ըմպելիք|խմիչք
🧊;սառույց;սառը|սառցաբեկոր
🥢;փայտիկներ;հասի
🍽️;պատառաքաղ և դանակ ափսեի հետ;ափսե|դանակ|խոհարարություն|պատառաքաղ
🍴;պատառաքաղ և դանակ;դանակ|եփել|խոհարարություն|պատառաքաղ|սպասք
🥄;գդալ;սպասք
🔪;խոհանոցային դանակ;գործիք|դանակ|եփել|զենք|խոհարար
🫙;ապիկ;աման|անոթ|դատարկ|պահածո|տարա
🏺;սափոր;գործիք|զենք|խմել|խոհարարություն|կենդանակերպ|ջրհոս
🌍;Եվրոպան և Աֆրիկան պատկերող գլոբուս;աշխարհ|Աֆրիկա|գլոբուս|Եվրոպա|երկիր
🌎;Ամերիկաները պատկերող գլոբուս;Ամերիկաներ|աշխարհ|գլոբուս|երկիր
🌏;Ասիան և Ավստրալիան պատկերող գլոբուս;աշխարհ|Ասիա|Ավստրալիա|գլոբուս|երկիր
🌐;միջօրեականներով գլոբուս;աշխարհ|գլոբուս|երկիր|միջօրեականներ
🗺️;աշխարհի քարտեզ;աշխարհ|քարտեզ
🗾;Ճապոնիայի քարտեզը;Ճապոնիա|քարտեզ
🧭;կողմնացույց;կողմնորոշում|մագնիսային|նավարկում
🏔️;ձյունածածկ գագաթով լեռ;լեռ|ձյուն|սառը
⛰️;լեռ;սար
🛘;սողանք;աղետ|երկրաշարժ|ժայռեր|լեռ|ձնահոսք|վտանգ
🌋;հրաբուխ;եղանակ|ժայթքում|լեռ
🗻;Ֆուջի լեռ;գագաթ|լեռ|սար|Ֆուձի|Ֆուձիյամա|ֆուջի
🏕️;ճամբար;արշավ|վրաններ
🏖️;լողափ հովանոցով;լողափ|հովանոց
🏜️;անապատ;
🏝️;անմարդաբնակ կղզի;անմարդաբնակ|կղզի
🏞️;ազգային զբոսայգի;զբոսայգի
🏟️;մարզադաշտ;
🏛️;հունահռոմեական շինություն;հունահռոմեական|շինություն
🏗️;շենքի կառուցում;շենք|շինարարություն
🧱;աղյուս;աղյուսներ|կավ|շինանյութ|պատ
🪨;քար;ամուր|գլաքար|ժայռ|ծանր
🪵;փայտ;գերան|փայտանյութ
🛖;հյուղակ;գետնահյուղ|յուրտ|տնակ
🏘️;տներ;շենք|տուն
🏚️;լքված շինություն;լքված|շենք|տուն
🏠;տուն;բնակարան|բնակելի տուն|շենք
🏡;այգիով տուն;այգի|բնակարան|շենք|տուն
🏢;գրասենյակային շենք;շենք
🏣;ճապոնական փոստատուն;ճապոնական|շենք|փոստատուն
🏤;փոստատուն;եվրոպական|շենք
🏥;հիվանդանոց;բժիշկ|բժշկություն|շենք
🏦;բանկ;շենք
🏨;հյուրանոց;շենք
🏩;սիրային հյուրանոց;հյուրանոց|շենք|սեր
🏪;շուրջօրյա խանութ;խանութ|շենք|շուրջօրյա
🏫;դպրոց;շենք
🏬;հանրախանութ;խանութ|շենք
🏭;գործարան;շենք
🏯;ճապոնական դղյակ;դղյակ|ճապոնական|շենք
🏰;դղյակ;եվրոպական|շենք
💒;հարսանիք;մատուռ|սիրավեպ
🗼;Տոկիոյի աշտարակ;աշտարակ|Տոկիո
🗽;ազատության արձանը;ազատություն|արձան
⛪;եկեղեցի;խաչ|կրոն|շենք|քրիստոնեական
🕌;մզկիթ;իսլամ|կրոն|մուսուլման
🛕;հինդուիստական տաճար;հինուիզմ|տաճար
🕍;սինագոգ;կրոն|հրեա|հրեական|տաճար
⛩️;սինտոյական տաճար;կրոն|սինտոյական|տաճար
🕋;կաաբա;իսլամ|կրոն|մուսուլման
⛲;շատրվան;
⛺;վրան;ճամբար
🌁;մառախլապատ;եղանակ|մառախուղ
🌃;աստղազարդ գիշեր;աստղ|գիշեր|եղանակ
🏙️;քաղաքային պատկեր;շենք|քաղաք
🌄;արևածագը լեռներում;առավոտ|արև|արևածագ|եղանակ|լեռ
🌅;արևածագ;առավոտ|արև|եղանակ
🌆;քաղաքային պատկեր մթնշաղին;արև|եղանակ|երեկո|լանդշաֆտ|մայրամուտ|մթնշաղ|շենք|քաղաք
🌇;մայրամուտ;արև|եղանակ|մթնշաղ|շենք
🌉;կամուրջը գիշերով;գիշեր|եղանակ|կամուրջ
♨️;տաք աղբյուրներ;աղբյուրներ|հոսք|տաք
🎠;կարուսելի ձի;կարուսել|ձի
🛝;խաղահրապարակի սղարան;զբոսայգի|խաղ|խաղահրապարակ|պարկ|սղալ
🎡;սատանայի անիվ;անիվ|զվարճանքների այգի|սատանայի
🎢;ամերիկյան բլուրներ;ամերիկյան|բլուրներ|զվարճանքների այգի
💈;վարսավիրանոցի հոլ;ձող|սանրվածք|վարսավիր
🎪;կրկեսի վրան;կրկես|վրան
🚂;շոգեքարշ;գնացք|գոլորշի|երկաթուղի|փոխադրամիջոց
🚃;երկաթուղային վագոն;գնացք|երկաթուղի|էլեկտրական|վագոն|տրամվայ|տրոլեյբուս|փոխադրամիջոց
🚄;ճեպընթաց գնացք;արագություն|գնացք|երկաթուղի|սինկանսեն|փոխադրամիջոց
🚅;գերճեպընթաց գնացք;արագություն|գերարագ|երկաթգիծ|երկաթուղի|շինկանսեն|սինկանսեն
🚆;գնացք;երկաթուղի|փոխադրամիջոց
🚇;մետրո;փոխադրամիջոց
🚈;վերգետնյա մետրո;երկաթուղի|փոխադրամիջոց
🚉;կայարան;գնացք|երկաթուղի|փոխադրամիջոց
🚊;տրամվայ;տրոլեյբուս|փոխադրամիջոց
🚝;մոնոռելս;փոխադրամիջոց
🚞;լեռնային երկաթուղի;երկաթուղի|լեռ|վագոն|փոխադրամիջոց
🚋;տրամվայի վագոն;վագոն|տրամվայ|տրոլեյբուս|փոխադրամիջոց
🚌;ավտոբուս;փոխադրամիջոց
🚍;մոտեցող ավտոբուս;ավտոբուս|մոտեցող|փոխադրամիջոց
🚎;տրոլեյբուս;ավտոբուս|տրամվայ|փոխադրամիջոց
🚐;միկրոավտոբուս;ավտոբուս|փոխադրամիջոց
🚑;շտապօգնության մեքենա;շտապ|փոխադրամիջոց
🚒;հրշեջ մեքենա;բեռնատար|հրդեհ|փոխադրամիջոց|քարշակ
🚓;ոստիկանական մեքենա;ավտոմեքենա|ճո մեքենա|ոստիկանություն|պարեկ|փոխադրամիջոց
🚔;մոտեցող ոստիկանական մեքենա;ավտոմեքենա|մոտեցող|ոստիկանություն|փոխադրամիջոց
🚕;տաքսի;փոխադրամիջոց
🚖;մոտեցող տաքսի;մոտեցող|տաքսի|փոխադրամիջոց
🚗;ավտոմեքենա;ավտո|մեքենա|փոխադրամիջոց
🚘;մոտեցող ավտոմեքենա;ավտոմեքենա|մեքենա|մոտեցող|փոխադրամիջոց
🚙;ավտոֆուրգոն;փոխադրամիջոց
🛻;պիկապ;ավտոմեքենա|բեռնատար|փիքափ
🚚;բեռնատար;առաքում|փոխադրամիջոց
🚛;կցորդով բեռնատար;բեռնատար|կցորդ|փոխադրամիջոց
🚜;տրակտոր;փոխադրամիջոց
🏎️;մրցարշավային մեքենա;մեքենա|մրցարշավ
🏍️;մոտոցիկլետ;մրցարշավ
🛵;սկուտեր;մոպեդ
🦽;ձեռքով կառավարվող անվասայլակ;հաշմանդամ
🦼;մոտոսայլակ;հաշմանդամ
🛺;ավտոռիկշա;թըխկ-թըխկ|ռիկշա|տաքսի
🚲;հեծանիվ;փոխադրամիջոց
🛴;ինքնագլոր;սկուտեր
🛹;անվատախտակ;սքեյթ|սքեյթբորդ|տախտակ
🛼;անվաչմուշկ;անիվ|չմուշկ
🚏;ավտոբուսի կանգառ;ավտոբուս|կանգառ
🛣️;ավտոմայրուղի;ճանապարհ|մայրուղի
🛤️;երկաթուղի;գնացք
🛢️;նավթի տակառ;նավթ|տակառ
⛽;վառելիքի պոմպ;բենզալցակայան|բենզին|կայան|պոմպ|վառելիք
🛞;անիվ;անվադող|շրջան|պտույտ
🚨;ոստիկանական մեքենայի փարոս;ավտոմեքենա|լույս|ոստիկանություն|պտտվող|փարոս|փոխադրամիջոց
🚥;հորիզոնական լուսացույց;ազդանշան|երթևեկություն|լույս|լուսաֆոր
🚦;ուղղաձիգ լուսացույց;ազդանշան|երթևեկություն|լույս|լուսաֆոր
🛑;կանգ նշան;կանգ|նշան
🚧;շինարարություն;արգելապատնեշ
⚓;խարիսխ;գործիք|նավ
🛟;փրկօղակ;անվտանգություն|փրկել|օղակ
⛵;առագաստանավ;զբոսանավ|ծով|հանգստավայր|նավակ|փոխադրամիջոց
🛶;կանոէ;մակույկ|նավակ
🚤;արագընթաց նավակ;նավակ|փոխադրամիջոց
🛳️;ուղևորատար նավ;նավ|ուղևոր|փոխադրամիջոց
⛴️;լաստանավ;նավակ
🛥️;մոտորանավակ;նավակ|փոխադրամիջոց
🚢;նավ;փոխադրամիջոց
✈️;ինքնաթիռ;փոխադրամիջոց|օդանավ
🛩️;փոքր ինքնաթիռ;ինքնաթիռ|փոխադրամիջոց
🛫;օդանավի մեկնում;գրանցում|ինքնաթիռ|մեկնում|փոխադրամիջոց
🛬;օդանավի ժամանում;ժամանող|ժամանում|վայրէջք|փոխադրամիջոց|օդանավ
🪂;անկարգել;պարաշյուտ
💺;նստատեղ;բազկաթոռ
🚁;ուղղաթիռ;փոխադրամիջոց
🚟;կախովի երկաթուղի;երկաթուղի|կախովի|փոխադրամիջոց
🚠;լեռնային ճոպանուղի;գոնդոլա|լեռ|ճոպան|փոխադրամիջոց
🚡;օդային տրամվայ;գոնդոլա|ճոպան|ճոպանուղի|վագոն|տրամվայ|փոխադրամիջոց|օդային
🛰️;արբանյակ;տիեզերք|փոխադրամիջոց
🚀;հրթիռ;տիեզերք|փոխադրամիջոց
🛸;թռչող ափսե;այլմոլորակային
🛎️;հյուրանոցային զանգ;զանգ|հյուրանոց
🧳;ուղեբեռ;ճամպրուկ|ճամփորդություն
⌛;ավազի ժամացույց;ավազ|ժամաչափ
⏳;ավազի ժամացույց հոսող ավազով;ավազ|ավազի ժամացույց|ժամաչափ
⌚;ժամացույց;
⏰;զարթուցիչ;ժամացույց
⏱️;վայրկյանաչափ;ժամացույց
⏲️;ժամաչափ;ժամացույց
🕰️;կրակարանի ժամացույց;ժամացույց
🕛;ժամը տասներկուսը;00|12|12:00|ժամ|ժամացույց|տասներկու
🕧;տասներկուսն անց կես;12|12:30|30|երեսուն|ժամացույց|տասներկու
🕐;ժամը մեկը;00|1|1:00|ժամ|ժամացույց|մեկ
🕜;մեկն անց կես;1|1:30|30|երեսուն|ժամացույց|մեկ
🕑;ժամը երկուսը;00|2|2:00|երկու|ժամ|ժամացույց
🕝;երկուսն անց կես;2|2:30|30|երեսուն|երկու|ժամացույց
🕒;ժամը երեքը;00|3|3:00|երեք|ժամ|ժամացույց
🕞;երեքն անց կես;3|3:30|30|երեսուն|երեք|ժամացույց
🕓;ժամը չորսը;00|4|4:00|ժամ|ժամացույց|չորս
🕟;չորսն անց կես;30|4|4:30|երեսուն|ժամացույց|չորս
🕔;ժամը հինգը;00|5|5:00|ժամ|ժամացույց|հինգ
🕠;հինգն անց կես;30|5|5:30|երեսուն|ժամացույց|հինգ
🕕;ժամը վեցը;00|6|6:00|ժամ|ժամացույց|վեց
🕡;վեցն անց կես;30|6|6:30|երեսուն|ժամացույց|վեց
🕖;ժամը յոթը;00|7|7:00|ժամ|ժամացույց|յոթ
🕢;յոթն անց կես;30|7|7:30|երեսուն|ժամացույց|յոթ
🕗;ժամը ութը;00|8|8:00|ժամ|ժամացույց|ութ
🕣;ութն անց կես;30|8|8:30|երեսուն|ժամացույց|ութ
🕘;ժամը ինը;00|9|9:00|ժամ|ժամացույց|ինը
🕤;ինն անց կես;30|9|9:30|երեսուն|ժամացույց|ինը
🕙;ժամը տասը;00|10|10:00|ժամ|ժամացույց|տասը
🕥;տասն անց կես;10|10:30|30|երեսուն|ժամացույց|տասը
🕚;ժամը տասնմեկը;00|11|11:00|ժամ|ժամացույց|տասնմեկ
🕦;տասնմեկն անց կես;11|11:30|30|երեսուն|ժամացույց|տասնմեկ
🌑;նորալուսին;եղանակ|լուսին|մութ|տիեզերք
🌒;աճող մահիկ;աճող|եղանակ|լուսին|մահիկ|տիեզերք
🌓;լուսինն առաջին քառորդում;եղանակ|լուսին|տիեզերք|քառորդ
🌔;աճող ուռուցիկ լուսին;աճող|եղանակ|լուսին|ուռուցիկ|տիեզերք
🌕;լիալուսին;եղանակ|լուսին|տիեզերք
🌖;նվազող ուռուցիկ լուսին;եղանակ|լուսին|նվազող|ուռուցիկ|տիեզերք
🌗;լուսինը երկրորդ քառորդում;եղանակ|լուսին|տիեզերք|քառորդ
🌘;նվազող մահիկ;եղանակ|լուսին|մահիկ|նվազող|տիեզերք
🌙;մահիկ;եղանակ|լուսին|տիեզերք
🌚;դեմքով նորալուսին;դեմք|եղանակ|լուսին|տիեզերք
🌛;լուսինն առաջին քառորդում դեմքով;դեմք|եղանակ|լուսին|տիեզերք|քառորդ
🌜;լուսինը երկրորդ քառորդում դեմքով;դեմք|եղանակ|լուսին|տիեզերք|քառորդ
🌡️;ջերմաչափ;եղանակ
☀️;արև;արեգակ|արևոտ|եղանակ|ճառագայթներ|պայծառ|տիեզերք
🌝;դեմքով լիալուսին;դեմք|եղանակ|լիալուսին|լուսին|պայծառ|տիեզերք
🌞;դեմքով արև;արև|դեմք|եղանակ|պայծառ|տիեզերք
🪐;օղակներով մոլորակ;Երևակ|Սատուրն
⭐;աստղ;
🌟;փայլող աստղ;աստղ|կայծ|շողացող
🌠;ընկնող աստղ;աստղ|ընկնող|տիեզերք
🌌;ծիր կաթին;եղանակ|տիեզերք
☁️;ամպ;եղանակ
⛅;արև ամպի հետևում;ամպ|արև|եղանակ
⛈️;կայծակով և անձրևով ամպ;ամպ|ամպրոպ|անձրև|եղանակ
🌤️;արև փոքր ամպի հետևում;ամպ|արև|եղանակ
🌥️;արև մեծ ամպի հետևում;ամպ|արև|եղանակ
🌦️;արև անձրևով ամպի հետևում;ամպ|անձրև|արև|եղանակ
🌧️;անձրևով ամպ;ամպ|անձրև|եղանակ
🌨️;ձյունով ամպ;ամպ|եղանակ|ձյուն|սառը
🌩️;կայծակով ամպ;ամպ|եղանակ|կայծակ
🌪️;պտտահողմ;ամպ|եղանակ
🌫️;մառախուղ;ամպ|եղանակ
🌬️;քամու երես;ամպ|դեմք|եղանակ|փչել|քամի
🌀;ցիկլոն;եղանակ|թայֆուն|պտտվող
🌈;ծիածան;անձրև|եղանակ
🌂;փակ անձրևանոց;անձրև|անձրևանոց|եղանակ|հագուստ
☂️;անձրևանոց;անձրև|եղանակ|հագուստ
☔;անձրևանոց անձրևի կաթիլներով;անձրև|անձրևանոց|եղանակ|կաթիլ|հագուստ
⛱️;անձրևանոց գետնի վրա;անձրև|անձրևանոց|արև|եղանակ
⚡;բարձր լարում;էլեկտրական|էլեկտրականություն|լարում|կայծակ|վտանգ
❄️;ձյան փաթիլ;եղանակ|ձյուն|սառը
☃️;ձնեմարդ;եղանակ|ձյուն|սառը
⛄;ձնեմարդ առանց ձյան;եղանակ|ձյուն|ձնեմարդ|սառը
☄️;գիսաստղ;տիեզերք
🔥;կրակ;բոց|գործիք
💧;կաթիլ;եղանակ|կոմիքս|սառը|քրտինք
🌊;ջրի ալիք;ծով|ջուր|օվկիանոս
🎃;ջեքի լապտեր;լապտեր|հելոուին|ջեք|տոն
🎄;տոնածառ;ծառ|սուրբ ծնունդ|տոն
🎆;հրավառություն;տոնակատարություն
🎇;բենգալյան կրակ;կայծ|հրավառություն|տոնակատարություն
🧨;ճայթռուկ;դինամիտ|հրավարություն|պայտուցիկ
✨;կայծեր;աստղ|կայծ
🎈;փուչիկ;տոն
🎉;ճայթուկ;երեկույթ|տոն
🎊;կոնֆետի;գունդ|տոն
🎋;տանաբատայի ծառ;դրոշակ|ծառ|ճապոնական|տանաբատա|տոն
🎍;սոճու զարդարանք;բամբուկ|բամբուկից դեկորացիա|բույս|դեկորացիա|ճապոնական|տոն
🎎;ճապոնական տիկնիկներ;ճապոնական|տիկնիկ|տոն|փառատոն
🎏;կարպերի տեսքով նավադրոշ;կարպ|նավադրոշ|տոն
🎐;քամու զանգակ;զանգ|տոն|քամի
🎑;լուսնի դիտման ծես;լուսին|ծես|տոն
🧧;կարմիր ծրար;հաջողություն|հոնգբաո|նվեր|փող
🎀;ժապավեն;տոն|տոնակատարություն
🎁;փաթեթավորված նվեր;արկղ|նվեր|տոն|փաթեթավորված
🎗️;հուշաժապավեն;ժապավեն|հուշ|տոն
🎟️;մուտքի տոմս;մուտք|տոմս
🎫;տոմս;մուտք
🎖️;ռազմական մեդալ;մեդալ|ռազմական|տոն
🏆;գավաթ;մրցանակ
🏅;մարզական մեդալ;մեդալ|սպորտային մեդալ
🥇;ոսկե մեդալ;առաջին|մեդալ|ոսկի
🥈;արծաթե մեդալ;արծաթ|երկրորդ|մեդալ
🥉;բրոնզե մեդալ;բրոնզ|երրորդ|մեդալ
⚽;ֆուտբոլի գնդակ;գնդակ|ֆուտբոլ
⚾;բեյսբոլ;բեյսբոլի գնդակ|գնդակ
🥎;սոֆթբոլ;գնդակ|թևատակ|ձեռնոց
🏀;բասկետբոլ;բասկետբոլի գնդակ|գնդակ
🏐;վոլեյբոլ;գնդակ|խաղ|վոլեյբոլի գնդակ
🏈;ամերիկյան ֆուտբոլի գնդակ;ամերիկյան|գնդակ|ֆուտբոլ
🏉;ռեգբիի գնդակ;գնդակ|ռեգբի|ֆուտբոլ
🎾;թենիս;գնդակ|թենիսի գնդակ|մեծ
🥏;թռչող սկավառակ;թռչող ափսե|նետել|սկավառակ
🎳;բոուլինգ;գնդակ|խաղ
🏏;կրիկետ;գնդակ|թիակ|խաղ
🏑;մականախաղ;գնդակ|դաշտ|խաղ|հոկեյ|մական
🏒;սառույցի մականախաղ;խաղ|հոկեյ|մական|սառույց|տափօղակ
🥍;լաքրոս;գնդակ|թիրախ|փայտ
🏓;սեղանի թենիս;գնդակ|թի|խաղ|ձեռնաթիակ|պինգ-պոնգ
🏸;բադմինտոն;խաղ|ձեռնաթիակ|ռակետ|վոլան|փետրագնդակ
🥊;բռնցքամարտի ձեռնոց;բոքս|բռնցքամարտ|սպորտ
🥋;մարտարվեստի համազգեստ;այկիդո|կարատե|կիմոնո|համազգեստ|մարտարվեստ|սպորտ
🥅;ֆուտբոլի դարպաս;գոլ|նպատակ|սպորտ
⛳;գոլֆի դրոշակ;անցք|գոլֆ
⛸️;չմուշկ;սառույց
🎣;կարթաձող;կարթ|ձուկ
🤿;ջրադիմակ;դայվինգ|սուզում|ստորջրյա լող
🎽;վազքի շապիկ;ժապավեն|շապիկ
🎿;դահուկներ;դահուկ|ձյուն
🛷;սահնակ;
🥌;քըրլինգի քար;խաղ|քար|քյորլինգ
🎯;դիպուկ հարված;դարթ|թիրախ|խաղ|կենտրոն|հարվածել|նշանակետ
🪀;յո-յո;խաղալիք|ճոճվող
🪁;օդապարուկ;թռչել|սավառնել
🔫;ջրային ատրժանակ;ատրճանակ|գործիք|զենք
🎱;8 գնդանոց բիլիարդ;8|բիլիարդ|գնդակ|խաղ|ութ
🔮;բյուրեղյա գունդ;բախտ|բյուրեղ|գործիք|գունդ|հեքիաթ|ֆանտազիա
🪄;կախարդական փայտիկ;կախարդ|կախարդանք|մոգ
🎮;տեսախաղ;խաղ|համակարգչային խաղ|վահանակ
🕹️;ջոյսթիք;խաղ|ձողղեկ|տեսախաղ
🎰;խաղային սարք;ավտոմատ|խաղ
🎲;զառ;խաղ
🧩;խճաղաղի կտոր;գլուխկոտրուկ|կտոր|փազլ
🧸;փափուկ արջուկ;խաղալիք|փափուկ
🪅;պինյատա;խնջույք|տոնակատարություն|քեֆ
🪩;շողագունդ;դիսկո|խնջույք|փայլեր
🪆;մատրյոշկա;ռուսաստան|տիկնիկ
♠️;ղառ;ագռավ|թղթախաղ|խաղ|խաղաթուղթ
♥️;սիրտ;թղթախաղ|թուղթ|խաղ|խաղաթուղթ|սրտեր|փոսիկ
♦️;քյափ;ագուռ|թղթախաղ|խաղ|քյարփինջ
♣️;խաչ;թղթախաղ|խաղ
♟️;շախմատի զինվոր;զինվոր|շախմատ|ֆիգուր
🃏;ջոկեր;թղթախաղ|թուղթ|խաղ|խաղալ|ծաղրածու
🀄;մաջոնգի կարմիր վիշապ;խաղ|կարմիր|մաջոնգ
🎴;ծաղկի խաղաթղթեր;թղթախաղ|խաղ|խաղալ|ծաղիկ|ճապոնական
🎭;կատարողական արվեստ;արվեստ|դիմակ|թատրոն|ներկայացում
🖼️;շրջանակ նկարով;արվեստ|թանգարան|նկար|նկարչություն|շրջանակ
🎨;ներկապնակ;արվեստ|թանգարան|նկարչություն
🧵;թել;ասեղ|կար|կոճ
🪡;ասեղ;ասեղնագործ|դերձակ|թել
🧶;մանվածք;թել|կծիկ|հելուն
🪢;հանգույց;կապ|պարան|քարկապ
👓;ակնոց;աչք|հագուստ
🕶️;արևային ակնոց;ակնոց|աչք|մուգ
🥽;պաշտպանիչ ակնոց;աչքերի պաշտպանություն|զոդում|լող
🥼;սպիտակ խալաթ;բժիշկ|գիտնական|փորձարկում
🦺;փրկաբաճկոն;անվտանգություն|արտակարգ իրավիճակ|բաճկոն|փրկություն
👔;փողկապ;հագուստ
👕;սպորտային վերնաշապիկ;հագուստ|սպորտային|վերնաշապիկ
👖;ջինս;հագուստ|շալվար|տաբատ
🧣;վզկապ;պարանոց
🧤;ձեռնոցներ;ձեռք
🧥;վերարկու;բաճկոն
🧦;գուլպաներ;զուգագուլպա
👗;զգեստ;հագուստ
👘;կիմոնո;հագուստ
🥻;սարի;զգեստ|հագուստ
🩱;միակտոր լողազգեստ;լողազգեստ
🩲;լողավարտիք;անդրավարտիք|լողազգեստ|ներքնազգեստ
🩳;կարճավարտիք;լողավարտիք|կարճ|ներքնազգեստ|վարտիք|տաբատ
👙;բիկինի;լողալ|հագուստ
👚;կնոջ հագուստ;կին|հագուստ
🪭;ձեռքի հովհար;ամաչկոտ|հով|շոգ|պարել
👛;դրամապանակ;հագուստ|մետաղադրամ
