😀;दाँत दिखाता चेहरा;खीस|खुश|चेहरा|मजाकिया
🫕;फ़ॉनडू;कुक|कुकिंग|खाना|खाना पकाना|चीज़|चॉकलेट|नाश्ता|नूडल|पकवान|पनीर|पिघला हुआ|बर्तन|स्विस
🥣;चम्मच के साथ कटोरी;अनाज|चमच्च के साथ कटोरा|चावल की दलिया|नाश्ता
🥗;हरा सलाद;खाना|भोजन|सलाद|हरा
🍿;पॉपकॉर्न;चलचित्र|फिल्म
🧈;मक्खन;डेयरी|डेरी|दूध से बने पदार्थ|बटर
🧂;नमक;नमकीन|मसाला|शेकर
🥫;डिब्बा बंद खाद्य सामग्री;कैन|खाना|टिन|डिब्बा|डिब्बाबंद भोजन
🍱;बैंटो, बैंटो बॉक्स;खाना|बैंटो|बॉक्स|भोजन|रेस्टोरेंट
🍘;राइस क्रैकर;खाना|चावल|भोजन
🍙;राइस बॉल;ओनिगिरी|खाना|चावल|जापानी|भोजन|रेस्टोरेंट
🍚;पके हुए चावल;खाना|चावल|भोजन|रेस्टोरेंट
🍛;करी–चावल;कड़ी|कड़ी–चावल|खाना|चावल|भोजन|रेस्टोरेंट
🍜;भाप वाली बाउल;उबले नूडल|कटोरा|खाना|नूडल|बाउल|भाप|भोजन|रेस्टोरेंट|रैमन
🍝;स्पैगेटी;खाना|पास्ता|भोजन|रेस्टोरेंट|सुधिरा
🍠;सिके शकरकंद;खाना|भोजन|मीठा|रेस्टोरेंट|शकरकंद|सिका हुआ|सिके आलू
🍢;ओडेन;कबाब|भोजन|रेस्टोरेंट|समुद्री भोजन|सीफ़ूड स्टिक|स्टिक
🍣;सुशी;खाना|भोजन|रेस्टोरेंट
🍤;तला झींगा;झींगा|तला|तले झींगे|रेस्टोरेंट|श्रिंप
🍥;चक्करदार फ़िश केक;खाना|फ़िश केक|भोजन|मछली|रेस्टोरेंट
🥮;मून केक;केक|त्योहार|त्यौहार|पतझड़|मीठा|मूनकेक
🍡;डैंगो;मिठाई|मीठा|मोची|मोची बॉल|मोची बॉल स्टिक|रेस्टोरेंट
🥟;भरावनयुक्त मीठी या नमकीन पकौड़ियाँ;मोमो , मोमोस
🥠;फॉर्चून कुकी;फॉर्च्युन कुकी|भविष्यवाणी
🥡;टेकआउट बॉक्स;खाना|चीनी काँटा|भोजन वितरण
🍦;सॉफ़्ट आइसक्रीम;आइसक्रीम|क्रीम|खाना|नरम आइसक्रीम|भोजन|रेस्टोरेंट|सॉफ़्ट सर्व
🍧;पीसी बर्फ़;चूरा|मिठाई|रेस्टोरेंट
🍨;आइसक्रीम;आइस|क्रीम|खाना|भोजन|रेस्टोरेंट
🍩;डोनट;खाना|भोजन|मिठाई|रेस्टोरेंट
🍪;कुकी;मिठाई|रेस्टोरेंट
🎂;जन्मदिन का केक;केक|जन्मदिन|जन्मदिन मुबारक|पार्टी|पेस्ट्री|बड्डे|बर्थ डे|बर्थ डे केक|बर्थडे|मिठाई|मीठा|समारोह|सालगिरह|सेलिब्रेट|सेलिब्रेशन|हैप्पी बर्थ डे
🍰;शॉर्टकेक;केक|केक स्लाइस|मिठाई|रेस्टोरेंट
🧁;कपकेक;कप केक|जन्मदिन|ट्रीट|बेकरी|मिठाई|मिष्ठान्न|मीठा
🥧;पाई;पेस्ट्री|फल
🍫;चॉकलेट बार;चॉकलेट|बार|मिठाई|रेस्टोरेंट
🍬;कैंडी;मिठाई|रेस्टोरेंट
🍭;लॉलीपॉप;कैंडी|खाना|भोजन|रेस्टोरेंट
🍮;कस्टर्ड;पुडिंग|मिठाई|रेस्टोरेंट
🍯;शहद पात्र;खाना|भोजन|मधु|मीठा|रेस्टोरेंट|शहद|हनीपॉट
🍼;बच्चे के दूध की बोतल;जन्म|दूध|पेय|बच्चे|बेबी बोतल|बोतल
🥛;दूध का गिलास;ग्लास|दूध|पेय
☕;कॉफ़ी, भाप वाला गर्म पेय;कॉफ़ी|गर्म पेय|भाप वाला गर्म पेय
🫖;चाय की केतली;काढ़ा|केतली|खाना|चाय|टी पॉट|पीने की चीज़|बर्तन
🍵;चाय का प्याला, चाय;चाय|चाय का प्याला|पेय
🍶;सेक, सेक बोतल और कप;कप|पीना|पेय|बार|बोतल|रेस्टोरेंट|साकी|सेक|सेक बोतल और कप
🍾;कॉक खुलती हुई बोतल;जश्न|पार्टी|बार|बोतल
🍷;शराब का गिलास;गिलास|पेय|बार|मदिरा|वाइन|शराब
🍸;कॉकटेल गिलास;कॉकटेल|बार|रेस्टोरेंट
🍹;ट्रॉपिकल पेय;ऊष्णकटिबंधीय|पेय|बार|रेस्टोरेंट|शराब
🍺;बियर, बियर मग;बार|बियर|मग|रेस्टोरेंट
🍻;बियर के दो मग;दो मग|बार|बियर|बियर के मग|मग|रेस्टोरेंट|शराब
🥂;टकराते हुए ग्लास;ग्लास|जश्न|टकराना|पीना
🥃;गिलास;ग्लास|व्हिस्की|शराब|शॉट
🫗;पेय छलकना;कांच|कांच का गिलास|खाली|गलती से पानी गिरना|गिरना|पानी|पानी डालना|पीना
🥤;स्ट्रॉ के साथ कप;जूस|पानी|रस|सोडा
🧋;बुलबुला चाय;कॉफ़ी|कोल्ड कॉफ़ी|कोल्ड ड्रिंक|खाना|चाय|ड्रिंक|दूध|बुलबुला|शेक|सोडा|स्मूदी
🧃;जूस का डब्बा;जूस|जूस बॉक्स|ज्यूस|पेय
🧉;मेट;ड्रिंक|पीना|पेय|पेय पदार्थ
🧊;आइस क्यूब;आइस|आइसबर्ग|ठंडा|बर्फ़|बर्फ़ की सिल्ली|सिल्ली
🥢;चॉपस्टिक;चीनी काँटा|हशी|हाशी
🍽️;प्लेट के साथ काँटा और छुरी;काँटा|कांटा|खाना बनाना|चाकू|प्लेट
🍴;फ़ोर्क और छुरी–चाकू;खाना|खाना पकाना|छुरी–चाकू|नाइफ़|नाश्ता|फ़ोर्क|भूख|भोजन|रेस्टोरेंट|लंच|लज़ीज़|स्वादिष्ट
🥄;चम्मच;मेज के बर्तन
🔪;खाना बनाने का चाकू;चाकू|महाराज
🫙;मर्तबान;कंटेनर|कुछ भी नहीं|खाली|डिब्बा|दुकान|मसाला|सॉस
🏺;शराब का कंटेनर, जग;कुंभ|जग|राशि|शराब का कंटेनर
🌍;यूरोप-अफ़्रीका दिखाता ग्लोब;अफ़्रीका|ग्लोब|पृथ्वी|यूरोप
🌎;ग्लोब, पृथ्वी, अमेरिकाज़, अमेरिका;अमेरिका|अमेरिकाज़|ग्लोब|दुनिया|पृथ्वी
🌏;ग्लोब, पृथ्वी, एशिया, ऑस्ट्रेलिया;एशिया|ऑस्ट्रेलिया|ग्लोब|पृथ्वी
🌐;देशांतर रेखाओं के साथ ग्लोब;इंटरनेट|ग्लोब|पृथ्वी|विश्व|विश्व रेखाएं
🗺️;विश्व मानचित्र, विश्व;विश्व|विश्व मानचित्र
🗾;जापान का नक़्शा;जापान|जापान का नक्शा|जापान का मैप|नक्शा|नक़्शा
🧭;दिशासूचक;उत्तर|ओरिएंटीयरिंग|कंपास|चुंबकीय|डायरेक्शन|दक्षिण|दिशा|दिशा सूचक यंत्र|नेविगेशन|पश्चिम|पूर्व|रास्ता
🏔️;बर्फीले शिखर वाला पर्वत, बर्फ;बर्फ|बर्फीले शिखर वाला पर्वत
⛰️;पहाड़;पर्वत
🛘;भूस्खलन;आपदा|खतरा|चट्टानें|पहाड़|भूकंप|मृदास्खलन|हिमस्खलन
🌋;ज्वालामुखी;पर्वत|प्रकृति|विस्फोट
🗻;माउंट फ़ूजी;पर्वत|पहाड़ी|प्रकृति|फ़ूजी
🏕️;तंबू, तंबू लगाना;कैंपिंग|तंबू|तंबू लगाना
🏖️;छाते के साथ समुद्री किनारा, छाता;छाता|छाते के साथ समुद्री किनारा
🏜️;रेगिस्तान, मरुस्थल;मरुस्थल|रेगिस्तान
🏝️;रेगिस्तान में द्वीप, द्वीप;द्वीप|रेगिस्तान में द्वीप
🏞️;राष्ट्रीय उद्यान;उद्यान|बगीचा
🏟️;स्टेडियम;
🏛️;उत्कृष्ट इमारत;उत्कृष्ट
🏗️;भवन निर्माण;निर्माण
🧱;ईंट;घर|दीवार|मिट्टी|मोर्टार
🪨;चट्टान;कंकर|कठोर|गोल पत्थर|ठोस|पत्थर|भारी|मजबूत
🪵;लकड़ी;इमारती लकड़ी|ईंधन|कटा पेड़|कुंदा|टिंबर|तना|फ़र्नीचर|लकड़हारा|वुडन
🛖;झोपड़ी;कच्चा घर|गोलघर|घर|घरौंदा|पनाह|यर्ट|होम
🏘️;घर की इमारतें, भवन;घर|घर की इमारतें|भवन|मकान
🏚️;वीरान घर का भवन, अकेली इमारत;अकेली इमारत|परित्यक्त|परित्यक्त घर|वीरान घर|वीरान घर का भवन
🏠;घर, भवन;इमारत|उपनगर|उपनगरीय|कहाँ|खेत|घर|दिल|देश|बसना|मकान|सरल
🏡;बग़ीचे वाला घर;इमारत|उपनगर|उपनगरीय|कहाँ|खेत|घर|देश|बगीचा|बसना|मकान|सरल|हृदय
🏢;कार्यालय का भवन, कार्यालय;कार्यालय|कार्यालय का भवन|नौकरी|भवन|शहर
🏣;जापानी डाकघर, डाक भवन;जापानी|डाक|डाकघर|भवन
🏤;डाकघर, यूरोपीय डाकघर;डाक|डाकघर|भवन|यूरोपीय
🏥;अस्पताल;इमारत|चिकित्सक|दवा
🏦;बैंक, भवन;इमारत|बैंक|भवन
🏨;होटल, भवन;भवन|होटल
🏩;प्रेम होटल;इमारत|प्यार|प्रेम|भवन|होटल
🏪;सुविधा स्टोर;24 घंटे|दुकान|भवन|सुविधा
🏫;स्कूल;इमारत|भवन|विद्यालय
🏬;किराना दुकान;किराना|दुकान|स्टोर
🏭;फ़ैक्टरी, कारखाना;कारखाना|फ़ैक्टरी|भवन
🏯;जापानी क़िला;इमारत|जापानी महल|दुर्ग|भवन
🏰;यूरोपीय क़िला;इमारत|दुर्ग|भवन|महल
💒;विवाह धर्मस्थल;प्यार|प्रार्थनालय|विवाह
🗼;टोक्यो टॉवर;टॉवर|टोक्यो
🗽;स्टेच्यू ऑफ़ लिबर्टी;मूर्ति|लिबर्टी
⛪;चर्च, भवन;आशीर्वाद|ईसाई|क्रॉस|चर्च|चैपल|धर्म
🕌;मस्जिद, इस्लाम धर्म;इस्लाम|धर्म|मस्जिद
🛕;हिंदू मंदिर;मंदिर|हिंदू|हिन्दू मन्दिर
🕍;यहूदी प्रार्थनागृह;धर्म|मंदिर|यहूदी
⛩️;शिंटो श्राइन, जापानी धर्म स्थल;जापानी धर्म स्थल|धर्म|शिंटो मंदिर|शिंटो श्राइन
🕋;काबा, मुस्लिम धर्म;काबा|धर्म|मुस्लिम
⛲;फ़व्वारा;झरना|फव्वारा
⛺;टेंट, कैंपिंग;कैंपिंग|टेंट|तम्बू
🌁;कुहासा, कोहरा;कुहासा|कोहरा|धुंध
🌃;रात के तारे, तारे, रात;तारे|रात|रात के तारे
🏙️;शहर का दृश्य;इमारत|नगर|शहर
🌄;पहाड़ के ऊपर सूर्योदय;पहाड़|पहाड़ में सूर्योदय|पहाड़ो में सूर्योदय|सुप्रभात|सुबह का सूर्य|सूर्योदय
🌅;सूर्योदय, सुबह का सूरज;सुबह|सुबह का सूरज|सूरज|सूर्योदय
🌆;शाम का शहर;इमारत|गोधूलि|भवन|लैंडस्केप|शहर|शाम|सूर्यास्त
🌇;सूर्यास्त;इमारत|इमारतों के पीछे सूर्यास्त|भवन|संध्या|संध्याकाल
🌉;रात में पुल;पुल|पुल और रात|रात
♨️;गरम सोता;गर्म|भाप युक्त
🎠;घोड़े वाला झूला;घोड़ा|झूला|मनोरंजन
🛝;फिसल पट्टी;खेलना|झूला|प्लेग्राउंड|फिसलना|फिसलने वाला झूला|मनोरंजन पार्क|स्लाइड|स्लाइडिंग
🎡;फ़ेरीज झूला;चर्खी-झूला|झूला|फ़ेरीज|बड़ा ऊंचा झूला|मनोरंजन|मनोरंजन पार्क
🎢;रोलर कोस्टर;कोस्टर|मनोरंजन|मनोरंजन पार्क|रोलर
💈;बार्बर पोल;नाई|नाई की दुकान|पोल|बाल काटना
🎪;सर्कस टेंट;टेंट|मनोरंजन|सर्कस
🚂;भाप इंजन, लोकोमोटिव;इंजन|ट्रेन|भाप इंजन|लोकोमोटिव|वाहन
🚃;ट्रेन, बिजली वाली ट्रेन;ट्राम|ट्रेन|बिजली|बिजली वाली ट्रेन|रेलवे|रेलवे कार|वाहन
🚄;तेज़ गति वाली ट्रेन, शिंकानसेन;ट्रेन|तेज़ गति वाली ट्रेन|रेल|रेलवे|वाहन|शिंकानसेन
🚅;बुलेट नोज़ के साथ शिंकानसेन, ट्रेन;ट्रेन|तेज़ गति वाली ट्रेन|बुलेट|बुलेट नोज़|बुलेट नोज़ के साथ शिंकानसेन|रेल|रेलवे|वाहन
🚆;ट्रेन;रेलवे|वाहन
🚇;सबवे, मेट्रो;मेट्रो|यात्रा|वाहन|सबवे
🚈;लाइट रेल;आगमन|रेल|रेलवे|वाहन
🚉;स्टेशन;ट्रेन|रेलवे
🚊;ट्राम;बार्ट|वाहन
🚝;मोनोरेल;वाहन
🚞;माउंटेन रेलवे;कार|गाडी|पहाड़|पहाड़ी केबल कार|पहाड़ी रेलवे|यात्रा|वाहन
🚋;ट्राम कार;कार|ट्राम|बस|वाहन
🚌;बस;वाहन|विद्यालय|स्कूल
🚍;आती हुई बस;आती हुई|बस|वाहन
🚎;ट्रॉलीबस;ट्राम|ट्रॉली|बस|वाहन
🚐;मिनीबस;बस|वाहन
🚑;एंबुलेंस;आपातकालीन|वाहन
🚒;अग्निशामक, दमकल;अग्निशामक|आग|इंजन|दमकल|फ़ायर ट्रक|वाहन
🚓;पुलिस कार;गश्ती दल|पहरा|पुलिस|पुलिस की गाडी|वाहन
🚔;आती हुई पुलिस कार;गाड़ी|पुलिस|पुलिस कार|वाहन
🚕;टैक्सी;वाहन
🚖;आती हुई टैक्सी;टैक्सी|वाहन
🚗;ऑटोमोबाइल, कार;ऑटोमोबाइल|कार|गाडी|वाहन
🚘;आती हुई कार;आता हुआ|आता हुआ ऑटोमोबाइल|ऑटोमोबाइल|कार|गाडी|वाहन
🚙;स्पोर्ट यूटिलिटी वाहन;SUV|कार|गाड़ी|वाहन|शौकिया वाहन
🛻;पिकअप ट्रक;गाड़ी|ट्रक|ट्रांसपोर्ट|ढोना|पिक-अप|पिकअप|वाहन|वैन
🚚;डिलीवरी ट्रक;ट्रक|वाहन
🚛;लॉरी, आर्टिक्यूलेटेड लॉरी;आर्टिक्यूलेटेड लॉरी|ट्रक|ट्रेलर|लॉरी|वाहन|सेमी
🚜;ट्रैक्टर;वाहन
🏎️;रेसिंग कार;कार|गाडी
🏍️;मोटर साइकिल;बाइक|रेसिंग
🛵;मोटर स्कूटर;मोटर|स्कूटर
🦽;हस्तचालित व्हीलचेयर;व्हीलचेयर|सहायता
🦼;मोटर व्हीलचेयर;मोटर वाली व्हीलचेयर|व्हीलचेयर|सहायता
🛺;ऑटो रिक्शा;ऑटो|गाड़ी|टुक टुक|टैक्सी|रिक्शा|वाहन
🚲;बाइक, साइकिल;बाइक|वाहन|साइकिल
🛴;किक स्कूटर;किक|स्कूटर
🛹;स्केटबोर्ड;पहिए|पहिया|पहिये|बोर्ड|स्केट|स्केटर|स्केटिंग
🛼;पहिये वाला जूता;खेल|पहिये वाले जूते|फिसलना|रोलर|स्केट|स्केटिंग|स्पोर्ट्स
🚏;बस स्टॉप;बस|स्टॉप
🛣️;मोटरवे;मोटर का रास्ता|सड़क|हाइवे
🛤️;रेल की पटरी, ट्रेन;ट्रेन|रेल की पटरी
🛢️;तेल की टंकी, तेल;तेल|तेल की टंकी
⛽;गैस स्टेशन, पेट्रोल पंप;ईंधन|गैस|डीजल|पेट्रोल|पेट्रोल पंप|स्टेशन
🛞;पहिया;कार|गाड़ी|गाड़ी का पहिया|गोल|टायर|मोड़|वाहन
🚨;घूमने वाली लाइट, पुलिस लाइट;अलार्म|आपातकालीन|गाडी|घूमने वाली लाइट|पुलिस कार|पुलिस बीकन|पुलिस लाइट|सतर्क
🚥;ट्रैफ़िक लाइट, क्षैतिज यातायात संकेत;क्षैतिज ट्रैफ़िक लाइट|क्षैतिज यातायात संकेत|ट्रैफ़िक लाइट|यातायात|यातायात संकेत|लाइट
🚦;ट्रैफ़िक लाइट, उर्ध्वाधर यातायात संकेत;उर्ध्वाधर ट्रैफ़िक लाइट|उर्ध्वाधर यातायात संकेत|ट्रैफ़िक लाइट|यातायात|यातायात संकेत|लाइट
🛑;रुकने का संकेत;अष्टकोण|रुकें|संकेत
🚧;निर्माण चालू, निर्माण का संकेत;निर्माण|निर्माण का संकेत|निर्माण चालू|बाधा|संकेत
⚓;एंकर, चिह्न;उपकरण|एंकर|चिह्न|जहाज|लंगर
🛟;पानी पर तैरने वाला टायर;जान बचाना|जान बचाने वाला टायर|जीवन रक्षक|तैरना|बचाव|बोय|सुरक्षा|सुरक्षा करने वाला टायर
⛵;सेलबोट, नाव;नाव|नौका|नौकायन|बोट|याच|रीसोर्ट|सी रीसोर्ट|सेलबोट
🛶;डोंगी;नाव
🚤;स्पीडबोट, नाव;करोड़पति|नाव|यात्रा|वाहन|स्पीडबोट
🛳️;यात्री जहाज;जहाज|यात्री|वाहन
⛴️;नौका;नाव
🛥️;मोटर बोट;नाव|मोटरबोट|वाहन
🚢;जहाज़, वाहन;जहाज़|यात्री|वाहन
✈️;हवाई जहाज़;उड़ान|वाहन
🛩️;छोटा हवाई जहाज़;वाहन|हवाई जहाज़
🛫;हवाई जहाज़ प्रस्थान;प्रस्थान|हवाई जहाज़|हवाई जहाज़ का जाना
🛬;हवाई जहाज़ आगमन;हवाई जहाज़|हवाई जहाज आगमन|हवाई जहाज़ का आना
🪂;पैराशूट;एडवेंचर|ग्लाइडर|पैरासेल|पैरासेलिंग|स्काईडाइव|स्पोर्ट
💺;सीट, कुर्सी;कुर्सी|सीट
🚁;हेलीकॉप्टर, वाहन;वाहन|हेलीकॉप्टर
🚟;सस्पेंशन रेलवे, रेलवे;रेलवे|वाहन|सस्पेंशन
🚠;माउंटेन केबलवे, पहाड़ी केबल कार;कार|केबल|पहाड़ी|माउंटेन केबलवे|वाहन
🚡;केबल कार, एरियल ट्रामवे;एरियल|केबल कार|गोंडोला|ट्रामवे|रोपवे|वाहन|हवाई
🛰️;उपग्रह, अंतरिक्ष;अंतरिक्ष|उपग्रह|वाहन
🚀;रॉकेट, वाहन;अंतरिक्ष|यात्रा|रॉकेट|वाहन
🛸;उड़न तश्तरी;उड़ान तश्तरी|एलियंस|यूएफओ
🛎️;बेलहॉप घंटी, होटल;घंटी|बेलहॉप घंटी|होटल
🧳;सामान;घूमना|घूमने|जा|बैग|यात्रा|सामान बाँधना
⌛;रेतघड़ी, समय;घंटाघड़ी|रेत|रेतघड़ी|समय
⏳;बहती रेत के साथ रेतघड़ी, समय;इंतज़ार|घंटा घड़ी|टाइमर|बहती रेत के साथ रेतघड़ी|रेत|रेत घंटाघड़ी|रेतघड़ी|समय|समय सूचक
⌚;घड़ी, समय;घड़ी|समय|हाथघड़ी
⏰;अलार्म घड़ी, समय;अलार्म|घड़ी|समय
⏱️;स्टॉपवॉच;घड़ी|समय
⏲️;टाइमर घड़ी;घड़ी|समय
🕰️;मेंटलपीस घड़ी;घड़ी|समय
🕛;12 बजे, घड़ी, बारह, 12:00;12 बजे|12:00|घड़ी|बारह
🕧;साढ़े बारह, घड़ी, 12:30;12:30|घड़ी|साढ़े बारह
🕐;1 बजे, घड़ी, एक, 1:00;1 बजे|1:00|एक|घड़ी
🕜;डेढ़, घड़ी, 1:30;1:30|घड़ी|डेढ़
🕑;2 बजे, घड़ी, दो, 2:00;2 बजे|2:00|घड़ी|दो
🕝;ढाई, घड़ी, 2:30;2:30|घड़ी|ढाई
🕒;3 बजे, घड़ी, तीन, 3:00;3 बजे|3:00|घड़ी|तीन
🕞;साढ़े तीन, घड़ी, 3:30;3:30|घड़ी|साढ़े तीन
🕓;4 बजे, घड़ी, चार, 4:00;4 बजे|4:00|घड़ी|चार
🕟;साढ़े चार, घड़ी, 4:30;4:30|घड़ी|साढ़े चार
🕔;5 बजे, घड़ी, पांच, 5:00;5 बजे|5:00 बजे|घड़ी|पाँच|पांच|बजे|समय
🕠;साढ़े पाँच, घड़ी, 5:30;5:30|घड़ी|साढ़े पाँच|साढ़े पांच
🕕;6 बजे, घड़ी, छह, 6:00;6 बजे|6:00|घड़ी|छह
🕡;साढ़े छह, घड़ी, 6:30;6:30|घड़ी|साढ़े छह
🕖;7 बजे, घड़ी, सात, 7:00;7 बजे|7:00|घड़ी|सात
🕢;साढ़े सात, घड़ी, 7:30;7:30|घड़ी|साढ़े सात
🕗;8 बजे, घड़ी, आठ, 8:00;8 बजे|8:00|आठ|घड़ी
🕣;साढ़े आठ, घड़ी, 8:30;8:30|घड़ी|साढ़े आठ
🕘;9 बजे, घड़ी, नौ, 9:00;9 बजे|9:00|घड़ी|नौ
🕤;साढ़े नौ, घड़ी, 9:30;9:30|घड़ी|साढ़े नौ
🕙;10 बजे, घड़ी, दस, 10:00;10 बजे|10:00|घड़ी|दस
🕥;साढ़े दस, घड़ी, 10:30;10:30|घड़ी|साढ़े दस
🕚;11 बजे, घड़ी, ग्यारह, 11:00;11 बजे|11:00|ग्यारह|घड़ी
🕦;साढ़े ग्यारह, घड़ी, 11:30;11:30|घड़ी|साढ़े ग्यारह
🌑;नया चाँद;गहरा|चाँद|चांद|नया
🌒;दूज का चाँद;चाँद|चांद|नवचंद्र|बालचंद्र|वर्धमान|सपने
🌓;कृष्ण पक्ष अर्धचंद्र;चांद|चौथाई|चौथाई माह|चौथाई माह का चांद
🌔;उभरा हुआ उदीयमान चाँद;कुबड़ा|चाँद|चांद|बढ़ता|वर्धमान
🌕;पूरा चाँद;चमकदार|चांद|पूरा|पूर्ण चंद्र|पूर्णिमा का चाँद
🌖;घटता चाँद;कुबड़ा|घटता हुआ|चाँद|चांद
🌗;शुक्ल पक्ष अर्धचंद्र;आधा चाँद|चाँद|चांद|चौथाई
🌘;दूज का अस्तमान चाँद;घटता|घटता हुआ|चाँद|चांद|चापाकार घटता चाँद|चापाकार चंद्र|बालचंद्र|वर्धमान
🌙;चापाकार चंद्र;चाँद|चांद|बालचंद्र|रमजान
🌚;नए चाँद वाला चेहरा;चाँद|चांद|चेहरा|चेहरे वाला चाँद|नए चांद वाला चेहरा|नया चाँद
🌛;चौथाई माह के चाँद वाला दाईं ओर चेहरा;चांद|चेहरा|चेहरे वाला चांद|चौथाई माह के चांद वाला चेहरा|पहले चौथाई माह का चांद
🌜;चौथाई माह के चाँद वाला बाईं ओर चेहरा;चांद|चेहरा|चेहरे वाला चांद|चौथाई माह के चांद वाला बाईं ओर चेहरा|तीसरे चौथाई माह का चांद|सपने
🌡️;थर्मामीटर;मौसम
☀️;सूर्य;किरणें|मौसम
🌝;पूरे चाँद वाला चेहरा;चांद|चेहरा|चेहरे वाला चांद|चेहरे वाला पूरा चांद|पूरा|पूरे चांद वाला चेहरा
🌞;सूर्य वाला चेहरा;चेहरा|सूरज|सूर्य
🪐;छल्लेदार ग्रह;ग्रह|छल्लेदार|शनि ग्रह
⭐;मध्यम सफ़ेद तारा;तारा
🌟;चमकदार तारा;चमक|चमकदार|चमकीला|तारा
🌠;उल्का;गिरता तारा|टूटता तारा|तारा
🌌;आकाशगंगा;अंतरिक्ष|दूधिया
☁️;बादल;मौसम
⛅;बादलों के पीछे सूर्य;बादल|बादलों वाला सूर्य|सूरज
⛈️;बारिश और बिजली के साथ बादल;मौसम
🌤️;छोटे बादल के पीछे सूर्य;मौसम
🌥️;बड़े बादल के पीछे सूर्य;बड़े बादल के पीछे सूरज|मौसम
🌦️;बारिश वाले बादल के पीछे;बादलों में छिपा सूरज|बारिश और सूरज|मौसम|सूरज
🌧️;बारिश के साथ बादल;मौसम
🌨️;बर्फ़ के साथ बादल;बर्फ के साथ बादल|मौसम
🌩️;बिजली के साथ बादल;मौसम
🌪️;तूफ़ान;मौसम
🌫️;कोहरा;मौसम
🌬️;तिरछा चेहरा;चेहरा|बादल|हवा
🌀;चक्रवात, तूफ़ान;चक्कर|चक्रवात|तूफ़ान|बवंडर
🌈;इंद्रधनुष;इंद्रधनुष बारिश|मौसम|रेनबो
🌂;बंद छाता;छाता|बारिश|वर्षा
☂️;छाता;खुला छाता|बारिश|मौसम|वर्षा
☔;पानी से भीगा छाता;कपड़े|छाता|बारिश|बूदें|मौसम
⛱️;जमीन पर छाता;छाता|बारिश|मौसम|सूरज
⚡;उच्च वोल्टेज;उच्च|उच्च वोल्टेज का चिह्न|ऊंचा तनाव|खतरा|चिह्न|बिजली|वोल्टेज
❄️;शीत, बर्फ़;बर्फ|बर्फ़|मौसम|शीत
☃️;स्नोमैन;बर्फ|बर्फ़|मौसम|शीत
⛄;बिना बर्फ़ का स्नोमैन;बर्फ|बर्फ़|बिना बर्फ़ का बर्फीला आदमी|बिना बर्फ का स्नोमैन|स्नोमैन|हिम मानव
☄️;धूमकेतु, अंतरिक्ष;अंतरिक्ष|धूमकेतु
🔥;आग;अग्नि|लपट
💧;ठंडा पसीना;आंसू|कॉमिक|पसीना|पसीनेदार
🌊;समुद्र की लहर;तरंग|पानी की लहर|महासागर|लहर
🎃;जैक–ओ–लैंटर्न, कंदील;कंदील|कद्दू|जैक|जैक–ओ–लैंटर्न|लालटेन|समारोह|हैलोवीन
🎄;क्रिसमस ट्री;उत्सव|क्रिसमस|पेड़|समारोह
🎆;आतिशबाजी, समारोह;आतिशबाजी|उत्सव|मनोरंजन|समारोह
🎇;फुलझड़ी, आतिशबाजी;आतिशबाजी|फुलझड़ी|फुलझड़ी पटाखा|समारोह
🧨;पटाखे;आग|आतंक|आतिशबाजी|डायनामाइट|डायनेमाइट|त्योहार|दिवाली|पटाका|पटाखा|फट|बम|बारूद|रोशनी|रौश्नी|विस्फ़ोट|विस्फोटक|सुतली
✨;चमकदार तारे;चमक|चमचम|जादू|तारे
🎈;गुब्बारा;जन्मदिन|समारोह
🎉;पार्टी पॉपर;उत्सव|जन्मदिन|पार्टी|पॉपर|समारोह
🎊;कॉनफ़ेटी बॉल;उत्सव|कॉनफ़ेटी|गेंद|पार्टी|समारोह
🎋;टानाबाटा का पेड़;कागज की पट्टियां|पेड़|पेड़ और कागज की पट्टियां|समारोह|स्टार त्योहार
🎍;पाइन सजावट, नववर्ष;जापानी|देवदार|नववर्ष|पाइन सजावट|पौधा|बांस|समारोह
🎎;जापानी गुड़िया;गुड़िया|जापानी|त्योहार|समारोह
🎏;कार्प स्ट्रीमर;काप|पताका|समारोह|स्ट्रीमर
🎐;विंड चाइम, घंटी;घंटी|पवन|विंड चाइम|हवा
🎑;चाँद देखने का उत्सव;चांद|चांद देखने का उत्सव|देखना|समारोह
🧧;लाल लिफ़ाफ़ा;उपहार|किस्मत|गिफ़्ट|चीन|तोहफ़ा|धन|पैसा|भेंट|लाई सी|लिफ़ाफा|शादी|शुभेच्छा|होंगबाओ
🎀;फ़ीता;उत्सव|फीता|रिबन|समारोह
🎁;उपहार, पैक किया हुआ उपहार;उपहार|गिफ़्ट|जन्मदिन|पैक किया हुआ उपहार|लपेटा हुआ|समारोह
🎗️;रिमाइंडर रिबन;उत्सव|फीता
🎟️;प्रवेश टिकट, टिकट;टिकट|प्रवेश टिकट
🎫;टिकट;प्रवेश|मनोरंजन
🎖️;सेना का पदक, पदक;पदक|पुरस्कार|सेना|सेना का पदक
🏆;ट्रॉफ़ी, पुरस्कार;खेल|जीत|ट्रॉफ़ी|पुरस्कार
🏅;खेल का पदक;खेल पदक|पदक|स्वर्ण
🥇;स्वर्ण पदक;पदक|पहला|प्रथम|स्वर्ण
🥈;रजत पदक;चांदी|दूसरा|पदक
