😀;mặt cười toe toét;cười toe toét|mặt
🕸️;mạng nhện;nhện
🦂;bọ cạp;cung bọ cạp|cung hoàng đạo
🦟;con muỗi;bệnh|côn trùng|đốt|muỗi|sốt|sốt rét|vi rút
🪰;con ruồi;bệnh|côn trùng|động vật|giòi|thối rữa
🪱;giun;động vật|giun đất|giun đốt|ký sinh trùng|sâu
🦠;vi trùng;Amip|khoa học|vi khuẩn|vi rút
💐;bó hoa;cây|hẹn hò|hoa|kỷ niệm|lãng mạn|sinh nhật|tình yêu
🌸;hoa anh đào;hoa|thực vật
💮;hoa trắng;hoa
🪷;hoa sen;Ấn Độ|Ấn Độ giáo|hoa|Phật giáo|sự tinh khiết|Việt Nam
🏵️;nơ hoa hồng;thực vật
🌹;hoa hồng;cây|hoa|màu đỏ|sang trọng|tình yêu|valentine|vẻ đẹp
🥀;hoa héo;héo|hoa
🌺;hoa dâm bụt;hoa|thực vật
🌻;hoa hướng dương;hoa|mặt trời|thực vật
🌼;hoa;bồ công anh|thực vật
🌷;hoa tulip;hoa|thực vật
🪻;lục bình;bluebonnet|bụi hoa|cây|đậu lupin|hoa|hoa dạ lan hương|hoa len mũ xanh|hoa mõm sói|hoa oải hương|hoa tiên ông|hoa tử đinh hương|màu chàm|mùa xuân|oải hương|tím
🌱;cây non;cây giống|nảy mầm|non|thực vật
🪴;cây trồng trong chậu;chậu cây|mọc|nhà|nuôi dưỡng|thực vật|trang trí|trồng trong chậu
🌲;cây thường xanh;cây|cây thông|giáng sinh|rừng
🌳;cây rụng lá;cây|rơi|rụng lá
🌴;cây cọ;cây
🌵;cây xương rồng;hạn hán|sa mạc|thiên nhiên|thực vật
🌾;bó lúa;bông lúa|gạo|thực vật
🌿;thảo mộc;lá cây
☘️;cỏ ba lá;Ai-len|thực vật
🍀;cỏ bốn lá;4|bốn|lá cây|thực vật
🍁;lá phong;lá cây|rụng
🍂;lá rụng;lá|rụng|thực vật
🍃;lá rung rinh trong gió;gió|lá cây|rung|thổi
🪹;tổ trống rỗng;làm tổ
🪺;tổ có trứng;làm tổ
🍄;nấm;thực vật
🪾;cây trụi lá;cằn cỗi|cây|cây chết|gỗ|hạn hán|mùa đông|nhánh cây|thân cây|trần|trụi lá
🍇;chùm nho;hoa quả|nho
🍈;dưa;hoa quả
🍉;dưa hấu;hoa quả
🍊;quýt;hoa quả|quả cam
🍋;chanh tây;chanh|chua|họ cam quýt|hoa quả
🍋‍🟩;chanh ta;họ cam quýt|hoa quả|margarita|mojito|nhiệt đới|nước ép|nước sốt|tequila|vị chua
🍌;chuối;hoa quả|kali
🍍;dứa;hoa quả|nhiệt đới
🥭;xoài;nhiệt đới|trái cây
🍎;táo đỏ;đỏ|hoa quả|táo
🍏;táo xanh;hoa quả|táo|xanh
🍐;lê;hoa quả
🍑;đào;hoa quả
🍒;anh đào;hoa quả|màu đỏ|quả mọng|thực vật|trái cây
🍓;dâu tây;quả mọng|trái cây
🫐;quả việt quất;hoa quả|màu xanh|quả mọng|thực phẩm
🥝;quả kiwi;hoa quả|kiwi|thức ăn
🍅;cà chua;rau|thực vật
🫒;ôliu;thức ăn
🥥;dừa;cây dừa|pina colada
🥑;quả bơ;hoa quả|thức ăn
🍆;cà tím;rau|thực vật
🥔;khoai tây;thức ăn|thực vật
🥕;cà rốt;thức ăn|thực vật
🌽;bắp ngô;bắp|ngô
🌶️;quả ớt;nóng|ớt
🫑;ớt chuông;ớt|rau|thức ăn
🥒;dưa chuột;dưa chua|thức ăn|thực vật
🥬;xanh lá;cải bắp|cải thìa|cải xoăn|rau diếp|salat
🥦;xúp lơ xanh;bông cải xanh|cải bắp dại|hoa lơ
🧄;tỏi;gia vị
🧅;hành;gia vị
🥜;đậu phộng;quả hạch|rau củ|thức ăn
🫘;hạt đậu;cây họ đậu|thận|thức ăn
🌰;hạt dẻ;thực vật
🫚;củ gừng;bia|củ|gia vị|rễ|sức khỏe|thảo mộc|tự nhiên
🫛;đậu Hà Lan;đậu|đậu nành|quả đậu|rau|vỏ
🍄‍🟫;nấm màu nâu;ăn chay|cây nấm nâu|nấm|nhân nấm|nhân pizza|rau|thức ăn|tự nhiên
🫜;rau củ;củ cải|củ cải đường|rau|rễ|vườn
🍞;bánh mì;bánh mì nướng|lúa mì|ngũ cốc|nhà hàng|ổ bánh mì|thực phẩm|tinh bột
🥐;bánh sừng bò;bánh móng ngựa|bánh mỳ|pháp|thức ăn
🥖;bánh mì que;bánh mỳ|pháp|thức ăn
🫓;bánh mỳ cắt lát;arepa|bánh mì|bánh mì dẹt|bánh mỳ cắt|lavash|pita|thực phẩm
🥨;bánh quy xoắn;xoắn
🥯;bánh mỳ vòng;bánh vòng|bữa sáng|phết|tiệm bánh
🥞;bánh kếp;thức ăn
🧇;bánh quế;bữa sáng|cứng cỏi|thiếu quyết đoán
🧀;miếng pho mát;phô mai
🍖;thịt bám xương;thịt|xương
🍗;đùi gia cầm;chân|đói|đùi gà|gà|gà tây|gia cầm|xương
🥩;tảng thịt;bít tết|sườn|sườn cừu|sườn lợn
🥓;thịt xông khói;thịt|thức ăn
🍔;bánh hamburger;bánh kẹp
🍟;khoai tây chiên;đồ ăn|đồ ăn nhanh|kiểu pháp
🍕;bánh pizza;lát|phô mai
🌭;bánh mì xúc xích;xúc xích
🥪;bánh mỳ kẹp;bánh mỳ
🌮;bánh taco;bánh mexico
🌯;bánh burrito;bánh mexico
🫔;bánh tamale;cuốn|Mexico|pamonha|thực phẩm
🥙;bánh mì kẹp thịt;bánh mỳ dẹt|bánh mỳ gyro|bánh mỳ kẹp thịt|đồ ăn|falafel|nhồi
🧆;bánh rán nhân gà;đậu hồi|falafel|thịt viên
🥚;trứng;bữa sáng|đồ ăn
🍳;nấu ăn;cái chảo|chiên|trứng
🥘;chảo thức ăn nông;chảo|nồi đất|nông|paella|thức ăn
🍲;nồi thức ăn;hầm|nồi|súp
🫕;lẩu pho mai;lẩu phô mai|nấu chảy|nồi|phô mai|sô cô la|thức ăn|trượt tuyết
🥣;bát và thìa;bát|bữa sáng|cháo|ngũ cốc|thìa|yến mạch
🥗;salad rau xanh;salad|thức ăn|xanh
🍿;bỏng ngô;phim
🧈;bơ;bơ sữa
🧂;muối;bình lắc|gia vị
🥫;thực phẩm đóng hộp;đóng hộp|hộp|thực phẩm
🍱;hộp cơm bento;cơm bento|hộp
🍘;bánh gạo;bánh quy giòn|gạo|thực phẩm
🍙;cơm nắm;cơm|nhật bản
🍚;cơm;gạo|nấu chín
🍛;cơm cà ri;cà ri|cơm
🍜;bát mì;bát|đũa|mỳ|mỳ ramen|nóng hổi|phở|súp|thức ăn
🍝;spaghetti;nhà hàng|pasta|thịt viên|thức ăn
🍠;khoai lang nướng;đồ ăn|khoai|ngọt|nướng
🍢;món oden;hải sản|kẹp|que|xiên
🍣;sushi;thực phẩm
🍤;tôm chiên;chiên|món sốt cá cua tôm|tôm|tôm hùm
🍥;bánh cá có hình xoắn;bánh|bánh ngọt|cá|xoáy
🥮;bánh trung thu;bánh|lễ hội|mặt trăng|mùa thu
🍡;bánh trôi Nhật Bản;món kiểu nhật bản|món tráng miệng|ngọt|que
🥟;bánh bao;sủi cảo
🥠;bánh quy may mắn;tiên tri
🥡;hộp đựng đồ ăn mang đi;cái xô|đũa|giao hàng|hàu|hộp|mang đi đồ ăn
🍦;kem mềm;cái kem|kem|mềm|món tráng miệng|ngọt
🍧;đá bào;bào|kem|món tráng miệng|ngọt
🍨;kem;món tráng miệng|ngọt
🍩;bánh rán vòng;món tráng miệng|ngọt
🍪;bánh quy;món tráng miệng|ngọt
🎂;bánh sinh nhật;bánh|lễ kỷ niệm|món tráng miệng|ngọt|sinh nhật|tráng miệng
🍰;bánh ngọt;bánh|miếng|món tráng miệng|ngọt
🧁;bánh nướng nhỏ;bánh ngọt|ngọt|tiệm bánh|tráng miệng
🥧;bánh nướng;bánh|bí đỏ|bột nhào|miếng bánh|nhồi bánh|táo|thịt|trái cây
🍫;thanh sô cô la;món tráng miệng|ngọt|sô cô la|thanh
🍬;kẹo;món tráng miệng|ngọt
🍭;kẹo mút;kẹo|món tráng miệng|ngọt
🍮;bánh trứng;bánh|món tráng miệng|ngọt
🍯;hũ mật ong;hũ|mật ong|ngọt
🍼;bình sữa trẻ em;bình|em bé|mới sinh|sinh|sữa|trẻ sơ sinh|uống
🥛;cốc sữa;cốc|đồ uống|sữa
☕;đồ uống nóng;buổi sáng|cà phê|caffeine|chai|đồ uống|nóng|nóng hổi|trà
🫖;ấm trà;đồ uống|thực phẩm|trà|ủ
🍵;tách trà không có quai;cốc|đồ uống|tách trà|trà|uống
🍶;rượu sake;chai|cốc|đồ uống|quán ba|uống
🍾;chai rượu với nút gỗ bật ra;bật ra|chai|đồ uống|nút gỗ|quán bar
🍷;ly rượu vang;đồ uống|ly|quán ba|rượu|uống
🍸;ly cocktail;cocktail|đồ uống|ly|quán bar
🍹;đồ uống nhiệt đới;đồ uống|nhiệt đới|quán bar
🍺;cốc bia;bia|cốc|đồ uống|quán bar
🍻;chạm cốc bia;bia|chạm cốc|đồ uống|nước giải khát|quán ba
🥂;chạm cốc;chúc mừng|cốc|đồ uống|tiếng keng
🥃;ly đáy phẳng;cốc|cốc vại|ngụm|rượu|rượu whisky
🫗;đổ chất lỏng;đồ uống|ly thủy tinh|tràn|trống rỗng
🥤;cốc và ống hút;cốc|mạch nha|nước|nước ép|ống hút|soda|uống
🧋;trà sữa trân châu;bong bóng|ngọc trai|sữa|trà|trân châu
🧃;hộp đồ uống;đồ uống|hộp|ngọt|nước ép|ống hút
🧉;trà nhựa ruồi;đồ uống
🧊;viên đá;băng|đá|lạnh
🥢;đũa;
🍽️;dĩa và dao với đĩa;dao|đĩa|nấu nướng|nĩa
🍴;dĩa và dao;ăn|ăn sáng|bữa sáng|bữa tối|bữa trưa|cho ăn|dao|dĩa|đồ ăn|đói|nấu ăn|ngon|ngon miệng|nhà hàng
🥄;thìa;bộ đồ ăn
🔪;dao làm bếp;dao|dụng cụ|hocho|nấu nướng|vũ khí
🫙;bình đựng;cửa hàng|gia vị|nước sốt|thùng chứa|trống rỗng
🏺;vò hai quai;Bảo Bình|bình|hoàng đạo|nấu ăn|uống
🌍;địa cầu thể hiện Châu Âu-Châu Phi;Châu Âu|Châu Phi|địa cầu|thế giới|trái đất
🌎;địa cầu thể hiện Châu Mỹ;Châu Mỹ|địa cầu|thế giới|thể hiện|trái đất
🌏;địa cầu thể hiện Châu Á-Châu Úc;Châu Á|Châu Á-Châu Úc|Châu Úc|địa cầu|thế giới|thể hiện|trái đất
🌐;địa cầu có đường kinh tuyến;địa cầu|Internet|kinh tuyến|thế giới|trái đất|ttoàn thế giới|web
🗺️;bản đồ thế giới;bản đồ|thế giới
🗾;bản đồ Nhật Bản;bản đồ|nhật bản
🧭;la bàn;điều hướng|định hướng|từ tính
🏔️;đỉnh núi phủ tuyết;lạnh|núi|tuyết
⛰️;núi;
🛘;lở đất;đá|động đất|nguy hiểm|núi|thảm họa|tuyết lở
🌋;núi lửa;núi|phun trào|thiên nhiên
🗻;núi Phú Sĩ;núi|Phú Sĩ
🏕️;cắm trại;
🏖️;bãi biển với chiếc ô;bãi biển|ô
🏜️;sa mạc;
🏝️;đảo hoang;đảo|hoang
🏞️;công viên quốc gia;công viên
🏟️;sân vận động;
🏛️;tòa nhà cổ điển;cổ điển
🏗️;công trường xây dựng;cần cẩu|xây dựng
🧱;gạch;đất sét|tường|vữa
🪨;đá;hòn đá|nặng|rắn|tảng đá
🪵;gỗ;gỗ xẻ|khúc gỗ
🛖;túp lều;lều tròn|nhà|nhà tròn
🏘️;những ngôi nhà;
🏚️;ngôi nhà bỏ hoang;bỏ hoang|ngôi nhà
🏠;ngôi nhà;nhà
🏡;nhà có vườn;ngôi nhà|nhà|vườn
🏢;tòa nhà văn phòng;công việc|dạng lập phương|thành phố|tòa nhà|văn phòng
🏣;bưu điện Nhật Bản;bưu điện|kiểu Nhật
🏤;bưu điện;kiểu Châu Âu
🏥;bệnh viện;bác sĩ|thuốc
🏦;ngân hàng;tòa nhà
🏨;khách sạn;tòa nhà
🏩;khách sạn tình yêu;khách sạn|tình yêu
🏪;cửa hàng tiện lợi;cửa hàng|tiện lợi
🏫;trường học;tòa nhà
🏬;cửa hàng bách hóa;cửa hàng
🏭;nhà máy;tòa nhà
🏯;lâu đài Nhật Bản;kiểu Nhật|lâu đài
🏰;lâu đài;kiểu Châu Âu
💒;đám cưới;lãng mạn|nhà thờ nhỏ
🗼;tháp Tokyo;tháp|Tokyo
🗽;Tượng Nữ thần Tự do;bức tượng|new|ny|nyc|tự do
⛪;nhà thờ;cầu nguyện|cây thánh giá|Đạo cơ đốc|tôn giáo
🕌;nhà thờ hồi giáo;hồi giáo|thuộc hồi giáo|tôn giáo
🛕;đền hindu;đền|hin đu|hin-đu|hindu
🕍;giáo đường Do thái;đền|do thái|người do thái|tôn giáo
⛩️;đền thờ Nhật Bản;đền thờ|thần đạo|tôn giáo
🕋;kaaba;hồi giáo|thuộc hồi giáo|tôn giáo
⛲;đài phun nước;
⛺;lều;cắm trại
🌁;có sương;thời tiết
🌃;đêm có sao;đêm|sao
🏙️;khung cảnh thành phố;thành phố
🌄;bình minh trên núi;bình minh|buổi sáng|mặt trời|núi
🌅;bình minh;buổi sáng|mặt trời|thiên nhiên
🌆;khung cảnh thành phố lúc chạng vạng;buổi tối|hoàng hôn|mặt trời lặn|phong cảnh|thành phố
🌇;hoàng hôn;chạng vạng|mặt trời
🌉;cây cầu về đêm;cầu|đêm
♨️;suối nước nóng;hơi nước|nóng|suối
🎠;ngựa đu quay;đu quay ngựa|giải trí|ngựa
🛝;cầu trượt;chơi|khu vui chơi
🎡;vòng đu quay;bánh xe|công viên giải trí|đu quay
🎢;tàu lượn siêu tốc;con lăn|công viên giải trí|tàu lao dốc
💈;biển hiệu của thợ cắt tóc;cắt tóc|cột|thợ cắt tóc
🎪;lều rạp xiếc;lều|rạp xiếc
🚂;đầu máy xe lửa;động cơ|đường sắt|hơi nước|tàu hỏa
🚃;toa tàu;điện|đường sắt|tàu điện|tàu hỏa|xe hơi
🚄;tàu cao tốc;đường sắt|tàu cao tốc Nhật Bản|tàu hỏa|tốc độ
🚅;tàu viên đạn;đường sắt|tàu cao tốc Nhật Bản|tàu hỏa|tốc độ|viên đạn
🚆;tàu hỏa;đường sắt
🚇;tàu điện ngầm;di chuyển|tàu điện
🚈;tàu điện nhẹ;đường sắt|xe cộ
🚉;ga tàu;đường sắt|tàu hỏa
🚊;xe điện;ô tô điện
🚝;đường một ray;xe cộ
🚞;đường ray leo núi;đường sắt|núi|toa xe
🚋;tàu điện;ô tô điện|toa xe|xe điện
🚌;xe buýt;trường học|xe cộ
🚍;xe buýt đang tới;đang tới|xe buýt
🚎;ô tô điện;xe buýt|xe điện|xe goòng
🚐;xe buýt nhỏ;xe buýt|xe cộ
🚑;xe cứu thương;xe cấp cứu|xe cộ
🚒;xe cứu hỏa;động cơ|lửa|xe tải
🚓;xe cảnh sát;cảnh sát|tuần tra|xe hơi
🚔;xe cảnh sát đang tới;cảnh sát|đang tới|xe hơi
🚕;taxi;lái xe|màu vàng|xe|xe cộ
🚖;taxi đang tới;xe cộ
🚗;ô tô;xe cộ
🚘;ô tô đang tới;đang tới|ô tô|xe hơi
🚙;xe thể thao đa dụng;giải trí|ô tô|tiện ích thể thao|xe cộ
🛻;xe bán tải;nhận hàng|ô tô|vận tải|xe tải
🚚;xe tải giao hàng;giao hàng|xe tải
🚛;đầu kéo rơ-moóc;di chuyển|lái xe|nối|ô tô|xe bán tải|xe cộ|xe tải
🚜;máy kéo;xe cộ
🏎️;xe đua;đua xe|xe
🏍️;xe máy;đua xe
🛵;xe tay ga;mô tơ
🦽;xe lăn tay;hỗ trợ tiếp cận|trợ năng
🦼;xe lăn tự động;hỗ trợ tiếp cận|trợ năng
🛺;xe lam;túc túc|tuk tuk
🚲;xe đạp;xe cộ
🛴;xe hẩy;đẩy
🛹;ván trượt;ván
🛼;giày trượt patin;con lăn|giày trượt|thể thao|trượt patin
🚏;điểm dừng xe buýt;dừng lại|xe buýt
🛣️;đường cao tốc;đường
🛤️;đường ray;tàu hỏa
🛢️;thùng dầu;dầu|thùng
⛽;bơm nhiên liệu;bơm|diesel|gas|khí|nhiên liệu|trạm bơm
🛞;bánh xe;hình tròn|lốp xe|xoay
🚨;đèn xe cảnh sát;ánh sáng|cảnh sát|đèn hiệu|quay vòng|xe hơi
🚥;đèn giao thông ngang;biển báo|đèn|giao thông
🚦;đèn giao thông dọc;biển báo|đèn|giao thông
🛑;ký hiệu dừng;bát giác|dừng|ký hiệu
🚧;công trường;rào chắn
⚓;mỏ neo;dụng cụ|tàu
🛟;phao cứu sinh;an toàn|cấp cứu|cứu hộ|phao nổi|phương tiện cứu hộ
⛵;thuyền buồm;biển|du thuyền|khu nghỉ dưỡng|thuyền
🛶;xuồng;thuyền
🚤;xuồng cao tốc;thuyền
🛳️;tàu chở khách;hành khách|tàu thủy
⛴️;phà;hành khách|thuyền
🛥️;thuyền máy;thuyền
🚢;tàu thủy;di chuyển|hành khách|thuyền
✈️;máy bay;bay|di chuyển|phi cơ|tàu bay
🛩️;máy bay nhỏ;máy bay|nhỏ|tàu bay
🛫;máy bay khởi hành;điểm khởi hành|khởi hành|làm thủ tục|máy bay|tàu bay
🛬;máy bay đến nơi;đến|điểm đến|hạ cánh|máy bay
🪂;dù;dù kéo|lượn|nhảy dù
💺;cái ghế;chỗ ngồi|ghế
🚁;máy bay trực thăng;xe cộ
🚟;đường sắt trên cao;đường sắt|treo
🚠;cáp treo trên núi;cáp|núi|toa trần
🚡;cáp treo;cáp|đường xe điện|toa trần|trên không
🛰️;vệ tinh;vũ trụ
🚀;tên lửa;di chuyển|không gian|phóng
🛸;đĩa bay;người ngoài hành tinh|UFO
🛎️;chuông gọi phục vụ;chuông|khách sạn
🧳;hành lý;đóng gói|du lịch|vali kéo
⌛;đồng hồ cát đã chảy hết;bộ định thời|cát|đồng hồ cát|đồng hồ hẹn giờ
⏳;đồng hồ cát đang chảy;bộ định thời|cát|đồng hồ cát
⌚;đồng hồ đeo tay;đồng hồ|thời gian
⏰;đồng hồ báo thức;báo thức|đồng hồ|muộn|thời gian
⏱️;đồng hồ bấm giờ;đồng hồ|thời gian
⏲️;đồng hồ hẹn giờ;đồng hồ
🕰️;đồng hồ để bàn;đồng hồ|thời gian
🕛;mười hai giờ;00|12|12:00|đồng hồ|giờ|mười hai
🕧;mười hai giờ ba mươi phút;12|12:30|ba mươi|đồng hồ|mười hai|mười hai giờ ba mươi
🕐;một giờ;00|1|1:00|đồng hồ|giờ|một
🕜;một giờ ba mươi phút;1|1:30|ba mươi|đồng hồ|một
🕑;hai giờ;00|2|2:00|đồng hồ|giờ
🕝;hai giờ ba mươi phút;2|2:30|ba mươi|đồng hồ|hai
🕒;ba giờ;00|3|3:00|ba|đồng hồ|giờ
🕞;ba giờ ba mươi phút;3|3:30|ba|ba mươi|đồng hồ
🕓;bốn giờ;00|4|4:00|bốn|đồng hồ|giờ
🕟;bốn giờ ba mươi phút;4|4:30|ba mươi|bốn|đồng hồ
🕔;năm giờ;00|5|5:00|đồng hồ|giờ|năm
🕠;năm giờ ba mươi phút;5|5:30|ba mươi|đồng hồ|năm
🕕;sáu giờ;00|6|6:00|đồng hồ|giờ|sáu
🕡;sáu giờ ba mươi phút;6|6:30|ba mươi|đồng hồ|sáu
🕖;bảy giờ;00|7|7:00|bảy|đồng hồ|giờ
🕢;bảy giờ ba mươi phút;7|7:30|ba mươi|bảy|đồng hồ
🕗;tám giờ;00|8|8:00|đồng hồ|giờ|tám
🕣;tám giờ ba mươi phút;8|8:30|ba mươi|đồng hồ|tám
🕘;chín giờ;00|9|9:00|chín|đồng hồ|giờ
🕤;chín giờ ba mươi phút;9|9:30|ba mươi|chín|chín giờ ba mươi|đồng hồ
🕙;mười giờ;00|10|10:00|đồng hồ|giờ|mười
🕥;mười giờ ba mươi phút;10|10:30|ba mươi|đồng hồ|mười
🕚;mười một giờ;00|11|11:00|đồng hồ|giờ|mười một
🕦;mười một giờ ba mươi phút;11|11:30|ba mươi|đồng hồ|mười một
🌑;trăng non;bóng tối|mặt trăng
🌒;trăng lưỡi liềm đầu tháng;lưỡi liềm|mặt trăng|tròn dần
🌓;trăng thượng huyền;mặt trăng|phần tư
🌔;trăng khuyết;mặt trăng|tròn dần
🌕;trăng tròn;mặt trăng|tròn
🌖;trăng khuyết cuối tháng;cuối tháng|mặt trăng|trăng khuyết
🌗;trăng hạ huyền;mặt trăng|phần tư
🌘;trăng lưỡi liềm cuối tháng;cuối tháng|không gian|lưỡi liềm|mặt trăng
🌙;trăng lưỡi liềm;lưỡi liềm|mặt trăng
🌚;mặt trăng non;mặt|mặt trăng
🌛;trăng thượng huyền hình mặt người;mặt|phần tư|trăng
🌜;trăng hạ huyền hình mặt người;mặt|mặt trăng|phần tư
🌡️;nhiệt kế;thời tiết
☀️;mặt trời;nắng|nóng|sáng|thời tiết|tia
🌝;khuôn mặt trăng tròn;mặt|mặt trăng|sáng|tròn
🌞;mặt trời có hình mặt người;bãi biển|mặt|mặt trời|sáng|thời tiết
🪐;hành tinh có vành đai bao quanh;Hành tinh|sao thổ|thần nông|thổ tinh
⭐;ngôi sao;sao|thiên văn
🌟;ngôi sao lấp lánh;chiếu sáng|lấp lánh|ngôi sao|phát sáng
🌠;sao băng;ngôi sao|phóng|rơi
🌌;dải ngân hà;vũ trụ
☁️;đám mây;âm u|mây|thời tiết
⛅;mặt trời sau đám mây;mặt trời|mây
⛈️;đám mây kèm chớp và mưa;đám mây với tia chớp và mưa|mây|mưa|sấm
🌤️;mặt trời sau đám mây nhỏ;mặt trời|mây
🌥️;mặt trời sau đám mây lớn;mặt trời|mây
🌦️;mặt trời sau đám mây mưa;mặt trời|mây|mưa
🌧️;mây và mưa;mây|mưa
🌨️;đám mây với tuyết;lạnh|mây|tuyết
🌩️;đám mây với tia chớp;mây|sét|thời tiết
🌪️;lốc xoáy;cơn lốc|mây|thời tiết
🌫️;sương mù;mây|thời tiết
🌬️;khuôn mặt gió;đám mây|gió|mặt|thổi
🌀;hình lốc xoáy;bão|choáng váng|xoáy
🌈;cầu vồng;chuyển giới|đồng tính|lưỡng tính|mưa|thời tiết|tự nhiên
🌂;ô đã đóng;chiếc ô|mưa|quần áo
☂️;cái ô;che mưa|mưa|quần áo
☔;cái ô với những giọt nước mưa;chiếc ô|mưa|ô che mưa|quần áo|rơi
⛱️;cái ô trên mặt đất;chiếc ô|mặt trời|mưa|nắng
⚡;điện cao thế;cú đánh|điện|nguy hiểm|sét|tự nhiên
❄️;bông tuyết;lạnh|thời tiết|tuyết
☃️;người tuyết;lạnh|tuyết
⛄;người tuyết không có tuyết;lạnh|người tuyết|tuyết
☄️;sao chổi;vũ trụ
🔥;lửa;dụng cụ|ngọn lửa
💧;giọt nước;hài hước|lạnh|mồ hôi|rơi
🌊;sóng nước;đại dương|nước|sóng
🎃;đèn lồng bí ngô;đèn lồng|halloween|lễ hội|lồng|lồng đèn bí ngô
🎄;cây thông noel;cây|giáng sinh|lễ kỷ niệm
🎆;pháo hoa;giải trí|lễ kỷ niệm
🎇;pháo bông;chói sáng|lễ kỷ niệm|pháo hoa
🧨;pháo;nổ|pháo hoa|thuốc nổ
✨;ánh lấp lánh;kỳ diệu|lấp lánh|ngôi sao
🎈;bóng bay;lễ kỷ niệm|sinh nhật
🎉;pháo giấy buổi tiệc;buổi tiệc|lễ kỷ niệm|pháo bông sinh nhật
🎊;bóng hoa giấy;bữa tiệc|lễ kỷ niệm|quả bóng
🎋;cây tanabata;biểu ngữ|cây|kiểu nhật bản|lễ kỷ niệm
🎍;trang trí cây thông;cây thông|cây tre|kiểu nhật bản|lễ kỷ niệm
🎎;búp bê Nhật Bản;búp bê|kiểu nhật bản|lễ hội|lễ kỷ niệm
🎏;cờ cá chép;cá chép|cờ dải|lễ kỷ niệm
🎐;chuông gió;chuông|gió|kêu vang|lễ kỷ niệm
🎑;lễ ngắm trăng;kỷ niệm|lễ kỷ niệm|mặt trăng
🧧;bao lì xì;chúc may mắn|hồng bao|lì xì|quà tặng|tiền
🎀;ruy băng;lễ kỷ niệm
🎁;gói quà;hộp|lễ kỷ niệm|quà|quà tặng
🎗️;ruy băng nhắc nhở;lễ kỷ niệm|lời nhắc|ruy băng
🎟️;vé vào cửa;vào cửa|vé
🎫;vé;vào cửa
🎖️;huân chương quân đội;huy chương|lễ kỷ niệm|quân sự
🏆;cúp;chiến thắng|giải thưởng|thể thao|vô địch
🏅;huy chương thể thao;chiến thắng|huy chương|huy chương vàng|vô địch
🥇;huy chương vàng;huy chương|nhất|vàng
🥈;huy chương bạc;bạc|hai|huy chương
🥉;huy chương đồng;ba|đồng|huy chương
⚽;bóng đá;quả bóng|thể thao|thể thao vua|túc cầu
⚾;bóng chày;quả bóng|thể thao
🥎;bóng mềm;bao tay|bóng|ném bóng dưới vai|thể thao
🏀;bóng rổ;quả bóng|thể thao|vòng
🏐;bóng chuyền;quả bóng|trò chơi
🏈;bóng bầu dục Mỹ;bóng bầu dục|người Mỹ|quả bóng
🏉;bóng bầu dục;bóng đá|quả bóng|thể thao
🎾;quần vợt;cái vợt|quả bóng
🥏;đĩa bay trò chơi;ném đĩa
🎳;bowling;quả bóng|trò chơi
🏏;trò chơi cricket;gậy đánh bóng|quả bóng|trò chơi
🏑;khúc côn cầu trên cỏ;cây gậy|quả bóng|sân|trò chơi
🏒;khúc côn cầu trên băng;băng|gậy|khúc côn cầu|trận đấu
🥍;bóng vợt;bóng|gậy|gôn|thể thao
🏓;bóng bàn;gậy|quả bóng|trò chơi|vợt đánh bóng
🏸;cầu lông;kỹ thuật ghi|trái cầu lông|trò chơi|vợt
🥊;găng tay quyền anh;găng tay|quyền anh
🥋;đồng phục võ thuật;đồng phục|judo|karate|taekwondo|thể thao|võ thuật
🥅;khung thành;gôn|lưới
⛳;cờ trong lỗ;gôn|lỗ|thể thao
⛸️;giày trượt băng;băng
🎣;cần câu cá;cá|cần câu|giải trí|thể thao
🤿;mặt nạ lặn;bình dưỡng khí|bình ôxy|lặn|ống thở
🎽;áo chạy bộ;áo sơ mi|chạy bộ|khăn quàng vai|vận động viên
🎿;ván trượt tuyết;thể thao|trượt tuyết|tuyết
🛷;xe trượt tuyết;đi xe trượt tuyết|tuyết
🥌;bi đá trên băng;đá|trò chơi
🎯;trúng đích;hồng tâm|mục tiêu|phi tiêu|trò chơi
🪀;yo-yo;dao động|đồ chơi
🪁;diều;bay|bay lên|bay lượn
🔫;súng nước;dụng cụ|súng|súng gắn|súng lục|súng lục ổ quay|vũ khí
🎱;bi-a 8 bóng;8|bida|quả bóng|tám|trò chơi
🔮;quả cầu pha lê;dụng cụ|giả tưởng|pha lê|quả bóng|truyện cổ tích|vận may
🪄;gậy thần;ma thuật|phù thủy|thầy phù thủy
🎮;trò chơi điện tử;giải trí|tay điều khiển|thiết bị điều khiển|trò chơi
🕹️;cần điều khiển;trò chơi|trò chơi điện tử
🎰;máy giật xèng;cờ bạc|khe|trò chơi
🎲;trò xúc xắc;con xúc xắc|gieo xúc xắc|trò chơi|xúc xắc
🧩;ghép hình;đầu mối|ghép vào nhau|mảnh|trò ghép hình
🧸;gấu bông;đồ chơi|nhồi bông|vải lông
🪅;piñata;buổi tiệc|kẹo|kỷ niệm|lễ hội|lễ kỷ niệm|người Mexico|pinata
🪩;quả cầu gương;buổi tiệc|disco|khiêu vũ|long lanh|sàn nhảy
🪆;búp bê matryoshka;babooshka|baboushka|babushka|búp bê|búp bê lồng|lồng nhau|nước Nga
♠️;bộ bích;bài|bộ bài bích|trò chơi
