😀;cara sonriendo;cara|divertido|feliz|sonrisa
🌖;luna gibosa menguante;gibosa|luna|menguante
🌗;luna en cuarto menguante;cuarto|luna|menguante
🌘;luna menguante;luna|menguante
🌙;luna;creciente|espacio
🌚;luna nueva con cara;cara|espacio|luna
🌛;luna de cuarto creciente con cara;cara|creciente|cuarto|espacio|luna
🌜;luna de cuarto menguante con cara;cara|creciente|cuarto|espacio|luna
🌡️;termómetro;temperatura
☀️;sol;espacio|rayos|soleado
🌝;luna llena con cara;cara|llena|luna
🌞;sol con cara;brillante|cara|sol
🪐;planeta con anillos;saturnino|saturno
⭐;estrella;estelar
🌟;estrella brillante;brillante|estrella|resplandeciente
🌠;estrella fugaz;estrella|lluvia
🌌;Vía Láctea;espacio|galaxia|láctea|vía
☁️;nube;tiempo
⛅;sol detrás de una nube;nube|sol|sol con nubes
⛈️;nube con rayo y lluvia;lluvia|nube|trueno
🌤️;sol detrás de una nube pequeña;nube|sol
🌥️;sol detrás de una nube grande;nube|sol
🌦️;sol detrás de una nube con lluvia;lluvia|nube|sol
🌧️;nube con lluvia;lluvia|nube
🌨️;nube con nieve;frío|nieve|nube
🌩️;nube con rayo;nube|rayo
🌪️;tornado;nube|torbellino
🌫️;niebla;nube
🌬️;cara de viento;cara|nube|soplar|viento
🌀;ciclón;mareo|tifón|tornado
🌈;arcoíris;colores|lluvia
🌂;paraguas cerrado;accesorios|lluvia|paraguas
☂️;paraguas;lluvia|paraguas abierto
☔;paraguas con gotas de lluvia;gotas|lluvia|paraguas
⛱️;sombrilla en la arena;arena|sol|sombrilla
⚡;alto voltaje;electricidad|peligro|peligro de alto voltaje|señal de alto voltaje|voltaje
❄️;copo de nieve;frío|nieve
☃️;muñeco de nieve con nieve;nieve
⛄;muñeco de nieve;muñeco de nieve sin nieve|nieve
☄️;meteorito;cometa|espacio
🔥;fuego;llama
💧;gota;agua|cómic|sudor
🌊;ola de mar;mar|océano|ola
🎃;calabaza de Halloween;calabaza|celebración|Halloween|linterna
🎄;árbol de Navidad;abeto de Navidad|árbol|celebración|Navidad
🎆;fuegos artificiales;celebración
🎇;bengala;celebración|fuegos artificiales
🧨;petardo;dinamita|explosivo|fuegos artificiales
✨;chispas;*|bengala|estrellas
🎈;globo;celebración
🎉;cañón de confeti;celebración|confeti|fiesta
🎊;bola de confeti;celebración|confeti
🎋;árbol de tanabata;árbol|celebración|festividad|tanabata
🎍;decoración de pino;año nuevo japonés|bambú|celebración|decoración|kadomatsu
🎎;muñecas japonesas;celebración|festival|hinamatsuri|muñecas
🎏;banderín de carpas;banderín|carpa|celebración|koinobori
🎐;campanilla de viento;campanilla|furin|viento
🎑;ceremonia de contemplación de la luna;celebración|contemplación|luna|tsukimi
🧧;sobre rojo;buena suerte|hóngbāo|lai see|regalo
🎀;lazo;celebración
🎁;regalo;celebración|envoltorio|presente|regalo envuelto
🎗️;lazo conmemorativo;conmemorativo|lazo
🎟️;entradas;acceso|admisión|entrada|evento
🎫;tique;acceso|admisión
🎖️;medalla militar;celebración|medalla|militar
🏆;trofeo;premio
🏅;medalla deportiva;medalla|premio
🥇;medalla de oro;medalla|oro|primero
🥈;medalla de plata;medalla|plata|segundo
🥉;medalla de bronce;bronce|medalla|tercero
⚽;balón de fútbol;balón|fútbol
⚾;béisbol;balón|baseball|pelota
🥎;pelota de softball;bola|pelota|softball
🏀;balón de baloncesto;balón|canasta|deporte
🏐;pelota de voleibol;balón|juego|pelota|voleibol
🏈;balón de fútbol americano;balón|deporte|fútbol americano
🏉;balón de rugby;balón|deporte|rugby
🎾;pelota de tenis;deporte|pelota|tenis
🥏;disco volador;disco|frisbee
🎳;bolos;bola|bola de bolos|juego
🏏;críquet;juego|pelota
🏑;hockey sobre hierba;hierba|hockey|juego|palo|pelota
🏒;hockey sobre hielo;disco|hielo|hockey|palo
🥍;lacrosse;bola|palo|pelota|raqueta
🏓;tenis de mesa;juego|mesa|pelota|ping pong
🏸;bádminton;pluma|raqueta|volante
🥊;guante de boxeo;boxeo|deporte|guante
🥋;uniforme de artes marciales;artes marciales|judo|kárate|taekwondo
🥅;portería;deporte|red
⛳;banderín en hoyo;banderín|golf|hoyo
⛸️;patín de hielo;hielo|patín
🎣;caña de pescar;caña|entretenimiento|esparcimiento|pesca|pez
🤿;máscara de buceo;bucear|buzo|esnórquel|máscara|tubo
🎽;camiseta sin mangas;banda|camiseta con banda|camiseta de correr|deporte
🎿;esquís;esquí|esquíes|nieve
🛷;trineo;
🥌;piedra de curling;juego|roca
🎯;diana;blanco|en el blanco|juego
🪀;yoyó;dieta|efecto|fluctuar|juguete
🪁;cometa;juguete|planear|viento|volar
🔫;pistola de agua;agua|juguete|pistola|verano
🎱;bola negra de billar;8|billar|bola ocho|juego
🔮;bola de cristal;adivinación|bola|buena fortuna|cristal
🪄;varita mágica;bruja|hechicero|magia|mago|prestidigitación|varita
🎮;mando de videoconsola;juego|mando|videojuego
🕹️;joystick;juego|mando|palanca|videojuego
🎰;máquina tragaperras;juego|máquina
🎲;dado;juego
🧩;pieza de puzle;conectar|pieza|pista|puzle|rompecabezas
🧸;osito de peluche;juguete|oso|peluche
🪅;piñata;caballito|celebración|fiesta
🪩;bola de espejos;bailar|brillar|disco|discoteca|fiesta
🪆;muñeca rusa;babushka|mamushka|matrioska|rusia
♠️;palo de picas;carta|juego|palo|picas
♥️;palo de corazones;carta|corazones|juego|palo
♦️;palo de diamantes;carta|diamantes|juego|palo
♣️;palo de tréboles;carta|juego|palo|tréboles
♟️;peón de ajedrez;ajedrez|peón
🃏;comodín;joker
🀄;dragón rojo de mahjong;dragón rojo|juego|mahjong
🎴;cartas de flores;carta|flor|hanafuda|naipe japonés
🎭;máscaras de teatro;actuación|arte|artes escénicas|entretenimiento
🖼️;cuadro enmarcado;marco|museo
🎨;paleta de pintor;arte|artista|paleta|pintura
🧵;hilo;aguja|carrete|coser|costura
🪡;aguja de coser;aguja|bordado|coser|hilar|punto|tejer
🧶;ovillo;bola|croché|punto|tejer
🪢;nudo;anudar|atar|enredar|trenzar
👓;gafas;accesorios|ojo|ropa
🕶️;gafas de sol;gafas|ojo|oscuras|sol
🥽;gafas de protección;gafas|nadar|protección ocular|soldar
🥼;bata de laboratorio;científico|doctor|experimento|médico
🦺;chaleco de seguridad;chaleco|emergencia|seguridad
👔;corbata;accesorio|ropa
👕;camiseta;ropa
👖;vaqueros;pantalones|ropa
🧣;bufanda;abrigo|cuello
🧤;guantes;mano
🧥;abrigo;chaquetón
🧦;calcetines;pies|ropa
👗;vestido;mujer|ropa
👘;kimono;japonés|ropa
🥻;sari;prenda|ropa|vestido
🩱;traje de baño de una pieza;bañador
🩲;ropa interior;bañador|bragas|braguitas|calzoncillos|slip
🩳;pantalones cortos;bañador|bermudas|calzoncillos|ropa interior|shorts
👙;bikini;baño|playa|ropa
👚;ropa de mujer;blusa|camisa|femenina|ropa
🪭;abanico abierto;abanico|airear|bailar|calor|feria|flamenco
👛;monedero;accesorios|cartera|complementos
👜;bolso;accesorios|complementos
👝;bolso de mano;accesorios|bolso|cartera|complementos
🛍️;bolsas de compras;bolsa|compra
🎒;mochila escolar;colegio|mochila
🩴;chancla;chancla de dedo|chancleta|chinela|sandalia
👞;zapato de hombre;calzado|hombre|ropa|zapato
👟;zapatilla deportiva;calzado|correr|ropa|tenis
🥾;bota de senderismo;bota|camping|mochilero|senderismo
🥿;bailarina;calzado|zapato
👠;zapato de tacón;mujer|tacón|zapato
👡;sandalia de mujer;calzado|mujer|ropa|sandalia
🩰;zapatillas de ballet;bailar|balé|ballet|danza
👢;bota de mujer;bota|calzado|mujer|ropa
🪮;peineta;afro|peine|pelo
👑;corona;accesorios|complementos|reina|rey
👒;sombrero de mujer;accesorio|mujer|ropa|sombrero
🎩;sombrero de copa;chistera|copa|ropa|sombrero
🎓;birrete;celebración|gorro|graduación
🧢;gorra con visera;béisbol|gorra|visera
🪖;casco militar;casco|ejército|guerra|guerrero|soldado
⛑️;casco con una cruz blanca;ayuda|cara|casco|cruz
📿;rosario;collar|cuentas|religión
💄;pintalabios;barra|cosmética|labios|maquillaje
💍;anillo;diamante
💎;piedra preciosa;diamante|gema|joya|piedra|preciosa
🔇;altavoz silenciado;altavoz|altavoz con marca de cancelación|mute|silencio
🔈;altavoz a volumen bajo;volumen bajo
🔉;altavoz a volumen medio;altavoz con volumen medio|medio|volumen medio
🔊;altavoz a volumen alto;altavoz|alto|volumen alto
📢;altavoz de mano;altavoz|comunicación
📣;megáfono;comunicación
📯;corneta de posta;corneta|posta
🔔;campana;
🔕;campana con signo de cancelación;campana|cancelación|ruido
🎼;pentagrama;música|partitura
🎵;nota musical;música|nota
🎶;notas musicales;música|notas
🎙️;micrófono de estudio;estudio|micrófono|música
🎚️;control de volumen;control|fader|volumen
🎛️;ruedas de control;control|diales|música|potenciómetros|ruedas
🎤;micrófono;entretenimiento|karaoke|micro
🎧;auricular;cascos
📻;radio;
🎷;saxofón;instrumento|instrumento musical|música|saxo
🎺;trompeta;instrumento|instrumento musical|música
🪊;trombón;instrumento|jazz|metal|música|triste|viento
🪗;acordeón;concertina
🎸;guitarra;instrumento|instrumento musical|música
🎹;teclado musical;instrumento|instrumento musical|música|piano|teclado
🎻;violín;instrumento|instrumento musical|música
🪕;banjo;banyo|cuerda|instrumento|música
🥁;tambor;baquetas|música
🪘;tamboril;conga|ritmo|tambor
🪇;maracas;agitar|brasil|instrumento|movimiento|música|percusión
🪈;flauta;flautín|instrumento|instrumento de viento madera|música
🪉;arpa;amor|cupido|harpa|instrumento|música|orquesta
📱;teléfono móvil;celular|móvil|teléfono
📲;móvil con una flecha;flecha|llamada|móvil|recibir|teléfono
☎️;teléfono;
📞;auricular de teléfono;comunicación|teléfono
📟;busca;comunicación|localizador
📠;máquina de fax;comunicación|fax
🔋;pila;batería
🪫;batería baja;batería|carga baja|electrónico|energía baja|pila
🔌;enchufe eléctrico;corriente|electricidad|eléctrico|enchufe
💻;ordenador portátil;ordenador|pc|personal
🖥️;ordenador de sobremesa;ordenador|sobremesa
🖨️;impresora;ordenador
⌨️;teclado;ordenador
🖱️;ratón de ordenador;ordenador|ratón
🖲️;bola de desplazamiento;ordenador|trackball
💽;minidisc;disco|md
💾;disquete;disco|disco de 3 1/2
💿;disco óptico;cd|disco
📀;disco DVD;disco|dvd
🧮;ábaco;cálculo|contar|matemáticas
🎥;cámara de cine;cámara|cine|entretenimiento|película
🎞️;fotograma de película;cine|fotograma|película
📽️;proyector de cine;cine|película|proyector
🎬;claqueta;cine|claqueta de cine|entretenimiento|película
📺;televisión;tv
📷;cámara de fotos;cámara
📸;cámara con flash;cámara|flash
📹;videocámara;cámara|vídeo
📼;cinta de vídeo;cinta
🔍;lupa orientada hacia la izquierda;buscar|lupa
🔎;lupa orientada hacia la derecha;buscar|lupa
🕯️;vela;luz
💡;bombilla;cómic|electricidad|idea|luz
🔦;linterna;luz
🏮;lámpara japonesa;izakaya|lámpara roja|linterna izakaya|linterna japonesa|restaurante
🪔;lámpara de aceite;aceite|diya|lámpara
📔;cuaderno con tapa decorativa;cuaderno|decoración|tapa
📕;libro cerrado;cerrado|libro
📖;libro abierto;abierto|libro
📗;libro verde;libro|verde
📘;libro azul;azul|libro
📙;libro naranja;libro|naranja
📚;libros;libro
📓;cuaderno;libreta
📒;libro de contabilidad;cuaderno
📃;página doblada;documento|página
📜;pergamino;pergamino de papel
📄;página hacia arriba;anverso|documento|página
📰;periódico;diario
🗞️;periódico enrollado;noticias|papel|periódico
📑;marcadores;pestañas
🔖;marcapáginas;marcador
🏷️;etiqueta;
🪙;moneda;dinero|metal|oro|plata|tesoro
💰;bolsa de dinero;bolsa|bolsa de dólares|dinero
🪎;cofre de tesoro;botín|dinero|joyas|objetos de valor|oro|piedras preciosas|plata|premio|riqueza
💴;billete de yen;billete|billete de banco|dinero|yen
💵;billete de dólar;billete|billete de banco|dinero|dólar
💶;billete de euro;billete|billete de banco|dinero|euro
💷;billete de libra;billete de banco|dinero|libra
💸;billete con alas;billete|billete de banco|dinero|dinero con alas
💳;tarjeta de crédito;crédito|tarjeta
🧾;recibo;contabilidad|prueba|teneduría de libros|testimonio
💹;mercado al alza;alza|mercado|mercado alcista|tabla
✉️;sobre;carta|correo
📧;correo electrónico;comunicación|correo|sobre
📨;sobre entrante;carta|comunicación|correo|correo electrónico|sobre
📩;sobre con flecha;carta|comunicación|correo|correo electrónico|sobre
📤;bandeja de salida;bandeja|comunicación|correo|enviado|salida
📥;bandeja de entrada;bandeja|comunicación|correo|entrada|recibido
📦;paquete;caja
📫;buzón cerrado con la bandera levantada;bandera|buzón|buzón cerrado|con contenido
📪;buzón cerrado con la bandera bajada;bandera|buzón|buzón cerrado|vacío
📬;buzón abierto con la bandera levantada;bandera|buzón|buzón abierto|con contenido
📭;buzón abierto con la bandera bajada;bandera|buzón|buzón abierto|vacío
📮;buzón;cartas|correo
🗳️;urna con papeleta;papeleta|urna|voto
✏️;lápiz;escolar|escribir|lapicero
✒️;pluma negra;bolígrafo|escribir|pluma|tinta
🖋️;estilográfica;bolígrafo|escribir|pluma|tinta
🖊️;bolígrafo;boli|escribir
🖌️;pincel;pintar
🖍️;lápiz de cera;cera|lápiz
📝;cuaderno de notas;comunicación
💼;maletín;cartera|documentos
📁;carpeta de archivos;archivo|carpeta
📂;carpeta de archivos abierta;abierta|archivo|carpeta
🗂️;separador de fichas;fichas|fichero|separador
📅;calendario;fecha
📆;calendario recortable;calendario|fecha
🗒️;bloc de notas de espiral;bloc|cuaderno|espiral|notas
🗓️;calendario de espiral;calendario|espiral
📇;organizador de fichas;cartera|ficha|organizador|tarjetas
📈;gráfica de evolución ascendente;ascendente|gráfica|gráfico|tendencia ascendente
📉;gráfica de evolución descendente;descendente|gráfica|gráfico|tendencia descendente
📊;gráfico de barras;barras|gráfico
📋;portapapeles;papeles|pinza|tabla
📌;chincheta;tachuela
📍;chincheta redonda;chincheta
📎;clip;
🖇️;clips unidos;clips|unidos|unión
📏;regla;
📐;escuadra;regla|regla triangular|triángulo
✂️;tijeras;cortar|herramienta
🗃️;archivador de tarjetas;archivador|archivo|caja
🗄️;archivador;archivos|oficina|organizador
🗑️;papelera;basura|cubo
🔒;candado cerrado;candado|cerrado|cerrar
🔓;candado abierto;abierto|abrir|candado
🔏;candado con pluma estilográfica;candado|cerrado|estilográfica|pluma|privacidad
🔐;candado cerrado y llave;candado|cerrado|llave|seguro
🔑;llave;contraseña
🗝️;llave antigua;antigua|llave
🔨;martillo;herramienta
🪓;hacha;cortar|dividir|hachuela|madera|talar
⛏️;pico;herramienta|mina
⚒️;martillo y pico;herramienta|martillo|pico
🛠️;martillo y llave inglesa;herramienta|llave inglesa|martillo
🗡️;puñal;arma|cuchillo|daga
⚔️;espadas cruzadas;arma|cruzadas|espadas
💣;bomba;cómic|emoción
🪃;bumerán;boomerang|rebotar
🏹;arco y flecha;arco|arquero|flecha|sagitario|zodiaco
🛡️;escudo;defensa
🪚;sierra de carpintería;carpintería|carpintero|herramienta|sierra|talar
🔧;llave inglesa;herramienta
🪛;destornillador;atornillador|herramienta|tornillo
🔩;tornillo y tuerca;herramienta|tornillo|tuerca
⚙️;engranaje;herramienta
🗜️;tornillo de banco;herramienta|tornillo
⚖️;balanza;justicia|libra|peso|zodiaco
🦯;bastón;accesibilidad|ceguera|ciega|ciego|invidente
🔗;eslabón;
⛓️‍💥;cadena rota;cadena|esposas|libertad|romper|rotura
⛓️;cadenas;cadena
🪝;gancho;agarrar|anzuelo|atrapar|garfio
🧰;caja de herramientas;armario|herramienta|mecánico
🧲;imán;atracción|herradura|magnético
🪜;escalera;escalar|escalerilla|escalón|peldaño
🪏;pala;agujero|cavar|enterrar|excavar|hoyo|huerto|nieve|planta
⚗️;alambique;herramienta|química
🧪;tubo de ensayo;ciencia|experimento|laboratorio|química|químico
🧫;placa de petri;bacterias|biología|biólogo|cultivo|laboratorio
🧬;adn;biólogo|evolución|gen|genética|vida
🔬;microscopio;instrumento|laboratorio
🔭;telescopio;astronomía|instrumento
📡;antena de satélite;antena|comunicación|satélite
💉;jeringuilla;aguja|jeringa|medicina|médico
🩸;gota de sangre;donación de sangre|donar sangre|herida|medicina|sangre
💊;píldora;comprimido|medicina|médico|pastilla
🩹;tirita;apósito
🩼;muleta;ayuda para la movilidad|bastón|discapacidad|lesión|palo
🩺;estetoscopio;corazón|doctor|fonendoscopio|latido|medicina|médico
🩻;radiografía;doctor|doctora|esqueleto|huesos|médico|rayos
🚪;puerta;
🛗;ascensor;accesibilidad|elevador|montacargas
🪞;espejo;espéculo|reflector|reflejo
🪟;ventana;abertura|apertura|cristal|marco|transparente|vista
🛏️;cama;dormir|hotel
🛋️;sofá y lámpara;hotel|lámpara|sofá
🪑;silla;asiento|sentarse
🚽;inodoro;baño|váter|wc
🪠;desatascador;fontanero|retrete|servicio|succión
🚿;ducha;agua|baño
🛁;bañera;baño
🪤;trampa de ratones;cebo|cepo|engañar|ratón|ratonera|trampa
🪒;cuchilla de afeitar;afeitado|afeitar|afilado|barbero|navaja
🧴;bote de crema;champú|crema|hidratante|protector solar
🧷;imperdible;pañal|punk rock
🧹;escoba;barrer|bruja|fregar
🧺;cesta;colada|cosecha|pícnic
🧻;rollo de papel;papel absorbente|papel higiénico
🪣;cubo;balde|barreño|cuba|cubeta
🧼;jabón;bañarse|enjabonarse|jabonera|lavarse|pastilla
🫧;burbujas;bajo el agua|eructar|jabón|limpiar
🪥;cepillo de dientes;cepillo|dental|higiene|limpio|servicio
🧽;esponja;absorbente|limpiar|poroso
🧯;extintor;apagar|extinguir|incendio
🛒;carrito de la compra;carrito|carro|compra|supermercado
🚬;cigarrillo;cigarro|fumar
⚰️;ataúd;muerte
🪦;lápida;cementario|estela|sepulcro|tumba
⚱️;urna funeraria;funeraria|muerte|urna
🧿;ojo turco;amuleto|mal de ojo|nazar|talismán
🪬;hamsa;amuleto|Fátima|jamsa|mano|María|Miriam
🗿;estatua moái;estatua|moái|Pascua
🪧;letrero;anuncio|aviso|cartel|pancarta|poste
🪪;carné de identidad;carné de conducir|credenciales|identificación|permiso|seguridad
🏧;señal de cajero automático;atm|banco|cajero
🚮;señal de usar papelera;basura|papelera|señal|tirar la basura en la papelera
🚰;agua potable;agua|potable
♿;símbolo de silla de ruedas;acceso|señal|silla|silla de ruedas|símbolo
🚹;aseo para hombres;aseo de caballeros|baño|señal|señal con un hombre|servicio
🚺;señal de aseo para mujeres;aseo de señoras|baño|señal|señal con una mujer|servicio
🚻;señal de aseos;aseos|servicios|wc
🚼;señal de bebé;bebé|cambiar|lactancia
🚾;aseos;lavabo|servicios|WC
🛂;control de pasaportes;control|pasaportes
🛃;aduana;
🛄;recogida de equipajes;equipaje|maleta
🛅;consigna;depósito|equipaje|servicio de equipaje en depósito
⚠️;advertencia;cuidado|señal
🚸;niños cruzando;cruzando|niños|señal
⛔;dirección prohibida;no|prohibido|señal|señal de dirección prohibida
🚫;prohibido;entrar|no|pasar|prohibición
🚳;bicicletas prohibidas;bicicleta|prohibido|vehículo
🚭;prohibido fumar;fumar|no|prohibido|señal
🚯;prohibido tirar basura;basura|prohibido|señal|señal de no tirar basura
🚱;agua no potable;agua|no potable
🚷;prohibido el paso de peatones;peatón|peatones|prohibido|señal
📵;prohibido el uso de móviles;móvil|no hacer llamadas|prohibido|teléfono
🔞;prohibido para menos de 18 años;18|no apto para menores|prohibido|prohibido para menores de 18 años
☢️;radiactivo;radiactividad|radioactividad|radioactivo|señal
☣️;riesgo biológico;peligro|señal
⬆️;flecha hacia arriba;dirección|flecha|flecha arriba|norte
↗️;flecha hacia la esquina superior derecha;arriba|derecha|dirección|flecha|noreste
➡️;flecha hacia la derecha;derecha|dirección|este|flecha
↘️;flecha hacia la esquina inferior derecha;abajo|derecha|dirección|flecha|sudeste
⬇️;flecha hacia abajo;abajo|dirección|flecha|sur
↙️;flecha hacia la esquina inferior izquierda;abajo|dirección|flecha|izquierda|suroeste
⬅️;flecha hacia la izquierda;flecha|izquierda|oeste
↖️;flecha hacia la esquina superior izquierda;arriba|dirección|flecha|izquierda|noroeste
↕️;flecha arriba y abajo;abajo|arriba|dirección|flecha
↔️;flecha izquierda y derecha;derecha|dirección|flecha|izquierda
↩️;flecha derecha curvándose a la izquierda;curva|dirección|flecha|izquierda
↪️;flecha izquierda curvándose a la derecha;curva|derecha|dirección|flecha
⤴️;flecha derecha curvándose hacia arriba;arriba|curva|dirección|flecha
⤵️;flecha derecha curvándose hacia abajo;abajo|curva|dirección|flecha
🔃;flechas verticales en sentido horario;flechas|flechas verticales sentido horario|horario|señal de recarga
🔄;flechas en sentido antihorario;dirección|flechas|señal de recarga|sentido antihorario
🔙;flecha BACK;atrás|atrás con flecha izquierda|back|flecha|flecha a la izquierda
🔚;flecha END;final|final con flecha izquierda|flecha|flecha a la izquierda
🔛;flecha ON!;flecha|flecha de doble punta con la palabra "on" encima|on|señal
🔜;flecha SOON;flecha|soon|soon con flecha a la derecha
🔝;flecha TOP;arriba|flecha hacia arriba|top|top con flecha hacia arriba
🛐;lugar de culto;culto|religión
⚛️;símbolo de átomo;átomo|símbolo
🕉️;om;hindú|religión
✡️;estrella de David;David|estrella|judaísmo|judío|religión
☸️;rueda del dharma;budismo|dharma|religión|rueda
☯️;yin yang;religión|taoísmo|yang|yin
✝️;cruz latina;cristianismo|cruz|religión
☦️;cruz ortodoxa;cruz|religión
☪️;media luna y estrella;estrella|islam|luna|religión
☮️;símbolo de la paz;paz
🕎;menorá;candelabro|religión
🔯;estrella de seis puntas;adivinación|buena fortuna|estrella|seis puntas
🪯;khanda;religión|sij|sijismo|sikh
♈;Aries;carnero|horóscopo|zodiaco
♉;Tauro;buey|horóscopo|toro|zodiaco
♊;Géminis;gemelos|horóscopo|zodiaco
♋;Cáncer;cangrejo|horóscopo|zodiaco
♌;Leo;horóscopo|león|zodiaco
♍;Virgo;horóscopo|zodiaco
♎;Libra;balanza|escala|horóscopo|justicia|zodiaco
♏;Escorpio;escorpión|horóscopo|zodiaco
♐;Sagitario;arquero|horóscopo|zodiaco
♑;Capricornio;cabra|horóscopo|zodiaco
♒;Acuario;agua|horóscopo|zodiaco
♓;Piscis;horóscopo|pescado|pez|zodiaco
⛎;Ofiuco;horóscopo|portador|serpiente|zodiaco
🔀;reproducción aleatoria;cruzado|flechas|flechas entrecruzadas
🔁;repetir;flechas|repetición
🔂;repetir una vez;flechas|repetición|uno
▶️;reproducir;botón de reproducción|flecha|triángulo
⏩;avance rápido;avanzar|doble|flecha
⏭️;pista siguiente;raya vertical|siguiente|triángulos
⏯️;reproducir o pausa;pausa|reproducir|triángulo
◀️;retroceso;izquierda|triángulo
⏪;retroceso rápido;flecha|flecha doble a la izquierda|izquierda|rebobinado|rebobinar
⏮️;pista anterior;atrás|escena anterior|triángulo
🔼;triángulo hacia arriba;arriba|botón|botón triángulo hacia arriba|triángulo
⏫;triángulo doble hacia arriba;arriba|flecha
🔽;triángulo hacia abajo;abajo|botón|botón triángulo hacia abajo|triángulo
⏬;triángulo doble hacia abajo;triángulo|triángulo doble abajo
⏸️;pausa;barras|botón|vertical
⏹️;detener;botón|cuadrado|parar
⏺️;grabar;botón|círculo
⏏️;expulsar;botón
🎦;cine;entretenimiento|película
🔅;brillo bajo;bajo|brillo|señal de brillo bajo|tenue
🔆;brillo alto;alto|brillante|brillo|señal de brillo alto
📶;barras de cobertura;antena|celular|móvil|señal|teléfono
🛜;wifi;conexión|inalámbrica|internet|red|wi-fi
📳;modo vibración;móvil|teléfono|teléfono celular|vibración
📴;teléfono móvil apagado;apagado|móvil|teléfono|teléfono celular
♀️;signo femenino;mujer|signo|símbolo
♂️;signo masculino;hombre|signo|símbolo
⚧️;símbolo de transgénero;transgénero
✖️;multiplicación;×|cancelar|marca|prohibido|signo de multiplicación|x
➕;más;+|signo|suma
➖;menos;-|−|resta|signo
➗;división;÷|signo|signo de división
🟰;signo igual grueso;equivalencia|igualdad|matemáticas|mates
♾️;infinito;ilimitado|siempre|universal
‼️;exclamación doble;!!|exclamación|puntuación|sorpresa
⁉️;exclamación e interrogación;!|!?|?|exclamación|interrogación
❓;interrogación roja;?|interrogación|pregunta|puntuación|signo de interrogación
❔;interrogación blanca;?|interrogación|pregunta|puntuación
❕;exclamación blanca;!|exclamación|puntuación
❗;exclamación roja;!|exclamación|puntuación|signo de exclamación
〰️;guion ondulado;guion|marca de sonido largo|ondulado
💱;cambio de divisas;cambio|dinero|divisa|moneda
💲;símbolo de dólar;dinero|dólar|símbolo
⚕️;símbolo de medicina;asclepio|esculapio|medicina|serpiente
♻️;símbolo de reciclaje;reciclaje|reciclar|señal|símbolo universal de reciclaje sólido|universal
⚜️;flor de lis;flor|lis
🔱;emblema de tridente;ancla|emblema|tridente
📛;etiqueta identificativa;etiqueta|nombre
🔰;símbolo japonés para principiante;amarillo|japonés|principiante|verde
⭕;círculo rojo hueco;aro|círculo|o|rojo
✅;botón de marca de verificación;✓|botón|marca|selección|verificación
☑️;casilla con marca de verificación;✓|casilla|marca|selección|verificación
✔️;marca de verificación;✓|marca|selección|verificación
❌;marca de cruz;×|cancelar|cruz|marca de tachado|tachar|x
❎;botón con marca de cruz;×|casilla|cruz|marca|x
➰;bucle;giro|tirabuzón
➿;bucle doble;bucle|doble
〽️;marca de alternancia;alternancia|marca
✳️;asterisco de ocho puntas;*|asterisco
✴️;estrella de ocho puntas;*|estrella
❇️;chispa;*
©️;copyright;c|símbolo
®️;marca registrada;r|símbolo de marca registrada
™️;símbolo de marca comercial;marca comercial
🫟;salpicadura;gotear|líquido|mancha|manchar|pintura|salpicar|tinta
*️⃣;Teclas: *;Teclas
0️⃣;tecla: 0;0|cero|tecla
1️⃣;tecla: 1;1|tecla|uno
2️⃣;tecla: 2;2|dos|tecla
3️⃣;tecla: 3;3|tecla|tres
4️⃣;tecla: 4;4|cuatro|tecla
5️⃣;tecla: 5;5|cinco|tecla
6️⃣;tecla: 6;6|seis|tecla
7️⃣;tecla: 7;7|siete|tecla
8️⃣;tecla: 8;8|ocho|tecla
9️⃣;tecla: 9;9|nueve|tecla
🔟;Teclas: 10;Teclas
🔠;letras latinas mayúsculas;abcd|letras|mayúsculas
🔡;letras latinas minúsculas;abcd|letras|minúsculas
🔢;números;1234|dígitos
🔣;símbolos;〒♪&%
🔤;alfabeto latino;ABC|latino
🅰️;grupo sanguíneo A;A|grupo|sanguíneo|tipo A
🆎;grupo sanguíneo AB;AB|grupo|sanguíneo|tipo AB
🅱️;grupo sanguíneo B;B|grupo|sanguíneo|tipo B
🆑;borrar;símbolo
🆒;botón COOL;botón|cool|mola
🆓;botón FREE;gratis|símbolo gratis
ℹ️;información;i
🆔;símbolo de identificación;ID|identidad|símbolo identidad
Ⓜ️;m en círculo;círculo|m
🆕;botón NEW;botón|NEW|nuevo
🆖;botón NG;botón|ng|nuevo
🅾️;grupo sanguíneo tipo O;grupo sanguíneo|o
🆗;botón OK;botón|ok
🅿️;aparcamiento;p|parking
🆘;símbolo de socorro;ayuda|símbolo|socorro|sos
🆙;botón UP!;arriba|información|novedad|símbolo|up
🆚;botón VS;contra|frente a|símbolo|versus|vs
🈁;ideograma japonés para "aquí";“aquí”|japonés|katakana
🈂️;ideograma japonés para "de cortesía";cortesía|japonés|katakana
🈷️;ideograma japonés para "cantidad mensual";“cantidad mensual”|ideograma|japonés|kanji
🈶;ideograma japonés para "de pago";“de pago”|ideograma|japonés|kanji
🈯;ideograma japonés para "reservado";ideograma|japonés|kanji|reservado
🉐;ideograma japonés para "ganga";ganga|ideograma|japonés|kanji
🈹;ideograma japonés para "descuento";descuento|ideograma|japonés|kanji
🈚;ideograma japonés para "gratis";gratis|ideograma|japonés|kanji
