😀;মুখে দেঁতো হাসি;দেঁতো হাসি|মুখ|হাসি
🧀;চীজ ওয়েজ;খাবার|চিজ
🍖;হাড়ের উপর মাংস;খাদ্য ও পানীয়|খাবার|মাংস|হাড়
🍗;পোল্ট্রির পা;খাবার|চিকেন|পা|পোলট্রি|পোল্ট্রি|মুর্গি|লেগ|লেগ পিস|হাড়
🥩;মাংশের টুকরো;খাদ্য ও পানীয়|খাবার|গোশত|চপ|পর্কচপ|মাংস|ল্যাম্বচপ|স্টিক|স্টেক
🥓;বেকন;খাদ্য ও পানীয়|খাবার|মাংশ
🍔;হ্যামবার্গার;খাদ্য ও পানীয়|খাবার|বার্গার
🍟;ফ্রেঞ্চ ফ্রাই;আলু ভাজা|খাদ্য ও পানীয়|খাবার|ফাস্ট ফুড|ফ্রাই|ফ্রেঞ্চ|ভাজাভুজি|স্ন্যাক্স
🍕;পিজা;খাদ্য ও পানীয়|খাবার|চিজ|ফালি|স্লাইস
🌭;হট ডগ;খাদ্য ও পানীয়|খাবার|ফ্র্যাঙ্কফার্টার|সসেজ
🥪;স্যান্ডউইচ;খাদ্য ও পানীয়|খাবার|ব্রেড|রুটি
🌮;ট্যাকো;খাবার|মেক্সিকান
🌯;বুরিটো;খাবার|মেক্সিকান|রোল|র‍্যাপ
🫔;তামালে;খাদ্য|খাবার|টুমালি|পামোনহা|মেক্সিকান|মেক্সিকান র‍্যাপ|রোল
🥙;পুর ভরা পাউরুটি;কাবাব|খাদ্য ও পানীয়|খাবার|গাইরো|চেপ্টারুটি|ফলাফেল|ফালাফেল
🧆;ফলাফেল;খাদ্য ও পানীয়|খাবার|ছোলা|ফ্যালাফেল|মিটবল
🥚;ডিম;খাবার
🍳;রান্না করা;খাদ্য ও পানীয়|খাবার|চাটু|ডিম|নাস্তা|ফ্রাই প্যান|ভাজা
🥘;কড়াই;কড়া|ক্যাসরোল|খাদ্য ও পানীয়|খাবার|পেন|প্যান
🍲;খাদ্যের পাত্র;খাদ্য ও পানীয়|খাবার|পাত্র|স্ট্যু
🫕;ফন্ডু;খাদ্য|খাবার|গলিত|চকোলেট|চিজ|পাত্র|সুইস
🥣;বাটি আর চামচ;ওটমিল|ওটস|কর্ণফ্লেক্স|খাবার|চামচ সহ বাটি|নাস্তা|পুডিং|পোরিজ|ব্রেকফাস্ট|সুপের বাটি
🥗;গ্রিন স্যালাদ;খাদ্য ও পানীয়|খাবার|গ্রিন|স্যালাদ
🍿;পপকর্ণ;খাদ্য ও পানীয়|খাবার
🧈;মাখন;খাদ্য ও পানীয়|খাবার|ডেয়ারি
🧂;লবণ;আচার|নোনতা|মশলা|মিক্সার|লবনদানি|শেকার|সুস্বাদু|স্বাদ
🥫;ক্যানজাত খাদ্য;কৌটা|কৌটাজাত খাবার|ক্যান|খাদ্য|খাবার
🍱;বেন্তো বাক্স;খাদ্য ও পানীয়|খাবার|বাক্স|বেন্টো
🍘;চালের পাপড়;ক্র্যাকার|খাদ্য ও পানীয়|খাবার|চাল|ভাত
🍙;ভাতের বল;খাদ্য ও পানীয়|খাবার|চাল|জাপানি|বল
🍚;রান্না করা ভাত;খাদ্য ও পানীয়|খাবার|চাল|ভাত|রান্না করা
🍛;ভাত তরকারি;খাদ্য ও পানীয়|খাবার|চাল|তরকারি|ভাত
🍜;স্টিম করার বাটি;খাবার|চপস্টিক|ধোঁঁয়া ওঠা নুডুলসের বাটি|নুডল|বাটি|ভাপানো|রামেন
🍝;স্প্যাগেটি;খাদ্য ও পানীয়|খাবার|পাস্তা|রেস্টুরেন্ট
🍠;রোস্ট করা মিষ্টি আলু;আলু|খাদ্য ও পানীয়|খাবার|মিষ্টি|রোস্ট করা
🍢;ওডেন;কাঠি|কাবাব|খাদ্য ও পানীয়|বিদ্ধ করা|সামুদ্রিক খাবার
🍣;সুশি;খাদ্য ও পানীয়|খাবার
🍤;ভাজা চিংড়ি;খাদ্য ও পানীয়|খাবার|গলদা চিংড়ি|চিংড়ি|টেম্পুরা|বাগদা চিংড়ি|ভাজা
🍥;ঘূর্ণিত হওয়া ফিশ কেক;কেক|খাদ্য ও পানীয়|খাবার|ঘোরানো|প্যাস্ট্রি|মাছ
🥮;মুন কেক;উৎসব|কেক|যুয়েবিং|শরৎ
🍡;ডাঙ্গো;কাঠি|খাদ্য ও পানীয়|খাবার|জাপানি|ডেজার্ট|মিষ্টি|মিষ্টি জাতীয় খাবার
🥟;মোমো;এমপ্যান্ডা|খাবার|গয়োজা|জিয়ায়োজি|ডামপ্লিং|পট স্টিকার|পটস্টিকার|পিয়েরোগি|ফুলুরি|মমো
🥠;ফরচুন কুকি;কুকি|খাদ্য ও পানীয়|খাবার|প্রোফেসি|ভবিষ্যদ্বাণী
🥡;খাবার নিয়ে যাওয়ার বক্স;ওয়েস্টার পেল|খাদ্য ও পানীয়|খাবার|চপস্টিক|টেকআউট|ডেলিভারি বক্স
🍦;সফ্ট আইস ক্রিম;আইসক্রিম|ক্রিম|খাদ্য ও পানীয়|খাবার|ডেজার্ট|নরম|বরফ|মিষ্টি
🍧;শেভড আইস;আইস ক্রিম|খাদ্য ও পানীয়|খাবার|চাঁচা|ডেজার্ট|বরফ|মিষ্টি
🍨;আইস ক্রিম;ক্রিম|খাদ্য ও পানীয়|খাবার|ডেজার্ট|বরফ|মিষ্টি
🍩;ডোনাট;খাদ্য ও পানীয়|খাবার|ডেজার্ট|মিষ্টি
🍪;কুকি;খাদ্য ও পানীয়|খাবার|ডেজার্ট|মিষ্টি
🎂;জন্মদিনের কেক;উৎসবের কেক|উদযাপন|কেক|খাদ্য ও পানীয়|খাবার|জন্মদিন|ডেজার্ট|প্যাস্ট্রি|মিষ্টি|শুভ জন্মদিন
🍰;শর্ট কেক;কেক|খাদ্য ও পানীয়|খাবার|ডেজার্ট|প্যাস্ট্রি|ফালি|মিষ্টি
🧁;কাপ কেক;কাপকেক|খাদ্য|চিনি|ডেজার্ট|বেকারি|মিষ্টান্ন|মিষ্টি
🥧;পাই;খাদ্য ও পানীয়|খাবার|পিঠা|পেস্ট্রি|ফিলিং
🍫;চকলেট বার;খাদ্য ও পানীয়|খাবার|চকলেট|ডেজার্ট|বার|মিষ্টি
🍬;ক্যান্ডি;খাদ্য ও পানীয়|খাবার|চকলেট|ডেজার্ট|মিষ্টি
🍭;ললিপপ;ক্যান্ডি|খাদ্য ও পানীয়|খাবার|চকলেট|ডেজার্ট|মিষ্টি
🍮;কাস্টার্ড;খাদ্য ও পানীয়|খাবার|ডেজার্ট|পুডিং|মিষ্টি
🍯;মধুর পাত্র;খাদ্য ও পানীয়|খাবার|পাত্র|বিয়ার|ব্যারেল|মধু|মিষ্টি
🍼;শিশুদের বোতল;খাদ্য ও পানীয়|খাবার|দুধ|পান করা|বাচ্চা|বোতল
🥛;দুধের গ্লাস;এক গ্লাস দুধ|খাদ্য ও পানীয়|খাবার|গ্লাস|থাওয়া|দুধ
☕;গরম পানীয়;কফি|খাদ্য ও পানীয়|খাবার|গরম|চা|পান করা|পানীয়
🫖;টিপট;খাদ্য|খাবার|চা|ড্রিংকস|পট|পানীয়
🍵;হ্যান্ডেল ছাড়াই চায়ের কাপ;কাপ|খাদ্য ও পানীয়|খাবার|চা|চায়ের পেয়ালা|পান করা|পানীয়
🍶;সেইক;কাপ|খাদ্য ও পানীয়|খাবার|পান করা|পানীয়|বার|বোতল|শেক
🍾;পপিং কর্কের সাথে বোতল;খাদ্য ও পানীয়|খাবার|ছিপি|পপিং|পান করা|বার|বোতল
🍷;মদের গ্লাস;ওয়াইন|গ্লাস|পান করা|পানীয়|বার
🍸;ককটেলের গ্লাস;ককটেল|খাদ্য ও পানীয়|খাবার|গ্লাস|পান করা|পানীয়|বার|মার্টিনি
🍹;ট্রপিক্যাল ড্রিঙ্ক;ককটেল|ক্রান্তীয়|ক্লাব|খাদ্য ও পানীয়|খাবার|পান করা|বার|মদ|মাতাল|স্থানীয়
🍺;বিয়ারের মগ;খাদ্য ও পানীয়|খাবার|পান করা|বার|বিয়ার|মগ
🍻;উত্তম ধরণের বিয়ারের মগ;খাদ্য ও পানীয়|খাবার|ঠুং ঠুং আওয়াজ করা|পান করা|বার|বিয়ার|মগ
🥂;চিসার্সের জন্য গ্লাসে ঠোকা;উদযাপন|খাওয়া|খাদ্য ও পানীয়|খাবার|গ্লাস|চিয়ার্স|ঠুংঠাং|হোক উল্লাস
🥃;চওড়া গ্লাস;খাদ্য ও পানীয়|খাবার|গ্লাস|পানীয়|মদের গ্লাস|শট|স্কচ|হুইস্কি
🫗;তরল পদার্থ ঢালা হচ্ছে;ওহ!|গ্লাস|ছলকে পড়া|জল ঢালা|পান করা|ফাঁকা
🥤;স্ট্র দেওয়া কাপ;খাদ্য ও পানীয়|খাবার|গ্লাস|জুস|পানি|পানীয়|সোডা
🧋;বাবল টি;খাদ্য|খাবার|চা|ড্রিংকস|তাইওয়ান|দুধ|পানীয়|পার্ল|বাবল|বোবা
🧃;পানীয়;খাদ্য ও পানীয়|জুস বাক্স|জুসের বক্স|ঠাণ্ডা পানীয়|ফলের রস
🧉;মেট;খাদ্য ও পানীয়|দক্ষিণ অ্যামেরিকা|দক্ষিণ অ্যামেরিকার পানীয়|পানীয়
🧊;আইস কিউব;আইসবার্গ|খাদ্য ও পানীয়|ঠান্ডা|পানীয়|বরফ|বরফের টুকরো
🥢;চপস্টিক;কাঠি|খাদ্য ও পানীয়|খাবার|হাশি
🍽️;প্লেটের সঙ্গে কাঁটাচামচ ও ছুরি;কাঁটাচামচ|খাদ্য ও পানীয়|খাবার|ছুরি|প্লেট|রন্ধন
🍴;কাঁটাচামচ ও ছুরি;কাঁটাচামচ|খাদ্য ও পানীয়|খাবার|ছুরি|নাস্তা|রন্ধন|রেস্টুরেন্ট
🥄;চামচ;কাঁটা চামচ|খাদ্য ও পানীয়|খাবার
🔪;রান্না ঘরের ছুরি;অস্ত্র|ছুরি|টুল|রন্ধন|রান্না করার ছুরি|সরঞ্জাম|হোকো
🫙;জার;কিছু নেই|কৌটো|খালি|গুঁড়া মসলা|জমা করা পাত্র|পাত্র|ফাঁকা|সস
🏺;অ্যাম্ফোরা;অস্ত্র|কুম্ভরাশি|জাগ|পান করা|রন্ধন|রাশিচক্র|সরঞ্জাম
🌍;গ্লোব ইউরোপ আফ্রিকা দেখাচ্ছে;আফ্রিকা|ইউরোপ|গ্লোব|পৃথিবী|বিশ্ব
🌎;গ্লোব আমেরিকা দেখাচ্ছে;আমেরিকা|গ্লোব|পৃথিবী|বিশ্ব
🌏;গ্লোব এশিয়া-অস্ট্রেলিয়া দেখাচ্ছে;অস্ট্রেলিয়া|এশিয়া|গ্লোব|পৃথিবী|বিশ্ব
🌐;গ্লোবে মেরিডিয়ান;গ্লোব|পৃথিবী|পৃথিবীর মধ্যরেখা|বিশ্ব
🗺️;বিশ্বের মানচিত্র;বিশ্ব|মানচিত্র|ম্যাপ
🗾;জাপানের ম্যাপ;জাপান|মানচিত্র
🧭;কম্পাস;ওরিয়েন্টিয়ারিং|চুম্বকীয়|চৌম্বকীয়|দিকনির্দেশ|নেভিগেশন|ন্যাভিগেশন
🏔️;তুষারাবৃত পর্বত;ঠান্ডা|তুষার|পর্বত
⛰️;পর্বত;পাহাড়
🛘;ধস;কাদা ধস|তুষারধ্বস|দুর্যোগ|পর্বত|পাথর|বিপদ|ভূমিকম্প
🌋;আগ্নেয়গিরি;অগ্ন্যুৎপাত|আবহাওয়া|পর্বত
🗻;মাউন্ট ফুজি;পর্বত|পাহাড়|ফুজি
🏕️;তাবু খাঁটানো;ক্যাম্প করা
🏖️;সমুদ্র সৈকতে ছাতা;ছাতা|সৈকত
🏜️;মরুভুমি;বালি|মরুভূমি
🏝️;মরুভূমির দ্বীপ;দ্বীপ|মরুভূমি
🏞️;জাতীয় উদ্যান;উদ্যান|জাতীয় পার্ক|পার্ক
🏟️;স্টেডিয়াম;
🏛️;ক্লাসিক্যাল বিল্ডিং;ক্লাসিক্যাল|বিল্ডিং
🏗️;বিল্ডিং নির্মাণ;ক্রেন|নির্মাণ|বিল্ডিং|বিল্ডিং তৈরি
🧱;ইট;ওয়াল|কাদামাটি|দেয়াল|পোড়ামাটি|পোড়ামাটির দেওয়াল|প্রাচীর|হামানদিস্তা
🪨;পাথর;কঠিন|কঠোর|নুড়ি|ভারি|শিলা|শিলাখণ্ড
🪵;কাঠ;কাঠ চেরাই করা|গাছের গুঁড়ি|তক্তা|দারু
🛖;কুঁড়ে ঘড়;আশ্রয়|ইউর্ট|কুটির|গৃহ|ঘর|বাড়ি|বাসা|রাউন্ডহাউস
🏘️;বাড়িগুলি তৈরি করা;বাড়ি|বাড়ি নির্মাণ|বিল্ডিং
🏚️;পরিত্যক্ত গৃহনির্মাণ;পরিত্যক্ত|বাড়ি|বিল্ডিং|ব্যবহার না হওয়া বাড়ি
🏠;গৃহ নির্মাণ;বাড়ি|বাড়ি নির্মাণ|বিল্ডিং
🏡;বাগান বাড়ি;বাগান|বাড়ি|বিল্ডিং
🏢;অফিস বিল্ডিং;অফিস|অফিসের বিল্ডিং|কাজ|চাকরী|বিল্ডিং
🏣;জাপানি পোস্ট অফিস;জাপানি|জাপানি ভাষায় পোস্ট অফিস|জাপানিদের পোস্ট অফিস|পোস্ট|বিল্ডিং
🏤;পোস্ট অফিস;ইউরোপীয়|পোস্ট|বিল্ডিং
🏥;হাসপাতাল;ওষুধ|ডাক্তার|বিল্ডিং
🏦;ব্যাঙ্ক;বিল্ডিং
🏨;হোটেল;বিল্ডিং
🏩;লাভ হোটেল;বিল্ডিং|ভালবাসা|হোটেল
🏪;কনভেনিয়ান্স স্টোর;দোকান|বিল্ডিং|সুবিধা
🏫;স্কুল;বিল্ডিং
🏬;ডিপার্টমমেন্ট স্টোর;ডিপার্টমেন্ট|দোকান|বিল্ডিং
🏭;ফ্যাক্টরি;বিল্ডিং
🏯;জাপানি দুর্গ;জাপানি|দুর্গ|বিল্ডিং
🏰;দুর্গ;ইউরোপীয়|বিল্ডিং
💒;বিবাহ;চ্যাপেল|রোমান্স
🗼;টোকিও টাওয়ার;টাওয়ার|টোকিও
🗽;স্ট্যাচু অফ লিবার্টি;মূর্তি|লিবার্টি
⛪;চার্চ;ক্রস|খৃস্টান|ধর্ম|বিল্ডিং
🕌;মসজিদ;ইসলাম|ধর্ম|মুসলিম
🛕;হিন্দু মন্দির;তীর্থস্থান|দেবতা|মন্দির|হিন্দু
🕍;ইহুদিদের ধর্মস্থান;ইহুদি|ধর্ম|মন্দির
⛩️;শিন্তো মন্দির;ধর্ম|মঠ|মন্দির|শিন্টো|শিন্তো সারিন
🕋;কাবা;ইসলাম|উমরাহ্‌|ধর্ম|মুসলিম|হজ্ব
⛲;ফোয়ারা;
⛺;তাবু;ক্যাম্প|ক্যাম্পিং|তাবু খাঁটানো
🌁;কুয়াশাচ্ছন্ন;আবহাওয়া|কুয়াশা
🌃;তারা ভরা রাত;আবহাওয়া|তারা|রাত
🏙️;সিটিস্কেপ;বিল্ডিং|শহর
🌄;পর্বতের উপর সূর্যোদয়;আবহাওয়া|পর্বত|সকাল|সূর্য|সূর্যোদয়
🌅;সূর্যোদয়;আবহাওয়া|সকাল|সূর্য
🌆;গোধূলিতে শহরের দৃশ্য;আবহাওয়া|গোধূলি|বিল্ডিং|ভূদৃশ্য|শহর|সন্ধ্যা|সূর্য|সূর্যাস্ত
🌇;সূর্যাস্ত;আবহাওয়া|গোধূলি|বিল্ডিং|সূর্য
🌉;রাতে সেতু;আবহাওয়া|রাত|রাতের সেতু|সেতু
♨️;উষ্ণ প্রস্রবণ;গরম|প্রস্রবণ|ভাপানো
🎠;নাগরদোলনা ঘোড়া;ঘোড়া|নাগরদোলনা|নাগরদোলনার ঘোড়া
🛝;খেলার মাঠে স্লাইড;অ্যামিউজমেন্ট পার্ক|খেলাধুলা|খেলার মাঠ|স্লাইডিং
🎡;বড়ো নাগরদোলা;চাকা|চিত্তবিনোদন পার্ক|ফেরিস|মনোরঞ্জনের পার্ক
🎢;রোলার কোস্টার;কোস্টার|চিত্তবিনোদন পার্ক|চিত্তবিনোদনের পার্ক|পার্ক|রোলার
💈;নাপিতের পোল;চুল কাটা|নাপিত|পোল|শেভ
🎪;সার্কাসের তাবু;তাঁবু|সার্কাস
🚂;লোকোমোটিভ;ইঞ্জিন|ট্রেন|বাষ্প|যানবাহন|রেলওয়ে
🚃;রেলওয়ের গাড়ি;ট্রলিবাস|ট্রাম|ট্রেন|বৈদ্যুতিক|মোটরগাড়ি|যানবাহন|রেলওয়ে
🚄;উচ্চ-গতির ট্রেন;গতি|ট্রেন|যানবাহন|রেলওয়ে|শিনকানসেন|হাই-স্পিড ট্রেন
🚅;বুলেট নাম যুক্ত উচ্চ-গতির ট্রেন;গতি|ট্রেন|বুলেট|যানবাহন|রেলওয়ে|শিনকানসেন
🚆;ট্রেন;কু জিক জিক|চোঁঁ চোঁঁ|ভ্রমণ ও স্থান|যানবাহন|রেলওয়ে|রেলগাড়ি
🚇;মেট্রো;যানবাহন|সাবওয়ে
🚈;রেলের লাইট;যানবাহন|রেলওয়ে|রেলের লাইন
🚉;স্টেশন;ট্রেন|যানবাহন|রেলওয়ে
🚊;ট্রাম;ট্রলিবাস|যানবাহন
🚝;মোনোরেল;মনোরেল|যানবাহন|রেল
🚞;পর্বতের রেলওয়ে;পর্বত|মোটরগাড়ি|যানবাহন|রেল|রেল লাইন|রেলওয়ে
🚋;ট্রাম গাড়ি;ট্রলিবাস|ট্রাম|মোটরগাড়ি|যানবাহন
🚌;বাস;যানবাহন|স্কুল বাস
🚍;অগ্রসরমান বাস;অগ্রসরমান|বাস|যানবাহন
🚎;ট্রলি বাস;ট্রলি|ট্রাম|বাস|যানবাহন
🚐;মিনিবাস;বাস|যানবাহন
🚑;অ্যাম্বুলেন্স;যানবাহন
🚒;আগুনের ইঞ্জিন;আগুন|ইঞ্জিন|ট্রাক|দমকল|যানবাহন
🚓;পুলিশের গাড়ি;টহলদারী|টহলদারী গাড়ি|পুলিশ|মোটরগাড়ি|যানবাহন
🚔;অগ্রসরমান পুলিশের গাড়ি;অগ্রসরমান|পুলিশ|মোটরগাড়ি|যানবাহন
🚕;ট্যাক্সি;যানবাহন
🚖;অগ্রসরমান ট্যাক্সি;অগ্রসরমান|উবের|ট্যাক্সি|যানবাহন|হলদু ট্যাক্সি
🚗;অটোমোবাইল;গাড়ি|যানবাহন
🚘;অগ্রসরমান অটোমোবাইল;অগ্রসরমান|অটোমোবাইল|মোটরগাড়ি|যানবাহন
🚙;বিনোদনমূলক যানবাহন;আরভি|বিনোদনমূলক|যানবাহন
🛻;পিকআপ ট্রাক;গাড়ি|ট্রাক|পরিবহন|পিক-আপ|পিকআপ|ফ্ল্যাটবেড|মোটরগাড়ি|ম্যাটাডোর|যানবাহন
🚚;সরবরাহের ট্র্যাক;ট্রাক|যানবাহন|সরবরাহ
🚛;আর্টিকুলেট লরি;ট্রাক|যানবাহন|লরি|সেমি
🚜;ট্র্যাক্টর;যানবাহন
🏎️;রেসিং কার;গাড়ি|রেস করার গাড়ি|রেসিং|রেসের গাড়ি
🏍️;মটরসাইকেল;বাইক|মোটরসাইকেল|রেসিং
🛵;মোটর স্কুটার;মটর|স্কুটার
🦽;ম্যানুয়াল হুইলচেয়ার;অ্যাক্সেসিবিলিটি|চেয়ার|বিশেষ চেয়ার|হাতে টানা হুইলচেয়ার|হুইলচেয়ার
🦼;মোটরচালিত হুইলচেয়ার;অটোম্যাটিক হুইলচেয়ার|অ্যাক্সেসিবিলিটি|চেয়ার|বিশেষ চেয়ার|যানবাহন|যান্ত্রিক হুইলচেয়ার
🛺;অটো রিক্সা;অটো|গাড়ি|টুক টুক|বেবি|বেবি ট্যাক্সি|যাত্রা|যানবাহন
🚲;বাইসাইকেল;বাইক|যানবাহন|সাইকেল
🛴;কিক স্কুটার;কিক|স্কুটার
🛹;স্কেটবোর্ড;চাকা|বোর্ড|স্কেইট|স্কেটার
🛼;রোলার স্কেট;ক্রীড়া|খেলাধুলা|রোলার|স্কেট|স্কেটিং জুতো
🚏;বাস্টের স্টপ;থামা|বাস|বাস স্টপ
🛣️;মোটর ওয়ে;রাস্তা|হাইওয়ে
🛤️;রেলওয়ে ট্র্যাক;ট্রেন|রেলওয়ে|রেললাইন
🛢️;তেলের ড্রাম;ড্রাম|তেল
⛽;জ্বালানী পাম্প;গ্যাস|জ্বালানী|পাম্প|স্টেশন
🛞;চাকা;গাড়ি|টায়ার|বাঁক|বৃত্ত
🚨;পুলিশের গাড়ির আলো;আলো|গাড়ি|ঘূর্ণায়মান|পুলিশ|বাতি|যানবাহন
🚥;অনুভূমিক ট্রাফিক লাইট;আলো|ট্রাফিক|সিগন্যাল|স্পট লাইট
🚦;উল্লম্ব ট্রাফিক লাইট;আলো|ট্রাফিক|সিগন্যাল
🛑;থামার চিহ্ন;অষ্টকোণী|চিহ্ন|থামুন
🚧;নির্মাণ;বাধা
⚓;নোঙর;জাহাজ|সরঞ্জাম
🛟;রিং বয়;আত্মরক্ষক|জীবন বাঁচানো|জীবন সংরক্ষক|নিরাপত্তা|পুনরুদ্ধার করা|ভাসমান
⛵;পাল তোলা নৌকা;ইয়ট|নৌকা|যানবাহন|রিসোর্ট|সাগর
🛶;ডোঙ্গা;ডিঙি|নৌকা
🚤;স্পীডবোট;নৌকা|যানবাহন
🛳️;যাত্রীবাহী জাহাজ;জাহাজ|যাত্রী|যানবাহন
⛴️;খেয়া;নৌকা|ফেরি|যাত্রী
🛥️;মোটরবোট;নৌকা|যানবাহন
🚢;জাহাজ;টাইটানিক|যাত্রী|যানবাহন
✈️;বিমান;যানবাহন
🛩️;ছোট বিমান;বিমান|যানবাহন
🛫;বিমান ছাড়া;চেক ইন|প্রস্থান|বিমান|যানবাহন
🛬;বিমান আসা;অবতরণ|আগত|আগমন|বিমান|যানবাহন
🪂;প্যারাশুট;খেলা|প্যারাসেইল|স্কাইডাইভ|হ্যাং-গ্লাইড
💺;বসার জায়গা;চেয়ার
🚁;হেলিকপ্টার;যানবাহন
🚟;রেলওয়ে স্থগিতাদেশ;যানবাহন|রেল বন্ধ|রেলওয়ে|স্থগিতাদেশ
🚠;মাউন্টেন কেবলওয়ে;কেবল|গন্ডোলা|পর্বত|যানবাহন|রোপওয়ে
🚡;রোপওয়ে;কার|কেবল|গন্ডোলা|ট্রামওয়ে|মোটরগাড়ি|যানবাহন
🛰️;উপগ্রহ;মহাকাশ|যানবাহন|স্যাটেলাইট
🚀;রকেট;মহাকাশ|যানবাহন
🛸;উড়ন্ত চাকতি;ইউএফও|এলিয়েন|পরিবহন|ভিনগ্রহবাসী|যাতায়াত|স্পেসশিপ
🛎️;বেলহপ বেল;ঘণ্টা|বেয়ারা|বেলহপ|হোটেল
🧳;লাগেজ;ট্রলি ব্যাগ|প্যাকিং|ভ্রমণ|রোলার ব্যাগ|স্যুটকেস
⌛;বালিঘড়ি;টাইমার|বালি|সময়
⏳;প্রবাহিত বালি দিয়ে বালিঘড়ি;টাইমার|বালি|বালিঘড়ি
⌚;ঘড়ি;
⏰;অ্যালার্ম ঘড়ি;অ্যালার্ম|ঘড়ি
⏱️;স্টপওয়াচ;ঘড়ি
⏲️;টাইমার ঘড়ি;ঘড়ি|টাইমার
🕰️;ম্যান্টেলপিস ঘড়ি;ঘড়ি|সময়
🕛;বারোটা;00|12|12:00|ঘড়ি|টা|বারো
🕧;সাড়ে বারোটা;12|12:30|ঘড়ি|তিরিশ|বারো
🕐;একটা;00|1|1:00|এক|ঘড়ি|টা
🕜;দেড়টা;1|1:30|30|এক|ঘড়ি|চিহ্ন|তিরিশ
🕑;দুটো;00|2|2:00|ঘড়ি|টো|দু|দুইটা|দুটোর সময়
🕝;আড়াইটা;2|2:30|30|আড়াইটে|ঘড়ি|চিহ্ন|তিরিশ|দুই|দুটো
🕒;তিনটে;00|3|3:00|ঘড়ি|টে|তিন|তিনটা
🕞;সাড়ে তিনটে;3|3:30|ঘড়ি|তিনটে|তিরিশ|সাড়ে|সাড়ে তিন
🕓;চারটে;00|4|4:00|ঘড়ি|চার|চারটা|টে
🕟;সাড়ে চারটে;30|4|4:30|ঘড়ি|চারটে|তিরিশ|সাড়ে চার
🕔;পাঁচটা;00|5|5:00|ঘড়ি|টা|পাঁচ
🕠;সাড়ে পাঁচটা;5|5:30|ঘড়ি|তিরিশ|পাঁচটা|সাড়ে
🕕;ছটা;00|6|6:00|ঘড়ি|ছয়|টা
🕡;সাড়ে ছটা;৩০|6|6:30|ঘড়ি|ছয়টা|তিরিশ
🕖;সাতটা;00|7|7:00|ঘড়ি|টা|সাত
🕢;সাড়ে সাতটা;7|7:30|ঘড়ি|তিরিশ|সাতটা
🕗;আটটা;8|8:00|আট|ঘড়ি|টা
🕣;সাড়ে আটটা;৩০|8|8:30|আটটা|ঘড়ি|তিরিশ
🕘;নটা;00|9|9:00|৯টায়|ঘড়ি|টা|ন|নয়টা
🕤;সাড়ে নটা;৩০|9|9:30|ঘড়ি|তিরিশ|নয়টা|সাড়ে
🕙;দশটা;00|10|10:00|ঘড়ি|টা|দশ
🕥;সাড়ে দশটা;10|10:30|30|ঘড়ি|তিরিশ|দশটা
🕚;এগারোটা;00|11|11:00|এগারো|ঘড়ি|টা
🕦;সাড়ে এগারোটা;11|11:30|30|এগারোটা|ঘড়ি|তিরিশ
🌑;আমাবস্যা;অন্ধকার|অমাবস্যা|আবহাওয়া|চাঁদ|মহাকাশ
🌒;বৃদ্ধিপ্রাপ্ত অর্ধচন্দ্র;অর্ধচন্দ্র|আবহাওয়া|ওয়াক্সিং|চাঁদ|মহাকাশ
🌓;চাঁদের প্রথম চতুর্থাংশ;আবহাওয়া|চতুর্থাংশ|চাঁদ|মহাকাশ
🌔;বৃদ্ধিপ্রাপ্ত অর্ধাধিক চাঁদ;অর্ধাধিক|আবহাওয়া|ওয়াক্সিং|চাঁদ|মহাকাশ
🌕;পূর্ণিমা;আবহাওয়া|চাঁদ|পূর্ণ|মহাকাশ
🌖;ক্ষীয়মাণ অর্ধাধিক চাঁদ;অর্ধাধিক|আবহাওয়া|ক্ষীয়মাণ|চাঁদ|মহাকাশ
🌗;চাঁদের শেষ চতুর্থাংশ;আবহাওয়া|চতুর্থাংশ|চাঁদ|চাঁদের একাংশ|মহাকাশ
🌘;ক্ষীয়মাণ অর্ধচন্দ্র;অর্ধচন্দ্র|আবহাওয়া|ক্ষীয়মাণ|চাঁদ|মহাকাশ
🌙;অর্ধচন্দ্র;আবহাওয়া|চাঁদ|মহাকাশ|রমজান
🌚;চাঁদের নতুন মুখ;অমাবস্যা|আবহাওয়া|চাঁদ|চোখ নাক মুখ আঁকা চাঁদ|মহাকাশ|মুখ
🌛;মুখের সাথে চাঁদের প্রথম এক চতুর্থাংশ;চাঁদ|মহাকাশ|মুখ
🌜;মুখের সাথে চাঁদের শেষ এক চতুর্থাংশ;অর্ধ-চন্দ্র|এক ফালি চাঁদ|চাঁদ|মহাকাশ|মুখ
🌡️;থার্মোমিটার;আবহাওয়া|জ্বর
☀️;সূর্য;আবহাওয়া|উজ্জ্বল|মহাকাশ|রশ্মি|রোদ
🌝;মুখের সাথে পূর্ণ চাঁদ;আবহাওয়া|উজ্জ্বল|চাঁদ|পূর্ণ|মহাকাশ|মুখ
🌞;মুখের সাথে সূর্য;আবহাওয়া|উজ্জ্বল|মহাকাশ|মুখ|সূর্য
🪐;বলয়যুক্ত গ্রহ;গম্ভীরস্বভাব|গ্রহ|নক্ষত্র|বলয় বেষ্টিত|মহাকাশ|শনি
⭐;সাদা মাঝারি তারা;তারা
🌟;উজ্জ্বল তারা;উদ্ভাস|উদ্ভাসিত|জ্বলজ্বলে|ঝকমক|তারা|দ্যুতি
