😀;широко улыбается;лицо|радость|смех|счастье|улыбка
🌎;Америка на земном шаре;Америка|глобус|земной|мир|шар
🌏;Азия и Австралия на земном шаре;Австралия|Азия|глобус|Земля|земной шар|шар
🌐;меридианы;глобус|Земля|земной|меридиан|мир|шар
🗺️;карта мира;атлас|карта|мир|страны
🗾;карта Японии;атлас|карта|Япония
🧭;компас;магнит|навигация|направление|ориентирование|поход|путешествие|путь|света|стороны|турист
🏔️;гора со снежной шапкой;вершина|гора|снег
⛰️;гора;вершина|пик
🛘;оползень;землетрясение|камнепад|лавина|обвал|опасность|осыпь|сель
🌋;вулкан;извержение вулкана|кратер|лава
🗻;Фудзияма;вулкан|гора
🏕️;кемпинг;лагерь|палатка|поход
🏖️;пляж;зонт|лето|море|остров|отпуск|пальма|песок|пляжный|солнце
🏜️;пустыня;кактус|песок|солнце
🏝️;остров;кокос|лето|море|необитаемый|отпуск|пальма|пустыня
🏞️;национальный парк;заповедник|парк|природа
🏟️;стадион;игры|матч|олимпийские|соревнования
🏛️;античное здание;античное|античность|здание|классический|колонны|стиль|храм
🏗️;стройка;кран|строительство
🧱;кирпичи;глина|кирпич|кирпичная|кирпичный|кладка|стена
🪨;камень;булыжник|жесткий|скала|твердый|тяжелый
🪵;древесина;бревно|дрова|лес|пень|полено
🛖;хижина;дом|юрта
🏘️;дома;городок|дача|здания|поселок
🏚️;заброшенный дом;дом|заброшенный|развалины|упадок
🏠;дом;дача|домашний|здание|родной|стены
🏡;дом с садом;дача|дом|загородный|крыша|сад|стены|усадьба
🏢;офисное здание;бизнес-центр|здание|офис|офисное|работа
🏣;японская почта;здание|почта|Япония|японская|японское
🏤;почта;европа|здание
🏥;больница;госпиталь|здание|лечение|поликлиника|помощь|скорая|стационар|хоспис
🏦;банк;деньги|здание
🏨;гостиница;здание|отель|хостел
🏩;гостиница для свиданий;гостиница|дом|здание|отель|публичный|свидания
🏪;круглосуточный магазин;24 часа|здание|магазин|покупки|сутки
🏫;школа;здание|колледж|обучение|учебное
🏬;универмаг;здание|магазин|супермаркет|торговый|универсам|центр
🏭;завод;предприятие|промышленность|фабрика
🏯;японский замок;замок|здание|япония
🏰;замок;башни|крепость|укрепение|форт
💒;свадьба;венчание|сердечки|собор|церемония|церковь
🗼;Токийская башня;архитектура|башня|вышка|телебашня|телевышка|Токио
🗽;статуя Свободы;нью-йорк|свобода|статуя|факел
⛪;церковь;здание|монастырь|религия|собор|храм|христианство
🕌;мечеть;здание|ислам|мусульмане|религия
🛕;индуистский храм;ашрам|индийский|индуизм|храм|церковь
🕍;синагога;евреи|здание|иудаизм|религия|церковь
⛩️;синтоистский храм;религия|святилище|синто|синтоизм|синтоистский|храм|Япония
🕋;Кааба;ислам|мусульмане|религия|святыня|хадж
⛲;фонтан;брызги|вода|источник|родник
⛺;палатка;кемпинг|лагерь|поход|тент
🌁;туман;дымка|облака|туманно
🌃;звездная ночь;город|звездная|звезды|месяц|ночной|ночь
🏙️;вид на город;вид|город|городской|многоэтажки|ночь|пейзаж
🌄;восход солнца над горами;восход|горы|закат|заря|пейзаж|рассвет|солнце|утро
🌅;восход;вечер|заря|лучи|пейзаж|рассвет|солнце|утро
🌆;закат в городе;вечер|вечерний|высотки|город|закат|заход|многоэтажки|небоскреб|солнце
🌇;закат;вечер|высотные|город|дома|заход|небоскреб|романтика|солнце
🌉;мост ночью;мост|ночь|ночью
♨️;горячие источники;гейзер|горячие|источники|пар|поток
🎠;лошадь на карусели;аттракцион|карусель|лошадка|лошадь
🛝;детская горка;горка|детская|играть|игровая|кататься|парк|площадка|развлечений
🎡;колесо обозрения;аттракцион|веселье|обозрения|чертово
🎢;американские горки;американские|аттракцион|горка|горки
💈;парикмахерская;барбершоп|волосы|салон|стрижка|цирюльник
🎪;цирковой шатер;цирк|цирковой|шапито|шатер
🚂;паровоз;вагон|локомотив|поезд
🚃;вагон;общественный|поезд|рельсы|трамвай|транспорт|фуникулер
🚄;скоростной поезд;дорога|железная|поезд|пуля|Синкансэн|скорость
🚅;поезд-пуля;поезд|пуля|Синкансэн|скорость
🚆;поезд;дорога|ж/д|железная дорога|транспорт
🚇;метро;подземка|поезд|станция|тоннель|транспорт
🚈;легкий рельсовый транспорт;метро|монорельс|трамвай|транспорт|электричка
🚉;железнодорожный вокзал;вокзал|ж/д вокзал|ж/д станция|железнодорожная станция|рельсы|станция|электричка
🚊;трамвай;рельсы|транспорт
🚝;монорельс;легкое|метро|рельсы|транспорт
🚞;поезд в горах;горы|дорога|железная|поезд|рельсы|транспорт|электричка
🚋;трамвайный вагон;вагон|рельсы|трамвай|электричество
🚌;автобус;маршрутка|мини автобус|общественный транспорт|транспорт|школьный автобус
🚍;автобус спереди;автобус|лобовое|общественный транспорт|приближающийся автобус|спереди|стекло|транспорт
🚎;троллейбус;дорога|общественный|провода|транспорт|электричество
🚐;микроавтобус;автобус|бусик|газель|маршрутка|поездка
🚑;машина скорой помощи;больница|врачи|машина|помощь|скорая
🚒;пожарная машина;машина|огонь|пожар|пожарная|пожарные|спасатели
🚓;полицейская машина;машина|милиция|патруль|полицейские|полиция
🚔;полицейская машина спереди;лобовое стекло|машина|полицейская машина|полицейские|полиция|приближающаяся полицейская машина|проблесковый маячок|сирена
🚕;такси;водитель|желтое такси|машина|транспорт|убер|шашечки
🚖;такси спереди;машина|приближающееся такси|такси|транспорт
🚗;автомобиль;машина|транспорт
🚘;автомобиль спереди;автомобиль|машина|машина спереди|приближающаяся машина|приближающийся автомобиль|транспорт
🚙;джип;SUV|автомобиль|жилой|легковой|машина|отдых|фургон
🛻;пикап;автомобиль|грузовик|машина|перевозка|транспорт
🚚;грузовик;газель|груз|грузовой|доставка|кузов|перевозки|транспорт
🚛;фура;газель|грузовик|кузов|перевозка|переезд|транспорт
🚜;трактор;сельское|техника|транспорт|хозяйство
🏎️;гоночный автомобиль;автомобиль|гонки|скорость|спортивный автомобиль
🏍️;мотоцикл;байк|гонки|опасность|скорость
🛵;скутер;мопед|мотороллер|транспорт
🦽;кресло-коляска с ручным приводом;инвалид|коляска|кресло|ручной|транспорт
🦼;кресло-коляска с мотором;инвалид|кресло|кресло-коляска|транспорт|электропривод
🛺;авторикша;мопед|моторикша|рикша|такси|транспорт|тук-тук|туктук
🚲;велосипед;велик|колеса|крутить педали|педали|прокатиться|руль|спорт|транспорт
🛴;самокат;колеса|руль|транспорт
🛹;скейтборд;доска|доска с колесиками|доска с роликами|колеса|роликовая доска|скейт|скейтер
🛼;роликовые коньки;коньки|ролики|спорт
🚏;автобусная остановка;автобус|знак|остановка
🛣️;шоссе;автомагистраль|автострада|дорога|магистраль|путь|разметка
🛤️;железная дорога;ж/д|путь|рельсы|шпалы
🛢️;бочка;емкость|нефть
⛽;заправка;автозаправка|автозаправочная станция|АЗС|бензин|дизель|станция|топливо
🛞;автомобильное колесо;диск|колесо|колпак|круг|поворот|шина
🚨;мигалка;красная|полиция|проблесковый маячок|сигнальные огни|сирена|экстренная ситуация
🚥;горизонтальный светофор;свет|светофор
🚦;вертикальный светофор;перекресток|свет|светофор
🛑;знак «стоп»;восьмиугольник|знак|красный знак|остановка|стоп
🚧;строительные работы;барьер|заграждение|опасность|преграда|препятствие|строительство|стройка
⚓;якорь;корабль
🛟;спасательный круг;безопасность|круг|надувной|помощь|спасение
⛵;парусник;кораблик|лодка|отдых|парус|яхта
🛶;каноэ;байдарка|весло|индейцы|каяк|лодка
🚤;катер;вода|двигатель|круиз|лодка|море|мотор|яхта
🛳️;пассажирский лайнер;круиз|лайнер|пассажиры|перевозки|судно
⛴️;паром;перевозки|транспорт
🛥️;моторная лодка;вода|двигатель|катер|корабль|лодка|мотор|моторка|яхта
🚢;корабль;груз|круиз|лайнер|морской|пароход|перевозки|судно|титаник
✈️;самолет;воздух|крылья|перевозки
🛩️;маленький самолет;воздух|крылья|маленький|перевозки|самолет
🛫;взлет;взлетаю|отправление|посадка|регистрация|самолет|улетать
🛬;посадка;прибытие|приземляется|садится|самолет
🪂;парашют;крыло|параглайд|парасейл|парашютист|скайдайв
💺;кресло;кресло в самолете|место|пассажирское кресло|сиденье|стул
🚁;вертолет;винт|воздух|лопасти|транспорт
🚟;подвесная железная дорога;вагон|дорога|железная|подвесная
🚠;вагон фуникулера;вагон|горы|кабинка|подъем|подъемник|тросы|фуникулер
🚡;канатная дорога;дорога|канат|подвесная дорога|подъемник|трамвай|тросы|фуникулер
🛰️;спутник;космос
🚀;ракета;быстро|взлет|космос|скорость
🛸;летающая тарелка;инопланетный гость|инопланетяне|марсианин|НЛО|пришелец|пришельцы|тарелка
🛎️;гостиничный звонок;вызов|гостиница|звоночек|звук|отель|портье
🧳;багаж;путешествие|чемодан
⌛;песочные часы;время|песок|часы
⏳;время пошло;время|песок|песочные|часы
⌚;наручные часы;время|запястье|наручные|рука|часы
⏰;будильник;время|заводить|звенит|напоминание|подъем|сигнал|часы
⏱️;секундомер;время|кнопка|стрелки|таймер|точность|часы
⏲️;таймер;время|отсчет|сигнал|часы
🕰️;каминные часы;винтажные|время|камин|старинные|украшение|часы
🕛;двенадцать часов;00|00:00|12|12:00|двенадцать|дня|ночи|полдень|полночь
🕧;полпервого;00:30|12|12:30|30|двенадцать|первого|половина|тридцать
🕐;час;1:00|13:00|время|дня|ночи|один|часы
🕜;полвторого;1:30|время|половина|тик так|тик-так|час|час тридцать|часы
🕑;два часа;время|два|час|часы
🕝;полтретьего;14:30|2:30|время|два тридцать|час|часы
🕒;три часа;15:00|3:00|время|время три часа|ровно|три|час|часы
🕞;полчетвертого;15:30|3:30|время|половина|три тридцать|тридцать|час|часы
🕓;четыре часа;16:00|4:00|время|время четыре часа|ровно|час|часы|четыре
🕟;полпятого;16:30|4:30|время|половина|тридцать|час|часы|четыре тридцать
🕔;пять часов;17:00|5:00|время|время пять часов|пять|ровно|час|часы
🕠;полшестого;17:30|5:30|время|половина|пять|тридцать|час|часы
🕕;шесть часов;18:00|6:00|время|время шесть часов|ровно|час|часы|шесть
🕡;полседьмого;18:30|6:30|время|половина|тридцать|час|часы|шесть
🕖;семь часов;19:00|7:00|время|время семь часов|ровно|семь|час|часы
🕢;полвосьмого;19:30|7:30|время|половина|семь|тридцать|час|часы
🕗;восемь часов;20:00|8|восемь|время|время восемь часов|ровно|час|часы
🕣;полдевятого;20:30|8:30|восемь тридцать|время|половина|тридцать|час|часы
🕘;девять часов;21:00|9:00|время|время девять часов|девять|ровно|час|часы
🕤;полдесятого;21:30|9:30|время|девять тридцать|половина|тридцать|час|часы
🕙;десять часов;10:00|22:00|время|время десять часов|десять|ровно|час|часы
🕥;пол-одиннадцатого;10:30|22:30|время|десять|половина|тридцать|час|часы
🕚;одиннадцать часов;11|11:00|23:00|время|время одиннадцать часов|одиннадцать|ровно|час|часы
🕦;полдвенадцатого;11:30|23:30|время|одиннадцать|половина|тридцать|час|часы
🌑;новолуние;луна|месяц|новая|ночь|темная ночь|темно
🌒;молодая луна;луна|месяц|молодая|молодой
🌓;луна в первой четверти;луна|месяц|небо|четверть
🌔;прибывающая луна;луна|месяц|небо|прибывающая
🌕;полнолуние;луна|месяц|небо|полная|полный
🌖;убывающая луна;луна|месяц|небо|планета|убывающая
🌗;луна в последней четверти;луна|месяц|небо|четверть
🌘;старая луна;затмение|луна|месяц|небо|старая|убывающая
🌙;полумесяц;луна|месяц
🌚;новая луна с лицом;лицо|луна|луна с лицом|молодая луна с лицом|новая луна|новолуние|темная|черная луна
🌛;луна в первой четверти с лицом;лицо|луна|месяц|небо|половинка луны|четвертинка луны|четверть|четверть луны
🌜;луна в последней четверти с лицом;лицо|луна|месяц|небо|полу месяц|полумесяц|четверть
🌡️;термометр;градусник|измерение|температура
☀️;солнце;жарко|лучи|планета|погода
🌝;полная луна с лицом;круглая|круглая луна|лицо|месяц|небо|полная луна
🌞;солнце с лицом;лицо|небо|солнце
🪐;планета с кольцом;кольца|кольцо|космос|планета|сатурн
⭐;желтая звезда;астрономия|желтая|звезда|звезды
🌟;сияющая звезда;звезда|свет|сияние
🌠;падающая звезда;желание|загадать желание|звезда|звездопад|небо|падающая
🌌;Млечный Путь;звезды|космос|молоко|путь|созвездие
☁️;облако;небо|туча
⛅;солнце за облаками;непогода|облака|облако|облачно|погода|солнце
⛈️;гроза;гром|дождь|молния|облако|туча
🌤️;солнце за облачком;облако|облачко|пасмурно|солнце|туча
🌥️;солнце за облаком;облако|облачно|солнце|туча
🌦️;слепой дождь;грибной дождь|дождь|облако|осадки|солнце|солнце за тучей|туча
🌧️;дождь;осадки|туча
🌨️;снег;облако|осадки|погода|снегопад|туча
🌩️;молния;гром|облако|погода|туча
🌪️;торнадо;ветер|вихрь|катастрофа|смерч|ураган
🌫️;густой туман;видимость|низкая|облачность|плохая видимость|туман
🌬️;дует ветер;ветер|вьюга|дует|лицо|пурга|снежная королева
🌀;циклон;завихрение|тайфун|юла
🌈;радуга;дождь|осадки|погода|природа|цвета
🌂;закрытый зонт;дождь|зонт|зонтик|осадки
☂️;зонт;вода|дождь|зонтик|осадки|открытый зонт|погода
☔;зонт под дождем;зонт|зонтик|зонтик под дождем|капли|капля|ливень|погода|под дождем
⛱️;пляжный зонт;аксессуар|дождь|защита|зонт|зонтик|непогода|пляж|солнце
⚡;высокое напряжение;буря|высоковольтное|гром|молниеносный|молния|напряжение|опасность|электричество
❄️;снежинка;зима|небо|рисунок|снег|снежок|холод|холодно
☃️;снеговик под снегом;снег|снеговик|фигура|человек|человечек
⛄;снеговик;снег|снеговичок|снежная баба|снежная скульптура|фигура|человек|человечек
☄️;комета;космос|метеор|метеорит|метеоритный дождь|небо|планета
🔥;огонь;костер|очаг|пламя
💧;капля;вода|дождь|капелька|пот|слеза
🌊;волна;вода|море|морская пена|океан|серфинг
🎃;тыква-фонарь;праздник|тыква|фонарь из тыквы|Хеллоуин|Хэллоуин
🎄;новогодняя елка;елка|Новый год|праздник|Рождество
🎆;фейерверк;пиротехника|праздник|салют|свет|шум
🎇;бенгальский огонь;искры|новый год|огонь|праздник|салют
🧨;динамитная шашка;взрыв|взрывчатка|динамит|искра|петарда|фейерверк|хлопушка|шашка
✨;блестки;блестка|звезда|звезды|искры|мерцание|свет
🎈;воздушный шарик;веревочка|воздух|воздушный|праздник|шарик
🎉;хлопушка;бабах|веселье|вечеринка|день рождения|мишура|поздравление|праздник
🎊;конфетти;вечеринка|праздник
🎋;бамбук с бумажными лентами;бамбук|бумага|дерево|лента|танабата|традиция|Япония
🎍;украшенный бамбук;бамбук|Новый год|растение|Рождество|сосна|Япония
🎎;японские куклы;две|кукла|праздник|фестиваль
🎏;вымпелы в виде карпов;вымпелы|карпы|палочка|рыбки|рыбы
🎐;музыка ветра;бубенчик|ветер|звон
🎑;праздник Луны;луна|праздник|церемония
🧧;красный конверт;деньги|Китай|конверт|красный|подарок|традиция|удача
🎀;бантик;бант|волосы|лента|одежда|праздник
🎁;подарок;бант|бантик|год|день|коробка|новый|праздник|рождения|Рождество
🎗️;памятная лента;лента|память
🎟️;билеты;билет|вход|квиток|концерт|пропуск|самолет|театр|транспорт|услуги
🎫;билет;билетик|вход|квиток|концерт|пропуск|самолет|театр|транспорт|услуги
🎖️;военная медаль;война|заслуги|медаль|награда|одежда|орден
🏆;кубок;победа|приз|трофей|чемпион
🏅;спортивная медаль;достижение|медаль|место|победа|спорт
🥇;золотая медаль;золото|медаль|место|первое место|победа|победители|победитель|чемпион|чемпионы
🥈;серебряная медаль;второе место|медаль|серебро
🥉;бронзовая медаль;бронза|медаль|третье место
⚽;футбол;игра|мяч|спорт|футбольный
⚾;бейсбол;бейсбольный|игра|мяч|спорт
🥎;софтбол;бита|зажать|игра|мягкий|мяч|нести|перчатка|спорт
🏀;баскетбол;баскетбольный|игра|кольцо|мяч|спорт
🏐;волейбол;волейбольный|игра|мяч|спорт
🏈;американский футбол;американский|игра|мяч|спорт|футбол
🏉;регби;игра|мяч|спорт
🎾;теннис;игра|мяч|мячик|ракетка|спорт|теннисная|теннисный
🥏;летающий диск;бросать|диск|досуг|игра|летающая тарелка|спорт|фрисби
🎳;боулинг;игра|кегли|спорт|страйк|шар|шары
🏏;крикет;бита|игра|мяч|спорт
🏑;хоккей на траве;бег|игра|клюшка|трава|хоккей
🏒;хоккей;игра|клюшка|лед|спорт|шайба
🥍;лакросс;гол|забить|клюшка|мяч|ракетка
🏓;настольный теннис;мяч|мячик|пинг-понг|ракетка|стол|теннис|шарик
🏸;бадминтон;волан|воланчик|игра|ракетка|спорт
🥊;боксерская перчатка;бокс|боксерская|перчатка|спорт
🥋;спортивное кимоно;боевые искусства|дзюдо|карате|тхэквондо|форма
🥅;спортивные ворота;ворота|гол|сетка|спорт
⛳;гольф;игра|лунка|поле|спорт|флаг|флажок
⛸️;коньки;ботинок|катание|каток|конек|лед|лезвие|скорость|фигурное катание
🎣;удочка с рыбой;крючок|леска|наживка|рыба|рыбалка|спининг|удочка|улов
🤿;маска с трубкой;дайвинг|маска|нырять|подводная|подводное плавание|подводный|спорт|трубка
🎽;футболка для бега;атлетика|бег|спорт|футболка
🎿;лыжи;горные лыжи|горы|склон|снег|спорт|трасса
🛷;санки;гора|катание|сани|снег|спуск
🥌;керлинг;игра|камень|лед|спорт|щетка
🎯;мишень;дартс|доска|дротик|попадание
🪀;йо-йо;игрушка|йойо
🪁;воздушный змей;ветер|змей|игра|летать|парить
🔫;водяной пистолет;водный пистолет|игрушка|огнестрельное|оружие|пистолет|револьвер
🎱;бильярд;8|восьмерка|игра|пул|черный шар|шар
🔮;хрустальный шар;будущее|волшебство|гадание|магия|предсказание|хрусталь|шар
🪄;волшебная палочка;волшебник|волшебство|колдунья|магия|фокус
🎮;видеоигры;play|playstation|station|игры|компьютер|компьютерные|приставка
🕹️;джойстик;видеоигра|видеоигры|игра|игровая приставка|игры|компьютер|компьютерная приставка|приставка
🎰;игровой автомат;автомат|азарт|деньги|игровой|игры|казино
🎲;игральная кость;игра|кости|кубик|кубики
🧩;пазл;головоломка|досуг|игра|кусочек|кусочек пазла|мозаика|собирать
🧸;плюшевый мишка;игрушка|медвежонок|мишка|мягкая игрушка|плюшевая игрушка
🪅;пиньята;вечеринка|мексиканский|праздник|праздновать|сладости
🪩;диско-шар;блестеть|вечеринка|диско|дискотека|зеркальный|зеркальный шар|танцы
🪆;матрешка;игрушка|кукла|матрешки|россия|русская
♠️;пики;игра|карты|масть
♥️;червы;игра|карты|масть
♦️;бубны;игра|карты|масть
♣️;трефы;игра|карты|масть
♟️;пешка;игра|фигура|шахматная фигура|шахматы
🃏;джокер;игра|карты
🀄;маджонг;игра|игральные|Китай|кости|кубики
🎴;цветочная карта;игра|карты|ханафуда|цветочная|цветы|Япония
🎭;маски;драма|искусство|комедия|постановка|премьера|театр|шекспир
🖼️;картина;картина в раме|картина в рамке|пейзаж|природа|рама|рамка
🎨;палитра с красками;краски|палитра|рисовать|творить|художник
🧵;катушка ниток;вышивка|иголка|катушка|нитки|нить|рукоделие|шить|шитье|штопать
🪡;швейная игла;вышивка|игла|иголка|стежки|швы|шитье
🧶;клубок;вязание|клубок ниток|нитки|пряжа
🪢;узел;веревка|канат|шнур|шнурок
👓;очки;аксессуар|глаза|защита|зрение|одежда
🕶️;солнечные очки;аксессуар|защита|очки|солнце|солнцезащитные|темные
🥽;защитные очки;защита|защитные|лыжная|маска|нырять|очки|плавание|сварка
🥼;лабораторный халат;белый халат|лаборатория|форма|халат
🦺;спасательный жилет;жилет|защитный|спасательный|спасать|экстренный
👔;галстук;одежда|офис|работа|рубашка|серьезный|сотрудник
👕;футболка;короткие|одежда|рубашка|рукава
👖;джинсы;брюки|штаны
🧣;шарф;обмотать|повязать|шея
🧤;перчатки;аксессуар|одежда|руки
🧥;пальто;верхняя|куртка|одежда|пиджак
🧦;носки;ноги|чулки
👗;платье;женская одежда|женское|одежда
👘;кимоно;одежда|традиции|япония
🥻;сари;женская|Индия|одежда|платье|традиционная
🩱;цельный купальник;закрытый|купальник|одежда|плавать|слитный|спорт|цельный
🩲;плавки;купальник|одежда|плавать|трусы|шорты
🩳;шорты;белье|купальник|одежда|плавать|плавки|спорт|трусы
👙;бикини;бассейн|купальник|море|отпуск|плавать
👚;блузка;женщина|одежда|платье|розовая|футболка
🪭;веер;жара|жарко|застенчивый|опахало|охлаждение|танец
👛;кошелек;аксессуар|деньги|мелочь|сумка|сумочка
👜;сумка;женская|сумочка
👝;клатч;аксессуар|багаж|вещи|женское|мешок|саквояж|сумочка|театр|чедоман
🛍️;пакеты;магазины|новое|обновки|покупки|шопинг
🎒;ранец;портфель|рюкзак|школа
🩴;вьетнамки;обувь|пляж|сланцы|шлепанцы|шлепки
👞;ботинок;ботинки|мужская|мужчина|обувь|туфли|туфля
👟;кроссовки;бег|кеды|обувь|побежать|пробежка|спорт
🥾;треккинговый ботинок;ботинки|идти|кемпинг|палатка|поход|рюкзак|треккинговая обувь|треккинговые ботинки|туристическая обувь|туристические ботинки
🥿;балетки;без каблука|обувь на плоской подошве|слиперы|туфли|туфли без каблука|туфли на плоской подошве|удобно
👠;туфли на каблуке;женщина|каблук|на каблуке|обувь|стиль|туфли
👡;босоножки;женская|женщина|каблук|лето|обувь|сабо|сандалии
🩰;пуанты;балерина|балет|обувь|танец|туфли
👢;сапог;высокая|женская|каблук|обувь|одежда|сапоги|холодно|шоппинг
🪮;афро-гребень;афро|волосы|гребень|расческа
👑;корона;голова|королева|король|монарх|царица|царство|царь
👒;шляпка;женская|женщина|летняя|одежда|шляпа
🎩;цилиндр;магия|мужчина|одежда|фокус|черная|черный|шляпа
🎓;шапочка выпускника;бонет|выпускник|выпускной|конфедератка|шапочка
🧢;бейсболка;головной убор|кепка|шапка
🪖;армейская каска;армия|воин|каска|солдат
⛑️;каска с белым крестом;головной убор|крест|лицо|спасатель|шлем
📿;четки;бусы|колье|молитва|ожерелье|религия
💄;помада;губы|косметика|макияж
💍;кольцо;бриллиант|драгоценный|камень|обручальное|помолвка|свадьба
💎;драгоценный камень;алмаз|драгоценность|камень|цена
🔇;без звука;громкость|звук|молчание|тихо|тишина
🔈;низкая громкость;громкость|динамик|звук|низкая|уровень
🔉;средняя громкость;громкоговоритель|громкость|динамик|звук|рупор|спикер|средняя|уровень
🔊;высокая громкость;высокая|громкость|динамик|звук|уровень
📢;громкоговоритель;внимание|звук|обращение|объявление|рупор
📣;мегафон;громкоговоритель|звук|обращение|объявление|речь|рупор
📯;почтовый рожок;почта|рожок|труба
🔔;колокольчик;будильник|звонок|колокол
🔕;перечеркнутый колокольчик;будильник|будильник отключен|колокол|отключить|перечеркнуть|тихо|тишина
🎼;нотный стан;ключ|музыка|ноты|скрипичный|стан
🎵;нота;звук|мелодия|музыка
🎶;ноты;звуки|мелодия|музыка
🎙️;студийный микрофон;вокал|звук|микрофон|музыка|пение
🎚️;слайдер;звук|музыка|уровень
🎛️;регуляторы;звук|музыка|регулятор|ручка|уровень
🎤;микрофон;звук|караоке|пение
🎧;наушники;вкладыши|гарнитура|затычки|звук|капли|музыка
📻;радио;передача|приемник|сигнал
🎷;саксофон;инструмент|музыка|музыкальный инструмент
🎺;труба;духовой инструмент|инструмент|музыка|музыкальный инструмент
🪊;тромбон;грусть|джаз|духовой|инструмент|музыка
🪗;аккордеон;баян|гармонь|гармошка|концертина
🎸;гитара;гитарист|инструмент|концерт|музыка|музыкальный|рок
🎹;клавишные;инструмент|клавиши|музыка|музыкальный инструмент|пианино|рояль|синтезатор
🎻;скрипка;инструмент|музыка|музыкальный инструмент|смычковый|смычок|струнный инструмент|струны
🪕;банджо;гитара|играть|инструмент|музыка|струнный
🥁;барабан;инструмент|музыка|музыкальный инструмент|палочки|ударные
🪘;конга;барабан|бит|музыкальный инструмент|ритм|тамтам
🪇;маракасы;вечеринка|инструмент|музыка|музыкальные инструменты|перкуссия|погремушки|ритм|танец|танцы|трясти|ча-ча-ча
🪈;флейта;группа|деревянный духовой инструмент|дудочка|духовой инструмент|инструмент|музыка|оркестр|продольная флейта|сопилка|труба|флейта пикколо|флейтист
🪉;арфа;ангелочек|инструмент|купидон|любовь|музыка|оркестр
📱;мобильный телефон;мобильник|мобильный|смартфон|сотовый|телефон
📲;входящий вызов;входящий|вызов|мобильник|мобильный|смартфон|сотовый|телефон
☎️;телефон;аппарат|линия|трубка
📞;телефонная трубка;телефон|трубка
📟;пейджер;сообщение|строка|экран
📠;факс;бумага|сообщение
🔋;батарейка;аккумулятор|батарея|заряд|уровень заряда
🪫;низкий уровень заряда;аккумулятор|батарейка|батарея|заряд|мало зарядки|низкий заряд|предмет|разрядилась|разряжено
🔌;вилка;розетка|штекер|штепсель|электричество
💻;ноутбук;компьютер|портативный
🖥️;компьютер;монитор|настольный|экран
🖨️;принтер;бумага|печать
⌨️;клавиатура;клавиши|периферия
🖱️;мышка;кнопки|мышь|периферия|устройство
🖲️;трекбол;ввод|компьютер|шар
💽;диск;CD|компьютер|компьютерный диск|мини-диск|оптический диск|си ди|си-ди|сиди
💾;дискета;данные|компьютер|носитель
💿;CD;диск|компакт|компакт-диск|си ди|си-ди|сиди|формат
📀;DVD;CD|двд|двд-диск|дивиди|диск|формат
🧮;счеты;вычисления|подсчет
🎥;кинокамера;видеокамера|камера|кино|снять|съемка|фильм
🎞️;кинопленка;кадр|кинематограф|кино|пленка|фильм
📽️;кинопроектор;видео|кино|показ|проектор
🎬;хлопушка-нумератор;дубль|кино|киносъемки|нумератор|нумератор с хлопушкой|снято|сцена|хлопушка
📺;телевизор;тв|телевидение
📷;фотоаппарат;съемка|фото|фотокамера
📸;фотоаппарат со вспышкой;вспышка|съемка|фото|фотоаппарат|фотокамера
📹;видеокамера;видео|запись|съемка
📼;видеокассета;видео|кассета|пленка
🔍;лупа, наклоненная влево;влево|линза|лупа|наклоненная влево|стекло|увеличительное
🔎;лупа, наклоненная вправо;вправо|исследовать|лаборатория|лупа|наклоненная вправо|стекло|увеличительное
🕯️;свеча;воск|огонь|пламя|свет|свечка|тепло
💡;лампочка;идея|лампа|свет|эврика|электричество
🔦;фонарик;свет|фонарь|электричество
🏮;красный бумажный фонарик;бумага|бумажный|китай|китайский фонарик|красный|огонь|свет|фонарик|фонарь
🪔;масляная лампа;гореть|дия|лампа|масло|свет
📔;записная книжка;блокнот|дневник|ежедневник|записи|записная|книжка|красивая|обложка
📕;закрытая книга;закрытая|закрыть|захлопнутая|захлопнуть|книга|книжка|красивая обложка|обложка
📖;открытая книга;книга|книжка|открытая|открыть|раскрытая|раскрыть
📗;зеленая книга;библиотека|зеленая|книга|книжка|учеба|учиться|читать|чтение
📘;синяя книга;голубая|голубой|книга|книжка|синий|синяя
📙;оранжевая книга;книга|книжка|оранжевая|оранжевый
📚;книги;библиотека|книжки|много книг|сессия|стопка|стопка книг|учить|читать|экзамен
📓;тетрадь;блокнот|записная книжка|тетрадка
📒;блокнот;блокнотик|записная книжка|тетрадка|тетрадь
📃;страница с загибом;документ|загиб|загнутая|загнутый|лист|лист с загибом|страница
📜;свиток;бумага|пергамент
📄;страница;вертикально|лист
📰;газета;известия|издание|новости|печать
🗞️;свернутая газета;бумага|газета|новости|свернутая
📑;стикеры-закладки;закладки|клеящиеся|наклейки|отметки|стикеры
🔖;закладка;книга|книжка|отметка
🏷️;бирка;сведения|этикетка|ярлык
🪙;монета;деньги|доллар|евро|золото|казна|металл|рубль|серебро
