😀;gülən üz;gülmək|üz
🪶;lələk;quş|tük|uçuş|yüngül
🦩;flaminqo;rəngli|tropik
🦚;tovuz;farmazon|qürrəli|quş|rəngli|tovuzquşu
🦜;tutuquşu;pirat|quş|söhbət
🪽;qanad;aviasiya|mələk|mifologiya|quş|uçan|uçmaq
🐦‍⬛;qara quş;alaqarğa|dimdik|heyvan|qara|qaraqarğa|qarğa|quş|zağca
🪿;qaz;axmaq|axmaq adam|dəstə|ev quşu|heyvan|korna|ördək|quş
🐦‍🔥;feniks;alov quşu|başdan-ayağa dəyişdirmək|bərpa|dirçəliş|dirçəlmək|əbədi|əzəmət|fantastika|feniks kimi küllərindən yenidən doğmaq|fentezi|peyda olmaq|reinkarnasiya|ruhu yeni bədənə keçmək|təkrar doğulma|yenidən yaratmaq|yüksəlmə|yüksəlmək
🐸;qurbağa üzü;qurbağa|üz
🐊;timsah;heyvan|krokodil|zoopark
🐢;tısbağa;bağa|heyvan|su tısbağası
🦎;kərtənkələ;sürünən
🐍;ilan;daşıyan|ilandaşıyan|zodiak
🐲;əjdaha üzü;əjdaha|nağıl|üz
🐉;əjdaha;nağıl
🦕;sauropod;braxiozavr|brontozavr|dinozavr|diplodok
🦖;Tireks;dinozavr|Tirannozavr Reks
🐳;su püskürdən balina;balina|dəniz|okean|püskürtmək|üz
🐋;kit;balina
🐬;delfin;üzgəc
🫍;orka;balina|dəniz|okean
🦭;suiti;dəniş şiri|okean
🐟;balıq;balıqlar|zodiak
🐠;tropik balıq;balıq|tropik
🐡;iynəqarın balıq;balıq
🦈;akula;balıq|yırtıcı
🐙;osminoq;canlı|okean
🐚;spiral balıqqulağı;balıqqulağı|spiral
🪸;mərcan;dəniz|iqlim dəyişikliyi|okean|rif
🪼;meduza;akvarium|dəniz|dəniz həyatı|heyvan|jele|okean|onurğasız|plankton|sancmaq|uu|yandırmaq
🦀;qırmızı xərçəng;xərçəng|zodiak
🦞;lobster;caynaq|dəniz məhsulu|dəniz mətbəxi|omar|xərçəng əti
🦐;krevet;su canlısı|xərçəng
🦑;səkkiz ayaq;kalmar|molyuska|su canlısı
🦪;stridiya;mirvari|suyagirmə
🐌;ilbiz;təbiət
🦋;kəpənək;həşərat|uçan canlı
🐛;böcək;bağça|həşərat
🐜;qarışqa;həşərat
🐝;bal arısı;arı|həşərat|təbiət|yaz
🪲;tarakan;böcək|heyvan|həşərat
🐞;parabüzən;böcək|həşərat|parabizən|uğur böcəyi
🦗;cırcırama;böcək|çəyirtkə|həşərat|kriket
🪳;mətbəxqurdu;heyvan|həşərat|parazit|tarakan
🕷️;hörümçək;həşərat
🕸️;hörümçək toru;hörümçək|tor
🦂;əqrəb;zodiak
🦟;ağcaqanad;həşərat|malariya|malyariya|qızdırma|virus|xəstəlik
🪰;milçək;çürümə|həşərat|sürfə|xəstəlik|ziyanverici
🪱;soxulcan;həlqəvi qurd|torpaq qurdu
🦠;mikrob;amöb|bakteriya|elm|virus
💐;buket;ad günü|çiçək|gül|gül dəstəsi
🌸;albalı çiçəyi;albalı|bitki|çiçək|gül
💮;ağ gül;gül
🪷;lotus;Buddizm|çiçək|dinclik|gözəllik|Hindistan|Hinduizm|saflıq|sakitlik|sükunət|Vyetnam
🏵️;rozetka;bitki|gül forması|rosette
🌹;qızılgül;bitki|gül
🥀;solmuş gül;gül|qurumuş çiçək|solmaq
🌺;hibiskus;bitki|çiçək|gül
🌻;günəbaxan;bitki|gül|günəş
🌼;çiçək;bitki|gül
🌷;liliya;bitki|çiçək|gül|lalə
🪻;sümbül;bənövşə|bənövşəyi|bitki|əkin güləvəri|göypapaq|gül|indiqo|lavanda|lupin|snapdragon|sünbül|sünbülçiçəyi|yasəmən|yaz
🌱;şitil;bitki|cavan|toxum
🪴;dibçək bitkisi;becərmək|bitki|dibçək|ev|faydasız|qazma|yetişdirmə
🌲;həmişəyaşıl;ağac|bitki|meşə|şam ağacı|yeni ildə bəzədilən şam ağacı
🌳;enliyarpaqlı ağac;ağac|bitki|enliyarpaqlı|tökmək
🌴;palma ağacı;ağac|bitki|palma|tropik
🌵;kaktus;bitki
🌾;düyü sünbülü;bitki|dən|düyü|qulaq|sünbül|taxıl
🌿;dərman bitkisi;bitki|ot|yarpaq
☘️;yonca;bitki
🍀;dörd yarpaq yonca;4|bitki|dörd|dördyarpaq yonca|yarpaq|yonca
🍁;ağcaqayın yarpağı;ağcaqayın|bitki|tökülmək|yarpaq
🍂;tökülən yarpaq;bitki|payız|tökülmək|yarpaq
🍃;küləkdə əsən yarpaq;bitki|əsmək|külək|titrəmək|yarpaq
🪹;boş yuva;budaq|ev|yuva|yuvalama
🪺;yumurtalı yuva;budaq|quş|yumurta|yumurtalar|yuva|yuvalama
🍄;göbələk;milçəkqıran
🪾;yarpaqsız ağac;ağac|barsız|budaqlar|çılpaq|ğlü|gövdə|oduncaq|qış|quraqlıq|yarpaqsız
🍇;üzüm;meyvə
🍈;yemiş;bostan bitkisi|meyvə|qovun
🍉;qarpız;bostan bitkisi|meyvə
🍊;mandarin;meyvə|portağal|sitrus|vitamin c
🍋;limon;meyvə|sitrus
🍋‍🟩;laym;içkiyə dad verən ədviyyat|kokteyl|kokteyl bəzəyi|limonlu piroq|marqarita|meyvə|mohito|salsa|sərinləşdirici|şirə|sitrus|tekila|tropik|turş|turşməzə|turşuluq dərəcəsi|yaşıl limon
🍌;banan;meyvə
🍍;ananas;kolada|meyvə|pina|tropik
🥭;manqo;meyvə|tropik
🍎;qırmızı alma;alma|meyvə|qırmızı
🍏;yaşıl alma;alma|meyvə|yaşıl
🍐;armud;meyvə
🍑;şaftalı;meyvə
🍒;albalı;bitki|meyvə
🍓;çiyələk;giləmeyvə|meyvə
🫐;qaragilələr;giləmeyvə|meyvə|qaragilə
🥝;kivi;meyvə
🍅;pomidor;meyvə|tərəvəz
🫒;zeytun;meyvə
🥥;kokos;palma
🥑;avokado;meyvə|yemək
🍆;badımcan;tərəvəz
🥔;kartof;tərəvəz
🥕;kök;tərəvəz
🌽;qarğıdalı sünbülü;qarğıdalı|qarğıdalı qamışı|sünbül|tarla
🌶️;acı bibər;acı|bitki|istiot
🫑;bolqar bibəri;bibər|ispan bibəri|tərəvəz
🥒;xiyar;tərəvəz
🥬;kahı;göyərti|kələm|salat
🥦;brokkoli;yabanı kələm
🧄;sarımsaq;dad|dadlandırma|qoxu
🧅;soğan;dad|dadlandırma
🥜;yer fındığı;çərəz|yerfındığı
🫘;lobya;böyrək|kiçik|paxlalı|qida
🌰;şabalıd;bitki
🫚;zəncəfil kökü;bitki|ədviyyat|kök|pivə|sağlamlıq|təbii|zəncəfil
🫛;noxud qabığı;edamame|lobya|noxud|paxlalı|pod|soya|tərəvəz|vegetarian
🍄‍🟫;qəhvəyi göbələk;cücərti|əlavələr|göbələk|göbələk növü|göbələklər|hallüsinasiya yaradan göbələk|pizzanın üzərinə vurulan əlavələr|portobello|qida|Şiitake göbələyi|spor|təbiət|tərəvəz|tərəvəz növləri|trüfel göbələyi|vegetarian
🫜;meyvəköklü;bağ|çuğundur|kök|qida|salat|şalğam|tərəvəz|turp|vegetarian
🍞;çörək;bulka
🥐;kruasan;çay|kökə|qəlyanaltı
🥖;kərpic çörək;baget çörəyi|çörək|tikə|yemək
🫓;yumru çörək;çörək|lavaş
🥨;pretsel;burulmuş|kraker
🥯;bublik;bulka|bulki|çörək|çörəkxana|səhər yeməyi
🥞;blin;kökə|pankeyk|yemək
🧇;vafli;dəmir|qərarsız|səhər yeməyi
🧀;pendir;
🍖;sümükdə ət;ət|sümük
🍗;toyuq budu;ayaq|cücə|ev quşları|sümük
🥩;ət tikəsi;quzu əti|steyk
🥓;bekon;ərzaq|ət
🍔;hamburger;burger
🍟;kartof qızartması;fransız|fri|qızartma
🍕;pizza;dilim|pendir|pizza dilimi
🌭;hot doq;frankfurter|hot-doq|hotdoq|sosiska
🥪;sendviç;çörək
🌮;tako;meksika|meksika mətbəxi
🌯;buritto;meksika|Meksika mətbəxi
🫔;tamal;dürüm|meksika|yemək
🥙;qutab;bişirmək|ərzaq|kabab|yemək
🧆;falafel;küftə|noxud|paxlakimilər|qoyunnoxudu
🥚;yumurta;yemək
🍳;bişirmək;qayğanaq|qızartmaq|tava|yumurta
🥘;dayaz qazan;dayaz|qazan|qida|tava|yemək
🍲;yemək qazanı;qab|raqu|sup
🫕;fondyu;əridilmiş|güvəc|İsveçrə|pendir|şokolad|yemək
🥣;qaşıq ilə kasa;dənəvər|səhər yeməyi|yulaf sıyığı
🥗;salat;göyərti|tərəvəz|yaşıl
🍿;popkorn;film
🧈;kərə yağı;süd məhsulu
🧂;duz;dad|duzqabı|ədviyyat
🥫;konserv qida;konserv|konservləşdirilmiş qida
🍱;bentu qutusu;bento qutusu|bentu|qutu
🍘;düyü krekeri;düyü|ərzaq|kreker
🍙;düyü küftəsi;düyü|küftə|yapon
🍚;bişmiş düyü;bişmiş|düyü
🍛;karri düyüsü;düyü|karri|yemək
🍜;buxarlanan kasa;buğlanan|əriştə|kasa|qaynar|ramen|yemək|yemək çubuqları
🍝;spagetti;İtaliya mətbəxi|makaron
🍠;qızardılmış şirin kartof;ərzaq|kartof|qızardılmış|şirin|yemək
🍢;oden;çubuq|dəniz məhsulu|kabab|şiş
🍣;suşi;çin mətbəxi|yemək
🍤;qızardılmış krivet;krevet|qızardılmış|tempura
🍥;spiralşəkilli balıq piroqu;balıq|balıq tortu|burulğan|piroq|restoran|xəmir|Yapon mətbəxi
🥮;ay piroqu;festival|payız|yuebin
🍡;danqo;çubuq|desert|şirin|şiş|yapon|Yapon şirniyyatı
🥟;klyotek;empanada|gyoza|jiaozi|pierogi|potsticker
🥠;bəxt peçenyesi;Çin mətbəxi|peyğəmbərlik
🥡;özünlə aparmaq qutusu;paketləmə xidməti|stridiya vedrəsi|yemək çatdırılması|yemək çubuqları
🍦;yumşaq dondurma;buz|desert|dondurma|krem|şirin|yumuşaq
🍧;rəndələnmiş dondurma;buz|desert|restoran|rəndələnmiş|şirin
🍨;dondurma;buz|desert|krem|şirin
🍩;ponçik;desert|şirin
🍪;peçenye;desert|şirin
🎂;ad günü tortu;ad günü|bayram|desert|doğum günü tortu|şirin|tort|xəmir
🍰;bir dilim tort;desert|dilim|şirin|şirniyyat|tort|xəmir
🧁;keks;çörəkxana|şəkər tozu|şirniyyat
🥧;piroq;meyvəli keks|şirniyyat|tort
🍫;şokolad plitkası;desert|plitka|şirin|şirniyyat|şokolad
🍬;konfet;desert|şirin
🍭;şüşəli karamel;desert|konfet|nabat|şirin
🍮;bişirilmiş krem;desert|pudinq|şirin|şirniyyat
🍯;bal qabı;bal|bal küpü|qab|şirin
🍼;uşaq şüşəsi;içmək|körpə|süd|şüşə|uşağın süd şüşəsi
🥛;bir stəkan süd;içki|stəkan|süd
☕;isti içki;buxarlanan|çay|içki|içmək|isti|kofe
🫖;çaynik;çay|dəmləmək|içmək|kupə
🍵;qulpsuz çay fincanı;çay|fincan|içki|içmək
🍶;sake;bar|fincan|fincan dəsti|içki|içmək|restoran|şüşə
🍾;tıxacı çıxan şüşə;bar|dartmaq|içmək|şüşə|tıxac
🍷;şərab bakalı;bar|içki|içmək|şərab|spirtli içki|şüşə
🍸;kokteyl bakalı;bar|içki|içmək|kokteyl|şüşə
🍹;tropik içki;alkoqol|bar|içmək|kokteyl|tropik
🍺;pivə krujkası;bar|içmək|krujka|pivə|pivə bakalı|spirtli içki
🍻;pivə krujkalarını toqquşdurmaq;bar|cingilti|içmək|krujka|pivə|pivə bakallarını toqquşdurmaq
🥂;badələri qaldırmaq;badə|qeyd etmək|sağlıq demək|toqquşdurmaq
🥃;viski stəkanı;içki|likör|skoç|spirtli|stəkan|viski
🫗;maye süzülməsi;boş|içki|su|şüşə|süzmək|tökmək|tökülmək|ups
🥤;borucuqlu stəkan;içki|şirə|soda|su|təbii şirə
🧋;köpüklü çay;çay|köpük|mirvari|süd|tayvan
🧃;içki qutusu;şirə|şirə qutusu|şirin
🧉;mate;içki
🧊;buz kubu;aysberq|soyuq
🥢;yemək çubuqları;haşi
🍽️;çəngəl və bıçaq ilə boşqab;bişirmək|bıçaq|boşqab|boşqab və çəngəl-bıçaq dəsti|çəngəl|nahar|yemək
🍴;çəngəl və bıçaq;ac|bişirmək|bıçaq|çəngəl|çəngəl-bıçaq|yemək
🥄;qaşıq;süfrə|yemək
🔪;mətbəx bıçağı;alət|bişirmək|bıçaq|hoço|kəsmək|silah
🫙;banka;boş|çeşni|ədva|heç nə|konteyner|mağaza|sous
🏺;amfora;alət|bişirmək|dolça|içmək|silah|suqabı|zodiak
🌍;Avropa-Afrikanı göstərən qlobus;afrika|avropa|dünya|qlobus|yer kürəsi
🌎;amerika-qitələrini göstərən qlobus;amerika|Amerika qitələrini göstərən qlobus|dünya|qlobus|yer kürəsi
🌏;asiya-avstraliya qitələrini göstərən qlobus;asiya|avstraliya|dünya|qlobus|yer kürəsi
🌐;meridianları olan qlobus;dünya|meridianlar|qlobus|yer kürəsi
🗺️;dünya xəritəsi;dünya|xəritə
🗾;yaponiyanın xəritəsi;xəritə|yaponiya
🧭;kompas;maqnit|naviqasiya|orientasiya
🏔️;başı qarla örtülmüş dağ;dağ|qar|soyuq
⛰️;dağ;
🛘;torpaq sürüşməsi;dağ|fəlakət|qayalar|sel|təhlükə|uçqun|zəlzələ
🌋;vulkan;dağ|hava|püskürmə
🗻;fuji dağı;dağ|fuji
🏕️;kempinq;düşərgə
🏖️;çətirli çimərlik;çətir|çimərlik
🏜️;səhra;
🏝️;tənha ada;ada|səhra
🏞️;milli park;park
🏟️;stadion;
🏛️;klassik bina;bina|klassik
🏗️;bina tikintisi;bina|kran|tikinti
🧱;kərpic;divar|sement
🪨;qaya;ağır|bərk|daş|qaya parçası
🪵;odun;ağac|kötük|taxta-şalban
🛖;alaçıq;çadır|depo|ev
🏘️;ev binaları;bina|ev
🏚️;baxımsız ev binası;baxımsız ev|bina|ev|tərk edilmiş|tərk edilmiş ev
🏠;ev binası;bina|ev|mənzil
🏡;bağı olan ev;bağ|bağ evi|bina|ev|mənzil
🏢;ofis binası;bina
🏣;yapon poçt idarəsi;bina|poçt|yapon
🏤;poçt idarəsi;Avropa|bina|poçt
🏥;xəstəxana;bina|həkim|tibb
🏦;bank;bina
🏨;otel;bina
🏩;sevgi oteli;bina|otel|sevgi
🏪;7/24 açıq olan mağaza;bina|mağaza|rahatlıq
🏫;məktəb;bina
🏬;univermaq;bina|mağaza|şöbə
🏭;fabrik;bina
🏯;yapon qəsri;bina|qəsr|yapon
🏰;qəsr;avropa|bina
💒;toy;kilsə|romantika
🗼;tokiyo qalası;qala|tokio|Tokyo qalası
🗽;azadlıq heykəli;azadlıq|heykəl|Nyu-york
⛪;kilsə;bina|din|xaç|xristian
🕌;məscid;din|islam|müsəlman
🛕;hindu məbədi;hindu|məbədi
🕍;sinaqoq;din|iudaizm|məbəd|yəhudi
⛩️;sinto məbədi;din|məbəd|məqbərə|sinto|türbə
🕋;kəbə;din|həc|islam|müsəlman|ümrə
⛲;fontan;fəvvarə
⛺;çadır;kempinq
🌁;dumanlı;duman|hava
🌃;ulduzlu gecə;axşam|hava|ulduz
🏙️;şəhər mənzərəsi;bina|şəhər
🌄;dağlardan qalxan günəş;dağ|günəş|günəşin doğması|hava|səhər
🌅;gün doğumu;günəş|hava|səhər
🌆;hava qaralanda şəhər mənzərəsi;bina|günəş|günəşin batması
🌇;gün batımı;bina|günəş|hava|toran
🌉;gecə körpü;axşam|gecə|hava|körpü
♨️;qaynar bulaqlar;buğ|bulaqlar|buxarlanan|buxarlanma|isti
🎠;karusel at;at|karusel
🛝;oyun slaydı;əyləncə parkı|oynamaq|oyun sahəsi|sürüşkən|sürüşmək
🎡;şeytan çarxı;çarx|lunapark|şeytan
🎢;maneəli dəmir yolu attraksionu;attraksion|çarx|lunapark
💈;şlaqbaum;bərbər|bərbərxana simvolu|saç düzümü|sütun
🎪;sirk çadırı;çadır|sirk
🚂;lokomotiv;buxar|dəmir yolu|dəmiryolu|mühərrik|nəqliyyat|qatar
🚃;dəmir yolu qatarı vaqonu;dəmir yolu|dəmiryolu|elektrik|elektrik qatarı|maşın|tramvay|trolleybus
🚄;yüksək sürətli qatar;dəmir yolu|dəmiryolu|ekspress qatar|nəqliyyat|qatar|sərnişin ekspressi|sürət|yüksək sürət qatarı
🚅;gülləyə bənzər ucluqlu yüksək sürət qatarı;dəmir yolu|dəmiryolu|güllə|nəqliyyat|nəqliyyat vasitəsi|qatar|sərnişin ekspressi|sürət|sürət qatarı
🚆;qatar;dəmir yolu|dəmiryolu|nəqliyyat
🚇;metro;nəqliyyat|nəqliyyat vasitəsi
🚈;işıq qatarı;dəmir yolu|dəmiryolu|monorels|nəqliyyat
🚉;stansiya;dəmir yolu|dəmiryolu|nəqliyyat|nəqliyyat vasitəsi|qatar
🚊;stritkar;nəqliyyat|nəqliyyat vasitəsi|tramvay|trolleybus
🚝;monorels;nəqliyyat|nəqliyyat vasitəsi
🚞;dağ yolu;dağ|dəmir yolu|dəmiryolu|maşın|nəqliyyat
🚋;tramvay vaqonu;avtobus|avtomobil|tramvay|trolleybus
🚌;avtobus;nəqliyyat|nəqliyyat vasitəsi
🚍;yaxınlaşan avtobus;avtobus|nəqliyyat|yaxınlaşma
🚎;trolleybus;avtobus|nəqliyyat|nəqliyyat vasitəsi|tramvay
🚐;mini avtobus;avtobus|marşrut|nəqliyyat|sürmək
🚑;təcili yardım maşını;nəqliyyat
🚒;yanğınsöndürən;mühərrik|nəqliyyat|yanğın|yük maşını
🚓;polis maşını;maşın|nəqliyyat|patrul|polis
🚔;yaxınlaşan polis maşını;maşın|nəqliyyat|polis|yaxınlaşma
🚕;taksi;nəqliyyat|nəqliyyat vasitəsi|uber
🚖;yaxınlaşan taksi;avtomobil|nəqliyyat|nəqliyyat vasitəsi|taksi|yaxınlaşma
🚗;avtomobil;maşın|nəqliyyat|nəqliyyat vasitəsi
🚘;yaxınlaşan avtomobil;avtomobil|maşın|nəqliyyat|nəqliyyat vasitəsi|yaxınlaşma
🚙;rekreasiya avtomobili;idman avtomobili|nəqliyyat|nəqliyyat vasitəsi|rekreasiya|rn
🛻;pikap yüngül avtomobil;avtomobil|pikap|yük avtomobili
🚚;yük maşını;çatdırılma|nəqliyyat|nəqliyyat vasitəsi
🚛;konteynerli maşın;nəqliyyat|nəqliyyat vasitəsi|yarım|yük maşını
🚜;traktor;nəqliyyat
🏎️;yarış maşını;maşın|yarış
🏍️;motosiklet;yarış
🛵;motorlu skuter;motorlu|motosikl|skuter
🦽;manual təkərli kreslo;əlil arabası|əlverişlilik
🦼;motorlu təkərli kreslo;əlverişlilik|motorlu əlil arabası
🛺;avto-rikşa;tuk-tuk
🚲;velosiped;nəqliyyat
🛴;samokat;skuter
🛹;skeytbord;bord
🛼;diyircəkli konki;diyircək|konki
🚏;avtobus dayanacağı;avtobus|dayanacaq|dayanmaq
🛣️;şosse;yol
🛤️;dəmir yolu;dəmiryolu|qatar
🛢️;neft silindiri;neft|neft çəlləyi|silindir
⛽;yanacaq borusu;boru|nasos|qaz|stansiya|yanacaq|yanacaqdoldurma məntəqəsi
🛞;təkər;dairə|maşın|minik|növbə|şin
🚨;polis maşının işığı;fırlanan|işıq|maşın|mayak|nəqliyyat|polis|polis maşınının işığı|siqnal
🚥;üfüqi işıqfor;işıq|nəqliyyat|siqnal
🚦;şaquli işıqfor;işıq|nəqliyyat|siqnal
🛑;dayanmaq işarəsi;dayanmaq|yol işarəsi
🚧;tikinti;baryer|maneə
⚓;lövbər;alət|gəmi
🛟;üzük buy;baken|həyat qoruyucu|təhlükəsizlik|üzmək|xilasetmə|xilaskar
⛵;yelkənli qayıq;dəniz|kurort|nəqliyyat|nəqliyyat vasitəsi|qayıq|yaxta
🛶;qayıq;sürmə
🚤;sürətli qayıq;nəqliyyat|qayıq
🛳️;sərnişin gəmisi;gəmi|nəqliyyat|nəqliyyat vasitəsi|sərnişin
⛴️;bərə gəmisi;gəmi|qayıq|sərnişin
🛥️;motorlu qayıq;nəqliyyat|nəqliyyat vasitəsi|qayıq
🚢;gəmi;nəqliyyat|sərnişin|səyahət|Titanik
✈️;təyyarə;nəqliyyat|nəqliyyat vasitəsi
🛩️;balaca təyyarə;nəqliyyat|nəqliyyat vasitəsi|təyyarə
🛫;təyyarə qalxır;gediş|nəqliyyat|qeydiyyat|təyyarə|uçuş|uçuşlar
🛬;təyyarə enir;daxilolma|daxilolmalar|eniş|nəqliyyat|nəqliyyat vasitəsi|təyyarə|uçüş
🪂;paraşüt;parayelkən|səma dayvı
💺;oturacaq;stul
🚁;helikopter;nəqliyyat|nəqliyyat vasitəsi
🚟;asma dəmir yolu;asılma|asma dəmiryolu|dəmir yolu|dəmiryolu|nəqliyyat
🚠;dağ kanatı;dağ|kabel|nəqliyyat|qondola
🚡;hava tramvayı;hava|kabel|kanat yol|maşın
🛰️;peyk;kosmos|nəqliyyat
🚀;raket;kosmos|kosmosa səyahət|nəqliyyat
🛸;uçan boşqab;UFO
🛎️;xidmət zəngi;otel|xidmətçi|zəng
🧳;yük;çamadan|əşyaları toplamaq|səyahət
⌛;qum saatı;qum|taymer
⏳;qum tökülən qum saatı;qum|qum saatı|taymer
⌚;qol saatı;saat
⏰;zəngli saat;oyanmaq|saat|siqnal
⏱️;saniyəölçən;saat|vaxt
⏲️;taymer;saat
🕰️;buxarı saat;saat|vaxt
🕛;12 tamam;00|12|12:00|on iki|saat
🕧;birin yarısı;12|12:30|30|on iki|otuz|saat
🕐;bir tamam;00|1|1:00|bir|saat
🕜;ikinin yarısı;1|1:30|30|bir|otuz|saat
🕑;iki tamam;00|2|2:00|iki|saat
🕝;üçün yarısı;2|2:30|30|iki|otuz|saat
🕒;üç tamam;00|3|3:00|saat|üç
🕞;dördün yarısı;3|3:30|30|otuz|saat|üç
🕓;dörd tamam;00|4|4:00|dörd|saat
🕟;beşin yarısı;30|4|4:30|dörd|otuz|saat
🕔;beş tamam;00|5|5:00|beş|saat
🕠;altının yarısı;30|5|5:30|beş|otuz|saat
🕕;altı tamam;00|6|6:00|altı|saat
🕡;yeddinin yarısı;30|6|6:30|altı|otuz|saat
🕖;yeddi tamam;00|7|7:00|saat|yeddi
🕢;səkkizin yarısı;30|7|7:30|otuz|saat|yeddi
🕗;səkkiz tamam;00|8|8:00|saat|səkkiz
🕣;doqquzun yarısı;30|8|8:30|otuz|saat|səkkiz
🕘;doqquz tamam;00|9|9:00|doqquz|saat
🕤;onun yarısı;30|9|9:30|doqquz|otuz|saat
🕙;on tamam;00|10|10:00|on|saat
🕥;on birin yarısı;10|10:30|30|on|otuz|saat
🕚;on bir tamam;00|11|11:00|on bir|saat
🕦;on ikinin yarısı;11|11:30|30|on bir|otuz|saat
🌑;yeni ay;ay|hava|kosmos|tünd
🌒;dörddə bir aypara;ay|aypara|dörddə bir|hava|kosmos
🌓;ayın birinci dörrdə bir hissəsi;ay|dörddə bir|hava|kosmos
🌔;dörddə bir böyüyən ay;ay|böyüyən|dolan ay|dörddə bir|hava|kosmos
🌕;tam ay;ay|bədirlənmiş ay|hava|kosmos|tam
🌖;sönən böyüyən ay;ay|azalan ay|böyüyən|hava|kosmos|sönən
🌗;ayın sonuncu dörddə bir hissəsi;ay|dörddə bir|hava|kosmos|son rüb
🌘;sönən aypara;ay|aypara|hava|kosmos|sönən
🌙;aypara;ay|hava|kosmos|səma
🌚;yeni ay üzü;ay|hava|kosmos|üz
🌛;ayın birinci dörrdə bir hissəsinin üzü;ay|ayın ilk fazası|dörddə bir|hava|kosmos|üz
🌜;ayın sonuncu dörddə bir hissəsinin üzü;ay|ayın sonuncu fazası|dörddə bir|hava|kosmos|üz
🌡️;termometr;hava
☀️;günəş;günəşli|hava|kosmos|parlaq|şüalar
🌝;üzü olan tam ay;ay|hava|kosmos|parlaq|tam|üz
🌞;üzü olan günəş;gün şüaları|günəş|hava|işıqlı|kosmos|parlaq|üz
🪐;üzüklü planet;saturn
⭐;ağ orta ulduz;astronomiya|ulduz
🌟;parıldayan ulduz;işıq|parıldayan|parlaq|qığılcım|ulduz
🌠;düşən ulduz;kosmos|parlama|tökülmək|ulduz|ulduz sürüşməsi
🌌;süd yolu;hava|kosmos
☁️;bulud;hava
⛅;buludun arxasında günəş;bulud|günəş|hava
⛈️;ildırım və yağışlı bulud;bulud|göy gurultusu|hava|ildırım|yağış
🌤️;balaca buludun arxasına günəş;bulud|buludun arxasından çıxan günəş|günəş|hava
🌥️;böyük buludun arxasında günəş;bulud|günəş|hava
🌦️;yağışlı buludun arxasında günəş;bulud|günəş|hava|yağış
🌧️;yağışlı bulud;bulud|hava|yağış
🌨️;qarlı bulud;bulud|hava|qar|soyuq
🌩️;ildırımlı bulud;bulud|hava|ildırım
🌪️;qasırğa;bulud|hava
🌫️;duman;bulud|hava
🌬️;külək üzü;bulud|əsmək|hava|külək|üz
🌀;siklon;başgicəllənmə|hava|qasırğa|tufan
🌈;göyqurşağı;hava|lgbt simvolu|yağış
🌂;bağlı çətir;çimərlik|geyim|hava|yağış|yağmur
☂️;çətir;geyim|hava|yağış
☔;yağış damcıları düşən çətir;çimərlik|damcı|geyim|hava|yağış
⛱️;yerdə çətir;çətir|çimərlik|günəş|hava|yağış
⚡;yüksək voltaj;elektrik|ildırım|təhlükə|toqquşma|voltaj|yüksək gərginlik
❄️;qara dənəciyi;hava|qar|soyuq
☃️;qar adam;hava|qar|soyuq
⛄;qarsız qar adam;hava|qar|qar adam|qar adamı|soyuq
☄️;kometa;kosmos
🔥;alov;alət|atəş|isti|yanmaq
💧;damcı;hava|komik|soyuq|tər
🌊;su dalğası;dalğa|hava|okean|sörfinq|su
🎃;Hellouin balqabağı;bayram|cek|fənər|hellouin
🎄;milad ağacı;ağac|bayram|milad|yeni il bayramı
🎆;fişənglər;bayram|əyləncə|şənlik
🎇;qığılclm;bayram|fişəng|qığılcım
🧨;feyerverk;dinamit|fişəng|partlama
✨;qığılcımlar;işıltı|parıltı|qığılcım|sehirli|ulduz
🎈;şar;bayram
🎉;qonaqlıq stimullaşdırıcısı;bayram|qeyd etmək|qonaqlıq|stimullaşdırıcı|tada
🎊;konfetti topu;bayram|konfetti|top
🎋;tanabata ağacı;ağac|banner|bayram|yapon
🎍;şam ağacı bəzəyi;bambuk|bayram|bitki|şam|yapon
🎎;yapon gəlincikləri;bayram|festival|gəlincik|yapon
🎏;karp-uçurtma;bayram|karp|uçurtma
🎐;külək zəngi;bayram|külək|külək səsi|zəng|zəng səsi
🎑;ay mərasimi;ay|bayram|mərasim
🧧;qırmızı zərf;bəxt|hədiyyə|honbao|pul
🎀;lent;bayram
🎁;bükülmüş hədiyyə;bayram|bükülmüş|hədiyyə|hədiyyə etmək|qutu
🎗️;xatırlatma lenti;bayram|lent|xatırlatma|yadetmə
🎟️;giriş biletləri;bilet|giriş haqqı
🎫;bilet;giriş haqqı
🎖️;hərbi medal;bayram|hərbi|medal|mükafat|təltif
🏆;kubok;mükafat
🏅;idman medalı;medal|qalib
🥇;qızıl medal;1-ci yer|qalib|yarışma
🥈;gümüş medal;2-ci yer|qalib|yarışma
🥉;bürünc medal;3-cü yer|qalib|yarışma
⚽;futbol topu;futbol|top
⚾;beysbol;beysbol topu|top
🥎;softbol;əlçək|idman|qoltuqaltı|top
🏀;basketbol;basketbol topu|halqa|idman|top
🏐;voleybol;oyun|top|voleybol topu
🏈;amerikan futbolu;amerika|futbol|top
🏉;reqbi;futbol|idman|reqbi topu|top
🎾;tennis;tennis topu|top
🥏;uçan disk;frizbi oyunu|sonuncu
🎳;boulinq;oyun|top
🏏;kriket;dəyənək|kriket topu|oyun|top
🏑;sahə xokkeyi;çubuq|oyun|sahə|top|xokkey|xokkey çubuğu
