😀;leveä hymy;hymy|kasvot|naama|virnistys
🥫;säilyketölkki;purkki|ruoka|säilykepurkki|tölkki
🍱;bento-rasia;bento|rasia
🍘;riisikakku;keksi|riisi
🍙;riisipallo;japanilainen|pallo|riisi|ruoka
🍚;keitetty riisi;keitetty|riisi
🍛;curry-riisi;curry|riisi
🍜;höyryävä kulho;höyryävä|kulho|kuuma|nuudeli|ramen
🍝;spagetti;lihapullat|pasta|ravintola|ruoka
🍠;paahdettu bataatti;bataatti|paahdettu|paistettu bataatti|uunipaahdettu
🍢;oden;merenelävät|ravintola|ruoka|tikku|varras
🍣;sushi;raaka kala|riisi|ruoka
🍤;paistettu katkarapu;katkarapu|paistettu|tempura
🍥;kalakakku;kakku|kala|leivonnainen|ravintola
🥮;kuukakku;juhla|syksy|yuèbĭng
🍡;dango;jälkiruoka|japanilainen|makea|tikku
🥟;taikinanyytti;gyoza|myky|nyytti|pelmeni|ruoka
🥠;onnenkeksi;ennustus
🥡;ateriarasia;noutoruoka|ruoka|syömäpuikot
🍦;pehmis;jää|jäätelö|jälkiruoka|kerma|makea|pehmeä
🍧;jäähilejälkiruoka;herkku|jää|jäähile|jälkiruoka|makea
🍨;jäätelö;jälkiruoka|kerma|makea|ravintola|ruoka
🍩;donitsi;jälkiruoka|makea|munkki|munkkirinkeli
🍪;keksi;jälkiruoka|makea|suklaa
🎂;syntymäpäiväkakku;jälkiruoka|juhla|kakku|leivonnainen|makea|syntymäpäivä
🍰;kakkupala;jälkiruoka|kakku|leivonnainen|makea|pala
🧁;vuokaleivos;kuppikakku|leivonnainen|leivos|makea
🥧;piirakka;leivonnainen|täyte
🍫;suklaapatukka;jälkiruoka|makea|patukka|suklaa
🍬;karkki;jälkiruoka|makea
🍭;tikkari;jälkiruoka|karkki|makea
🍮;vanukas;jälkiruoka|makea
🍯;hunaja;makea
🍼;tuttipullo;juoda|maito|pullo|vauva
🥛;maitolasi;juoma|lasi|maito
☕;kuuma juoma;höyryävä|juoda|juoma|kahvi|kuuma|tee
🫖;teepannu;juoda|juoma|pannu|ruoka|tee
🍵;korvaton teekuppi;juoda|juoma|kuppi|tee|teekuppi
🍶;sake;baari|juoma|kuppi|pullo|riisiviini
🍾;pullo ja korkin poksautus;baari|juoda|korkki|poksauttaa|pullo
🍷;viinilasi;baari|juoda|juoma|lasi|viini
🍸;cocktaillasi;baari|cocktail|juoda|lasi
🍹;trooppinen drinkki;baari|drinkki|juoda|lasi|trooppinen
🍺;oluttuoppi;alkoholi|baari|juoda|kalja|olut|tuoppi
🍻;kilisevät oluttuopit;baari|juoda|juoma|kalja|kippis|olut|tuoppi
🥂;kilisevät lasit;juhlia|juoda|kilistää|kippis|lasi|pikarit|skumppa
🥃;juomalasi;paukku|viina|viski
🫗;nesteen kaataminen;juoma|kaataminen|läikyttää|lasi|tyhjä|vahinko|valuttaa
🥤;lasi ja pilli;juoma|limsa|mehu|pilli|vesi
🧋;kuplatee;helmi|juoma|kupla|maito|ruoka|taiwan|tee
🧃;juomatetra;juomat|mehu|pillijuoma|tetra
🧉;mate;juoma
🧊;jääkuutio;jää|jääpala|kylmä
🥢;syömäpuikot;aterimet|ruokailu
🍽️;haarukka, veitsi ja lautanen;aterimet|haarukka|lautanen|ruokailu|veitsi
🍴;haarukka ja veitsi;aterimet|haarukka|ruokailu|veitsi
🥄;lusikka;aterimet|ruokailu
🔪;keittiöveitsi;leikkuuveitsi|ruoanlaitto|teräase|työkalu|veitsi
🫙;purkki;astia|höyste|kastike|mauste|säilytys|tyhjä
🏺;amfora;horoskooppi|horoskooppimerkki|juoma|kannu|ruoanlaitto|vesimies
🌍;maapallo jossa näkyy Eurooppa ja Afrikka;Afrikka|Eurooppa|maailma|maapallo
🌎;maapallo jossa näkyy Amerikka;Amerikka|maailma|maapallo
🌏;maapallo jossa näkyy Aasia ja Australia;Aasia|Australia|maailma|maapallo
🌐;maapallo jossa näkyy pituuspiirit;internet|maailma|maapallo|netti|pituuspiirit
🗺️;maailmankartta;kartta|maailma
🗾;Japanin kartta;Japani|kartta
🧭;kompassi;magneettinen|navigointi|suunnistus
🏔️;lumihuippuinen vuori;kylmä|lumi|vuori
⛰️;vuori;vuoristo
🛘;maanvyörymä;kivet|maanjäristys|mutavyöry|onnettomuus|vaara|vuori|vyöry
🌋;tulivuori;sää|tulivuorenpurkaus|vuori
🗻;Fuji-vuori;Fuji|vuori
🏕️;telttailu;leiri|leirintäalue|teltta
🏖️;ranta ja aurinkovarjo;aurinkovarjo|ranta
🏜️;autiomaa;aavikko|kaktus
🏝️;autiosaari;autio|saari
🏞️;kansallispuisto;puisto
🏟️;stadion;urheilukatsomo
🏛️;klassinen rakennus;antiikki|klassismi|rakennus
🏗️;rakennustyömaa;rakennus|työmaa
🧱;tiili;laasti|muuri|savi|seinä|tiilet
🪨;kivi;kallio|lohkare|painava
🪵;halko;metsä|pölkky|puu|puutavara
🛖;maja;jurtta|koti|mökki|savimaja|talo
🏘️;taloryhmä;rakennus|talo
🏚️;autiotalo;hylätty|rakennus|talo|tyhjä
🏠;talo;asumus|koti|rakennus
🏡;talo ja puutarha;puutarha|rakennus|talo
🏢;toimistorakennus;rakennus|toimisto
🏣;japanilainen postitoimisto;Japani|posti|rakennus
🏤;postitoimisto;posti|rakennus
🏥;sairaala;ensiapu|hoito|lääkäri|rakennus
🏦;pankki;rakennus
🏨;hotelli;majoitus|rakennus
🏩;tuntihotelli;hotelli|rakennus|tunti
🏪;lähikauppa;kauppa|ostokset|rakennus
🏫;koulu;oppi|rakennus
🏬;tavaratalo;kauppa|rakennus
🏭;tehdas;rakennus|tuotanto
🏯;japanilainen linna;Japani|linna|rakennus
🏰;linna;eurooppalainen|länsimainen|rakennus
💒;häät;kappeli|romantiikka|vihkiminen
🗼;Tokyo Tower;Japani|rakennus|Tokio|torni
🗽;Vapaudenpatsas;New York|patsas|USA|vapaus|yhdysvallat
⛪;kirkko;kristinusko|rakennus|uskonto
🕌;moskeija;islam|muslimi|rakennus|uskonto
🛕;hindutemppeli;hindu|temppeli
🕍;synagoga;juutalaisuus|rakennus|temppeli|uskonto
⛩️;shinto-temppeli;rakennus|shintolaisuus|uskonto
🕋;Kaaba;islam|muslimi|rakennus|uskonto
⛲;suihkulähde;suihku|vesi
⛺;teltta;leirintä|telttailu
🌁;sumuinen;sää|sumu
🌃;tähtitaivas;sää|tähti|yö
🏙️;kaupunkimaisema;kaupunki|rakennus
🌄;auringonnousu vuorten takaa;aamu|aurinko|sää
🌅;auringonnousu;aamu|aurinko|sää
🌆;kaupunkimaisema illanhämärässä;aurinko|ilta|kaupunki|sää
🌇;auringonlasku;aurinko|ilta|sää
🌉;silta yöllä;sää|silta|yö
♨️;kuumat lähteet;höyry|kuuma|kylpylä|lähde|vesi
🎠;karusellihevonen;hevonen|karuselli
🛝;liukumäki;leikki|leikkiä|leikkipuisto|liukua
🎡;maailmanpyörä;huvipuisto
🎢;vuoristorata;huvipuisto
💈;punasiniraitainen pylväs;kampaaja|parturi|raidat
🎪;sirkusteltta;sirkus|teltta
🚂;veturi;ajoneuvo|juna|rautatie
🚃;junavaunu;ajoneuvo|juna|raitiovaunu|rautatie
🚄;pikajuna;ajoneuvo|juna|luotijuna|rautatie|shinkansen
🚅;luotipikajuna;ajoneuvo|juna|luotijuna|rautatie|shinkansen
🚆;juna;ajoneuvo|rautatie|saapunut
🚇;metro;ajoneuvo|maanalainen|matkailu
🚈;kevytraidejuna;ajoneuvo|juna|rautatie
🚉;asema;ajoneuvo|juna|rautatie
🚊;raitioliikenne;ajoneuvo|raiteet
🚝;monorail;ajoneuvo|juna|raide|yksiraidejuna
🚞;rinnerata;ajoneuvo|funikulaari|juna|matka|rautatie
🚋;raitiovaunu;ajoneuvo|raiteet|ratikka|spora
🚌;bussi;ajoneuvo|auto|linja-auto
🚍;saapuva bussi;ajoneuvo|auto|bussi|linja-auto
🚎;johdinbussi;ajoneuvo|auto|johdinauto
🚐;minibussi;ajoneuvo|auto|bussi|linja-auto|pikkubussi
🚑;ambulanssi;ajoneuvo|auto
🚒;paloauto;ajoneuvo|auto|tulipalo
🚓;poliisiauto;ajoneuvo|auto|poliisi
🚔;saapuva poliisiauto;ajoneuvo|auto|poliisi|vastaantuleva
🚕;taksi;ajoneuvo|auto|kyyti
🚖;saapuva taksi;ajoneuvo|auto|taksi
🚗;auto;ajoneuvo
🚘;saapuva auto;ajoneuvo|auto
🚙;katumaasturi;ajoneuvo|auto
🛻;lava-auto;auto|avolava|kuljetus|kuorma-auto
🚚;kuljetusauto;ajoneuvo|auto|kuorma-auto|rekka
🚛;rekka-auto;ajoneuvo|auto|kuorma-auto|rekka
🚜;traktori;ajoneuvo|auto|maatila
🏎️;kilpa-auto;auto|kilpa-ajot
🏍️;moottoripyörä;kilpa-ajot|liikenne
🛵;skootteri;ajoneuvo
🦽;käsikäyttöinen pyörätuoli;esteettömyys|pyörätuoli
🦼;moottoroitu pyörätuoli;esteettömyys|pyörätuoli
🛺;autorikša;tuktuk
🚲;polkupyörä;ajoneuvo|pyörä
🛴;potkulauta;lauta|potku|skuutti
🛹;rullalauta;skeittilauta
🛼;rullaluistin;luistin|urheilu
🚏;bussipysäkki;asema|bussi|pysäkki
🛣️;moottoritie;pikatie|tie
🛤️;junaraide;juna|raide|rautatie
🛢️;öljytynnyri;öljy|tynnyri
⛽;bensapumppu;asema|bensiini|polttoaine
🛞;rengas;ajoneuvo|auto|autonrengas|kääntyminen|pyörä
🚨;poliisiauton valo;hälytys|poliisi|valo|vilkku
🚥;vaakasuuntaiset liikennevalot;liikenne|liikennevalo|valo
🚦;pystysuuntaiset liikennevalot;ajaa|liikenne|liikennevalo|risteys|valo
🛑;pysähtymismerkki;merkki|pysähtyä|stop
🚧;rakennustyömaan merkki;este|rakennustyömaa|tietyö|tietyömaa
⚓;ankkuri;alus|laiva|merenkulku|meri
🛟;pelastusrengas;hengenpelastus|kelluminen|pelastaa|pelastaminen|turvallisuus|uiminen
⛵;purjevene;ajoneuvo|alus|jahti|meri|vene
🛶;kanootti;vene
🚤;pikavene;ajoneuvo|meri|moottorivene|vene
🛳️;matkustajalaiva;ajoneuvo|alus|laiva|meri|vene
⛴️;lautta;ajoneuvo|alus|laiva|meri
🛥️;moottorivene;ajoneuvo|meri|pikavene|vene
🚢;laiva;ajoneuvo|alus|meri|vene
✈️;lentokone;ajoneuvo|matkailu|suihkukone
🛩️;pienkone;ajoneuvo|lentokone
🛫;lähtevä lentokone;ajoneuvo|lähtevä|lähtö|lentokone
🛬;saapuva lentokone;ajoneuvo|laskeutuminen|lentokone|saapuva
🪂;laskuvarjo;laskuvarjohyppy|riippuliito|varjoliito
💺;istuin;lentokone|tuoli
🚁;helikopteri;ajoneuvo
🚟;riippurata;ajoneuvo|juna|kisko|rata|rautatie
🚠;gondolihissi;ajoneuvo|gondoli|hissi|kaapeli|kabiini|vuori
🚡;köysirata;ajoneuvo|gondoli|hissi|kaapeli|rata
🛰️;satelliitti;avaruus|tekokuu
🚀;raketti;ajoneuvo|avaruus
🛸;lentävä lautanen;UFO
🛎️;soittokello;hotelli|hotellipoika|kello
🧳;matkatavara;matka|matkalaukku|matkustus|pakkaaminen
⌛;tiimalasi;ajanotto|hiekka
⏳;valuva tiimalasi;ajanotto|hiekka|tiimalasi
⌚;kello;ranne|rannekello
⏰;herätyskello;herätys|kello|myöhä
⏱️;sekuntikello;aika|ajanotto|kello
⏲️;ajastin;ajastus|ajoitus|kello|munakello
🕰️;pöytäkello;kello|takanreunus
🕛;kello kaksitoista;00.00|12|12.00|24.00|aika|kello|kellonaika
🕧;puoli yksi;00.30|12.30|30|aika|kello|kellonaika
🕐;kello yksi;1|1.00|13|13.00|aika|kello|kellonaika
🕜;puoli kaksi;1.30|13.30|30|aika|kello|kellonaika
🕑;kello kaksi;14|14.00|2|2.00|aika|kello|kellonaika
🕝;puoli kolme;14.30|2.30|30|aika|kello|kellonaika
🕒;kello kolme;15|15.00|3|3.00|aika|kello|kellonaika
🕞;puoli neljä;15.30|3.30|30|aika|kello|kellonaika
🕓;kello neljä;16|16.00|4|4.00|aika|kello|kellonaika
🕟;puoli viisi;16.30|30|4.30|aika|kello|kellonaika
🕔;kello viisi;17|17.00|5|5.00|aika|kello|kellonaika
🕠;puoli kuusi;17.30|30|5.30|aika|kello|kellonaika
🕕;kello kuusi;18|18.00|6|6.00|aika|kello|kellonaika
🕡;puoli seitsemän;18.30|30|6.30|aika|kello|kellonaika
🕖;kello seitsemän;19|7|7.00|aika|kello|kellonaika
🕢;puoli kahdeksan;19.30|30|7.30|aika|kello|kellonaika
🕗;kello kahdeksan;20|20.00|8|8.00|aika|kello|kellonaika
🕣;puoli yhdeksän;20.30|30|8.30|aika|kello|kellonaika
🕘;kello yhdeksän;21|21.00|9|9.00|aika|kello|kellonaika
🕤;puoli kymmenen;21.30|30|9.30|aika|kello|kellonaika
🕙;kello kymmenen;10|10.00|22|22.00|aika|kello|kellonaika
🕥;puoli yksitoista;10.30|22.30|30|aika|kello|kellonaika
🕚;kello yksitoista;11|11.00|23|23.00|aika|kello|kellonaika
🕦;puoli kaksitoista;11.30|23.30|30|aika|kello|kellonaika
🌑;uusikuu;kuu|pimeä|sää|taivaankappale
🌒;kasvava kuunsirppi;kasvava|kuu|sää|sirppi|taivaankappale
🌓;ensimmäinen neljänneskuu;kuu|puolikuu|sää|taivaankappale
🌔;kasvava puolikuu;kasvava|kuu|sää|taivaankappale
🌕;täysikuu;kuu|sää|taivaankappale|täysi
🌖;vähenevä puolikuu;kuu|sää|taivaankappale|vähenevä
🌗;viimeinen neljänneskuu;kuu|puolikuu|sää|taivaankappale
🌘;vähenevä kuunsirppi;kuu|sää|sirppi|taivaankappale|vähenevä
🌙;kuunsirppi;kuu|sää|sirppi|taivaankappale
🌚;uudenkuun kasvot;kasvot|kuu|sää|taivaankappale
🌛;kasvava puolikuu kasvoilla;kasvot|kuu|puolikuu|sää|taivaankappale
🌜;vähenevä puolikuu kasvoilla;kasvot|kuu|puolikuu|sää|taivaankappale
🌡️;lämpömittari;lämpötila|sää
☀️;aurinko;helle|kirkas|paiste|sää|säteet
🌝;täysikuu kasvoilla;kasvot|kirkas|kuu|sää|valo
🌞;aurinko kasvoilla;aurinko|kasvot|kuu|paiste|sää|valo
🪐;rengasplaneetta;Saturnus
⭐;valkoinen tähti;tähti|tähtitiede
🌟;loistava tähti;loiste|säihke|tähti|valo
🌠;tähdenlento;avaruus|tähti|toive
🌌;linnunrata;avaruus|galaksi|sää
☁️;pilvi;sää
⛅;aurinko pilvessä;aurinko|pilvi|sää
⛈️;ukkospilvi ja sade;pilvi|sää|sade|salama|ukkonen
🌤️;aurinko ja pieni pilvi;aurinko|pilvi|sää
🌥️;aurinko ja suuri pilvi;aurinko|pilvi|sää
🌦️;aurinko sadepilvessä;aurinko|pilvi|sää|sade
🌧️;sadepilvi;pilvi|sää|sade
🌨️;lumisadepilvi;lumi|lumisade|pilvi|pyry|sää
🌩️;ukkospilvi;pilvi|sää|salama|ukkonen
🌪️;hurrikaani;hirmumyrsky|sää|tornado
🌫️;sumu;sää|usva|utu
🌬️;puhuri;pilvi|puuska|sää|tuuli
🌀;pyörremyrsky;hirmumyrsky|pyörre|sää|sykloni
🌈;sateenkaari;biseksuali|genderqueer|hlbt|hlbtq|hlbtqia|homo|lesbo|queer|sää|sade|trans
🌂;suljettu sateenvarjo;asuste|sää|sade|sateenvarjo
☂️;sateenvarjo;asuste|sää|sade
☔;sateenvarjo ja pisarat;asuste|pisara|sää|sade|sateenvarjo
⛱️;aurinkovarjo;aurinko|kesä|ranta|sää|varjo
⚡;korkeajännite;sähkö|sähköisku|vaara|virta
❄️;lumihiutale;hiutale|kylmä|lumi|sää
☃️;lumiukko;kylmä|lumi|sää
⛄;lumiukko ilman lunta;kylmä|lumi|lumiukko|sää
☄️;komeetta;avaruus|pyrstötähti
🔥;tuli;liekki|lieska|nuotio
💧;pisara;hiki|sää|tippa|vesi
🌊;aalto;meri|tyrsky|valtameri|vesi
🎃;kurpitsalyhty;halloween|juhla|kaivertaa|kurpitsa
🎄;joulukuusi;joulu|joulupuu|juhla|kuusi
🎆;ilotulitus;juhla
🎇;tähtisadetikku;ilotulite|juhla|tähtisade
🧨;sähikäinen;dynamiitti|ilotulitus|räjähde|raketti|tykinlaukaus
✨;säihke;loiste|tähti|taika
🎈;ilmapallo;juhla
🎉;paukkuserpentiini;hurraa|juhla|yllätys
🎊;konfettipallo;juhla|konfetti|koristepaperi
🎋;tanabatapuu;bambu|Japani|juhla|puu|tanabata
🎍;puukoriste;bambu|havu|Japani|juhla
🎎;japanilaiset nuket;Japani|juhlinta|nukke
🎏;karppiviiri;juhla|karppi|koinobori|viiri
🎐;tuulikello;juhla|kello|tuuli
🎑;kuuseremonia;juhla|juhlamenot|kuu
🧧;punainen kirjekuori;hóngbāo|lahja|lai see|onni|raha
🎀;rusetti;juhla|lahjanaru|ruusuke
🎁;lahjapaketti;juhla|käärepaperi|lahja|paketti
🎗️;tietoisuusnauha;merkkipäivä|muistutus|nauha|tietoisuus
🎟️;pääsylippu;lippu|sisäänpääsylippu
🎫;lippu;sisäänpääsylippu
🎖️;kunniamerkki;armeija|juhla|mitali
🏆;pokaali;kisat|palkinto|urheilu
🏅;urheilumitali;mitali
🥇;kultamitali;ensimmäinen|kulta|mitali|voittaja
🥈;hopeamitali;hopea|mitali|toinen
🥉;pronssimitali;kolmas|mitali|pronssi
⚽;jalkapallo;pallo|urheilu
⚾;pesäpallo;baseball|pallo|urheilu
🥎;softball;hanska|pallo|räpylä|urheilu
🏀;koripallo;pallo|urheilu
🏐;lentopallo;ottelu
🏈;amerikkalainen jalkapallo;jalkapallo|pallo|super bowl|urheilu
🏉;rugby-pallo;jalkapallo|pallo|rugby|urheilu
🎾;tennis;pallo|tennispallo|urheilu
🥏;liitokiekko;Frisbee|kiekko|ultimate
🎳;keilailu;keila|keilapallo|pallo|peli
🏏;kriketti;maila|ottelu|pallo
🏑;maahockey;hockey|maila|ottelu|pallo|peli
🏒;jääkiekko ja maila;jää|jääkiekko|kiekko|maila|ottelu|peli
🥍;lacrosse;haavipallo|maali|maila|pallo|urheilu
🏓;pingis;maila|ottelu|pallo|pingispallo|pöytätennis
🏸;sulkapallo;maila|ottelu|sulka|sulkapallomaila
🥊;nyrkkeilyhanska;hanska|liikunta|nyrkkeily|urheilu
🥋;kamppailulajiasu;asu|judo|kamppailulajit|karate|taekwondo|urheilu
🥅;maaliverkko;liikunta|maali|urheilu
⛳;lippu reiän päällä;golf|lippu|reikä
⛸️;luistin;jää|luistelu
🎣;onkivapa;kalastus|onki|virveli
🤿;sukellusmaski;snorkkelisetti|snorklaus|sukellus
🎽;juoksupaita;juokseminen|nauha|paita|urheilu
🎿;sukset;hiihto|lumi|sauvat
🛷;kelkka;kouru|lasku|liukuri|pulkkamäki
🥌;curling-kivi;jää|kivi|peli
🎯;napakymppi;darts|häränsilmä|kymmenen|tikka|tikkataulu
🪀;jojo;jojoilla|lelu
🪁;leija;leijailla|lennättää
🔫;vesipyssy;pistooli|pyssy|revolveri
🎱;biljardi;8|biljardipallo|kahdeksan|kasipallo|pallo|peli
🔮;kristallipallo;ennustaja|ennustus|kristalli|povaus|taika|tulevaisuus
🪄;taikasauva;noita|taika|taikuri|velho
🎮;videopeli;ohjain|peli
🕹️;joystick;ohjain|sauvaohjain|videopeli
🎰;pelikone;kasino|kolikko|rahapeli
🎲;noppa;noppakuutio|peli|viihde
🧩;palapeli;arvoitus|pala|vihje|yhteenliittynyt|yhteensopiva
🧸;nalle;lelu|pehmolelu|täytetty|teddykarhu
🪅;piñata;juhla|juhlat|juhlinta|karkki|meksiko|pinada|pinata
🪩;peilipallo;bileet|disco|disko|diskopallo|glitter|juhlat|tanssi
🪆;maatuskanuket;maatuska|nukke|venäläinen
♠️;pata;kortti|korttipeli|maa
♥️;hertta;kortti|korttipeli|maa
♦️;ruutu;kortti|korttipeli|maa|peli|timantti
♣️;risti;kortti|korttipeli|maa
♟️;šakkipelin sotilas;nappula|pelinappula|punapaita|šakki|sotilas|uhrattavissa
🃏;jokeri;kortti|korttipeli|peli
🀄;mahjong;keskusta|lohikäärme|peli|punainen
🎴;kukkapelikortit;hanafuda|Japani|kortti|korttipeli|kukat
🎭;näyttämötaiteet;naamio|näytelmä|näyttämö|shakespeare|taide|teatteri
🖼️;kuva kehyksissä;kehys|maalaus|museo|taide|taulu
🎨;taiteilijan paletti;maalari|maali|taide
🧵;lankarulla;lanka|neula|ompelu|rulla|rullalanka
🪡;ompeluneula;käsinompelu|kirjonta|neula|ompelu|parsiminen|silmäneula|tikit
🧶;lankakerä;kerä|kutominen|lanka|neulominen|virkkaus
🪢;solmu;kiinnittää|köysi|naru|solmulla
👓;silmälasit;silmä|vaatteet
🕶️;aurinkolasit;lasit|silmä|silmälasit|tumma
🥽;suojalasit;hitsaus|silmien suojelu|uimalasit
🥼;laboratoriotakki;koe|lääkärintakki|tohtori|tutkija
🦺;turvaliivi;hätä|hätätilanne|liivi|turvallisuus
👔;solmio;asuste|kravatti|vaatteet
👕;t-paita;paita|vaatteet
👖;farkut;housut|vaatteet
🧣;huivi;asuste|kaula|kaulaliina|niska
🧤;hansikkaat;asuste|hanskat|kädet|käsineet
🧥;takki;hrr|päällysvaate|pusero|vaatteet
🧦;sukat;vaatteet|villasukka
👗;mekko;leninki|ostokset|vaatteet
👘;kimono;japanilainen|vaatteet
🥻;sari;mekko|vaate
🩱;uimapuku;uima-asu
🩲;uimahousut;alushousut|uima-asu|vaatteet
🩳;uimashortsit;alushousut|shortsit|uimahousut|uinti
👙;bikinit;ranta|uida|uimapuku|vaatteet|vesi
👚;naistenvaatteet;nainen|ostokset|paita|vaatteet
🪭;taittuva käsiviuhka;arka|jäähdytys|kuuma|lepatus|tanssi|ujo|viilentää|viuhka
👛;rahakukkaro;asuste|kolikko
👜;käsilaukku;asuste|laukku|ostokset
👝;kirjekuorilaukku;asuste|iltalaukku|laukku
🛍️;ostoskassit;kauppakassi|laukku|shoppailu
🎒;koulureppu;koulu|koululaukku|laukku|reppu
🩴;varvassandaali;flip flop|rantasandaalit|sandaalit|tossut|varvassandaalit|varvastossut
👞;miehen kenkä;kenkä|mies|vaatteet
👟;juoksukenkä;kenkä|lenkkarit|urheilu|vaatteet
🥾;vaelluskenkä;erävaellus|kenkä|patikointi|retkeily|telttailu
🥿;balleriina;balettitossu|kenkä|lipokas|tossu
👠;korkokenkä;kenkä|korko|nainen|vaatteet
👡;naisen sandaali;kenkä|nainen|sandaali|vaatteet
🩰;balettitossut;baletti|tanssi
👢;naisen saapas;kenkä|nainen|ostokset|saapas|vaatteet
🪮;selvityskampa;afrokampaus|esine|harva|hiukset|kampa|tukka
👑;kruunu;asuste|kuningas|kuningatar
👒;naisen hattu;hattu|nainen|vaatteet
🎩;silinteri;hattu|taikuri|vaatteet
🎓;valmistujaislakki;hattu|juhla|lakki|vaatteet|valmistujaiset
🧢;lippalakki;hattu|lakki|vaatteet
🪖;sotilaskypärä;armeija|kypärä|sotilaallinen|sotilas
⛑️;kypärä, jossa valkoinen risti;apu|hattu|jossa valkoinen risti|kypärä|naama|risti
📿;rukoushelmet;asuste|helmet|helminauha|rukous|uskonto
💄;huulipuna;kosmetiikka|kosmetiikkaa|meikit|meikki
💍;sormus;häissä|kihlat|romantiikka|timantti
💎;jalokivi;romantiikka|timantti
🔇;mykistetty kaiutin;äänenvoimakkuus|äänetön|hiljaa|kaiutin|mykistys
🔈;hiljainen kaiutin;äänenvoimakkuus|alhainen
🔉;kaiutin normaalilla äänenvoimakkuudella;äänenvoimakkuus|äänet|kaiutin
🔊;äänekäs kaiutin;äänenvoimakkuus|kaiutin|kovempaa|lisää
📢;kovaääninen;ääni|huomio|keskusradio|kova
📣;megafoni;ääni|huomio|kovaääninen|suosionosoitus
📯;postitorvi;posti|soitin|torvi
🔔;kirkonkello;ääni|kello|sointi
🔕;mykistetty kello;äänetön|hiljaisuus|kello|kielto|mykistys
🎼;nuottiviivasto;musiikki|nuotti|nuottiavain
🎵;nuotti;musiikki
🎶;nuotteja;musiikki|nuotti
🎙️;studiomikrofoni;äänitys|levytys|mikrofoni|musiikki
🎚️;liukusäädin;liu’utin|musiikki|valitsin|voimakkuus
🎛️;säätimet;musiikki|nuppi|säädin
🎤;mikrofoni;karaoke|mikki
🎧;kuuloke;korvanappi|nappi|nappikuuloke
📻;radio;vastaanotin|viihde
🎷;saksofoni;instrumentti|musiikki
🎺;trumpetti;instrumentti|musiikki|torvi
🪊;pasuuna;instrumentti|jazz|liukua|musiikki|surullinen|vaski
🪗;harmonikka;haitari|hanuri
🎸;kitara;instrumentti|musiikki
🎹;koskettimet;instrumentti|musiikki|piano|syntikka
🎻;viulu;instrumentti|jousi|musiikki
🪕;banjo;kielisoitin|musiikki
🥁;rumpu;musiikki|rumpukapula
🪘;congarumpu;conga|kongo|rumpu|rytmi|soitin
🪇;marakassit;esine|instrumentti|kalina|lyömäsoittimet|musiikki|rämistä|ravista|ravistaa|soitin
🪈;huilu;esine|instrumentti|musiikki|nokkahuilu|orkesteri|pilli|puupuhallin|säkkipilli|soitin|urkupilli
🪉;harppu;musiikki|orkesteri|rakkaus|soitin
📱;kännykkä;matkapuhelin|mobiili|mobiililaite|puhelin
📲;kännykkä ja nuoli;matkapuhelin|nuoli|puhelin|puhelu|saapuva
☎️;puhelin;lankapuhelin
📞;luuri;kuuloke|puhelin
📟;hakulaite;
📠;faksi;faksilaite|viestintä
🔋;akku;akkuvirta|paristo
🪫;akku vähissä;akku|sähkö|tyhjä|virta vähissä
🔌;pistoke;sähkö|sähköpistoke|sähkötöpseli|töpseli
💻;kannettava tietokone;kannetava|kannettava|läppäri|pc|tietokone|toimisto
🖥️;pöytäkone;näyttö|tietokone
🖨️;tulostin;printteri|tietokone
⌨️;näppäimistö;näppäimet|näppis|tietokone
🖱️;tietokoneen hiiri;hiiri|tietokone
🖲️;ohjauspallo;hiiri|tietokone
💽;minidisk;levy|minidisc|tietokone
💾;disketti;korppu|levyke|tietokone
💿;CD;blu-ray|dvd|levy|tietokone
📀;DVD;blu-ray|cd|levy|tietokone
🧮;helmitaulu;koulu|laskeminen
🎥;elokuvakamera;elokuva|kamera|kuvaukset
🎞️;filminauha;elokuva|filmirulla
📽️;elokuvaprojektori;elokuva|elokuvakone|projektori|video
🎬;klaffitaulu;elokuva|klaffi|kuvaukset|toiminta
📺;televisio;telkkari|tv|video
📷;kamera;instagram|video
📸;kamera ja salama;kamera|salama|video
📹;videokamera;kamera|video
📼;videokasetti;nauha|VHS|video|videonauha
🔍;suurennuslasi vasemmalle;etsi|haku|lasi|suurennuslasi|työkalu
🔎;suurennuslasi oikealle;etsi|haku|lasi|suurennuslasi|työkalu
🕯️;kynttilä;valo
💡;hehkulamppu;ajatus|lamppu|sähkö|valo
🔦;taskulamppu;lamppu|sähkö|työkalu|valo
🏮;punainen paperilyhty;baari|Japani|lyhty|punainen|valo
🪔;savilamppu;diya|lamppu|öljy|öljylamppu
📔;koristeellinen muistikirja;kansi|kirja|kirjoitus|koulu|lehtiö|muistikirja|muistio
📕;suljettu kirja;kirja|suljettu
📖;avoin kirja;avoin|kirja
📗;vihreä kirja;kirja|vihreä
📘;sininen kirja;kirja|sininen
📙;oranssi kirja;kirja|oranssi
📚;kirjoja;kirja|kirjapino|kirjat
📓;muistikirja;kirja|lehtiö|muistio
📒;tilikirja;kirja|kirjanpito|lehtiö
📃;käännetty sivu;asiakirja|dokumentti|sivu
📜;kirjakäärö;käärö|paperi
📄;sivu;asiakirja|dokumentti
📰;sanomalehti;lehti|uutiset
🗞️;sanomalehti rullalla;lehti|rulla|sanomalehti|uutiset
