😀;nevető arc;arc|boldog|fogak|nevetés|szmájli|vidám
🪱;kukac;állat|féreg|földigiliszta|giliszta|gyűrűs féreg|gyűrűsféreg|parazita
🦠;mikróba;amőba|baktérium|tudomány|vírus
💐;csokor;évforduló|növény|randevú|randi|romantika|születésnap|virág|virágcsokor
🌸;cseresznyevirág;cseresznye|növény|virág
💮;fehér virág;növény|virág
🪷;lótusz;buddhizmus|hinduizmus|India|lótuszvirág|tisztaság|Vietnam|virág
🏵️;rozetta;növény|virág
🌹;rózsa;növény|romantika|szenvedély|szerelem|szerelmes|virág|vörös rózsa
🥀;hervadt virág;hervadt|rózsa|virág
🌺;hibiszkusz;növény|virág
🌻;napraforgó;nap|növény|virág
🌼;virágzás;növény|virág
🌷;tulipán;növény|virág
🪻;jácint;búzavirág|csillagfürt|levendula|tátika|virág
🌱;palánta;hajtás|kihajt|növény
🪴;cserepes növény;cserepes virág|gondozás|hasztalan|növény|szoba|szobanövény|unalmas
🌲;örökzöld;fa|fenyő|fenyőfa|karácsonyfa|növény
🌳;lombhullató fa;erdő|fa|lombhullató|növény|zöld
🌴;pálmafa;fa|növény|pálma|strand|tengerpart
🌵;kaktusz;növény|sivatag|szárazság|természet
🌾;rizs;gabona|gabonaféle|növény
🌿;gyógynövény;levél|növény
☘️;lóhere;növény
🍀;négylevelű lóhere;lóhere|négylevelű|növény|szerencse|szerencsés
🍁;juharlevél;falevél|juhar|levél|növény|ősz
🍂;lehullott levél;avar|falevél|lehullott|levél|növény|ősz
🍃;szélfútta levél;hulló|lebegő|levél|növény|szél
🪹;üres fészek;fészek|fészekrakás
🪺;fészek tojásokkal;fészek|fészekrakás|tojások
🍄;gomba;növény
🪾;levél nélküli fa;ágak|csupasz|fa|faanyag|halott|kiszáradt|levél nélküli|tél|terméketlen|törzs
🍇;szőlő;étel|gyümölcs|növény
🍈;sárgadinnye;étel|gyümölcs|növény
🍉;görögdinnye;dinnye|étel|gyümölcs|növény
🍊;mandarin;c-vitamin|gyümölcs|narancs|nektarin|növény
🍋;citrom;citrusféle|étel|gyümölcs|keserű|növény
🍋‍🟩;lime;citrus|friss|gyümölcs|koktél|lé|margarita|mojito|salsa|tequila|trópusi|zöld
🍌;banán;gyümölcs|kálium
🍍;ananász;étel|gyümölcs|növény
🥭;mangó;déligyümölcs|étel|gyümölcs|trópusi
🍎;piros alma;alma|egészség|érett|étel|gyümölcs|növény|piros
🍏;zöld alma;alma|egészség|étel|gyümölcs|növény|zöld
🍐;körte;étel|gyümölcs|növény
🍑;őszibarack;barack|étel|gyümölcs|növény
🍒;cseresznye;étel|gyümölcs|meggy|növény
🍓;eper;étel|gyümölcs|növény|szamóca
🫐;áfonya;bogyó|bogyós gyümölcs|étel|fekete áfonya|gyümölcs
🥝;kivi;étel|gyümölcs
🍅;paradicsom;étel|növény|zöldség
🫒;olajbogyó;étel|növény|olajág|olíva|olívabogyó|olívaolaj
🥥;kókuszdió;étel|gyümölcs|kókusz|növény|pálma|piña colada
🥑;avokádó;étel|gyümölcs
🍆;padlizsán;étel|növény|zöldség
🥔;krumpli;burgonya|étel|zöldség
🥕;sárgarépa;étel|répa|zöldség
🌽;kukoricacső;cső|csöves kukorica|étel|kukorica|növény
🌶️;erőspaprika;csípős|erős|étel|növény|paprika
🫑;kaliforniai paprika;paprika|pritamin|pritaminpaprika|zöldség
🥒;uborka;étel|kígyóuborka|kovászosuborka|zöldség
🥬;leveles zöldség;burger|fodros kel|hamburger|káposzta|kel|kelkáposzta|kínai kel|saláta|zöldség
🥦;brokkoli;étel|vadkáposzta|zöldség
🧄;fokhagyma;ízesítés
🧅;hagyma;ízesítés|vöröshagyma
🥜;földimogyoró;allergia|étel|mogyoró
🫘;bab;étel|hüvelyes növény|vese|vesebab|vörösbab
🌰;gesztenye;étel|mogyoró|növény
🫚;gyömbérgyökér;fűszer|gyökér|gyömbér|sör
🫛;borsóhüvely;bab|borsó|edamame|hüvely|hüvelyes|zöldség
🍄‍🟫;barna gomba;étel|gomba|portobello|szarvasgomba|természet|vega|vegán|vegetariánus
🫜;gyökérzöldség;cékla|étel|fehérrépa|gyökér|kert|retek|saláta|vegetáriánus|zöldség
🍞;kenyér;étel|vekni
🥐;croissant;étel|francia|kifli|péksütemény|péksüti|reggeli
🥖;bagett;étel|francia|kenyér
🫓;laposkenyér;étel|kenyér|lapos kenyér|lepénykenyér|naan|pita
🥨;perec;csavart|perec, étel, csavart
🥯;bagel;kenyér|pékáru|pékség|reggeli|szendvics|vajkrém|zsemle
🥞;palacsinta;étel
🧇;gofri;gofrisütő|határozatlan|vas|waffle
🧀;sajtdarab;ementáli|étel|lyukas sajt|sajt
🍖;csontos hús;csont|étel|hús
🍗;csirkecomb;baromfi|comb|csirke|csontos|étel|hús|kacsacomb|libacomb
🥩;húsdarab;bárányszelet|étel|hús|hússzelet|nyers hús|sertésszelet|steak|szelet hús
🥓;szalonna;bacon|étel|hús
🍔;hamburger;burger|étel|gyorskaja|hambi|sajtburger
🍟;sült krumpli;étel|gyorsétel|gyorskaja|hasábburgonya|krumpli|sültkrumpli
🍕;pizza;étel|pepperoni|sajtos|szelet
🌭;hot dog;étel|hotdog|kifli|kolbász|mustár|virsli
🥪;szendvics;kenyér
🌮;taco;étel|mexikói
🌯;burrito;étel|mexikói
🫔;tamale;étel|felcsavart|mexikói
🥙;pita;étel|falafel|gírosz|gyros|kebab|töltött
🧆;falafel;csicseriborsó|húsgolyó
🥚;tojás;étel
🍳;sütés-főzés;étel|reggeli|serpenyő|tojás|tükörtojás
🥘;serpenyős étel;étel|paella|serpenyő
🍲;egy tál étel;ebéd|ennivaló|étel|tál
🫕;fondü;csokoládé|étel|lábas|olvasztott|sajt|sí|svájci
🥣;tál kanállal;ebéd|étel|gabonapehely|leves|paradicsomleves|reggeli|rizskása|tál
🥗;zöld saláta;étel|saláta|zöld|zöldsaláta
🍿;pattogatott kukorica;étel|kukorica|mozi
🧈;vaj;tejtermék
🧂;só;dühös|fűszer|íz|sós|sószóró
🥫;konzerv;étel
🍱;japán ételdoboz;bento|doboz|étel|ételdoboz
🍘;rizskeksz;étel|japán|keksz|rizs
🍙;rizsgolyó;étel|golyó|japán|rizs
🍚;főtt rizs;étel|főzött|rizs
🍛;currys rizs;curry|étel|rizs
🍜;gőzölgő tál;étel|evőpálcika|forró|gőzölög|tál|tészta
🍝;spagetti;étel|makaróni|milánói|olasz étel|tészta
🍠;sült édesburgonya;burgonya|édesburgonya|étel|krumpli
🍢;oden;étel|grillezés|japán kebab|nyárs|saslik
🍣;szusi;étel|japán
🍤;sült garnélarák;étel|garnélarák|rák|sült|tenger gyümölcsei
🍥;csavart haltorta;csavart|étel|hal|haltorta|japán|torta
🥮;holdsütemény;fesztivál|ősz|őszközép|yuèbǐng
🍡;dango;desszert|édesség|étel|gombóc|japán|nyárs|pálca
🥟;gombóc;batyu|étel|gyoza|japán|jiaozi|kínai|pierogi|tészta|töltött
🥠;szerencsesüti;desszert|édesség|étel|jóslás|jóslat
🥡;elviteles doboz;doboz|elviteles papírdoboz|elvitelre|étel|étel házhozszállítás|evőpálcika|kínai|pálcika
🍦;lágyfagylalt;desszert|édesség|étel|fagyi|fagylalt|gépi fagylalt|tölcséres fagylalt
🍧;fagylalt öntettel;desszert|édesség|étel|fagyi|fagylalt|öntet
🍨;fagylalt;desszert|édesség|étel|fagyi|fagylaltkehely
🍩;fánk;desszert|édesség|étel
🍪;sütemény;desszert|édesség|étel|keksz|süti
🎂;születésnapi torta;desszert|édesség|étel|sütemény|süti|születésnap|szülinap|torta
🍰;gyümölcstorta;desszert|édesség|étel|sütemény|süti|szelet|torta|tortaszelet
🧁;cupcake;cukor|desszert|édesség|finomság|pékáru|pékség
🥧;pite;almáspite|desszert|édesség|étel|gyümölcsös|sütemény|süti|tészta|töltelék|töltött
🍫;csokoládé;csoki|desszert|édesség|tábla csoki|táblás csokoládé
🍬;cukorka;bonbon|desszert|édesség
🍭;nyalóka;cukorka|desszert|édesség
🍮;puding;desszert|édesség|étel
🍯;mézes csupor;bödön|csupor|édes|méz|mézes bödön
🍼;cumisüveg;baba|cumi|ital|tej|újszülött
🥛;egy pohár tej;ital|pohár|tej
☕;forró ital;forró|gőzölgő|ital|kávé|koffein|reggel|reggeli ital|tea
🫖;teáskanna;bögre|ital|kanna|tea
🍵;fül nélküli teáscsésze;csésze|ital|tea|teáscsésze
🍶;szaké;alkohol|bár|csésze|ital|japán|üveg
🍾;üveg kiugró dugóval;bár|dugó|ital|kiugrik|kupak|pezsgő|pezsgőt pukkaszt|születésnap|ünneplés
🍷;borospohár;alkohol|bár|bor|étterem|ital|pohár|vörösbor
🍸;koktélos pohár;alkohol|bár|ital|koktél|pohár
🍹;trópusi ital;alkohol|bár|ital|koktél|trópusi
🍺;söröskorsó;alkohol|bár|ital|korsó|sör
🍻;összekoccanó söröskorsók;alkohol|bár|ital|koccintás|korsó|sör|söröskorsó
🥂;koccintó poharak;ivás|koccint|koccintás|koccintó|pohár|ünneplés
🥃;feles pohár;alkohol|feles|ital|pia|pohár|szeszes ital|tömény|whisky
🫗;ömlő folyadék;ital|kiönt|pohár|üres
🥤;pohár szívószállal;dzsúz|ital|ivólé|papírpohár|pohár|szénsavas ital|szívószál|szóda|üdítő|üdítőital
🧋;buborékos tea;bubble tea|buborék|étel|gyöngy|ital|tajvan|tea|tej
🧃;italos doboz;édes|gyümölcslé|gyümölcsleves doboz|ivólé|juice|szívószál
🧉;maté;ital
🧊;jégkocka;hideg|jég|jéghegy
🥢;evőpálcikák;evés|evőpálcika|hashi|pálcika
🍽️;kés és villa tányérral;kés|tálalás|tányér|villa
🍴;kés és villa;ebéd|ebédszünet|éhes|evőeszköz|kaja|kés|tálalás|vacsora|villa
🥄;kanál;evés, eszik|evőeszköz
🔪;konyhakés;eszköz|fegyver|felszerelés|főzés|kés|konyha|séf|szakács
🫙;befőttesüveg;fűszer|szósz|tárolás|tároló|üres
🏺;amfora;antik váza|edény|váza|vízöntő
🌍;Európát és Afrikát mutató földgömb;Afrika|Európa|föld|földgömb|világ
🌎;Amerikát mutató földgömb;Amerika|föld|földgömb|földrajz|világ
🌏;Ázsiát és Ausztráliát mutató földgömb;Ausztrália|Ázsia|föld|földgömb|földrajz|világ
🌐;földgömb délkörökkel;délkörök|föld|földgömb|földrajz|internet|világ
🗺️;világtérkép;föld|térkép|világ
🗾;Japán térképe;földrajz|Japán|térkép
🧭;iránytű;irány|mágneses|navigáció|tájékozódás
🏔️;hegy hótakaróval;hegy|hideg|hó
⛰️;hegy;hegység
🛘;földcsuszamlás;földrengés|hegy|katasztrófa|lavina|sárlavina|sziklák|veszély
🌋;vulkán;katasztrófa|kitörés|természet|tűzhányó|vulkánkitörés
🗻;Fudzsi-hegy;fudzsi|hegy
🏕️;sátorozás;kemping|kempingezés|sátor
🏖️;strand napernyővel;homok|napernyő|strand|tengerpart
🏜️;sivatag;kaktusz
🏝️;lakatlan sziget;pálmafa|sivatag|sziget
🏞️;nemzeti park;park|védett terület
🏟️;stadion;sportlétesítmény
🏛️;klasszikus épület;épület|klasszikus|múzeum|régi
🏗️;építkezés;daru|építés
🧱;tégla;agyag|fal|habarcs|malter|téglafal|téglák
🪨;szikla;kemény|kő|kőszikla|nehéz
🪵;fa;faanyag|farönk|rönk
🛖;kunyhó;ház|jurta|lak|otthon
🏘️;lakóházak;családi ház|épület|ház
🏚️;elhagyatott ház;elhagyatott|épület|ház|romos
🏠;lakóház;családi ház|épület|ház|hétvégi ház|lak|otthon|vidéki ház
🏡;ház kerttel;családi ház|épület|ház|hétvégi ház|kert|kertes ház|lak|nyaraló|otthon|vidéki ház
🏢;irodaépület;épület|iroda|munka|munkahely
🏣;japán postahivatal;épület|japán|posta
🏤;postahivatal;épület|európai|posta
🏥;kórház;doktor|épület|gyógyítás|orvos
🏦;bank;épület
🏨;hotel;épület
🏩;szálló szerelmeseknek;épület|love hotel|szálloda|szerelmi fészek
🏪;kisbolt;bolt|éjjel-nappali|épület|non-stop
🏫;iskola;épület
🏬;áruház;boltok|épület
🏭;gyár;épület
🏯;japán kastély;épület|japán|kastély
🏰;vár;épület|európai|kastély
💒;esküvő;épület|kápolna|romantika
🗼;Tokiói torony;tokió|torony
🗽;Szabadság-szobor;New York|szabadság|szobor
⛪;templom;épület|kereszt|keresztény|vallás
🕌;mecset;iszlám|mohamedán|muszlim|vallás
🛕;hindu templom;hindu|templom
🕍;zsinagóga;judaizmus|szentély|templom|vallás|zsidó
⛩️;sintó szentély;japán|sintó|szentély|vallás
🕋;kába;fekete|iszlám|kő|kocka|mohamedán|muszlim|vallás
⛲;szökőkút;
⛺;sátor;kempingezés|szállás
🌁;ködös;időjárás|köd
🌃;éjszaka csillagokkal;csillag|derült idő|éjszaka|épület|város
🏙️;városkép;éjszaka|épületek|város
🌄;hegyek mögött felkelő nap;hajnal|hegyek|nap|napfelkelte|napkelte|reggel
🌅;napfelkelte;felkelő nap|hajnal|nap|napkelte|reggel
🌆;városkép alkonyatkor;alkonyat|épület|este|nap|naplemente|napnyugta|város|városkép
🌇;naplemente;alkonyat|épületek|lemenő nap|nap|város
🌉;híd éjszaka;éjszaka|híd
♨️;hőforrás;forrás|forró|gőz|gőzölgő
🎠;ló a körhintáról;játék|körhinta|szórakozás|vidámpark
🛝;játszótéri csúszda;csúszda|játék|vidámpark
🎡;óriáskerék;játék|kerék|vidámpark
🎢;hullámvasút;hullámnvasút|játék|vidámpark
💈;fodrászcégér;borbély|cégér|fodrász|hajvágás
🎪;cirkuszsátor;cirkusz|sátor
🚂;mozdony;gőz|gőzmozdony|jármű|játékmozdony|játékvasút|közlekedés|utazás|vasút|vonat
🚃;vasúti kocsi;elektromos|kocsi|közlekedés|vasút|villamos|vonat
🚄;gyorsvasút;gyorsvonat|jármű|közlekedés|személyszállítás|vasút
🚅;golyóorrú gyorsvasút;golyóorrú|gyorsvonat|jármű|közlekedés|nagysebességű|sebes|személyszállítás|vasút|vonat
🚆;vonat;jármű|közlekedés|vasút
🚇;metró;földalatti|jármű|közlekedés|utazás
🚈;hév;jármű|közlekedés|metró|vasút
🚉;állomás;jármű|közlekedés|vasút|vonat
🚊;villamos;hév|jármű|közlekedés|közlekedési eszköz|metró|nagyvárosi közlekedés|személyszállítás
🚝;egysínű vasút;jármű|közlekedés|közlekedési eszköz|személyszállítás|vasút|vonat
🚞;hegyi vasút;jármű|kocsi|közlekedés|vasút
🚋;villamoskocsi;jármű|kocsi|közlekedés|villamos
🚌;busz;jármű|közlekedés
🚍;érkező busz;busz|érkezés|jármű|közlekedés
🚎;trolibusz;busz|jármű|közlekedés|troli
🚐;mikrobusz;busz|jármű|kisbusz|közlekedés|minibusz|teherautó|vezet
🚑;mentő;jármű|közlekedés|mentőautó
🚒;tűzoltóautó;jármű|közlekedés|tűz|tűzoltó|tűzoltóság
🚓;rendőrautó;autó|jármű|járőrautó|közlekedés|rendőr|rendőrség
🚔;érkező rendőrautó;autó|érkező|jármű|járőrautó|közlekedés|rendőrautó|rendőrség
🚕;taxi;autó|jármű|közlekedés|személyszállítás
🚖;érkező taxi;érkező|jármű|közlekedés|személyszállítás|taxi
🚗;autó;jármű|kocsi|közlekedés|vezet|vezetés
🚘;érkező autó;autó|érkező|jármű|kocsi|közlekedés|vezet
🚙;szabadidőautó;autó|jármű|közlekedés|lakókocsi|suv|szabadidő-autó|terepjáró|utcai terepjáró|városi terepjáró|vezet
🛻;kisteherautó;autó|furgon|kocsi|pick-up|pickup|szállítás
🚚;teherautó;autó|jármű|költözés|költöztetés|közlekedés|szállítás|teherfuvarozás
🚛;billenős teherautó;autó|fuvar|fuvaroz|jármű|kamion|költözik|költöztetés|közlekedés|szállít|szállítás|teherautó|teherfuvarozás|vezet
🚜;traktor;jármű
🏎️;versenyautó;autó|Forma-1|közlekedés|verseny|versenyzés
🏍️;motorkerékpár;közlekedési eszköz|motor|sport|verseny|versenyzés
🛵;robogó;jármű|közlekedés|motor|Vespa
🦽;kézi hajtású kerekesszék;akadálymentesség|kerekesszék|tolókocsi|tolószék
🦼;motoros kerekesszék;akadálymentesség|kerekesszék
🛺;motoros riksa;riksa|tuk tuk
🚲;kerékpár;bicikli|biciklis|biciklizik|jármű|kerékpáros|kerékpározik|közlekedés|spinning|sport|teker|tekerés
🛴;roller;közlekedés
🛹;gördeszka;deszka|deszkás|kerék|kerekek
🛼;görkorcsolya;görkori|kori|sport
🚏;buszmegálló;busz|megálló
🛣️;autópálya;autóút|főút|országút|pálya|út
🛤️;vasúti sín;sín|vágány|vasút|vonat
🛢️;olajoshordó;hordó|olaj
⛽;benzinkút;benzin|dízel|kút|tank|tankol|tankolás|töltőállomás|üzemanyag
🛞;kerék;abroncs|felni|fordul|gumiabroncs|kör
🚨;rendőrautó villogója;autó|forgó|jármű|lámpa|mentő|rendőr|riaszt|sziréna|tűzoltó|vészhelyzet|villogó
🚥;vízszintes közlekedési lámpa;kereszteződés|közlekedési|lámpa
🚦;függőleges közlekedési lámpa;kereszteződés|közlekedési|lámpa
🛑;stoptábla;nyolcszög|stop
🚧;útépítés;közlekedés|sorompó
⚓;vasmacska;hajózás|horgony|kikötés|lehorgonyoz
🛟;mentőöv;biztonság|életmentő|lebeg|megment
⛵;vitorlás hajó;hajó|jacht|közlekedés|tenger|vitorlás|vitorlázik|vízi jármű
🛶;kenu;csónak|evezés|evezőlapát|közlekedés|lapát|sport
🚤;motoros siklócsónak;csónak|hajó|kishajó|közlekedés|motorcsónak|vízi jármű
🛳️;utasszállító hajó;csónak|hajó|jármű|közlekedés|utasszállítás|vízi jármű
⛴️;komp;hajó|közlekedés|utasszállítás
🛥️;motorcsónak;csónak|hajó|jacht|közlekedés|utasszállítás
🚢;hajó;közlekedés|óceánjáró|utasszállítás|utazás|vízi jármű
✈️;repülőgép;közlekedés|légi jármű|repül|repülő|utazás
🛩️;kisrepülő;közlekedés|légi jármű|repülő|repülőgép|személyszállítás
🛫;repülőgép indulása;felszállás|indulás|jármű|közlekedés|légi jármű|repülő|repülőgép|utasfelvétel
🛬;repülőgép érkezése;érkezés|közlekedés|légi jármű|leszállás|repülőgép
🪂;ejtőernyő;siklóernyő
💺;ülés;szék
🚁;helikopter;jármű|közlekedés|légi jármű|utazás
🚟;függővasút;függő|jármű|közlekedés|vasút
🚠;hegyi felvonó;hegyi|jármű|kábelvasút|közlekedés|sílift
🚡;kötélpályás felvonó;jármű|kábelvasút|kötélpálya|közlekedés|levegő
🛰️;műhold;jármű|szatelit|szatellit|űr
🚀;rakéta;jármű|közlekedés|űr|űrutazás
🛸;repülő csészealj;földönkívüli|idegenek|marslakó|UFO|ufó
🛎️;londinerhívó csengő;csengő|szálloda
🧳;bőrönd;csomag|csomagolás|gurulós|poggyász|utazás
⌛;lejárt homokóra;homok|homokóra|idő|letelt|óra
⏳;nem lejárt homokóra;homok|homokóra|homokóra csordogáló homokkal|idő|lejár|letelik|telik|várakozás
⌚;óra;idő|karóra
⏰;ébresztőóra;ébresztés|idő|óra|vekker
⏱️;stopperóra;óra|stopper
⏲️;visszaszámláló óra;időzítő|óra|visszaszámlálás
🕰️;régies óra;óra
🕛;tizenkét óra;00|12|12:00|dél|egész óra|éjfél|óra|tizenkettő
🕧;fél egy;12|12:30|30|harminc|idő|óra|tizenkettő
🕐;egy óra;00|1|1:00|egész óra|egy|idő|óra
🕜;fél kettő;1|1:30|30|egy|harminc|idő|óra
🕑;két óra;00|2|2:00|egész óra|idő|kettő|óra
🕝;fél három;2|2:30|30|harminc|idő|kettő|óra
🕒;három óra;00|3|3:00|egész óra|három|idő|óra
🕞;fél négy;3|3:30|30|harminc|három|idő|óra
🕓;négy óra;00|4|4:00|egész óra|idő|négy|óra
🕟;fél öt;30|4|4:30|harminc|idő|négy|óra
🕔;öt óra;00|5|5:00|egész óra|idő|óra|öt
🕠;fél hat;30|5|5:30|harminc|idő|óra|öt
🕕;hat óra;00|6|6:00|egész óra|hat|idő|óra
🕡;fél hét;30|6|6:30|harminc|hat|idő|óra
🕖;hét óra;00|7|7:00|egész óra|hét|óra
🕢;fél nyolc;30|7|7:30|harminc|hét|idő|óra
🕗;nyolc óra;00|8|8:00|egész óra|idő|nyolc|óra
🕣;fél kilenc;30|8|8:30|harminc|idő|nyolc|óra
🕘;kilenc óra;00|9|9:00|egész óra|kilenc|óra
🕤;fél tíz;30|9|9:30|harminc|idő|kilenc|óra
🕙;tíz óra;00|10|10:00|egész óra|idő|óra|tíz
🕥;fél tizenegy;10|10:30|30|harminc|idő|óra|tíz
🕚;tizenegy óra;00|11|11:00|egész óra|óra|tizenegy
🕦;fél tizenkettő;11|11:30|30|harminc|idő|óra|tizenegy
🌑;újhold;ég|éjszaka|hold|holdfázisok|sötétség|űr
🌒;növő, sarló alakú hold;ég|éjszaka|hold|holdfázisok|kifli|növő|növő, kifli alakú hold|sarló|sarló alakú hold|űr
🌓;első negyedben lévő hold;ég|éjszaka|hold|holdfázisok|negyed
🌔;növő domború hold;domború|ég|éjszaka|hold|holdfázisok|űr
🌕;telihold;ég|éjszaka|hold|holdfázisok|űr
🌖;fogyó domború hold;domború|ég|éjszaka|hold|holdfázisok|homorú
🌗;utolsó negyedben lévő hold;ég|éjszaka|hold|holdfázisok|utolsó negyed
🌘;fogyó, sarló alakú hold;ég|fogyó|fogyó, kifli alakú hold|hold|holdfázisok|kifli|kifli alakú hold|sarló|sarló alakú hold
🌙;növekvő hold;ég|éjszaka|hold|holdfázisok|kifli|kifli alakú hold|sarló
🌚;újhold arccal;arc|ég|hold|holdfázisok|új hold arccal|újhold
🌛;első negyedben lévő hold arccal;arc|ég|éjszaka|első negyed|hold|holdfázisok
🌜;utolsó negyedben lévő hold arccal;arc|ég|éjszaka|hold|holdfázisok|utolsó negyed
🌡️;hőmérő;időjárás
☀️;nap;fényes sugarak|időjárás|napos|napsugarak
🌝;telihold arccal;arc|ég|éjszaka|hold|holdfázisok|telihold
🌞;nap arccal;arc|égitest|hőség|időjárás|nap|napfény|napos|strand
🪐;gyűrűs bolygó;bolygó|szaturnusz
⭐;csillag;közepes fehér csillag
🌟;fénylő csillag;csillag|csillog|csillogás|éjszaka|fény|fényes
🌠;hullócsillag;csillag|csillaghullás|ég
🌌;tejút;csillagrendszer|Tejútrendszer|űr|világűr
☁️;felhő;felhős|időjárás
⛅;nap egy felhő mögött;felhő|felhős|időjárás|nap
⛈️;felhő villámmal és esővel;eső|felhő|felhőszakadás|időjárás|mennydörgés|villámlás
🌤️;nap egy kis felhő mögött;felhő|időjárás|nap|napos
🌥️;nap egy nagy felhő mögött;felhő|felhős|időjárás|nap
🌦️;nap a felhő mögött esővel;eső|felhő|időjárás|nap
🌧️;felhő esővel;esik|eső|esőfelhő|felhő|felhőszakadás|időjárás
🌨️;felhő hóval;felhő|havazik|hideg|hó|időjárás
🌩️;felhő villámmal;felhő|időjárás|villám|villámlik
🌪️;tornádó;felhő|forgószél|hurrikán|időjárás|szél
🌫️;köd;felhő|időjárás
🌬️;szélarc;arc|fúj|időjárás|szél|szeles
🌀;ciklon;hurrikán|időjárás|tájfun
🌈;szivárvány;aszexuális|biszexuális|büszke|büszkeség|eső|homoszexuális|időjárás|interszexuális|kérdéses|kíváncsi|leszbikus|LGBT|LMBT|meleg|omniszexuális|pánszexuális|természet|transznemű|transzszexuális
🌂;becsukott esernyő;ernyő|esernyő|eső|időjárás|kiegészítő
☂️;esernyő;eső|időjárás|kiegészítő
☔;esernyő esőcseppekkel;csepp|ernyő|esernyő|eső|időjárás|kiegészítő
⛱️;ernyő a földön;ernyő|eső|időjárás|nap|napernyő|nyár|strand
⚡;magasfeszültség;nagyfeszültség|veszély|vihar|villám|villámlás
❄️;hópehely;hideg|hó|időjárás|tél|zúzmara
☃️;hóember;hideg|hó|hóesés|időjárás|tél
⛄;hóember hó nélkül;hideg|hó|hóember|időjárás|tél
☄️;üstökös;meteor|űr
🔥;tűz;ég|felgyullad|forró|gyúlékony|gyullad|láng|meleg|perzsel
💧;csepp;hideg|időjárás|izzadság|képregény|könny|könnycsepp|szomorú|vicces|víz
🌊;vízhullám;hullám|hullám a vízen|időjárás|óceán|tenger|víz
🎃;töklámpás;halloween|töklámpa|ünnep|ünnepi hangulat|ünneplés
🎄;karácsonyfa;fa|fenyő|fenyőfa|karácsony|ünnep|ünnepi hangulat|ünneplés
🎆;tűzijáték;ünnep|ünnepi hangulat|ünneplés
🎇;csillagszóró;tűzijáték|ünnep|ünnepi hangulat|ünneplés
🧨;petárda;dinamit|fény|pukkan|robban|robbanószer|szikra|tűz|tüzijáték|tűzijáték
✨;szikrák;csillag|csillog|szikra|varázslat
🎈;léggömb;lufi, születésnap, ünnepel|ünnep|ünnepi hangulat|ünneplés
🎉;partikellékek;buli|bulizik|konfetti|partizik|party|szerpentin|szilveszter|születésnap|ünnep|ünnepel|ünnepi hangulat|ünneplés
🎊;konfetti;buli|parti|party|születésnap|ünnep|ünnepi hangulat|ünneplés
🎋;tanabata ünnepi fa;fa|japán|ünnep|ünnepi hangulat|ünneplés
🎍;fenyődekoráció;bambusz|fenyő|japán|növény|ünnep|ünnepi hangulat|ünneplés
🎎;japán babák;baba|figura|japán|ünnep|ünnepi hangulat|ünneplés
🎏;rizspapír pontyok;hal|lobogó|ponty|rizspapír|ünnep|ünnepi hangulat|ünneplés
🎐;szélharang;csengő|harang|harangjáték|szél|szélcsengő|ünnep|ünnepi hangulat|ünneplés
🎑;holdünnep;hold|ünnep|ünnepi hangulat|ünneplés
🧧;piros boríték;ajándék|hong bao|hóngbāo|lai see|pénz|szerencse|szerencsehozó
🎀;szalag;masni|ünnep|ünnepi hangulat|ünneplés
🎁;becsomagolt ajándék;ajándék|becsomagolt|doboz|karácsony|meglepetés|születésnap|ünnep|ünnepi hangulat|ünneplés
🎗️;emlékező szalag;emlékezés|megemlékezés|sárga szalag|szalag
🎟️;belépőjegyek;belépő|belépőjegy|jegy
🎫;jegy;belépő|belépőjegy
🎖️;katonai kitüntetés;érem|katonai|kitüntetés|medál|megemlékezés
🏆;kupa;díj|győzelem|győzni|győztes|sport|trófea|verseny
🏅;sportérem;aranyérem|érem|győztes|medál
🥇;aranyérem;arany|első|érem|medál
🥈;ezüstérem;érem|ezüst|második
🥉;bronzérem;bronz|érem|harmadik|medál
⚽;foci;focilabda|futball|labda|labdarúgás|sport
⚾;baseball;baseball-labda|labda|sport
🥎;softball;baseball|kar alatti dobás|kesztyű|labda|sport|sportok
🏀;kosárlabda;kosár|labda|sport
🏐;röplabda;játék|labda|röpi|sport
🏈;amerikai foci;amerikai foci, sport, Super Bowl|amerikai futball|amerikaifoci-labda|labda
🏉;rögbi;labda|rögbilabda|sport
🎾;tenisz;labda|sport|teniszlabda
🥏;frizbi;korong|repül|ultimate
🎳;bowling;golyó|játék|sport
🏏;krikett;játék|labda|sport|ütő
🏑;gyeplabda;bot|hoki|játék|labda|sport|ütő
🏒;hokiütő és korong;hoki|jéghoki|jégkorong|korong|labda|sport|ütő
🥍;lacrosse;bot|gól|kapu|labda|labdajáték|sport|ütő
🏓;pingpong;asztalitenisz|labda|sport|ütő
🏸;tollaslabda;játék|labda|sport|tollas|ütő
🥊;bokszkesztyű;boksz|box|boxkesztyű|kesztyű|sport
🥋;karateruha;cselgáncs|dzsúdó|egyenruha|harcművészet|judo|karate|ruha|sport|taekwondo
🥅;kapu;háló|sport
⛳;zászló a lyuknál;golf|lyuk|sport
⛸️;jégkorcsolya;jég|korcsolya|korcsolyázik|kori|sport|téli sport
🎣;horgászbot;bot|hal|hobbi|horgászik|horogra akadt|pecabot|pecázik|sport|szabadidő
🤿;búvármaszk;búvár|búvárkodás|búvárszemüveg|merülés|szabadtüdős merülés
🎽;futómez;atlétika|futás|mez|trikó
