😀;חיוך רחב;חיוך|מחייך|פרצוף|שמח
🐼;פנדה;בעל חיים|פני פנדה|פנים
🦥;עצלן;איטי
🦦;לוטרה;כלב נהר|שעשוע
🦨;בואש;מסריח|סירחון
🦘;קנגורו;אוסטרליה|בעל חיים|חיית כיס|קפיצות
🦡;גירית;בעל חיים|גירית הדבש|סמוריים
🐾;טביעות רגל של חיה;טביעות רגל|כפות רגל|עקבות
🦃;תרנגול הודו;בעל חיים|עוף
🐔;תרנגולת;בעל חיים|עוף|ציפור|תרנגול
🐓;תרנגול;בעל חיים|עוף|ציפור
🐣;אפרוח בוקע;אפרוח|בוקע|ביצה
🐤;אפרוח;בעל חיים|גוזל|ציפור
🐥;אפרוח מלפנים;אפרוח|גוזל
🐦;ציפור;אפרוח|בעל חיים|גוזל
🐧;פינגווין;בעל חיים|ציפור
🕊️;יונה;עלה זית|שלום
🦅;נשר;בעל חיים|עוף דורס|ציפור
🦆;ברווז;בעל חיים|עוף
🦢;ברבור;בעל חיים|הברווזון המכוער|עופות מים|ציפור
🦉;ינשוף;בעל חיים|דורס לילה|דורסי לילה|חוכמה|ציפור
🦤;ציפור דודו;דודו|זן נכחד|מאוריציוס|ציפור גדולה
🪶;נוצה;לעוף|נוצות|ציפורים
🦩;פלמינגו;בעל חיים|ורוד|טרופי|עוף מים|צבעוני
🦚;טווס;בעל חיים|גאוותן|צבעוני|ציפור|ראוותני
🦜;תוכי;בעל חיים|ג׳ונגל|ציפור|ציפור מדברת
🪽;כנף;טיסה|כנפיים|מיתולוגיה|מלאכים|עופות|ציפורים|תעופה
🐦‍⬛;ציפור שחורה;בעל חיים|מקור|עורב|עורבני|ציפור|קרקור|שחור
🪿;אווז;טפשות|עוף|ציפור
🐦‍🔥;עוף החול;התחדשות|חירום|להשתנות|לידה מחדש|נצחי|פנטזיה|פניקס|ציפור האש|תפארת
🐸;פני צפרדע;פנים|צפרדע
🐊;תנין;אליגטור|קרוקודיל|תמסח
🐢;צב;בעל חיים|שלחופה
🦎;לטאה;בעל חיים|זוחל
🐍;נחש;ארסי|בעל חיים|זוחל|קוברה
🐲;פני דרקון;אגדה|אגדי|בעל חיים|דרקון|סין|סיני|פרצוף דרקון
🐉;דרקון;אגדה|אגדי|משחקי הכס|סיני
🦕;סרופוד;ברונטוזאורוס|ברכיוזאורוס|דינוזאור|דיפלודוקוס
🦖;טי-רקס;דינוזאור|טי רקס|טירנוזאורוס-רקס
🐳;לווייתן מתיז סילון מים;בעל חיים|לווייתן|מים|מתיז|סילון
🐋;לוויתן;בעל חיים|לווייתן
🐬;דולפין;פליפר|קופץ
🫍;אורקה;אוקיינוס ​​|ימי|לוויתן
🦭;כלב ים;אריה ים
🐟;דג;גלגל המזלות|מזל דגים
🐠;דג טרופי;דג|דגים|טרופי
🐡;אבו נפחא;בעל חיים|דג|קוצים
🦈;כריש;דג
🐙;תמנון;אוקטופוס|בעל חיים
🐚;צדף מסולסל;מסולסל|צדף|קונכיה
🪸;אלמוג;אוקיינוס|ים|שונית אלמוגים|שינוי אקלים
🪼;מדוזה;אאוץ׳|אוקיאנוס|אקווריום|בעל חיים|ג׳לי|ים|כוויה|עקיצה
🦀;סרטן;בעל חיים|גלגל המזלות|מזל סרטן
🦞;לובסטר;בעל חיים|מאכלי ים|מרק סרטנים|סרטנים
🦐;שרימפ;בעל חיים|חסילון|פירות ים
🦑;דיונון;בעל חיים|פירות ים|קלמרי|תמנון
🦪;צדפה;אויסטר|חלזונות|פירות ים|צדפות|שבלולים
🐌;חלזון;בעל חיים|ברלה|חילזון|שבלול
🦋;פרפר;בעל חיים|חרק|יופי|מעופף
🐛;זחל;חרק|תולעת
🐜;נמלה;בעל חיים|חרק
🐝;דבורה;בעל חיים|דבש|חרק|צרעה
🪲;חיפושית;בעל חיים|חרק
🐞;פרת משה רבנו;באגים|בעל חיים|חיפושית|משה רבנו
🦗;צרצר;חגב|חרק
🪳;תיקן;איכס|בעל חיים|ג׳וק|חרק|מקק
🕷️;עכביש;בעל חיים|חרק
🕸️;קורי עכביש;עכביש|קורים
🦂;עקרב;ארסי|בעל חיים|מזל עקרב|צהוב|שחור
🦟;יתוש;בעל חיים|וירוס|חרק|מחלות|מלריה
🪰;זבוב;זבוב הבית|זבוב הסוס|טסה טסה|מחלות|צה-צה
🪱;תולעת;בעל חיים|טפיל|שלשול|תולעים|תולעת פרקים
🦠;מיקרוב;אמבה|וירוס|חיידק|מיקרואורגניזם
💐;זר פרחים;זר|מזל טוב|פרחים|רומנטי|רומנטיקה
🌸;פריחת דובדבן;דובדבן|פרח|פריחה|פריחת הדובדבן
💮;פרח לבן;עיטור|פרח
🪷;לוטוס;בודהיזם|הודו|הינדואיזם|פרח|שלווה
🏵️;פרח צהוב;פרח|צהוב
🌹;ורד;פרח|רומנטי|רומנטיקה|שושנה
🥀;פרח נובל;נגמרה האהבה|נובל|פרח|קומל|קמל
🌺;היביסקוס;פרח
🌻;חמניה;אור|פרח|שמש
🌼;פריחה;אביב|חרצית|פרח|שינן
🌷;צבעוני;הולנד|טוליפ|פרח
🪻;יקינתון;זר פרחים|לבנדר|סגול|עמוד|פרח|פריחה|צמח|שיח|תפרחת
🌱;נבט;צמח|שתיל
🪴;צמח בעציץ;משעמם|סוקולנט|עציץ|עציץ לבית|צמח
🌲;עץ ירוק-עד;אשוח|ירוק-עד|עץ|עץ חג המולד|צמח
🌳;עץ נשיר;ירוק|משיר|עץ|צל|צמח
🌴;עץ דקל;טרופי|עץ|צמח
🌵;קקטוס;מדבר|צבר|צמח|קוצים|קוצני|קישקשתא
🌾;שיבולי אורז;אורז|צמח|שיבולים
🌿;צמח תבלין;גבעול|עלה|ענף|צמח
☘️;תלתן;אירלנד|עלה|צמח
🍀;תלתן ארבעה עלים;אירלנד|מזל|עלה|צמח|תלתן
🍁;עלה מייפל;מייפל|סירופ|סתיו|עלים נושרים|פנקייק|קנדה|שלכת
🍂;עלי שלכת;סתיו|עלים|צמח|שלכת
🍃;עלה עף ברוח;סתיו|עלה נידף|עלים|עלים עפים ברוח|צמח|רוח|שלכת
🪹;קן ריק;בית|בית ריק|ציפורים|קינון|קן
🪺;קן עם ביצים;ביצים|גוזלים|ציפורים|קינון|קן לציפור
🍄;פטריה;ירק
🪾;עץ בלי עלים;בלי עלים|בצורת|חורף|עץ
🍇;ענבים;פרי|קיץ
🍈;מלון;פרי|קיץ
🍉;אבטיח;פרי|קיץ
🍊;קלמנטינה;חורף|פרי|פרי הדר|תפוז
🍋;לימון;פרי|פרי הדר
🍋‍🟩;ליים;חמוץ|טקילה|טרופי|מוחיטו|מיץ|מרגריטה|פרי|פרי הדר|קוקטייל
🍌;בננה;פרי
🍍;אננס;טרופי|פרי
🥭;מנגו;טרופי|פרי
🍎;תפוח אדום;אדום|אוכל|מזון|פרי|תפוח
🍏;תפוח ירוק;ירוק|פרי|תפוח
🍐;אגס;פרי
🍑;אפרסק;פרי
🍒;דובדבנים;דובדבן|פרי
🍓;תות שדה;פרי|תות
🫐;אוכמניות;כחול|פירות|פירות יער|פרי יער
🥝;קיווי;אוכל|פרי
🍅;עגבנייה;ירק|עגבניה|פרי
🫒;זית;זיתים|עלה זית|שלום
🥥;קוקוס;דקל|פינה קולדה
🥑;אבוקדו;אוכל|מאכל|פרי
🍆;חציל;ירק
🥔;תפוח אדמה;אוכל|ארוחה|מזון|תוספת|תפו״א|תפוד
🥕;גזר;ירק|סלט
🌽;קלח תירס;ירק|תירס
🌶️;פלפל חריף;חריף|ירק|סחוג|פלפל|צ׳ילי
🫑;פלפל אדום;גמבה|ירק|פלפל|פלפל ירוק
🥒;מלפפון;ירק|סלט
🥬;עלים ירוקים;באק צ׳וי|באק-צ׳וי|חסה|ירוקים|כרוב|מנגולד|קייל
🥦;ברוקולי;ירק
🧄;שום;תבלין
🧅;בצל;תבלין
🥜;בוטנים;בוטן|נשנוש|פיצוחים
🫘;שעועית;אוכל|קטניות
🌰;ערמון;ערמונים
🫚;שורש ג׳ינג׳ר;אוכל|בירה|ג׳ינג׳ר|זנגוויל|משקה|שורש|תבלין
🫛;אפונה;אדממה|ירקות|צמח|קטניות|שעועית
🍄‍🟫;פטרייה חומה;אוכל|טבע|טבעונות|ירקות|פורטובלו|פטריה|פטריות|שיטקי|תוספת לפיצה
🫜;ירק שורש;גינה|ירק|סלק|שורש
🍞;לחם;אוכל|כיכר|מזון
🥐;קרואסון;מאפה|צרפתי|קוראסון|קורסון
🥖;באגט;בגט|לחם|צרפתי
🫓;פיתה;אוכל|ארפה|לאפה|לוואשי|לחם|מאפה|נאן
🥨;בייגלה;פרצל|צורת 8
🥯;בייגל;ארוחת בוקר|לחם|מאפה
🥞;פנקייקס;חביתיות|חביתית|חם|פנקייק|קרפ
🧇;וופל;אפיפית|ופל|ופל בלגי
🧀;חריץ גבינה;גבינה
🍖;בשר על עצם;בשר|עצם
🍗;שוק;כרעיים|עוף|פולקע
🥩;נתח בשר;אומצה|בשר אדום|סטייק|צלע כבש
🥓;בייקון;חזיר|טרף|לא כשר|קותלי חזיר
🍔;המבורגר;בשר|לחמניה
🍟;צ׳יפס;טוגנים|ציפס
🍕;פיצה;משולש
🌭;נקניקייה בלחמניה;לחמניה|נקניקיה|נקניקייה
🥪;סנדביץ׳;כריך
🌮;טאקו;מקסיקני
🌯;בוריטו;לאפה|מקסיקני|שווארמה
🫔;טמלה;אוכל|מקסיקני|ראפ
🥙;פיתה עם פלאפל;אוכל רחוב|לאפה|פיתה|פלאפל|שווארמה
🧆;פלאפל;אוכל רחוב|חומוס|כדורים
🥚;ביצה;אוכל|ביצה קשה|מזון
🍳;בישול;אוכל|ארוחת בוקר|ביצת עין|חביתה|טיגון|מזון
🥘;תבשיל קדרה;קאסרול|קדרה|תבשיל
🍲;סיר אוכל;אדים|אוכל|מרק|נזיד|סיר
🫕;פונדו;אוכל|גבינות|סיר|שוקולד
🥣;קערה עם כף;ארוחת בוקר|דגני בוקר|דייסה
🥗;סלט ירקות;סלט|סלט בריאות|סלט ירוק
🍿;פופקורן;סרט|קולנוע
🧈;חמאה;מוצרי חלב|מרגרינה
🧂;מלח;תבלין|תבלינים
🥫;שימורים;פחית שימורים|קופסת שימורים
🍱;חמגשית עם אוכל;אוכל|בנטו|חמגשית|סושי|קופסה
🍘;פריכית אורז;אורז|פריכיות
🍙;כדור אורז;אורז|יפני|כדור
🍚;אורז מבושל;אוכל|אורז|מבושל|מזון|קערת אורז
🍛;אורז קארי;אורז|קארי
🍜;קערה מהבילה;אוכל|אטריות|מוקפץ|נודלס|סיני|ראמן|תאילנדי
🍝;ספגטי;מקרוני|פסטה
🍠;בטטה צלויה;בטטה|צלויה|תפו״א|תפוח אדמה
🍢;שיפוד;אוכל|מנגל|על האש|קבב
🍣;סושי;אוכל|יפני
🍤;שרימפ מטוגן;טמפורה|מטוגן|פירות ים|שרימפס
🍥;עוגיית אורז עם עיטור;מאפה|עוגייה|עיטור|קישוט
🥮;עוגת ירח סינית;חג סיני|סין|פסטיבל אמצע הסתיו
🍡;שיפוד כופתאות;יפני|מתוק|קינוח|שיפוד
🥟;דים-סאם;גיוזה|דים סאם|כופתאות|מומו|פירוגי
🥠;עוגיית מזל;מזל|עוגיה|עוגייה סינית
🥡;קופסת משלוח;טייק-אוויי|משלוח|ערימת צדפות
🍦;גלידה בגביע;גביע|גלידה|גלידה אמריקאית|מתוק
🍧;קערית ברד;ברד|ממותק|קינוח|קרח
🍨;גלידה;מתוק|קינוח|קיץ|קר
🍩;סופגניה;דונט|מאפה|מתוק
🍪;עוגיה;מאפה|מתוק|שבבי שוקולד|שוקולד צ׳יפס
🎂;עוגת יום הולדת;חגיגה|יום הולדת|מאפה|מזל טוב|מסיבה|עוגה
🍰;פרוסת עוגה;מאפה|מתוק|עוגה|פרוסה|קינוח
🧁;קפקייק;מאפה|מאפין|מתוק|עוגה|עוגה אישית
🥧;פשטידה;מאפה|פאי
🍫;חפיסת שוקולד;חטיף|מתוק|שוקולד
🍬;סוכריה;ממתק|מתוק|קינוח
🍭;סוכריה על מקל;ממתק|מקל|מתוק|סוכריה
🍮;פודינג;מתוק|קינוח
🍯;צנצנת דבש;דבש|כד דבש|מתוק
🍼;בקבוק של תינוק;בקבוק|חלב|תינוק|תמ״ל
🥛;כוס חלב;חלב|כוס
☕;משקה חם;הפוך|חם|משקה|ספל|קפה|תה
🫖;קנקן תה;משקה חם|קנקן|תה
🍵;ספל תה בלי ידית;חם|משקה|ספל|תה|תה ירוק
🍶;סאקה;אלכוהול|בר|יפן|משקה
🍾;בקבוק שמפניה עם פקק עף;אלכוהול|בקבוק|בר|הרמת כוסית|מסיבה|משקה|פקק|שמפניה
🍷;כוס יין;אלכוהול|בר|הרמת כוסית|יין|יין אדום|כוס|קידוש
🍸;כוס קוקטייל;אלכוהול|בר|מרטיני|משקה|קוקטייל
🍹;קוקטייל טרופי;אלכוהול|בר|טרופי|מרגריטה|משקה|קוקטייל
🍺;כוס בירה;אלכוהול|בירה|בר|כוס|משקה
🍻;השקת כוסות בירה;אלכוהול|בירה|בר|כוס|לחיים|משקה
🥂;השקת כוסות לחיים;הרמת כוסית|השקה|חוגגים|יין|כוסות|לחיים|משקה|שמפניה
🥃;כוס ויסקי;אלכוהול|ויסקי|כוס|כוסית|משקה חריף
🫗;מוזגים משקה;כוס|כוס נופלת|מזיגה|משקה|משקה נשפך|שתייה
🥤;כוס עם קש;כוס חד-פעמית|מיץ|סודה
🧋;באבל טי;אייס קפה|בועות|חלב|טאיוואן|משקה|תה
🧃;קופסת מיץ;משקאות|קופסת משקה
🧉;מאטה;משקאות|קפאין
🧊;קוביית קרח;קר|קרח
🥢;מקלות אכילה;מקלות|סיני|סיניים|צ׳ופסטיק
🍽️;סכין ומזלג עם צלחת;אוכל|ארוחה|מזלג|סכו״ם|סכין|צלחת
🍴;סכין ומזלג;אוכל|ארוחה|מזלג|סכו״ם|סכין
🥄;כפית;כלי שולחן|סכו״ם
🔪;סכין מטבח;בישול|כלי נשק|סכין|שף
🫙;צנצנת;אחסון|מיכל|ריק
🏺;כד עתיק;ארכאולוגיה|ארכיאולוגיה|יין|כד|משקה|עתיק|עתיקות
🌍;גלובוס עם אירופה ואפריקה;אירופה|אפריקה|גלובוס|כדור הארץ|עולם
🌎;גלובוס עם אמריקה;אמריקה|גלובוס|כדור הארץ|עולם
🌏;גלובוס עם אסיה ואוסטרליה;אוסטרליה|אסיה|גלובוס|כדור הארץ
🌐;גלובוס עם קווי אורך ורוחב;גלובוס|כדור הארץ|קווי אורך|קווי רוחב
🗺️;מפת העולם;מפה|עולם
🗾;מפת יפן;יפן|מפה
🧭;מצפן;התמצאות|כיוון|מגנטי|ניווט|צפון
🏔️;הר עם פסגה מושלגת;גבוה|הר|פסגות|קר|שלג
⛰️;הר;גבוה
🛘;מפולת;אסון|הר|מפולת בוץ|מפולת שלגים|סכנה|סלעים|רעידת אדמה
🌋;הר געש;התפרצות|לבה
🗻;הר פוג׳י;הר געש|יפן|פוג׳י
🏕️;מחנאות;אוהל|טיול|מחנה|קמפינג
🏖️;חוף עם שמשיה;חוף|חופשה|ים|קיץ|שמשיה
🏜️;מדבר;חם|יבש|צחיח|קקטוס
🏝️;אי בודד;דקל|הישרדות|חופש|ים
🏞️;שמורת טבע;טבע|טיול|פארק
🏟️;איצטדיון;אצטדיון|ספורט
🏛️;מבנה קלאסי;אקרופוליס|ארכיאולוגיה|בניין|העת העתיקה|יוון העתיקה|מבנה|קלאסי
🏗️;עבודות בניין;בנייה|בניין|מנוף|עבודות|עגורן
🧱;לבנה;בלוקים|בריק|חומה|לבנים|מלט|קירות
🪨;סלע;אבן|בולדר|סלעים|קשה
🪵;בול עץ;בולי עץ|גזע עץ|עץ|עצים|עצים לאח
🛖;בקתה;ביקתה|ביתן עגול|יורט|צריף
🏘️;בתים;בית|מבנים|שכונה
🏚️;בית מוזנח;ישן|מוזנח|נטוש
🏠;בית;בית פרטי|בניין|וילה|מבנה|צמוד קרקע|קוטג׳
🏡;בית עם גינה;בית|בית פרטי|גינה|וילה|צמוד קרקע|קוטג׳
🏢;בניין משרדים;בניין|משרדים
🏣;בית דואר ביפן;בניין|דואר יפן|יפן
🏤;בית דואר;בניין|דואר|סניף דואר
🏥;בית חולים;רופא|רפואה
🏦;בנק;בניין
🏨;בית מלון;מלון|מלונאות|מלונות
🏩;מלון אהבה;אהבה|בית מלון|מלון
🏪;חנות נוחות;24 שעות|חנות|מכולת|פיצוציה
🏫;בית ספר;בניין|לימודים|מבנה
🏬;כלבו;חנות|סופר|קניון|קניות
🏭;מפעל;בית חרושת|ייצור|עבודה|תעשייה
🏯;טירה יפנית;אחוזה יפנית|ארמון|טירה|יפן
🏰;טירה;ארמון|טירה אירופית
💒;חתונה;אהבה|אולם|אירוע|רומנטיקה
🗼;מגדל טוקיו;טוקיו|מגדל
🗽;פסל החירות;אמריקה|ניו יורק|ניו-יורק
⛪;כנסייה;דת|נוצרי|נצרות
🕌;מסגד;איסלם|דת|מוסלמי
🛕;מקדש הינדי;דת|הודו|הינדואיזם|מקדש
🕍;בית כנסת;דת|יהדות|יהודי
⛩️;מקדש שינטו;דת|יפן|מקדש|שינטו
🕋;כעבה;איסלם|דת|חאג׳|מוסלמי|מכה
⛲;מזרקה;מים
⛺;אוהל;מחנה|קמפינג
🌁;מזג אוויר ערפילי;מזג אוויר|ערפל
🌃;לילה עם כוכבים;בניינים|גורדי שחקים|לילה|עיר
🏙️;נוף עירוני;בניינים|גורדי שחקים|מבנים|מגדלים|עיר
🌄;זריחה בהרים;בוקר|הרים|זריחה|נוף
🌅;זריחה;בוקר|ים|שמש
🌆;נוף עירוני בשעת בין-ערביים;בין-ערביים|בניינים|גורדי שחקים|מגדלים|עיר|שקיעה
🌇;שקיעה;בניינים|גורדי שחקים|מגדלים|עיר|ערב|שמש
🌉;גשר בלילה;גשר|לילה|עיר
♨️;מעיינות חמים;אדים|חם|מעיינות|קיטור
🎠;סוס בקרוסלה;לונה פארק|סוס|פארק שעשועים|קרוסלה
🛝;מגלשה;גן משחקים|גן שעשועים|מגלשות|משחקי ילדים
🎡;גלגל ענק;לונה פארק|פארק שעשועים
🎢;רכבת הרים;לונה פארק
💈;עמוד מספרה;מספרה|תספורת
🎪;אוהל קרקס;אוהל|קרקס
🚂;קטר;מנוע|קיטור|רכבת|תחבורה
🚃;קרון רכבת;חשמלית|טרוליבוס|מכונית|נסיעה|רכבת
🚄;רכבת מהירה;מהירות גבוהה|רכבת|שינקנסן
🚅;רכבת מהירה עם חרטום בצורת קליע;מהירה|מהירות|רכבת|תחבורה
🚆;רכבת;פסי רכבת|תחבורה|תחבורה ציבורית
🚇;רכבת תחתית;מטרו|סאבוויי|תחבורה
🚈;רכבת קלה;חדפס|קלה|רכבת|תחבורה
🚉;תחנה;רכבת|תחבורה|תחנת רכבת
🚊;חשמלית;רכבת|תחבורה
🚝;רכבת עילית;עילית|רכבת|תחבורה
🚞;רכבת בהרים;הרים|רכבת|רכבת הררית|תחבורה
🚋;קרון חשמלית;חשמלית|קרון|רכבת|תחבורה
🚌;אוטובוס;כלי תחבורה|תחבורה|תחבורה ציבורית
🚍;אוטובוס מלפנים;אוטובוס|כלי תחבורה|תחבורה|תחבורה ציבורית
🚎;אוטובוס חשמלי;אוטובוס|חשמלי|טראם|טרולי|תחבורה
🚐;מיניבוס;ואן|כלי תחבורה|מונית שירות|תחבורה
🚑;אמבולנס;הצלה|חירום|מגן דוד אדום|מד״א
🚒;כבאית;הצלה|חירום|כיבוי אש|מכבי אש|שריפה
🚓;ניידת משטרה;חירום|משטרה|ניידת|פשע
🚔;ניידת משטרה מלפנים;הצלה|חירום|משטרה|ניידת|פשע|רכב חירום
🚕;מונית;טקסי|כלי תחבורה|תחבורה|תחבורה ציבורית
🚖;מונית מלפנים;מונית|תחבורה
🚗;מכונית;אוטו|ניסע|רכב|תחבורה
🚘;מכונית מלפנים;אוטו|מכונית|מכונית מקדימה|רכב|תחבורה
🚙;ג׳יפ;4 על 4|4*4|SUV|רכב|תחבורה
🛻;טנדר;אוטו|כלי רכב|מכונית|משאית קטנה|צעצוע|תחבורה
🚚;משאית;ואן|משלוח|רכב מסחרי|תחבורה
🚛;משאית מפרקית;העברות|טנדר|מובילים|משאית|משאית קטנה|סמי
🚜;טרקטור;כלי רכב
🏎️;מכונית מירוץ;מירוץ|מכונית|מרוץ|פורמולה
🏍️;אופנוע;דו גלגלי|דו-גלגלי|כלי רכב|תחרות
🛵;קטנוע;וספה
🦽;כסא גלגלים ידני;כיסא גלגלים|כסא גלגלים|נגישות
🦼;כסא גלגלים ממונע;כיסא גלגלים|כסא גלגלים|נגישות
🛺;ריקשה ממונעת;אוטו ריקשה|טוק טוק|טוק-טוק
🚲;אופניים;אפניים|דו גלגלי|כלי רכב
🛴;קורקינט;
🛹;סקייטבורד;גלגשת|סקטבורד
🛼;גלגיליות;החלקה|סקטים
🚏;תחנת אוטובוס;אוטובוס|תחבורה|תחנה|תמרור
🛣️;כביש מהיר;אוטוסטרדה|בינעירוני|כביש|מהיר
🛤️;מסילת רכבת;מסילה|רכבת
🛢️;חבית נפט;חבית|נפט
⛽;משאבת דלק;דלק|תדלוק|תחנת דלק
🛞;גלגל;אוטו|מכונית|מעגל|סיבוב|עיגול|צמיג|רכב
🚨;פנס של ניידת משטרה;אורות משטרה|חירום|פנס משטרה|צ׳קלקה|קוז׳אק
🚥;רמזור אופקי;רמזור
🚦;רמזור אנכי;רמזור|תנועה
🛑;תמרור עצור;מתומן אדום|עצור|תמרור
🚧;מחסום עבודות בכביש;כביש חסום|מחסום|עבודות|עבודות בכביש
⚓;עוגן;אוניה|אונייה|ספינה
🛟;גלגל הצלה;בטיחות|גלגל|הצילו|הצלה|מצוף
⛵;סירת מפרש;יאכטה|ים|מפרש|מפרשית|סירה
🛶;קאנו;חתירה|לחתור|סירה
🚤;סירת מירוץ;הפלגה|ים|מירוץ|סירה
🛳️;ספינת נוסעים;נוסעים|ספינה|קרוז|שיט|שיט תענוגות
⛴️;מעבורת;אוניה|אונייה|אניה|נוסעים|ספינה
🛥️;סירת מנוע;יאכטה|מנוע|סירה|סירת פאר|קרוז
🚢;ספינה;אוניה|אונייה|כלי שיט|קרוז|שיט תענוגות
✈️;מטוס;אווירון|ג׳מבו|טיסה
🛩️;מטוס קטן;טיסה|מטוס קל
🛫;מטוס ממריא;המראה|המראות|המראנו|חופשה|מטוס|ממריא
🛬;מטוס נוחת;אווירון|בנחיתה|מטוס|נוחת|נוחתים|נחיתה
🪂;מצנח;גלישה|גלשן אוויר|צניחה|רחיפה
💺;מושב;כיסא
🚁;מסוק;הליקופטר|כלי תעופה
🚟;רכבל;כבל|כלי רכב|כלי תחבורה|תלוי
🚠;קרון רכבל;סקי|רכבל
🚡;קרון רכבל קטן;רכבל
🛰️;לוויין;חלל
🚀;טיל;חלל|רקטה
🛸;צלחת מעופפת;חוצן|חוצנים|חייזרים|עב״מ
🛎️;פעמון קבלה;מלון|פעמון|קבלה
🧳;מזוודה;כבודה|מזוודות|מטען|נסיעות
⌛;שעון חול;זמן
⏳;חול זורם בשעון חול;זורם|חול|שעון
⌚;שעון יד;יד|שעון
⏰;שעון מעורר;מעורר|שעון
⏱️;שעון עצר;סטופר|עצר|שעון
⏲️;טיימר;בישול|זמן קצוב|שעון
🕰️;שעון דקורטיבי;דקורטיבי|שעון
🕛;שתיים-עשרה;12:00|24:00|חצות|צהריים|שתים עשרה
🕧;שתיים-עשרה וחצי;00:30|12:30|שתים עשרה וחצי בלילה|שתים עשרה וחצי בצהריים
🕐;אחת;01:00|13:00|אחת בצהריים|אחת לפנות בוקר
🕜;אחת וחצי;01:30|13:30|שעון
🕑;שתיים;02:00|14:00|שתיים בצהריים|שתיים לפנות בוקר
🕝;שתיים וחצי;02:30|14:30|שתיים וחצי בצהריים|שתיים וחצי לפנות בוקר
🕒;שלוש;03:00|15:00|שלוש בצהריים|שלוש לפנות בוקר
🕞;שלוש וחצי;03:30|15:30|שלוש וחצי בצהריים|שלוש וחצי לפנות בוקר
🕓;ארבע;04:00|16:00|ארבע אחר הצהריים|ארבע לפנות בוקר
🕟;ארבע וחצי;04:30|16:30|ארבע וחצי אחר הצהריים|ארבע וחצי לפנות בוקר
🕔;חמש;05:00|17:00|חמש אחר הצהריים|חמש לפנות בוקר
🕠;חמש וחצי;05:30|17:30
🕕;שש;06:00|18:00|שש בבוקר|שש בערב
🕡;שש וחצי;06:30|18:30
🕖;שבע;07:00|19:00|שבע בבוקר|שבע בערב
🕢;שבע וחצי;07:30|19:30
🕗;שמונה;08:00|20:00|שמונה בבוקר|שמונה בערב
🕣;שמונה וחצי;08:30|20:30
🕘;תשע;09:00|21:00|תשע בבוקר|תשע בערב
🕤;תשע וחצי;09:30|21:30
🕙;עשר;10:00|22:00
🕥;עשר וחצי;10:30|22:30
🕚;אחת-עשרה;11:00|23:00|אחת עשרה בבוקר|אחת עשרה בערב
🕦;אחת-עשרה וחצי;11:30|23:30|אחת עשרה בבוקר|אחת עשרה בלילה
🌑;ירח חדש;חושך|חלל|חשוך|ירח|מולד
🌒;סהר ירח מתמלא;חלל|ירח|סהר
🌓;חצי ירח מתמלא;ירח|ירח רבעון ראשון|רבעון|שבוע ראשון
🌔;ירח כמעט מלא;חלל|ירח
🌕;ירח מלא;חלל|ירח|מילוא|שמיים
🌖;ירח מתחיל להתרוקן;חלל|ירח|סהר
🌗;חצי ירח מתרוקן;חצי ירח|ירח|ירח רבעון אחרון|רבעון|שבוע אחרון
🌘;סהר ירח מתרוקן;חלל|ירח|סהר
🌙;סהר;ירח
🌚;פני ירח חדש;ירח|פנים
🌛;פני סהר מתמלא;ירח|סהר|פנים
🌜;פני סהר מתרוקן;ירח|סהר|פנים
🌡️;מדחום;מזג אוויר|תרמומטר
☀️;שמש;אור|חום|חם|קיץ
🌝;פני ירח מלא;ירח|מלא|פנים
🌞;פני שמש;חם|חמה|פנים|קיץ|שמש
🪐;כוכב לכת עם טבעות;כוכב לכת|כוכבים|שבתאי
⭐;כוכב;
🌟;כוכב זוהר;זוהר|כוכב|מנצנץ
🌠;כוכב שביט;חלל|כוכב|כוכב נופל|שביט
🌌;שביל החלב;אסטרונומיה|חלל|כוכבים|שמיים
☁️;ענן;מזג אוויר|מעונן
⛅;שמש מאחורי ענן;מעונן|ענן|שמש
⛈️;ענן עם ברק וגשם;ברק|גשם|חורף|סופה|ענן
🌤️;שמש מאחורי ענן קטן;מזג אוויר|מעונן|ענן|שמש
🌥️;שמש מאחורי ענן גדול;מעונן|ענן|שמש
🌦️;שמש מאחורי ענן עם גשם;גשם|חורף|מעונן חלקית|ענן|שמש
🌧️;ענן עם גשם;גשום|גשם|חורף|ענן
🌨️;ענן עם שלג;חורף|ענן|שלג
🌩️;ענן עם ברק;ברק|חורף|ענן
🌪️;טורנדו;סופה|סערה|רוח
🌫️;ערפל;מזג אוויר|מעונן|ענן
🌬️;פני רוח נושבת;נושבת|פנים|רוח
🌀;הוריקן;מסתובב|מסתלסל|ספירלה|ציקלון
🌈;קשת בענן;בי|גאווה|גיי|גשם|טרנס|להט״ב|לסבית|קשת
🌂;מטריה סגורה;גשם|חורף|מטריה
☂️;מטריה;גשם|חורף|מטרייה
☔;מטריה עם טיפות גשם;גשם|חורף|מטריה
⛱️;שמשיה;חוף|ים|צל|קיץ
⚡;ברק;חשמל|מתח גבוה|סכנה
❄️;פתית שלג;חורף|פתית|שלג
☃️;איש שלג;חורף|שלג
⛄;איש שלג בלי שלג;איש שלג|חורף
☄️;שביט;חלל|כוכב שביט|מטאור
🔥;אש;דליקה|להבה|שלהבת|שריפה
💧;טיפה;דמעה|מזג אוויר|מזג האוויר|מים|קור|קר
