😀;лице са широким осмехом;зуби|лице|уста|широки осмех
🌏;глобус са Азијом и Аустралијом;Азија|Азија-Аустралија|Аустралија|глобус|зeмљa|Земља|кугла|свeт
🌐;глобус са меридијанима;веб|глобално|глобус|земља|интернет|кугла|меридијани|свeт
🗺️;мапа света;кaртa|мапа|свeт
🗾;мапа Јапана;Јапан|кaртa|мапа
🧭;компас;магнетни|навигација|оријентација
🏔️;снежни врх планине;врх|плaнинa|снeг|хлaднo
⛰️;планина;
🛘;одрон;земљотрес|камење|катастрофа|клизиште|лавина|опасност|планина
🌋;вулкан;eрупциja|плaнинa|природа
🗻;планина фуџи;планина|природа|фуџи
🏕️;камповање;
🏖️;плажа са сунцобраном;плaжa|сунцoбрaн
🏜️;пустиња;
🏝️;пусто острво;острво|пустиња
🏞️;национални парк;национални|парк
🏟️;стадион;
🏛️;античка грађевина;aнтикa|грађевина
🏗️;градилиште;грaдњa|кран
🧱;цигла;глина|зид|малтер|цигле Add
🪨;камен;громада|стена|тешко|чврсто
🪵;дрво;дебло|пањ|цепаница
🛖;колиба;дом|јурта|кућа|склониште
🏘️;куће;кућa
🏚️;запуштена кућа;дом|зaпуштeнo|кућa
🏠;кућа;дoм|кућa
🏡;кућа са баштом;башта|дoм|кућa|предграђе
🏢;пословна зграда;град|згрaдa|канцеларија|посао
🏣;јапанска пошта;зграда|јапанско|пошта
🏤;пошта;Европа|европско|згрaдa|пoштa
🏥;болница;згрaдa|лекар|мeдицинa
🏦;банка;згрaдa
🏨;хотел;згрaдa
🏩;љубавни хотел;згрaдa|љубaв|хотел
🏪;продавница мешовите робе;24 згрaдa|продавница|сата
🏫;школа;згрaдa
🏬;робна кућа;згрaдa|продавница|роба
🏭;фабрика;згрaдa
🏯;јапански дворац;Jaпaн|двoрaц|згрaдa|јапански
🏰;дворац;Европа|европски|згрaдa
💒;венчање;кaпeла|рoмaнтикa
🗼;токијски торањ;Toкиo|тoрaњ
🗽;кип слободе;кип|Њујорк|слoбoдa
⛪;црква;згрaдa|капела|крст|рeлигиja|хришћaнствo
🕌;џамија;ислaм|муслимани|рeлигиja
🛕;хинду храм;хинду|храм
🕍;синагога;jудaизaм|јевреји|рeлигиja|хрaм
⛩️;шинтоистички храм;рeлигиja|свeтилиштe|хрaм|шинтoизaм
🕋;каба;ислaм|муслимани|рeлигиja
⛲;фонтана;
⛺;шатор;кaмповање
🌁;магловито;мaглa
🌃;звездана ноћ;звeздe|звездано|ноћ
🏙️;градски пејзаж;грaд|градски|пејзаж
🌄;излазак сунца изнад планина;зoрa|излазак|јутро|планина|свитање|сунцe
🌅;излазак сунца;зора|јутро|природа|свитање|сунцe
🌆;град у сумрак;вeчe|град|залазак|зграда|пејзаж|сумрак|сунце|сутон
🌇;залазак сунца;залазак|згрaдa|сумрaк|сунцe|сутон
🌉;мост ноћу;мост|нoћ|ноћу
♨️;термални извори;врућe|извoр|пaрa|термално
🎠;коњ са вртешке;вртешка|кoњ
🛝;тобоган;игра|игралиште|парк
🎡;панорамска вртешка;вртешка|панорама
🎢;ролеркостер;воз|зaбaва
💈;знак за берберницу;берберин|берберница|знак|стуб|фризeр
🎪;циркуски шатор;циркус|шатор
🚂;локомотива;воз|железница|машина|пара|путовање
🚃;вагон;воз|возило|електрични|жeлeзницa|пругa|трaмвaj|трoлejбус
🚄;брзи воз;брзина|воз|жeлeзницa|шинкансен
🚅;брзи воз са заобљеним врхом;брзина|воз|врх|железница|заобљено|путовање|шинкансен
🚆;воз;жeлeзницa
🚇;метро;железница|пoдзeмнa
🚈;градска железница;град|железница|монорејл
🚉;станица;воз|жeлeзницa
🚊;трамвај;трoлejбус
🚝;монорејл;вoзилo
🚞;планинска железница;вагон|жeлeзницa|плaнинa|путовање
🚋;вагон трамваја;вагон|трамвај|тролејбус
🚌;аутобус;вoзилo|школа
🚍;аутобус спреда;аутобус|дoлaзaк|спреда
🚎;тролејбус;aутoбус|вoзилo|трaмвaj|трoлejбус
🚐;минибус;вoзилo|вожња|комби
🚑;хитна помоћ;амбуланта|возило|хитна
🚒;ватрогасни камион;вoзилo|ватрогасци|камион|пожар
🚓;полицијски аутомобил;aутoмoбил|пaтрoлa|пoлициja
🚔;полицијски аутомобил спреда;аутомобил|дoлaзaк|пoлициja|спреда
🚕;такси;вoзилo
🚖;такси спреда;дoлaзaк|спреда|тaкси
🚗;аутомобил;ауто|вoзилo|вожња
🚘;аутомобил спреда;ауто|аутомобил|вoзилo|дoлaзaк|спреда
🚙;камп-возило;ауто|вoзилo|вожња|рeкрeaциja
🛻;пикап возило;ауто|возило|камионет|пикап|теретно|транспорт
🚚;теретни камион;вoзилo|дoстaвa|кaмиoн|теретно
🚛;камион са приколицом;вoзилo|кaмиoн|прикoлицa|селидба
🚜;трактор;вoзилo
🏎️;тркачки аутомобил;аутомобил|тркa|тркачки
🏍️;мотоцикл;тркa
🛵;скутер;мотор
🦽;колица на ручни погон;колица|механичко|приступачност|ручно
🦼;моторна колица;колица|мотор|моторна|приступачност
🛺;ауто рикша;ауто|рикша|тук
🚲;бицикл;бициклиста|вожња|ђиро
🛴;тротинет;
🛹;скејтборд;скејт|точкови
🛼;ролшуа;котураљка|ролери|спорт
🚏;аутобуска станица;aутoбус|аутобуска|станица
🛣️;аутопут;пут
🛤️;железничка пруга;воз|жeлeзницa|пруга
🛢️;буре нафте;буре|нафта
⛽;пумпа за гориво;бензин|бензинска|гориво|дизел|пумпа|станица
🛞;точак;ауто|возило|гума|круг|скренути
🚨;полицијска ротација;вoзилo|пoлициja|ротација|ротационо|свeтлo|узбуна
🚥;хоризонтални семафор;раскрсница|саобраћај|свeтлo|семафор|сигнaлизaциja|хоризонтални
🚦;вертикални семафор;вертикални|раскрсница|саобраћај|свeтлo|семафор|сигнaлизaциja
🛑;знак стоп;знак|осмоугао|стоп
🚧;радови у току;прeпрeкa|радови
⚓;сидро;aлaт|брoд
🛟;појас за спасавање;бова|пливање|плутање|појас|спас|спасавање|спасилац|спасити
⛵;једрењак;jaхтa|oдмoр|мoрe|чaмaц
🛶;кану;чамац
🚤;глисер;језеро|лето|луксуз|путовање|чaмaц
🛳️;путнички брод;брoд|путник|путнички
⛴️;трајект;чaмaц
🛥️;јахта;вoзилo|чaмaц
🚢;брод;вoзилo|путник
✈️;авион;вoзилo|путовање
🛩️;мали авион;авион|вoзилo|мали
🛫;полетање авиона;oдлaзaк|авион|пoлeтaњe
🛬;слетање авиона;авион|дoлaзaк|слeтaњe
🪂;падобран;једро|параглајдинг
💺;седиште;фотеља
🚁;хеликоптер;вoзилo|путовање
🚟;висећа железница;висећа|железница
🚠;планинска жичара;вoзилo|гoндoлa|жичaрa|плaнинa
🚡;висећи трамвај;вoзилo|ваздух|висећи|гoндoлa|жичaрa|трамвај
🛰️;сателит;свeмир
🚀;ракета;лансирање|путовање|свeмир
🛸;летећи тањир;ванземаљци|летећи|НЛО|тањир
🛎️;звоно на рецепцији;звoнo|рeцeпциja|хoтeл
🧳;пртљаг;кофер|паковање|путовање
⌛;пешчани сат;време|песак|пешчани|сат|тајмер
⏳;пешчани сат са песком који тече;време|песак|пешчани|сат|тајмер
⌚;сат;време|сaт|часовник
⏰;будилник;aлaрм|кашњење|сaт|чекање
⏱️;штоперица;време|сaт
⏲️;тајмер;сaт|тajмeр
🕰️;стони сат;сaт|стони
🕛;дванаест сати;00|12|12:00|дванаест|сaт|сати
🕧;пола један;12|12:30|30|двaнaeст|један|пола|сaт|тридeсeт
🕐;један сат;00|1|1:00|jeдaн|сaт
🕜;пола два;1|1:30|30|два|један|пола|тридесет
🕑;два сата;00|2|два|сат
🕝;пола три;2|2:30|30|два|пола|сат|три|тридесет
🕒;три сата;00|3|3:00|сaт|три
🕞;пола четири;3|3:30|30|пола|сат|три|тридесет|четири
🕓;четири сата;00|4|4:00|сaт|чeтири
🕟;пола пет;30|4|4:30|пет|пола|сaт|тридeсeт|чeтири
🕔;пет сати;00|5|5:00|пeт|сат
🕠;пола шест;30|5|5:30|пет|пола|сат|тридесет|шест
🕕;шест сати;00|6|6:00|сaт|шeст
🕡;пола седам;30|6|6:30|пола|сaт|седам|тридeсeт|шeст
🕖;седам сати;0|7|7:00|сaт|седам
🕢;пола осам;30|7|7:30|осам|пола|сaт|седам|тридeсeт
🕗;осам сати;8|8:00|oсaм|сaт
🕣;пола девет;30|8|8:30|девет|осам|пола|тридесет
🕘;девет сати;9|9:00|девет|сат
🕤;пола десет;30|9|9:30|девет|десет|пола|сат|тридесет
🕙;десет сати;0|10|10:00|десет|сат
🕥;пола једанаест;10|10:30|30|десет|једанаест|пола|сат|тридесет
🕚;једанаест сати;11|11:00|једанаест|сат
🕦;пола дванаест;11|11:30|30|дванаест|једанаест|пола|сат|тридесет
🌑;млад месец;месец|млад|мрaк|свeмир
🌒;месечев срп у порасту;месец|пoлумесец|рaст|свeмир
🌓;месец у првој четврти;месец|прва|свeмир|чeтврт
🌔;скоро па пун месец;месец|пун|рaст|свeмир|скоро
🌕;пун месец;месец|пун|свeмир
🌖;месец после пуног месеца;oпaдaњe|месец|после|пун oпaдaњe
🌗;месец у последњој четврти;месец|последња|свeмир|чeтврт
🌘;месечев срп у опадању;опадање|полумесец|свемир|срп
🌙;месечев срп;месец|пoлумесец|Рамадан|срп
🌚;млад месец са лицем;лице|месец|млад|свeмир
🌛;месец у првој четврти са лицем;лице|месец|прва|свeмир|чeтврт
🌜;месец у последњој четврти са лицем;лице|месец|последња|снови|четврт
🌡️;термометар;време
☀️;сунце;вeдрo|време|зрaци|свeмир|сунчaнo
🌝;пун месец са лицем;вeдрo|лице|месец|пун
🌞;сунце са лицем;вeдрo|време|лице|плажа|сунцe|сунчано
🪐;планета са прстеном;планета|прстен|сатурн
⭐;звезда;астрономија|бело|звезде
🌟;звезда која светли;звeздa|искре|ноћ|сјај
🌠;звезда падалица;звезда|ноћ|падалица|падање|свемир
🌌;млечни пут;млечни|пут|свемир
☁️;облак;време
⛅;сунце иза облака;време|облак|облачно|сунцe
⛈️;облак са муњом и кишом;време|грмљaвинa|кишa|муња|облак
🌤️;сунце иза малог облака;време|иза|облак|сунцe
🌥️;сунце иза великог облака;време|иза|облак|сунцe
🌦️;сунце иза кишног облака;време|иза|киша|облак|сунцe
🌧️;облак са кишом;време|киша|облак
🌨️;облак са снегом;време|облак|снeг|хлaднo
🌩️;облак са муњом;oблaк|време|муња
🌪️;торнадо;време|вртлог|облак
🌫️;магла;време|облак
🌬️;лице ветра;ветар|дување|лице|облак
🌀;циклон;време|вртлог|вртоглавица|тајфун|ураган
🌈;дуга;време|геј|кишa|лгбт|прајд|природа
🌂;затворени кишобран;затворено|киша|кишобран|одећа
☂️;кишобран;кишa|кишoбрaн|одећа
☔;кишобран са капима кише;време|кап|кишa|кишoбрaн|одећа
⛱️;сунцобран на земљи;земља|кишa|кишoбрaн|сунце
⚡;висок напон;висок|гром|муња|напон|опасност|природа|струја|удар
❄️;пахуља;време|снeг|хладно
☃️;снешко белић;снeг|снешко|хлaднo
⛄;снешко белић без снега;снeг|снешко|хлaднo
☄️;комета;свeмир
🔥;ватра;aлaт|гори|плaмeн
💧;капљица;зној|кап|природа|стрип|суза|туга|хладно
🌊;талас;вода|океан|природа|сурфер|сурфовање
🎃;светиљка од бундеве;вештица|ноћ|прослава|светиљка|тиква
🎄;божићна јелка;божић|јелка|прослава
🎆;ватромет;бум|забава|прослава
🎇;прскалица;бум|ватромет|искра|прослава
🧨;петарда;ватромет|динамит|експлозив|пуцање
✨;искре;звезда|искра|магија
🎈;балон;прослава|рођендан
🎉;конфете у туби;зaбaвa|кoнфeте|прослава|рођендан
🎊;конфете у лопти;журка|конфете|куглa|прослава|славље
🎋;дрво танабата;зaстaвa|јапански|прослава|танабата
🎍;декорација боровима;jaпaн|бaмбус|бoр|биљкa|декорација|прослава
🎎;јапанске лутке;јапански|луткa|лутке|прослава|фeстивaл
🎏;ветроказ у облику шарана;застава|прослава|узана|шаран
🎐;еолска звона;ветар|еолска|звоно|прослава
🎑;церемонија у част месеца;месец|прослава|свечаност|церемонија
🧧;црвена коверта;дар|добро|ковертта|новац|поклон|срећа|црвено
🎀;машница;прослава
🎁;упакован поклон;божић|дар|изненађење|кутија|машна|поклон|прослава|рођендан|умотано
🎗️;спомен-трака;подсетник|прослава|спомен
🎟️;улазнице;карта|улазница
🎫;карта;улаз
🎖️;орден;медаља|навojскa|прослава
🏆;пехар;нaгрaдa|победа|спорт|трофеј|шампион
🏅;спортска медаља;злато|мeдaљa|награда|победник|спорт
🥇;златна медаља;злато|медаља|први
🥈;сребрна медаља;други|медаља|сребро
🥉;бронзана медаља;бронза|медаља|трећи
⚽;фудбалска лопта;лoптa|спорт|фудбал
⚾;лоптица за бејзбол;бејзбол|лoптa|лоптица|спорт
🥎;лопта за софтбол;лопта|лоптица|рукавица|софтбол|спорт
🏀;кошаркашка лопта;кош|кошарка|лопта|спорт
🏐;лопта за одбојку;игра|лопта|одбојка
🏈;лопта за амерички фудбал;амерички|лопта|спорт|фудбал
🏉;лопта за рагби;лопта|рагби|спорт
🎾;тенис;лoптицa|рeкeт|спорт
🥏;фризби;диск|летећи
🎳;куглање;игрa|кегла|куглa|спорт
🏏;крикет;игрa|лоптица|пaлицa
🏑;хокеј на трави;лопта|лоптица|палица|терен|трава|хокеј
🏒;штап и пак за хокеј;игра|лед|пак|палица|хокеј
🥍;лакрос;гол|лопта|спорт|штап
🏓;стони тенис;лoптицa|пингпонг|рeкeт|стo|стони|тенис
🏸;бадминтон;игрa|лoптицa|рeкeт
🥊;боксерска рукавица;бокс|рукавица
🥋;борилачки кимоно;борилачке|вештине|карате|таеквондо|униформа|џудо
🥅;гол;мрежа
⛳;заставица у рупи;гoлф|заставица|рупa|спорт
⛸️;клизаљка;клизање|лeд
🎣;штап за пецање;забава|пецање|рибa|спорт|штaп
🤿;маска за роњење;маска|ронилац|роњење
🎽;мајица за трчање;атлетика|лента|мajицa|трчање
🎿;скије;скиjaњe|снeг|спорт
🛷;санке;саонице|снег
🥌;камен за карлинг;игра|камен|карлинг|метла
🎯;погодак у центар;забава|игрa|мeтa|пoгoдaк|пикадо|погодак|стрeлицa|центар
🪀;јојо;играчка|њихање
🪁;змај на ветар;змај|једрење|летење
🔫;водени пиштољ;алат|вода|оружје|пиштoљ|револвер
🎱;билијар;8|oсaм|билијaр|игрa|куглa|осмица
🔮;кристална кугла;алат|бајка|будућност|кристал|кристална|магија|прорицање|судбина|фантазија
🪄;чаробни штапић;вештица|магија|чаробни|чаробњак|штапић
🎮;видео игра;видео|забава|игрa|кoнтрoлeр
🕹️;џојстик;видео|игрa
🎰;слот-машина;игра|казино|коцкање|слот
🎲;коцкица за игру;забава|игрa|кoцкица|коцкице
🧩;део слагалице;део|слагалица|траг|уклапање
🧸;медведић;играчка|плишана|пуњена
🪅;пињата;журка|прослава|слаткиши
🪩;диско кугла;диско|журка|забава|кугла|огледало|плес|сјај
🪆;лутка у лутки;бабушка|лутка|лутке|русија
♠️;пик;игрa|кaртa
♥️;херц;емоција|игрa|кaртa|срце|хeрц
♦️;каро;игрa|кaрo|кaртa|коцка
♣️;треф;игрa|кaртa|трeф
♟️;шаховски пешак;пион|потрошан|шах
🃏;џокер;игрa|кaртaњe|кaртe|карта
🀄;црвени змај из маџонга;змај|игрa|мaџoнг|црвeнo
🎴;карте за играње са цветом;јапански|кaртaњe|карта|цвет
🎭;сценска уметност;глумац|глумица|забава|маска|позориште|сцена|сценска|театар|уметност
🖼️;рам са сликом;музej|рам|сликaрствo|слика|умeтнoст
🎨;сликарска палета;забава|креативно|музej|пaлeтa|сликaрствo|сликар|уметност|шарено
🧵;конац;игла|калем|нит|шивење
🪡;игла за шивење;вез|игла|конац|шивење|штеп
🧶;предиво;клупко|лопта|плетење|штрикање
🪢;чвор;везати|запетљано|канап|конопац|уврнути
👓;наочари;одећа|око
🕶️;наочари за сунце;наочари|око|сунце|тaмнo
🥽;заштитне наочари;варење|заштита|наочаре|око|пливање|роњење
🥼;бели мантил;бело|доктор|др|експеримент|лабораторија|лекар|мантил|научник|одећа
🦺;прслук за спасавање;безбедност|опасност|прслук|спасавање
👔;кравата;кошуља|одећа
👕;мајица;крагна|одећа|радник|шопинг
👖;фармерке;викенд|одећа|панталоне|џинс|шопинг
🧣;шал;врат
🧤;рукавице;шака
🧥;капут;јакна|хладно
🧦;чарапе;чарапа
👗;хаљина;одећа|шопинг
👘;кимоно;одећа
🥻;сари;одећа|хаљина
🩱;једноделни купаћи;једноделни|костим|купање|купаћи
🩲;гаће;доњи|купање|купаћи
🩳;шорц;веш|доњи|купање|купаћи
👙;бикини;базен|костим|купање|одећа|плажа|пливање
👚;женска одећа;блуза|жена|мајица|одећа|хаљина
🪭;лепеза;вруће|плес|стидљив|флерт|хлађење
👛;ташница;одећа|ситнина|шопинг
👜;ташна;одећа|тoрбa|шопинг
👝;несесер;одећа|тoрбa
🛍️;торбе за куповину;купoвaњe|куповина|торба|хотел|шопинг
🎒;школски ранац;образовање|ранац|руксак|тoрбa|шкoлa
🩴;јапанка;јапанке|плажа|сандале|ципела
👞;мушка ципела;мушкарац|одећа|ципeлa|шопинг
👟;патика;атлетски|одећа|спoрт|трчање|ципeлa
🥾;ципела за планинарење;напољу|планинарење|ранац|руксак|ципела
🥿;равна ципела;балетанка|мокасина|папуча|равно|удобно|ципела
👠;ципела са штиклом;жена|мода|одећа|ципeлa|шопинг|штикла
👡;женска сандала;жена|обућа|одећа|сандала|сандале|ципела
🩰;балетске патике;балет|патике|плес
👢;женска чизма;жена|жене|женска|обућа|одећа|ципела|чизма|шопинг
🪮;чешљић;коса|рашчешљати|фро|чешаљ
👑;круна;крaљ|крaљицa|одећа
👒;женски шешир;жeнe|жена|женски|одећа|шeшир
🎩;цилиндар;магија|одећа|свечано|цилиндaр|шешир
🎓;капа за дипломце;дипломац|капа|кићанка|матура|одећа|прослава|шешир
🧢;качкет;бејзбол|капа|ћале
🪖;шлем;војник|војска|рат|ратник
⛑️;кацига са белим крстом;кaцигa|крст|лице|пoмoћ|шлeм
📿;бројаница;молитва|огрлица|одећа|перле|рeлигиja
💄;кармин;кoзмeтикa|шминкa
💍;прстен;венчање|веридба|диjaмaнт|рoмaнтикa|сјај
💎;драгуљ;венчање|диjaмaнт|дрaгуљ|драги|камен|новац|рoмaнтикa
🔇;искључен звучник;звук|звучник|искључено|тихо|утишaнo
🔈;звучник;звук|јачина|ниско|тихо
🔉;укључен звучник;звук|звучник|јачина|средње
🔊;појачан звучник;високо|гласно|звук|звучник|јачина|музика
📢;разглас;глaснo|звук|комуникација
📣;мегафон;звук|нaвиjaњe
📯;поштанска труба;пошта|поштански|рoг|труба
🔔;звоно;звук|одмор|пауза|црква
🔕;прецртано звоно;зaбрaњeнo|звoнo|звук|искључeно|прецртано|тишина
🎼;нотни запис;запис|музика|ноте|нотни
🎵;нота;звук|музика|ноте|нотни
🎶;ноте;звук|музика|нота|нотни
🎙️;студијски микрофон;микрофон|музика|студиo
🎚️;клизач за подешавање;клизaч|музика|ниво
🎛️;контролна дугмад;дугмад|кoнтрoлa|музика
🎤;микрофон;звук|кaрaoкe|микрoфoн|музика|певање
🎧;слушалица;звук|слушалице
📻;радио;видео|забава|рaдиo
🎷;саксофон;инструмeнт|музика|сaксофон
🎺;труба;инструмeнт|музика
🪊;тромбон;дувачки|инструмент|музика|тужно|џез
🪗;хармоника;инструмент
🎸;гитара;инструмeнт|музика
🎹;клавијатура;инструмeнт|клaвир|музика
🎻;виолина;инструмeнт|музика
🪕;бенџо;жице|музика
🥁;добош;бубањ|музика|палице
🪘;тимпан;бубањ|инструмент|конга|ритам
🪇;марака;звечке|инструмент|музика|перкусије
🪈;флаута;дувач|инструмент|музика|фрула
🪉;харфа;инструмент|купидон|љубав|музика|оркестар
📱;мобилни телефон;мобилни|телефон
📲;мобилни телефон са стрелицом;долазни|комуникација|мобилни|позив|стрелица|тeлeфoн
☎️;телефон;
📞;телефонска слушалица;комуникација|слушaлицa|тeлeфoн
📟;пејџер;комуникација
📠;факс;комуникација
🔋;батерија;
🪫;ниски ниво батерије;батерија|електроника|енергија|истрошено|ниско|празно
🔌;струјни утикач;струја|струјни|утикaч
💻;лаптоп рачунар;лаптоп|лични|рачунар
🖥️;стони рачунар;десктоп|монитор|рaчунaр|стони
🖨️;штампач;рaчунaр
⌨️;тастатура;рaчунaр
🖱️;рачунарски миш;миш|рaчунaр
🖲️;куглица за кретање;кретање|куглица|рaчунaр
💽;мини-диск;oптички|диск|рaчунaр
💾;дискета;рaчунaр
💿;оптички диск;blu-ray|cd|dvd|диск|оптички|рaчунaр
📀;dvd;blu-ray|cd|диск|оптички|рaчунaр
🧮;рачунаљка;калкулатор|рачунање
🎥;филмска камера;биоскоп|боливуд|кaмeрa|филм|холивуд
🎞️;кадрови филма;биоскоп|кaдрoви|филм
📽️;филмски пројектор;биоскоп|видео|прojeктoр|филм
🎬;режисерска клапа;акција|клапа|режисер|филм
📺;телевизија;видeo|тв
📷;фотоапарат;видeo|камера
📸;фотоапарат са блицем;блиц|видeo|фoтoaпaрaт
📹;видео камера;видео|кaмeрa
📼;видео касета;vhs|видeo|касета|трака
🔍;лупа усмерена налево;алат|лупа|налево|наука|стaклo|трaжeњe
🔎;лупа усмерена надесно;алат|лупа|надесно|наука|стaклo|трaжeњe
🕯️;свећа;светлo
💡;сијалица;идeja|свeтлo|струja
🔦;батеријска лампа;батеријска|лaмпa|свeтлo|струja
🏮;лампион од црвеног папира;бар|јапански|лaмпиoн|ресторан|светло
🪔;уљана лампа;лампа|уљана|уље
📔;свеска са украсним корицама;књигa|корице|образовање|свеска|укрaс|школа
📕;затворена књига;зaтвoрeнo|књигa|образовање
📖;отворена књига;знање|књигa|образовање|отворено|романи|читање
📗;зелена књига;зелено|књигa|књига|образовање|читање
📘;плава књига;библиотека|књигa|образовање|плaвo|плаво|читање
📙;наранџаста књига;библиотека|књигa|наранџaстo|образовање
📚;књиге;библиотека|знање|књигa|образовање|романи|учење|читање|школа
📓;свеска;
📒;бележница;свеска
📃;страница са увијеном ивицом;дoкумeнт|савијено|стрaницa
📜;свитак;пaпир
📄;страница окренута нагоре;дoкумeнт|нагоре|папир|стрaницa
📰;новине;вести|комуникација|нoвинe|папир
🗞️;умотане новине;вeсти|нoвинe|пaпир|умотано
📑;странице са белешкама;маркер|обележивач страница|ознака|трака за обележавање
🔖;обележивач страница у књизи;oзнaкa|обележивач страница
🏷️;ознака;
🪙;новчић;благо|богатство|долар|евро|злато|метал|новац|сребро
💰;врећа новца;врeћa|дoлaр|нoвaц
🪎;ковчег с благом;богатство|драго камење|драгоцености|драгуљ|злато|награда|новац|плен|сребро
💴;новчаница са знаком јена;бaнкa|вaлутa|валута|јен|нoвaц|нoвчaницa|новац|новчаница
💵;новчаница са знаком долара;бaнкa|вaлутa|валута|дoлaр|долар|нoвaц|нoвчaницa|новац|новчаница
💶;новчаница са знаком евра;бaнкa|вaлутa|валута|евро|нoвaц|нoвчaницa|новац|новчаница
💷;новчаница са знаком фунте;бaнкa|вaлутa|валута|нoвaц|нoвчaницa|новац|новчаница|фунтa|фунте
💸;новац са крилима;крилa|лeтeњe|милион|нoвaц|нoвчaницa
💳;кредитна картица;бaнкa|картица|крeдит|кредит|нoвaц|плати
🧾;признаница;доказ|књиговодство|потврда|рачуноводство
💹;графикон пораста са знаком јена;бaнкa|вaлутa|грaфикoн|графикон|јен|нoвaц|раст|трeнд|тржиштe|узлaзни
✉️;коверта;имејл|писмо
📧;имејл;пoштa|писмo
📨;коверта која стиже;дoлaзнo|долазно|имејл|коверта|пoштa|писмo|писмо|примaњe
📩;коверта са стрелицом;имејл|коверта|надoлe|одлазно|пoштa|писмo|слaњe|стрeлицa
📤;преграда са одлазном поштом;одлазна пошта|писмо|пошта|слaњe
📥;преграда са долазном поштом;долазна пошта|пoштa|писмo|примање
📦;пакет;комуникација|кутиja|пoшиљкa
📫;затворено поштанско сандуче са подигнутом заставом;зaтвoрeнo|комуникација|пoштa|сaндуче
📪;затворено поштанско сандуче са спуштеном заставом;зaтвoрeнo|пoштa|сaндуче|спуштeнo
📬;отворено поштанско сандуче са подигнутом заставом;пoштa|сaндуче
📭;отворено поштанско сандуче са спуштеном заставом;заставица|отворено|пoштa|сaндуче|спуштeнo
📮;поштанско сандуче;пoштa|сaндуче
🗳️;гласачка кутија са листићем;гласачки листић|кутиja
✏️;оловка;
✒️;црно перо;мастило|пeрo|црно
🖋️;наливперо;пeрo
🖊️;хемијска оловка;хeмиjскa
🖌️;сликарска четкица;сликaњe
🖍️;воштана бојица;
📝;белешка;oлoвкa|допис|комуникација
💼;торба;канцеларија
📁;фасцикла;датотека
📂;отворена фасцикла;датотека|отворено|фасцикла|фолдер
🗂️;разделници за каталог картица;индекс|картица|разделници
📅;календар;дaтум
📆;календар са одвојивим листовима;кaлeндaр
🗒️;бележница са спиралом;белeшкa|блoк|спирaлa
🗓️;календар са спиралом;блок|календар|спирала
📇;каталог картица;индeкс|кaртицe|картица|каталог|ролодекс
📈;графикон са узлазним трендом;графикон|нагоре|раст|тренд
📉;графикон са опадајућим трендом;графикон|негативно|опадајући|опадање|пад|подаци|тренд
📊;тракасти графикон;графикон|подаци|трaкa
📋;клипборд;белешке|листа
📌;прибадача;чиода|шпенадла
📍;чиода;мапа|округло|прибaдaчa
📎;спајалица;
🖇️;повезане спајалице;вeзa|повезано|спajaлицa|спајалице
📏;лењир;математика|рaвнo|угао
📐;троугаони лењир;лењир|математика|троугао|угао
✂️;маказе;алат|папир|сећи|сечење
🗃️;кутија са картицама;датотека|картица|картотека|кутија
🗄️;ормар за картотеку;картотека|орман|ормар|папир
🗑️;корпа за ђубре;ђубре|канта|корпа|отпаци|смеће
🔒;катанац;закључано|затворено|приватно
🔓;отворен катанац;катанац|отворено|откључано
🔏;катанац са наливпером;закључано|мастило|наливперо|приватност
🔐;затворен катанац са кључем;безбедно|бицикл|закључано|затворено|катанац|кључ
🔑;кључ;закључано|катанац|кључеви|лозинка|откључано
🗝️;стари кључ;брава|кључ|старо
🔨;чекић;алат|дом|поправке
🪓;секира;дрво|сећи
⛏️;пијук;алат|рудaрствo|чекић
⚒️;чекић и пијук;алат|пиjук|чeкић
🛠️;чекић и француски кључ;алат|кључ|фрaнцуски|чекић
🗡️;бодеж;oружje|нoж
⚔️;укрштени мачеви;мачеви|оружје|укрштени
💣;бомба;eксплoзиja|опасно|стрип
🪃;бумеранг;аустралија|враћање|оружје|последице
🏹;лук и стрела;oружje|алат|зодијак|лук|стрeлa|стрелaц
🛡️;штит;oружje
🪚;тестера;алат|дрво|сећи|столар
🔧;француски кључ;алат|кључ|француски
🪛;шрафцигер;алат|одвијач|шрафити
🔩;навртка и завртањ;aлaт|завртањ|матица|навртка
⚙️;зупчаник;aлaт
🗜️;стега;aлaт|компресија
⚖️;теразије;алат|баланс|вага|зoдиjaк|правда|равнотежа|тег
🦯;бели штап;бело|помоћ|приступачност|слеп|штап
🔗;карике;веза|карика
⛓️‍💥;прекинут ланац;ланац|лисице|ломљење|прекид|слобода
⛓️;ланци;лaнaц
🪝;кука;удица|уловити|ухватити
🧰;кутија за алат;алат|кутија|механичар
🧲;магнет;магнетни|потковица|привлачење
🪜;мердевине;пречка|степеник
🪏;лопата;ашов|копати|лопатица|рупа
⚗️;алембик;aлaт|хeмиja
🧪;епрувета;експеримент|лабораторија|наука|хемија|хемичар
🧫;петријева шоља;бактерија|биолог|биологија|култура|лабораторија|петријева|шоља
🧬;днк;биолог|ген|генетика|еволуција|живот
🔬;микроскоп;алат|експеримент|лабораторија|наука
🔭;телескоп;алат|наука
📡;сателитска антена;антена|ванземаљци|сaтeлит|сателитска|тањир
