😀;išsišiepęs veidas;išsišiepti|linksmas|veidas
🦟;uodas;gyvūnas|karštinė|maliarija|negalavimas|vabzdys|virusas
🪰;musė;cėcė|gyvulinė musė|gyvūnas|kambarinė musė|mėšlinė musė|negalavimas|vabzdys
🪱;kirmėlė;gyvūnas|kirmėlės|parazitai|sliekai
🦠;mikrobas;ameba|bakterija|mokslas|virusas
💐;puokštė;gėlė|gimtadienis|meilė|metinės
🌸;vyšnios žiedas;augalas|gėlė|vyšnia|žydėti
💮;balta gėlė;gėlė
🪷;lotusas;budizmas|gėlė|grožis|Indija|induizmas|lotosas|ramybė|taika|tyrumas|Vietnamas
🏵️;rozetė;augalas|gėlė|žiedas
🌹;rožė;augalas|gėlė|raudona|Valentino diena
🥀;gležna gėlė;augalas|gėlė|gležna
🌺;kinrožė;augalas|gėlė
🌻;saulėgrąža;augalas|gėlė|saulė
🌼;gėlės žiedas;augalas|gėlė|kiaulpienė
🌷;tulpė;augalas|gėlė
🪻;hiacintas;augalas|gėlė|indigo|levandos|lubinai|pavasaris|violetinis|žeidas|želdinys|žydėjimas
🌱;daigas;augalas|jaunas
🪴;pasodintas augalas;augalas|augti|bevertis|dekoro detalė|namas|nuobodus|puoselėti|vazonas
🌲;amžinai žaliuojantis medis;eglė|medis|pušis|spygliuotis
🌳;lapuotis;augalas|medis|mesti
🌴;palmė;medis|paplūdimys
🌵;kaktusas;augalas|dykuma|gamta
🌾;ryžių pėdas;augalas|javai|ryžiai|varpa
🌿;žolelė;augalas|lapas|vaistažolė
☘️;trilapis dobilas;airių|augalas|dobilas
🍀;keturlapis dobilas;4|augalas|dobilas|keturi|lapas
🍁;klevo lapas;klevas|krenta|lapas
🍂;nukritęs lapas;krenta|lapas|ruduo
🍃;lapas vėjyje;lapas|pūsti|skrajoti|vėjas
🪹;tuščias lizdas;lizdas|namai|perėjimas|šaka
🪺;lizdas su kiaušiniais;kiaušinis|lizdas|perėjimas|šaka
🍄;grybas;maistas|šungrybis|Super Mario
🪾;medis be lapų;be vaisių|sausra|žiema
🍇;vynuogės;maistas|vaisius|vynuogė
🍈;melionas;augalas|maistas|vaisius
🍉;arbūzas;maistas|vaisius
🍊;mandarinas;citrusinis vaisius|maistas|nektarinas|oranžinis|vaisius
🍋;citrina;citrusinis|maistas|vaisius
🍋‍🟩;žalioji citrina;citrusinis|gaivus|garnyras|kokteilis|margarita|mochitas|rūgštingumas|rūgštus|salsa|sultys|tekila|tropinis|vaisius|žalias|žaliųjų citrinų pyragas|žievelė
🍌;bananas;maistas|vaisius
🍍;ananasas;maistas|vaisius
🥭;mangas;maistas|tropinis|vaisius
🍎;raudonas obuolys;maistas|obuolys|raudonas|vaisius
🍏;žalias obuolys;maistas|obuolys|vaisius|žalias
🍐;kriaušė;maistas|vaisius
🍑;persikas;maistas|vaisius
🍒;vyšnios;maistas|vaisius|vyšnia
🍓;braškė;maistas|uoga|vaisius
🫐;mėlynės;maistas|mėlyna|mėlynė|uoga
🥝;kivis;maistas|vaisius
🍅;pomidoras;augalas|daržovė|maistas
🫒;alyvuogė;alyvuogės šakelė|maistas
🥥;kokosas;maistas|palmė|pina kolada
🥑;avokadas;maistas|vaisius
🍆;baklažanas;augalas|daržovė|maistas
🥔;bulvė;daržovė|maistas
🥕;morka;daržovė|maistas
🌽;kukurūzo burbuolė;augalas|kukurūzas|maistas|varpa
🌶️;aštrusis pipiras;aštrus|maistas|pipiras
🫑;paprika;daržovė|pipirai
🥒;agurkas;daržovė|maistas|raugintas
🥬;lapinė daržovė;daržovė|kininis kopūstas|kopūstas|maistas|salota
🥦;brokolis;daržovė|laukinis kopūstas|maistas
🧄;česnakas;maistas|prieskonis
🧅;svogūnas;maistas|prieskonis
🥜;žemės riešutas;maistas|riešutas|žemės
🫘;pupelės;ankštiniai|maistas|raudonosios pupelės
🌰;lazdyno riešutas;augalas|maistas|riešutas
🫚;imbiero šaknis;alus|imbieras|natūralu|prieskonis|šaknis|sveikata|žolelė
🫛;žirnių ankštis;ankštiniai augalai|ankštis|daržovė|edamame|pupos|sojos pupelė|žirnis
🍄‍🟫;baravykas;dantenis|daržovė|gamta|grybas|ingredientai|maistas|natūralus|picos ingredientai|spora|trumas|valgomas|vegetaras
🫜;šakninė daržovė;burokas|daržas|daržovė|ropė|runkelis|šaknis
🍞;duona;kepalas|kepinys|maistas
🥐;raguolis;bandelė|duona|kruasanas|maistas|prancūziškas
🥖;ilgas batonas;batonas|duona|ilgas|kepinys|maistas|prancūziškas batonas|prancūzų
🫓;paplotis;arepa|duona|lavašas|maistas|naan|pita
🥨;riestainis;kepinys|maistas|susuktas
🥯;apvalus riestainis;desertas|duonos gaminiai|kepinys|maistas|saldu|spurga|užtepas
🥞;blynai;maistas
🧇;vaflis;geležinis|kepinys|maistas|neaiškus
🧀;sūrio gabaliukas;maistas|sūris
🍖;mėsa ant kaulo;kaulas|maistas|mėsa
🍗;paukščio šlaunelė;kaulas|maistas|mėsa|paukštiena|šlaunelė|šlaunis|višta
🥩;mėsos gabalėliai;kepsnys|maistas|mėsa
🥓;kumpis;maistas|mėsa
🍔;mėsainis;greitasis|greitmaistis|maistas
🍟;gruzdintos bulvytės;bulvės|bulvytės|gruzdintos|maistas
🍕;pica;gabalėlis|maistas|sūris
🌭;dešrainis;dešrelė|maistas
🥪;sumuštinis;duona|maistas
🌮;meksikietiškas paplotėlis;maistas|meksikietiškas|takas
🌯;buritas;maistas|meksikietiškas|suvyniotas
🫔;vyniotinis;meksikietiškas|pamonha|susuktas
🥙;įdarytas lavašas;įdaras|kebabas|lavašas|maistas
🧆;falafelis;maistas|mėsos kukulis|vištiena
🥚;kiaušinis;maistas
🍳;valgio gaminimas;kepimas|keptas kiaušinis|keptuvė|kiaušinis|maistas
🥘;prikaistuvis su maistu;maistas|prikaistuvis|troškinys
🍲;puodas su maistu;maistas|puodas|troškinys
🫕;fondiu;dubuo|ištirpintas|maistas|šokoladas|sūris|šveicariškas
🥣;dubuo su šaukštu;košė|maistas|pusryčiai
🥗;žalios salotos;maistas|salotos|žalios
🍿;spragėsiai;kinas|maistas
🧈;sviestas;maistas|pieno produktas
🧂;druska;druskinė|maistas|prieskonis
🥫;konservai;maistas|skardinė
🍱;bento dėžutė;bento|dėžutė|maistas
🍘;ryžių paplotėlis;maistas|paplotėlis|ryžiai|ryžių
🍙;ryžių rutuliukas;japonų|maistas|rutuliukas|ryžiai
🍚;virti ryžiai;maistas|ryžiai|virti
🍛;ryžiai su kariu;karis|maistas|ryžiai
🍜;makaronų sriubos dubenėlis;dubuo|maistas|makaronai|ramen|sriuba
🍝;spagečiai;itališkas patiekalas|maistas|makaronai|pasta
🍠;kepta saldžioji bulvė;bulvė|kepta|maistas|saldi|saldžioji bulvė
🍢;odenas;iešmas|japonų|jūros gėrybės|kebabas|lazdelė|maistas
🍣;sušis;maistas|suši
🍤;kepta krevetė;kepta|krevetė|maistas|tempura
🍥;žuvies pyragėlis su išpieštu sūkurio simboliu;kepiniai|maistas|pyragėlis|sūkurys|žuvis
🥮;mėnulio pyragas;festivalis|kepinys|maistas|ruduo
🍡;dango;desertas|iešmas|japonų|lazdelė|maistas|saldu
🥟;kukulis;kibinas|maistas|tešlos gaminys|Virtinis
🥠;laimės sausainiukas;maistas|pranašystė
🥡;dėžutė išsinešti;austrių kibirėlis|lazdelės|maistas|maistas į namus
🍦;minkšti ledai;desertas|kremas|ledai|maistas|minkšti|saldu
🍧;susmulkintas ledas;desertas|ledas|maistas|saldu|smulkintas
🍨;ledai;desertas|kremas|maistas|saldu
🍩;spurga;desertas|maistas|saldu
🍪;sausainis;desertas|maistas|saldu
🎂;gimtadienio tortas;desertas|gimtadienis|kepiniai|maistas|pyragas|saldu|šventė
🍰;trapus pyragas;desertas|gabalėlis|kepiniai|kepinys|maistas|pyragas|saldu
🧁;keksiukas;desertas|duonos gaminiai|kepinys|maistas|saldu|saldus
🥧;pyragas;kepinys|maistas|tešla|tešlos gaminys|užpildytas
🍫;šokolado batonėlis;batonėlis|desertas|maistas|saldu|šokoladas|šokolado plytelė
🍬;saldainis;desertas|maistas|saldu
🍭;ledinukas ant pagaliuko;desertas|ledinukas|maistas|saldainis|saldu
🍮;saldus kremas;desertas|maistas|pudingas|saldu
🍯;medaus puodynė;maistas|medus|puodas|saldu
🍼;kūdikio buteliukas;buteliukas|gėrimas|gerti|kūdikis|pienas
🥛;pieno stiklinė;gėrimas|pienas|sktiklinė
☕;karštas gėrimas;arbata|garuoja|gėrimas|gerti|karšta|kava
🫖;arbatinukas;arbata|gėrimas|maistas|puodas
🍵;arbatos puodelis be rankenos;arbata|arbatos puodelis|gėrimas|gerti|puodelis
🍶;sakė;baras|butelis|gėrimas|puodelis
🍾;butelis su iššokusiu kamščiu;baras|butelis|gėrimas|iššauti|kamštis|šventė
🍷;vyno taurė;baras|gėrimas|gerti|taurė|vynas
🍸;kokteilio taurė;baras|gėrimas|kokteilis|taurė
🍹;tropinis gėrimas;baras|gėrimas|taurė|tropinis
🍺;alaus bokalas;alus|baras|bokalas|gėrimas|puodelis
🍻;susidaužiantys alaus bokalai;alus|baras|bokalai|gėrimas|puodelis|susidaužti
🥂;sudaužtos taurės;gėrimas|sudaužti|šventimas|taurės
🥃;stiklinė;alkoholis|gėrimas|viskis
🫗;pilamas skystis;gėrimas|išlieti|oi|pilti|stiklinė|tuščias|vanduo
🥤;puodelis su šiaudeliu;gazuotas gėrimas|gėrimas|soda|sultys
🧋;burbulinė arbata;arbata|burbulai|gėrimas su šiaudeliu|maistas|pienas
🧃;gėrimo pakelis;gėrimas|šiaudelis|sulčių pakelis
🧉;matė;gėrimas
🧊;ledo kubelis;ledas|maistas|šaltas
🥢;lazdelės;haši|įrankiai
🍽️;šakutė ir peilis su lėkšte;įrankiai|lėkštė|maisto gaminimas|peilis|šakutė
🍴;šakutė ir peilis;įrankiai|maisto gaminimas|peilis|šakutė
🥄;šaukštas;įrankiai|įrankis
🔪;virtuvinis peilis;ginklas|įrankiai|įrankis|maisto gaminimas|peilis
🫙;stiklainis;indas|niekas|padažas|prieskonis|saugoti|tuščias
🏺;senovinė vaza;maisto gaminimas|vandenis|vaza|zodiakas
🌍;žemės rutulys su Europos ir Afrikos žemynais;Afrika|Europa|gaublys|pasaulis|žemė
🌎;žemės rutulys su Šiaurės ir Pietų Amerikos žemynais;Amerika|gaublys|pasaulis|žemė
🌏;žemės rutulys su Azijos ir Australijos žemynais;Australija|Azija|gaublys|pasaulis|žemė
🌐;žemės rutulys su dienovidiniais;dienovidiniai|gaublys|pasaulis|žemė
🗺️;pasaulio žemėlapis;pasaulis|žemėlapis
🗾;Japonijos žemėlapis;Japonijos|žemėlapis
🧭;kompasas;kryptis|magnetinis|navigacija|orientacinis
🏔️;kalnas su snieguota viršūne;kalnas|šaltis|sniegas
⛰️;kalnas;
🛘;nuošliauža;kalnas|lavina|nelaimė|pavojus|purvo nuošliauža|uolos|žemės drebėjimas
🌋;ugnikalnis;gamta|išsiveržimas|kalnas
🗻;Fudžio kalnas;Fudžis|gamta|kalnas
🏕️;stovyklavimas;
🏖️;paplūdimys ir skėtis;paplūdimys|skėtis
🏜️;dykuma;
🏝️;atoki sala;dykuma|sala
🏞️;nacionalinis parkas;parkas
🏟️;stadionas;
🏛️;klasikinis pastatas;klasikinis|pastatas
🏗️;pastato konstrukcija;klasikinis|kranas|statybos
🧱;plyta;molis|plytos|siena|skiedinys
🪨;uoliena;akmuo|kietas|riedulys|sunkus|uola
🪵;mediena;medis|rąstas
🛖;namelis;apvalus namas|jurta|namas
🏘️;namai;
🏚️;apleistas pastatas;apleistas|namai|namas
🏠;namas;namai|pastatas|priemiestis
🏡;namas su sodu;namai|namas|pastatas|priemiestis|sodas
🏢;biurų pastatas;biuras|pastatas
🏣;japoniškas paštas;japonų|paštas|pastatas
🏤;pašto pastatas;europietiškas|paštas|pastatas
🏥;ligoninė;gydytojas|medicina|pastatas
🏦;bankas;pastatas
🏨;viešbutis;pastatas
🏩;meilės viešbutis;meilė|pastatas|viešbutis
🏪;visą parą dirbanti parduotuvė;parduotuvė|pastatas|visą parą
🏫;mokykla;pastatas
🏬;prekybos centras;parduotuvė|pastatas|prekyba
🏭;gamykla;pastatas
🏯;japoniška pilis;japonų|pastatas|pilis
🏰;pilis;Europos|pastatas
💒;vestuvės;koplyčia|romantika
🗼;Tokijo bokštas;bokštas|Tokijas
🗽;laisvės statula;laisvė|Niujorkas|statula
⛪;bažnyčia;krikščionis|kryžius|pastatas|religija
🕌;mečetė;islamas|musulmonas|religija
🛕;induistų šventykla;induistai|šventykla
🕍;sinagoga;pastatas|religija|šventykla|žydas|žydų
⛩️;Šintoizmo šventykla;religija|šintoizmas|šventykla
🕋;kaaba;islamas|musulmonas|religija
⛲;fontanas;
⛺;palapinė;stovyklavimas
🌁;rūkas;oras|ūkanota
🌃;žvaigždėta naktis;naktis|žvaigždė
🏙️;miesto vaizdas;miestas
🌄;saulėtekis virš kalnų;kalnas|rytas|saulė|saulėtekis
🌅;saulėtekis;gamta|rytas|saulė
🌆;sutemos virš miesto;kraštovaizdis|miestas|pastatas|saulėlydis|vakaras
🌇;saulėlydis;pastatas|saulė|sutemos
🌉;tiltas naktį;naktis|tiltas
♨️;karštosios versmės;garai|karšta|versmės
🎠;karuselės arkliukas;arklys|karuselė|pramogos
🛝;čiuožykla;pramogų parkas|šliuožti|šliuožykla|žaidimų aikštelė|žaisti
🎡;apžvalgos ratas;apžvalgos|atrakcionų parkas|ratas
🎢;linksmieji kalneliai;atrakcionų parkas|kalneliai|linksmieji
💈;kirpėjo suktukas;kirpėjas|suktukas|šukuosena
🎪;cirko palapinė;cirkas|palapinė
🚂;lokomotyvas;garai|garvežys|geležinkelis|kelionė|traukinys|variklis
🚃;traukinio vagonas;automobilis|elektrinis|geležinkelis|kelionė|tramvajus|transporto priemonė|traukinys|troleibusas
🚄;greitasis traukinys;geležinkelis|greitasis|greitis|traukinys
🚅;greitasis traukinys su smailu priekiu;geležinkelis|greitasis traukinys|greitis|kelionė|kulka|traukinys
🚆;traukinys;geležinkelis
🚇;metro;kelionė|transporto priemonė
🚈;miesto tramvajus;geležinkelis
🚉;stotis;geležinkelis|traukinys
🚊;tramvajus;troleibusas
🚝;vienbėgis geležinkelis;transporto priemonė
🚞;kalnų traukinys;automobilis|geležinkelis|kalnas|kelionė traukiniu|transporto priemonė|traukinys
🚋;tramvajaus vagonas;automobilis|tramvajus|transporto priemonė|troleibusas
🚌;autobusas;mokyklinis autobusas|transporto priemonė
🚍;artėjantis autobusas;artėjantis|autobusas|transporto priemonė
🚎;troleibusas;autobusas|tramvajus
🚐;mikroautobusas;autobusas|transporto priemonė
🚑;greitosios pagalbos automobilis;greitoji pagalba|transporto priemonė
🚒;ugniagesių automobilis;sunkvežimis|ugnis|variklis
🚓;policijos automobilis;automobilis|patruliai|policija
🚔;artėjantis policijos automobilis;artėjantis|automobilis|policija|transporto priemonė
🚕;taksi;automobilis|geltona taksi|transporto priemonė|uber
🚖;artėjantis taksi;artėjantis|taksi|transporto priemonė|uber
🚗;automobilis;transporto priemonė|vairavimas
🚘;artėjantis automobilis;artėjanti|automobilis|mašina|transporto priemonė
🚙;rekreacijos automobilis;automobilis|padidinto pravažumo automobilis|rekreacijos|SUV|transporto priemonė
🛻;pikapas;automobilis|mašina|sunkvežimis
🚚;krovininis sunkvežimis;pristatymas|sunkvežimis|transporto priemonė
🚛;sunkvežimis su priekaba;priekaba|pusė|sunkvežimis|transporto priemonė
🚜;traktorius;transporto priemonė
🏎️;lenktyninis automobilis;automobilis|lenktynės
🏍️;motociklas;lenktynės
🛵;motoroleris;transportas|transporto priemonė
🦽;rankomis valdomas vežimėlis;neįgaliųjų prieinamumas|prieinamumas|važimėlis
🦼;motorizuotas vežimėlis;neįgaliųjų prieinamumas|prieinamumas|vežimėlis
🛺;autorikša;rikša|transporto priemonė|tuk tuk
🚲;dviratis;transporto priemonė
🛴;paspirtukas;spirti
🛹;riedlentė;lenta
🛼;riedučiai;sportas
🚏;autobusų stotelė;autobusas|stotelė
🛣️;greitkelis;kelias
🛤️;geležinkelio bėgiai;geležinkelis|traukinys
🛢️;degalų statinė;degalai|statinė
⛽;degalų siurblys;degalai|degalinė|dujos|siurblys
🛞;ratas;apskritimas|automobilis|padanga|suktis
🚨;policijos automobilio lempa;automobilis|besisukanti|policija|signalinis žibintas|sirena|šviesa|transporto priemonė
🚥;horizontalus šviesoforas;eismas|signalas|šviesa
🚦;vertikalus šviesoforas;eismas|signalas|šviesa
🛑;sustojimo ženklas;aštuonkampis|sustoti|ženklas
🚧;statybos;barjeras
⚓;inkaras;įrankis|laivas
🛟;gelbėjimo ratas;gelbėjimas|plaukimas|plūduriavimas|saugumas
⛵;burlaivis;jachta|jūra|kurortas|laivas|valtis
🛶;kanoja;irkluoti|valtis
🚤;motorinis kateris;kelionė|milijardierius|motorinė valtis|prabanga|valtis
🛳️;keleivinis laivas;keleivis|laivas
⛴️;keltas;keleivis|valtis
🛥️;motorinė valtis;valtis
🚢;laivas;keleivis|kelionė|Titanikas|valtis
✈️;lėktuvas;kelionė|skyrdis
🛩️;mažas lėktuvas;kelionė|lėktuvas
🛫;lėktuvo pakilimas;išvykimai|išvykimas|lėktuvas|registracija
🛬;lėktuvo nusileidimas;atvykimai|atvyksta|lėktuvas|nusileidimas
🪂;parašiutas;pakabinti
💺;vieta;kėdė
🚁;sraigstasparnis;kelionė|transporto priemonė
🚟;kabanti geležinkelio linija;geležinkelis|kabanti
🚠;kalnų keltuvas;gondola|kabelis|kalnas
🚡;lynų keltuvas;automobilis|gondola|kabelis|lyno keltuvas|orinis|tramvajus|transporto priemonė
🛰️;palydovas;kosmosas
🚀;raketa;kelionė|kosmosas
🛸;skraidanti lėkštė;ateiviai|nežemiška|NSO
🛎️;skambutis;skambinti|viešbutis
🧳;bagažas;kelionė|lagaminas|pakavimas
⌛;smėlio laikrodis;laikas|laikmatis|laikrodis|smėlis
⏳;smėlio laikrodis su krentančiu smėliu;laikas|laikmatis|laikrodis|smėlio laikrodis|smėlis
⌚;laikrodis;laikas
⏰;žadintuvas;laikas|laikrodis|laukti|signalas
⏱️;chronometras;laikas|laikmatis|laikrodis
⏲️;laikmatis;laikas|laikrodis
🕰️;virš židinio laikomas laikrodis;laikas|laikrodis
🕛;dvylika valandų;00|12|12:00|dvylika|laikas|laikrodis|valandos
🕧;dvylika trisdešimt;12|12:30|30|dvylika|laikas|laikrodis|trisdešimt
🕐;pirma valanda;00|1|1:00|laikas|laikrodis|valandos|viena
🕜;pusė dviejų;1|1:30|30|laikas|laikrodis|trisdešimt|viena
🕑;dvi valandos;00|2|2:00|dvi|laikas|laikrodis|valandos
🕝;pusė trijų;2|2:30|30|dvi|laikas|laikrodis|trisdešimt
🕒;trys valandos;00|3|3:00|laikas|laikrodis|trys|valandos
🕞;pusė keturių;3|3:30|30|laikas|laikrodis|trisdešimt|trys|valandos
🕓;keturios valandos;00|4|4:00|keturios|laikrodis|valandos
🕟;pusė penkių;30|4|4:30|laikas|laikrodis|trisdešimt|valandos
🕔;penkios valandos;00|5|5:00|laikas|laikrodis|penkios|valandos
🕠;pusė šešių;30|5|5:30|laikas|laikrodis|penkios|trisdešimt|valandos
🕕;šešios valandos;00|6|6:00|laikas|laikrodis|šešios|valandos
🕡;pusė septynių;30|6|6:00|laikas|laikrodis|šešios|trisdešimt|valandos
🕖;septynios valandos;00|7|7:00|laikas|laikrodis|septynios|valandos
🕢;pusė aštuonių;30|7|7:30|laikas|laikrodis|septynios|trisdešimt
🕗;aštuonios valandos;00|8|8:00|aštuonios|laikas|laikrodis|valandos
🕣;pusė devynių;30|8|8:30|aštuonios|laikas|laikrodis|trisdešimt|valandos
🕘;devinta valanda;00|9|9:00|devynios|laikas|laikrodis|valandos
🕤;pusė dešimt;30|9|9:30|devynios|laikas|laikrodis|trisdešimt|valandos
🕙;dešimt valandų;00|10|10:00|dešimt|laikas|laikrodis|valandos
🕥;pusė vienuolikos;10|10:30|30|dešimt|laikas|laikrodis|trisdešimt|valandos
🕚;vienuolika valandų;00|11|11:00|laikrodis|valandos|vienuolika
🕦;pusė dvylikos;11|11:30|30|laikas|laikrodis|trisdešimt|valandos|vienuolika
🌑;jaunas mėnulis;jaunatis|kosmosas|mėnulis|tamsa
🌒;priešpilnis mėnulis;kosmosas|mėnulis|priešpilnis|sapnai
🌓;pirmas fazės ketvirtis;ketvirtis|kosmosas|mėnulis|pirmoji mėnulio fazė
🌔;priešpilnis (pabaiga);kosmosas|mėnulis|priešpilnis
🌕;pilnatis;kosmosas|mėnulis|pilnas
🌖;delčia;dylantis|kosmosas|mėnulis
🌗;paskutinis fazės ketvirtis;ketvirtis|kosmosas|mėnulis|paskutinė mėnulio fazė
🌘;delčia (pabaiga);kosmosas|mėnulis|pusmėnulis
🌙;pusmėnulis;kosmosas|mėnulis|pusė|ramadanas
🌚;jaunas mėnulis su veidu;kosmosas|mėnulis|veidas
🌛;priešpilnio mėnulis su veidu;ketvirtis|kosmosas|mėnulis|priešpilnis|veidas
🌜;delčios mėnulis su veidu;ketvirtis|mėnulis|veidas
🌡️;termometras;oras
☀️;saulė;kosmosas|oras|saulėta|spinduliai|šviesu
🌝;pilnatis su veidu;mėnulis|pilnatis|šviesu|veidas
🌞;saulė su veidu;oras|paplūdimys|saulė|šviesu|veidas
🪐;planeta su žiedu;planeta|saturnas
⭐;balta vidutinė žvaigždė;astronomija|žvaigždė
🌟;žėrinti žvaigždė;kibirkštis|šviesti|žėrėti|žėrinti|žvaigždė
🌠;krintanti žvaigždė;kosmosas|krintanti|žvaigždė
🌌;paukščių takas;kosmosas
☁️;debesis;oras
⛅;saulė už debesų;debesis|debesuota|oras|saulė
⛈️;debesis su žaibu ir lietumi;audra|debesis|lietus|oras|žaibas
🌤️;saulė už nedidelio debesies;debesis|oras|saulė
🌥️;saulė už didelio debesies;debesis|oras|saulė
🌦️;saulė už debesies, iš kurio lyja;debesis|iš kurio lyja|lietus|oras|saulė|saulė už debesies
🌧️;debesis, iš kurio lyja;debesis|iš kurio lyja|lietus|oras
🌨️;debesis, iš kurio sninga;debesis|iš kurio sninga|oras|šaltis|sniegas
🌩️;debesis su žaibu;debesis|oras|žaibas
🌪️;tornadas;debesis|oras|sūkurys
🌫️;ūkana;debesis|oras|rūkas
🌬️;vėjo veidas;debesis|pūsti|veidas|vėjas
🌀;ciklonas;apsvaigęs|oras|spiralė|taifūnas
🌈;vaivorykštė;gamta|homoseksualus|lgbt|lietus
🌂;suskleistas skėtis;drabužiai|lietus|skėtis
☂️;skėtis;drabužiai|lietus
☔;skėtis su lietaus lašais;drabužiai|lašas|lietus|oras|skėtis
⛱️;skėtis ant žemės;lietus|saulė|skėtis
⚡;aukštoji įtampa;aukšta įtampa|elektra|įtampa|pavojus|žaibas
❄️;snaigė;oras|šaltis|sniegas
☃️;sniego senis;šaltis|sniegas
⛄;sniego senis be sniego;šaltis|sniegas|sniego senis
☄️;kometa;kosmosas
🔥;ugnis;įrankis|karšta|liepsna
💧;lašas;komiksas|oras|prakaitas|šaltis
🌊;vandens banga;banga|banglentininkas|gamta|vandenynas|vanduo
🎃;žibintas iš moliūgo;helovinas|šventė|žibintas
🎄;Kalėdų eglutė;eglutė|Kalėdos|šventė
🎆;fejerverkai;pramogos|šventė
🎇;šaltoji ugnelė;fejerverkai|kibirkštis|šventė
🧨;fejerverkas;dinamitas|fejerverkai|sprogus|šviesa
✨;kibirkštėlės;kibirkštis|magija|žvaigždė
🎈;balionas;gimtadienis|šventė
🎉;konfeti šaudyklė;bum|šauti|šventė|vakarėlis
🎊;konfeti kamuolys;kamuolys|konfeti|šventė
🎋;tanabata medis;japonų|medis|šventė
🎍;dekoracija iš pušies;augalas|bambukas|japonų|pušis|šventė
🎎;japoniškos lėlės;festivalis|japonų|lėlė|šventė
🎏;karpio vėtrungė;gyvūnas|karpis|šventė|vėtrungė|žuvis
🎐;vėjo varpeliai;skambėti|šventė|varpelis|vėjas
🎑;mėnesienos ceremonija;ceremonija|mėnulis|šventė
🧧;raudonas vokas;dovana|pinigai|sėkmė|sėkmės
🎀;kaspinas;šventė
🎁;supakuota dovana;dėžutė|dovana|gimtadienis|Kalėdos|suvyniota|šventė
🎗️;atminimo kaspinas;kaspinas|priminimas|šventė
🎟️;įėjimo bilietai;bilietas|įėjimas
🎫;bilietas;įėjimas
🎖️;kariuomenės medalis;kariuomenė|medalis|šventė
🏆;trofėjus;pergalė|prizas|sportas
🏅;sporto medalis;auksas|laimėtojas|medalis|nugalėtojas
🥇;1-osios vietos medalis;auksas|medalis|pirmoji
🥈;2-osios vietos medalis;2 vieta|antroji|medalis|sidabras
🥉;3-osios vietos medalis;bronza|medalis|trečioji
⚽;futbolo kamuolys;futbolas|kamuolys|sportas
⚾;beisbolo kamuoliukas;kamuolys|sportas
🥎;softbolas;kamuolys|pažastis|pirštinė|sportas
🏀;krepšinio kamuolys;kamuolys|krepšinis|lankas|sportas
🏐;tinklinio kamuolys;kamuolys|tinklinis|žaidimas
🏈;amerikietiškojo futbolo kamuolys;amerikietiškas|futbolas|kamuolys|sportas
🏉;regbio kamuolys;futbolas|kamuolys|regbis|sportas
🎾;teniso kamuoliukas;kamuolys|raketė|sportas|tenisas
🥏;skraidantis diskas;aukščiausioji riba|diskas
🎳;boulingas;kamuolys|sportas|žaidimas
🏏;kriketas;kamuolys|lazda|žaidimas
🏑;žolės riedulys;kamuolys|laukas|lazda|riedulys|žaidimas
🏒;ledo ritulio lazda ir ritulys;lazda|ledas|ledo riedulys|ledo ritulys|ritulys|žaidimas
🥍;lakrosas;įvartis|kamuoliukas|lazda|sportas
🏓;stalo tenisas;kamuolys|lazda|raketė|žaidimas
🏸;badmintonas;plunksninukas|raketė|žaidimas
🥊;bokso pirštinė;boksas|pirštinė
🥋;kovos sporto šakos uniforma;dziudo|karatė|kovos menas|sportas|uniforma
🥅;vartai;tinklas
⛳;vėliava skylutėje;duobutė|golfas|skylutė|sportas|vėliava duobutėje
⛸️;pačiūžos;čiuožinėti|ledas
🎣;meškerė;sportas|žuvis
🤿;nardymo kaukė;nardymas
🎽;bėgimo marškinėliai;atletika|bėgimas|juosta|marškinėliai
🎿;slidės;slidinėti|sniegas|sportas
🛷;rogės;sniegas
🥌;akmenslydis;akmuo|kerlingas|sportas|žaidimas
🎯;smūgis tiesiai į taikinį;akis|dartas|pataikyti|taikinys|žaidimas
🪀;jo-jo;svyruojantis|žaislas
🪁;aitvaras;pakilti|skristi
🔫;vandens šautuvas;ginklas|įrankis|pistoletas|revolveris
🎱;biliardo kamuoliukas;8|8 kamuoliukas|biliardas|žaidimas
🔮;krištolinis rutulys;fantazija|fortūna|krištolinis|pasaka|rutulys
🪄;stebuklinga lazdelė;burtininkas|magija|ragana|stebuklingas
🎮;vaizdo žaidimas;pramogos|pultelis|valdiklis|žaidimas
🕹️;valdymo svirtis;vaizdo žaidimas|žaidimas
🎰;žaidimų automatas;automatas|lošimas|lošimų automatas|žaidimas
🎲;kauliukas;pramogos|žaidimas
🧩;dėlionė;dalis|galvosūkis|raktas|susijungiantis|žaidimas
🧸;meškiukas;kimštas|pliušas|pliušinis meškiukas|žaislas
🪅;pinjata;meksikietiška|šventė|vakarėlis
🪩;veidrodinis rutulys;blizgesys|diskoteka|rutulys|šokiai|vakarėlis
🪆;matrioškos;lėlė|matrioška|Rusija
♠️;pikai;kortos|žaidimas
♥️;širdys;kortos|žaidimas
♦️;būgnai;būgnas|kortos|žaidimas
♣️;kryžiai;kortos|žaidimas
♟️;šachmatų pėstininkas;naivuolis|paaukotinas|šachmatai
🃏;juokdarys;kortos|žaidimas
🀄;madžongo raudonas drakonas;madžongas|raudonas|žaidimas
