😀;ansikte med stort leende;ansikte|glad|kul|leende|roligt|skratt
🕐;klockan ett;01.00|13.00|ett|klocka som visar ett
🕜;halv två;01.30|13.30|klocka som visar halv två
🕑;klockan två;02.00|14.00|klocka som visar två|två
🕝;halv tre;02.30|14.30|klocka som visar halv tre
🕒;klockan tre;03.00|15.00|klocka som visar tre|tre
🕞;halv fyra;03.30|15.30|klocka som visar halv fyra
🕓;klockan fyra;04.00|16.00|fyra|klocka som visar fyra
🕟;halv fem;04.30|16.30|klocka som visar halv fem
🕔;klockan fem;05.00|17.00|fem|klocka som visar fem
🕠;halv sex;05.30|17.30|klocka som visar halv sex
🕕;klockan sex;06.00|18.00|klocka som visar sex|sex
🕡;halv sju;06.30|18.30|klocka som visar halv sju
🕖;klockan sju;07.00|19.00|klocka som visar halv sju|sju
🕢;halv åtta;07.30|19.30|klocka som visar halv åtta
🕗;klockan åtta;08.00|20.00|åtta|klocka som visar åtta
🕣;halv nio;08.30|20.30|klocka som visar halv nio
🕘;klockan nio;09.00|21.00|klocka som visar nio|nio
🕤;halv tio;09.30|21.30|klocka som visar halv tio
🕙;klockan tio;10.00|22.00|klocka som visar tio|tio
🕥;halv elva;10.30|22.30|klocka som visar halv elva
🕚;klockan elva;11.00|23.00|elva|klocka som visar elva
🕦;halv tolv;11.30|23.30|klocka som visar halv tolv
🌑;nymåne;måne
🌒;måne i första kvarteret;kvartsmåne|måne|månskära|tilltagande måne
🌓;tilltagande halvmåne;kvarts|måne
🌔;måne i andra kvarteret;halvmåne till fullmåne|tilltagande måne
🌕;fullmåne;måne
🌖;måne i tredje kvarteret;måne|rymden|tilltagande
🌗;avtagande halvmåne;avtagande måne|halvmåne|måne
🌘;måne i fjärde kvarteret;avtagande måne|kvartsmåne|måne|månskära
🌙;månskära;måne
🌚;nymåne med ansikte;ansikte|gubben i månen|månansikte|måne|nymåne
🌛;tilltagande halvmåne med ansikte;ansikte|gubben i månen|halvmåne|månansikte|måne
🌜;avtagande halvmåne med ansikte;ansikte|gubben i månen|halvmåne|månansikte|måne
🌡️;termometer;väder
☀️;sol;strålar|väder
🌝;fullmåne med ansikte;ansikte|fullmåne|gubben i månen|månansikte|måne
🌞;sol med ansikte;ansikte|sol
🪐;planet med ringar;saturnine|saturnus
⭐;stjärna;vit medelstor stjärna
🌟;blänkande stjärna;blänkande|glänsande|glittrande|gnistrande|natt|seger|stjärna
🌠;stjärnfall;fallande stjärna
🌌;Vintergatan;galax|rymden
☁️;moln;väder
⛅;sol bakom moln;moln|sol|sol med moln
⛈️;moln med regn och blixtar;moln|oväder|väder
🌤️;sol bakom litet moln;moln|sol|väder
🌥️;sol bakom stort moln;moln|sol|väder
🌦️;sol bakom moln med regn;moln|regn|sol|väder
🌧️;regnmoln;moln|regn|väder
🌨️;moln med snö;moln|snö|väder
🌩️;moln med blixt;moln|oväder|väder
🌪️;tornado;väder|virvelvind
🌫️;dimma;dimmigt|väder
🌬️;blåser vind;ansikte som blåser luft|blåser|väder|vind
🌀;cyklon;tromb|tyfon|väder|vind
🌈;regnbåge;regn|väder
🌂;hopfällt paraply;paraply
☂️;paraply;accessoar|regn|utfällt paraply|väder
☔;paraply med regndroppar;accessoar|paraply|regn|väder
⛱️;parasoll på marken;paraply|parasoll|sol|väder
⚡;högspänning;fara|hög spänning|spänning|varningssymbol
❄️;snöflinga;snö
☃️;snögubbe;snö|snöar
⛄;snögubbe utan snö;snö|snögubbe
☄️;komet;rymden
🔥;eld;brinner|flamma
💧;droppe;kallsvettig|svettdroppe|svettig|vattendroppe
🌊;våg;havsvåg
🎃;lyktgubbe;fest|Halloween|lykta|pumpa|pumplykta
🎄;julgran;gran|högtid|jul
🎆;fyrverkerier;firande|högtid
🎇;glittrande fyrverkeri;fyrverkerier|högtid
🧨;smällare;dynamit|fyrverkeri|sprängämne
✨;gnistrande stjärnor;gnistrar|stjärnor
🎈;ballong;fest
🎉;konfettismällare;fest|partypopper|serpentiner
🎊;konfettiboll;boll|fest|konfetti
🎋;tanabataträd;fest|japansk festival|pappersremsor|träd|träd med pappersremsor
🎍;pinjedekoration;bambu|japanskt|nyår
🎎;japanska dockor;dockor|festival
🎏;karpvindstrut;fest|japan|karp|vindstrut
🎐;vindspel;fest|japan
🎑;månskådning;japan|månfest
🧧;rött kuvert;hóngbāo|lai see|pengar|present|tur
🎀;rosett;fest
🎁;inslagen present;fest|födelsedag|gåva|inslagen|julklapp|överraskning|paket|present
🎗️;påminnelseband;band|firande
🎟️;inträdesbiljetter;biljett|inträde
🎫;biljett;inträde
🎖️;militär medalj;firande|medalj|militär|pris
🏆;pokal;pris
🏅;sportmedalj;medalj|sport
🥇;guldmedalj;guld|medalj|segrare
🥈;silvermedalj;andra plats|medalj|silver
🥉;bronsmedalj;brons|medalj|tredje plats
⚽;fotboll;boll|sport
⚾;baseboll;sport
🥎;softboll;boll|handske|underarm
🏀;basketboll;basket|boll
🏐;volleyboll;sport
🏈;amerikansk fotboll;boll|sport
🏉;rugbyboll;boll|rugby|sport
🎾;tennis;boll|tennisboll|tennisrack och boll|tennisracket och boll
🥏;frisbee;ultimate
🎳;bowling;bowlingklot|bowlingklot och käglor|klot
🏏;cricket;cricketslagträ och boll|sport
🏑;landhockey;landhockeyklubba|landhockeyklubba och boll|sport
🏒;ishockey;ishockeyklubba och puck|klubba|puck|sport
🥍;lacrosse;boll|klubba|mål
🏓;bordtennis;bordtennisracket med pingisboll|pingis|pingpong|sport
🏸;badminton;badmintonracket och badmintonboll|sport
🥊;boxningshandske;boxning|handske|sport
🥋;kampsportdräkt;judo|kampsport|karate|självförsvar|sport|taekwondo
🥅;målnät;mål|nät|sport
⛳;flagga i hål;golf|golfflagga|hål
⛸️;skridsko;is|sport
🎣;fiskespö;fisk|fiska|fiskespö och fisk|spö
🤿;dykmask;dyka|snorkelmask|snorkla
🎽;löparlinne;löpartröja|löpning|träningskläder
🎿;skidor;skidor och pjäxa|skidor och stavar
🛷;kälke;släde
🥌;curlingsten;spel|sten
🎯;mitt i prick;bullseye|fullträff|pilkastning|piltavla med pil mitt i prick|rakt på mål
🪀;jojo;jojare|snöre|trissa
🪁;flygande drake;flyga|sväva
🔫;vattenpistol;leksakspistol|pistol|revolver|vapen
🎱;biljardboll;åttan|biljard|biljardboll med nummer 8
🔮;kristallkula;framtiden|spåkula
🪄;trollspö;häxa|magi|trollkarl|trollkonst|trollstav
🎮;tv-spel;kontroll|spel|tv-spelskontroll
🕹️;joystick;spak|spel|styrspak
🎰;enarmad bandit;spel|spelautomat|spelmaskin
🎲;speltärning;spel|tärning
🧩;pusselbit;bit|ledtråd|pussel|pusselbitar|sammanfoga
🧸;nallebjörn;gosedjur|leksak|mjukdjur
🪅;piñata;fest|kalas
🪩;discokula;dansa|disco|fest|glitter
🪆;ryska dockor;babuschkadocka|matrjosjka|rysk docka
♠️;spader;färg|kort|svart spader
♥️;hjärter;färg|kort|rött hjärter
♦️;ruter;färg|kort|röd ruter
♣️;klöver;färg|kort|svart klöver
♟️;schackbonde;schack|utbytbar
🃏;joker;Joker-kort|spelkort|spelkort med joker
🀄;mahjong-bricka;drake|röd drake|spelbricka
🎴;spelkort med blomma;blomma|japanskt spelkort med blomma|kort|kortspel|spelkort
🎭;dans och teater;ansiktsmasker|masker|teater
🖼️;tavla;bild i ram|konst|museum
🎨;färgpalett;färger|konst|palett
🧵;tråd;nål|spole|trådrulle
🪡;synål;broderi|nål|skräddarsy|stygn
🧶;garn;garnnystan|sticka|virka
🪢;knut;knop|rep|tågvirke
👓;glasögon;accessoarer|brillor|ögon
🕶️;solglasögon;glasögon
🥽;simglasögon;ögonskydd|simma|svetsning
🥼;labbrock;doktor|experiment|vetenskapsman
🦺;varselväst;nöd|säkerhet|varningsväst|väst
👔;skjorta med slips;kläder|skjorta|slips
👕;t-shirt;kläder|tröja
👖;jeans;byxor|kläder
🧣;halsduk;hals|scarf
🧤;handske;hand
🧥;jacka;kavaj
🧦;sockor;strumpa
👗;klänning;kläder
👘;kimono;kläder|klänning
🥻;sari;kläder|klänning
🩱;baddräkt;simdräkt
🩲;badbyxor;badkläder|badshorts|simutrustning
🩳;shorts;badbyxor|badkläder|badshorts|underkläder
👙;bikini;badkläder|kläder
👚;blus;damkläder|kläder
🪭;solfjäder;blyg|dans|fläkt|fläktar|flört|hett|svalka
👛;portmonnä;accessoar
👜;handväska;accessoar|väska
👝;kuvertväska;accessoar|clutch
🛍️;shoppingpåsar;påsar|shopping
🎒;ryggsäck;skolväska|väska
🩴;flip-flops;remsko|sandaler
👞;herrsko;sko|skor
👟;gympasko;sko|sneaker
🥾;vandringskänga;camping|pjäxor|vandring
🥿;ballerinasko;lågklackad|toffla
👠;högklackad sko;klack|pumps|sko
👡;damsandal;högklackad damsandal|sandal|sko
🩰;ballettskor;balett|dans
👢;damstövel;sko|stövel
🪮;afrokam;afro|hår|kam
👑;krona;drottning|kung|kungakrona
👒;damhatt;hatt
🎩;hög hatt;hatt
🎓;examenshatt;examen|hatt|högtid
🧢;skärmmössa;basebollkeps|keps
🪖;militärhjälm;armé|hjälm|krigare|militär|soldat
⛑️;räddningsarbetarhjälm;hjälm|hjälm med vitt kors|hjälp|räddningsarbetare|utryckningspersonal
📿;radband;bön|halsband|religion
💄;läppstift;makeup|smink
💍;ring;diamant|diamantring|kärlek|romantik
💎;ädelsten;diamant|juvel|kärlek
🔇;avstängd högtalare;tyst
🔈;högtalare;högtalare med låg volym|låg volym
🔉;högtalare med medium volym;högtalare|volym
🔊;högtalare med hög volym;högtalare|volym
📢;handhögtalare;kommunikation
📣;megafon;kommunikation
📯;postsymbol;posthorn
🔔;ringklocka;klocka|ljud
🔕;överstruken ringklocka;inget ljud|ljudlös|ringklocka
🎼;g-klav;musik|noter
🎵;musiknot;musik|not
🎶;musiknoter;musik|not|noter
🎙️;studiomikrofon;mikrofon|sjunga
🎚️;nivåreglage;reglage
🎛️;reglagevred;musik|reglage
🎤;mikrofon;karaoke|sjunga
🎧;hörlur;musik
📻;radio;video
🎷;saxofon;musik|musikinstrument
🎺;trumpet;musik|musikinstrument
🪊;trombon;bleckblås|instrument|jazz|musik|sorgen
🪗;dragspel;ackordeon|dragharmonika
🎸;gitarr;elgitarr|musik|musikinstrument
🎹;klaviatur;musik|musikinstrument|piano
🎻;fiol;fiol med stråke|musik|musikinstrument|violin
🪕;banjo;musik|sträng
🥁;trumma;musik|trumma med trumpinnar|trumpinnar
🪘;congatrumma;djembe|rytm|takt|trumma
🪇;maracas;instrument|musik|skaka|slaginstrument|slagverk
🪈;flöjt;band|blockflöjt|flöjtist|instrument|musik|orkester|panflöjt|pickolaflöjt|träblås
🪉;harpa;amor|instrument|musik|orkester|romantik
📱;mobiltelefon;mobil|telefon
📲;mobiltelefon med pil;mobil|ringa|telefon
☎️;telefon;
📞;telefonlur;kommunikation|telefon
📟;personsökare;kommunikation
📠;fax;kommunikation
🔋;batteri;
🪫;låg batterinivå;elektronik|låg energinivå
🔌;elkontakt;kontakt
💻;bärbar dator;bärbar|dator|kontor|laptop|pc
🖥️;stationär dator;dator|pc
🖨️;skrivare;dator
⌨️;tangentbord;dator
🖱️;datormus;dator|mus
🖲️;styrkula;dator|mus
💽;datordiskett;dator|optisk|skiva
💾;diskett;dator
💿;optisk skiva;bluray-skiva|cd-skiva|dvd-skiva
📀;dvd-skiva;bluray-skiva
🧮;kulram;beräkning
🎥;filmkamera;film|spela in film
🎞️;filmnegativ;film|negativ
📽️;filmprojektor;film|projektor
🎬;filmklappa;film|klappa
📺;tv;television|video
📷;kamera;video
📸;kamera med blixt;blixt|kamera
📹;videokamera;kamera|video
📼;videokassett;VHS|video|videoband
🔍;förstoringsglas som lutar åt vänster;förstoringsglas|förstoringsglas vänster|vänsterpekande
🔎;förstoringsglas som lutar åt höger;förstoringsglas|förstoringsglas höger|högerpekande
🕯️;stearinljus;levande ljus|ljus
💡;glödlampa;elektrisk|fått en idé|lampa
🔦;ficklampa;lampa
🏮;röd papperslykta;lykta|restaurang|röd lykta
🪔;diyalampa;diya|lampa|oljelampa
📔;anteckningsbok med dekorativt omslag;anteckningsbok med snyggt omslag|skrivbok
📕;stängd bok;bok
📖;öppen bok;bok
📗;grön bok;bok
📘;blå bok;bok
📙;orange bok;bok
📚;böcker;bok
📓;anteckningsbok;skrivbok
📒;liggare;skrivbok
📃;upprullad sida;dokument
📜;bokrulle;pergament|rulle
📄;sida med text uppåt;dokument|sida|text uppåt
📰;tidning;nyheter
🗞️;ihoprullad tidning;ihoprullad|nyheter|tidning
📑;bokmärkesflikar;bokmärken|flikar|markörer
🔖;bokmärke;märke
🏷️;etikett;
🪙;mynt;guld|pengar|silver|skatt
💰;pengapåse;pengar|säck
🪎;skattkista;ädelstenar|guld|pengar|pris|rikedom
💴;yensedel;pengar|sedel|yen
💵;dollarsedel;dollar|pengar|sedel
💶;eurosedel;euro|pengar|sedel
💷;pundsedel;pengar|pund|sedel
💸;pengar med vingar;flygande sedlar|pengar
💳;kreditkort;betalkort|kort
🧾;kvitto;belägg|bevis|bokföring|redovisning
💹;stigande diagram med yen;diagram|diagram stigande marknad|stigande marknad|uppåtpekande
✉️;kuvert;brev|e-post|e-postmeddelande|mail|mejl
📧;e-post;brev|e-postsymbol|kommunikation|mail|mejl
📨;inkommande brev;e-post|kommunikation|kuvert|mottaget brev
📩;kuvert med pil;e-post|kuvert|mejl|pil|skickat|utgående
📤;utkorg;kommunikation|skickat
📥;inkorg;kommunikation|mottaget
📦;paket;låda
📫;stängd brevlåda med hissad flagga;post
📪;stängd brevlåda med sänkt flagga;post
📬;öppen brevlåda med hissad flagga;post
📭;öppen brevlåda med sänkt flagga;post
📮;postlåda;brevlåda
🗳️;valurna med röstsedel;rösta|val
✏️;blyertspenna;
✒️;stiftpenna;penna|reservoarpenna|stift
🖋️;reservoarpenna;penna
🖊️;kulspetspenna;
🖌️;målarpensel;pensel
🖍️;krita;
📝;kom ihåg-block;anteckningar
💼;portfölj;väska
📁;arkivmapp;arkiv|mapp
📂;öppen mapp;mapp|öppet arkiv
🗂️;indexflikar;flikar|index|kort|pärmflikar
📅;kalender;datum
📆;avdragbar kalender;datum|kalender
🗒️;anteckningsblock;anteckningar|block|spiralblock
🗓️;spiralbunden kalender;kalender|månadskalender
📇;kortregister;register
📈;uppåtgående trend;diagram|graf
📉;nedåtgående trend;diagram|graf
📊;stapeldiagram;diagram|staplar
📋;skrivplatta;clipboard|urklipp
📌;kartnål;stift
📍;knappnål;nål|stift
📎;gem;
🖇️;länkade gem;gem|ihopsatta gem
📏;linjal;rak
📐;rätvinklig linjal;linjal|triangel
✂️;sax;klippa
🗃️;kartotek;låda
🗄️;dokumentskåp;dokument|skåp
🗑️;papperskorg;skräp|sopor|soptunna
🔒;låst lås;lås|stängt lås
🔓;öppet lås;lås|olåst
🔏;lås med bläckpenna;bläckpenna|lås
🔐;lås med nyckel;lås|stängt
🔑;nyckel;lösenord
🗝️;gammal nyckel;nyckel
🔨;hammare;verktyg
🪓;yxa;hacka|hugga|klyva|ved
⛏️;hacka;verktyg
⚒️;hammare och hacka;hacka|hammare|verktyg
🛠️;hammare och skiftnyckel;hammare|skiftnyckel|verktyg
🗡️;dolk;kniv|vapen
⚔️;korslagda svärd;korsade|svärd|vapen
💣;bomb;serietidning
🪃;boomerang;australien|bumerang|flyga tillbaka
🏹;pil och båge;båge|bågskytt|pilbåge|vapen
🛡️;sköld;vapen
🪚;fogsvans;såg|snickare|trä|verktyg
🔧;skiftnyckel;verktyg
🪛;skruvmejsel;verktyg
🔩;skruv och mutter;mutter|skruv
⚙️;kugghjul;kugge
🗜️;skruvtving;tving|verktyg
⚖️;balansvåg;rättvisa|våg|vågen
🦯;blindkäpp;blind|tillgänglighet
🔗;länk;länkar|länksymbol|två ringar
⛓️‍💥;bruten länk;boja|bryta|frihet|kedja
⛓️;kedjor;kedja
🪝;krok;hake|klo|snärja
🧰;verktygslåda;låda|mekaniker|verktyg
🧲;magnet;hästsko|magnetisk
🪜;stege;klätterstege|klättra|steg
🪏;spade;begrava|gräva|hål|plantera|scoop|skopa|skyffel|trädgård
⚗️;retort;kemi
🧪;provrör;experiment|kemi|kemist|labb|vetenskap
🧫;petriskål;bakterie|biolog|biologi|labb
🧬;DNA;biolog|evolution|gen|genetik|liv
🔬;mikroskop;vetenskap
🔭;teleskop;kikare|stjärnkikare
📡;tv-satellit;antenn|kommunikation|satellit|tv-satellitantenn
💉;spruta;nål|sjukvård
🩸;blodsdroppe;bloddroppe|ge blod|medicin|menstruation
💊;piller;medicin|tablett
🩹;plåster;bandage
🩼;krycka;funktionsnedsättning|handikapp|käpp|mobilitetshjälpmedel|skadad
🩺;stetoskop;doktor|hjärta|medicin
🩻;röntgen;ben|läkare|medicin|skelett|undersökning
🚪;dörr;
🛗;hiss;lift|tillgång|vinsch
🪞;spegel;reflektor|spegelglas
🪟;fönster;genomskinlig|öppning|ram|utsikt
🛏️;säng;hotell|sömn
🛋️;soffa och lampa;hotell|lampa|soffa
🪑;stol;säte|sitta
🚽;toalett;toalettstol
🪠;vaskrensare;rörmokare|sugkopp|toalett
🚿;dusch;vatten
🛁;badkar;bad
🪤;musfälla;bete|fälla|snara
🪒;rakhyvel;raka|vass
🧴;lotionflaska;kräm|lotion|shampoo|solkräm
🧷;säkerhetsnål;blöja|punkrock
🧹;kvast;häxa|sopa|städa
🧺;korg;jordbruk|picknick|tvätt
🧻;toarulle;pappershanddukar|toalettpapper
🪣;spann;ämbar|hink|kärl
🧼;tvål;bada|duscha|lödder|skål|tvålbit
🫧;bubblor;lödder|rap|rent|såpbubblor|tvål|under vatten
🪥;tandborste;borste|ren|tänder|tandhygien|tvätta
🧽;tvättsvamp;mjuk|rengörande
🧯;brandsläckare;eld|kväva|släcka
🛒;shoppingvagn;handla|inköp|shopping|vagn
🚬;cigarett;rökning|rökning tillåtet|rykande cigarett|symbol
⚰️;kista;begravning
🪦;gravsten;begravningsplats|grav|gravplats|minneslund
⚱️;begravningsurna;aska|begravning|urna
🧿;onda ögat-sten;amulett|nazar|onda ögat
🪬;hamsa;amulett|Fatima|hand|lycka|Maria|Miriam|skydd
🗿;staty;påskön
🪧;plakat;demonstration|protest|skylt
🪪;ID-kort;ID|legitimation|personuppgifter|säkerhet
🏧;bankomat;bankomatskylt|pengar|uttagsautomat
🚮;soptunna;slänga skräp|symbol
🚰;dricksvatten;drickbart vatten|symbol
♿;rullstolssymbol;rullstol|symbol|tillgänglighet
🚹;herrtoalett;män|symbol för män|toalett
🚺;damtoalett;kvinnor|symbol för kvinnor|toalett
🚻;wc-skylt;toalett|wc
🚼;bebissymbol;bebis|skötrum
🚾;WC;toalett|uthus
🛂;passkontroll;kontroll|pass
🛃;tull;tullkontroll
🛄;bagagehämtning;bagage
🛅;kvarlämnat bagage;bagage|bagageservice
⚠️;varning;fara|se upp|skylt|utropstecken|varningstecken
🚸;passerande barn;barn|passerar|symbol
⛔;förbud mot infart med fordon;infart förbjuden
🚫;förbjudet;förbudsmarkering
🚳;förbud mot trafik med cykel;cyklar förbjudna|fordon|inte tillåtet att cykla
🚭;rökning förbjuden;rökning|rökning förbjudet|symbol
🚯;skräpa inte ner;inget skräp|släng inte skräp här|symbol
🚱;ej dricksvatten;odrickbart vatten|symbol
🚷;förbud mot gångtrafik;inga fotgängare|inte tillåtet att gå|symbol
📵;mobil förbjuden;inga mobiler|inga samtal
🔞;ej för minderåriga;åldersgräns|barnförbjuden|förbjudet|minderåriga
☢️;varning för strålrisk;fara|joniserande strålning|radioaktiv|radioaktiva ämnen|strålning|varning
☣️;biologisk fara;biologisk|fara|skylt|varning
⬆️;uppåtpil;norr|pil|riktning|väderstreck
↗️;uppåtpil höger;höger|pil|uppåt
➡️;högerpil;öster|pil|riktning|väderstreck
↘️;nedåtpil höger;höger|nedåt|pil
⬇️;nedåtpil;nedåt|pil|riktning|söder|väderstreck
↙️;nedåtpil vänster;nedåt|pil|vänster
⬅️;vänsterpil;pil|riktning|väderstreck|väster
↖️;uppåtpil vänster;pil|uppåt|vänster
↕️;pil upp och ned;nedåt|pil|uppåt
↔️;pil höger och vänster;höger|pil|vänster
↩️;svängd vänsterpil;pil|sväng|vänster
↪️;svängd högerpil;höger|pil|sväng
⤴️;svängd uppåtpil;pil|sväng|uppåt
⤵️;svängd nedåtpil;nedåt|pil|sväng
🔃;vertikala pilar medurs;pilar|pilar medurs|uppdateringssymbol
🔄;pilar moturs;deja vu|förnya|moturs|pil|pilar|spola tilllbaka|uppdatera|upprepa
🔙;Back med vänsterpil;bakåt|TILLBAKA med vänsterpil|vänsterpil
🔚;End med högerpil;framåt|högerpil|Slut med högerpil
🔛;ON! med pil höger och vänster ovanför;höger|ON!|PÅ!|pil|vänster
🔜;Soon med högerpil ovanför;höger|omw|pil|SNART|SOON
🔝;Top med uppåtpil;homie|kompis|pil|TOP|TOPP|upp|uppåtpil
🛐;plats för tillbedjan;religion|tempel|tillbedjan
⚛️;symbol för atom;ateist|atom|naturvetenskap
🕉️;aum-tecken;hinduism|ohm-tecken|religion
✡️;davidsstjärna;jude|judendom|religion|stjärna
☸️;livets hjul;buddhist|hjul|livshjul|religion
☯️;yin och yang;religion|tao|taoist|yang|yin
✝️;latinskt kors;kors|kristendom|religion
☦️;ortodoxt kors;kors|kristendom|religion
☪️;stjärna och halvmåne;halvmåne|islam|muslim|religion
☮️;fredssymbol;fred|peace
🕎;menora;judendom|ljusstake
🔯;sexuddig stjärna med prick;spådom|stjärna
🪯;khanda;Khalsa|religion|Sikh|sikhism|tro
♈;Väduren;stjärntecken
♉;Oxen;stjärntecken
♊;Tvillingarna;stjärntecken
♋;Kräftan;stjärntecken
♌;Lejonet;stjärntecken
♍;Jungfrun;stjärntecken
♎;Vågen;balans|rättvisa|stjärntecken
♏;Skorpionen;stjärntecken
♐;Skytten;stjärntecken
♑;Stenbocken;stjärntecken
♒;Vattumannen;stjärntecken
♓;Fiskarna;stjärntecken
⛎;Ormbäraren;stjärnbild
🔀;blanda låtar;blanda|korsade|pilar|shuffle
🔁;upprepning;medurs|pil|repeat
🔂;upprepa en låt;medurs|pil|repeat|upprepning
▶️;uppspelningsknapp;knapp|knapp för spela|play|spela
⏩;framåtspolningsknapp;framåt|knapp|knapp för snabbspola framåt|snabbspola
⏭️;knapp för nästa spår;knapp|nästa spår
⏯️;knapp för spela eller pausa;knapp|paus|play|spela
◀️;bakåtspolningsknapp;knapp|knapp för spola tillbaka|spola tillbaka
⏪;knapp för snabbspola tillbaka;dubbla vänsterpilar|pilar
⏮️;knapp för sista spåret;knapp|sista spåret
🔼;uppåtknapp;triangel|uppåtpekande liten triangel
⏫;dubbla uppåtpilar;uppåtpilar
🔽;nedåtknapp;nedåtpekande liten triangel|triangel
⏬;dubbla nedåtpilar;nedåtpilar
⏸️;pausknapp;knapp|knapp för pausa|paus
⏹️;stoppknapp;knapp|knapp för stoppa|stopp
⏺️;inspelningsknapp;knapp|knapp för spela in|spela in
⏏️;utmatningsknapp;knapp|knapp för mata ut|mata ut
🎦;bio;bioskylt|film
🔅;låg ljusstyrka;låg|ljusstyrka
🔆;hög ljusstyrka;hög|ljus|ljusstyrka
📶;stapel signalstyrka;antenn|kommunikation|mobil|mottagning|signal|signalstyrka|stapel|staplar|täckning|telefon
🛜;trådlös;bredband|hotspot|internet|internetdelning|nätverk|router|surfpunkt|surfzon|trådlöst|Wi‑Fi|wlan
📳;vibrationsläge;läge|mobil|telefon
📴;avstängd mobil;avstängd|mobil av|telefon
♀️;kvinnosymbol;kvinna|kvinnlig
♂️;manssymbol;man|manlig
⚧️;transgendersymbol;transgender
✖️;multiplicera;×|avbryt|multiplikation|multiplikationstecken|tecken|x
➕;addera;+|matte|plus|plustecken|tecken
➖;subtrahera;-|−|matte|minus|minustecken|tecken
➗;dividera;÷|division|divisionstecken|matte|tecken
🟰;fetstilt likamedtecken;likhet|matte
♾️;oändlighet;evig|obegränsad|universal
‼️;dubbla utropstecken;två|utropstecken
⁉️;utropstecken och frågetecken;frågetecken|utropstecken
❓;rött frågetecken;?|fråga|frågetecken|interpunktion|tecken
❔;vitt frågetecken;fråga|frågetecken
❕;vitt utropstecken;kommatering|utropstecken|vitt
❗;rött utropstecken;kommatering|rött|utropstecken
〰️;vågigt tankstreck;tankstreck|vågig
💱;valutaväxling;pengar|valuta|växelkurs
💲;dollartecken;dollar|pengar
⚕️;medicinsk symbol;aesculapius|medicin|personal
♻️;återvinningssymbol;återvinning|symbol
⚜️;fransk lilja;fleur de lys|heraldisk lilja
🔱;treudd;hav
📛;namnskylt;namn|skylt
🔰;japansk symbol för nybörjare;grönt och gult blad
⭕;tung stor cirkel;cirkel|o|röd|vit cirkel med röd kant
✅;vit bockmarkering;bock|vit fet bockmarkering
☑️;kryssruta med bockmarkering;avbockad|bock|kryssruta|kryssruta med bock
✔️;bockmarkering;avbockad|bock
❌;rött kryss;kryss|X
❎;vitt kryss i ruta;kryss|X i ruta
➰;ögla;kurva|slinga
➿;dubbel ögla;öglor
〽️;japansk kommatering;japansk|kommatering
✳️;åttauddig spetsig stjärna;asterisk|åttauddig|spetsig|stjärna
✴️;åttauddig stjärna;åttauddig|stjärna
❇️;glittra;gnistra
©️;upphovsrättssymbol;copyright|upphovsrätt
®️;registrerat varumärke;registrerat
™️;skyddat varumärke;varumärke
🫟;stänk;färg|fläck|holi|utspill
0️⃣;tangent: 0;0|noll|tangent
1️⃣;tangent: 1;1|ett|keycap
2️⃣;tangent: 2;2|keycap|två
3️⃣;tangent: 3;3|keycap|tre
4️⃣;tangent: 4;4|fyra|keycap
5️⃣;tangent: 5;5|fem|keycap
6️⃣;tangent: 6;6|keycap|sex
7️⃣;tangent: 7;7|keycap|sju
8️⃣;tangent: 8;8|åtta|keycap
9️⃣;tangent: 9;9|keycap|nio
🔠;versaler;ABC|alfabet|stora bokstäver
🔡;gemener;små bokstäver
🔢;siffror;nummer
🔣;specialtecken;symboler
🔤;bokstäver;ABC|alfabet
🅰️;blodgrupp A;typ A
🆎;blodgrupp AB;typ AB
🅱️;blodgrupp B;typ B
🆑;rensa-symbol;CL-symbol|redo|renssymbol
🆒;COOL-knapp;cool
🆓;FREE-knapp;FRI-knapp|gratis|gratis-symbol|symbol
ℹ️;information;i|informationskälla
🆔;ID-knapp;ID|ID-symbol|identitet
Ⓜ️;m i en cirkel;cirkel
🆕;NEW-knapp;NY-knapp|Nyhet|nyhetssymbol|symbol
🆖;NG-knapp;inte bra|inte bra-symbol|symbol
🅾️;blodgrupp 0;typ 0
🆗;OK-knapp;OK
🅿️;P-knapp;parkering|parkeringsplats
🆘;SOS-knapp;hjälp|SOS|SOS-symbol|symbol
🆙;UP!-knapp;UP!|UPP!-knapp
🆚;VS-knapp;kontra|mot|symbol|vs
🈁;japansk ”här”-knapp;här|katakana|katakana för koko
🈂️;japansk ”serviceavgift”-knapp;katakana|katakana för sa|serviceavgift
🈷️;japansk ”månadsbelopp”-knapp;ideogram|ideogram för månad|japansk|månadsbelopp
🈶;japansk ”inte gratis”-knapp;ideogram|ideogram för finns|inte gratis|japansk
🈯;japansk ”reserverad”-knapp;ideogram|ideogram för finger|japansk|reserverad
🉐;japansk ”fynd”-knapp;fynd|ideogram|ideogram för bonus|japansk
🈹;japansk ”rabatt”-knapp;ideogram|ideogram för rabatt|japansk|rabatt
🈚;japansk ”gratis”-knapp;gratis|ideogram|ideogram för gratis|japansk
🈲;japansk ”förbjudet”-knapp;förbjudet|ideogram|ideogram för förbud|japansk
🉑;japansk ”godtagbart”-knapp;godtagbart|ideogram|ideogram för godkänna|japansk
🈸;japansk ”användning”-knapp;användning|ideogram|ideogram för tillämpa|japansk
🈴;japansk ”godkänt betyg”-knapp;användning|ideogram|japansk
