😀;کھل کے ہنستا چہرہ;چہرہ|کھلا|منہ|ہنسی
🪼;جیلی فش;آبی حیات|آہ|بے ریڑھ|جانور|جلن|جیلی|ڈنک|سمندری|شاخک
🦀;کیکڑا;جانور|سرطان|قدرت|کھیکھڑا|منطقتہ البروج
🦞;لوبسٹر;بسک، پنجے، لابسٹر، سمندری خوراک، سرخ لابسٹر، جانور|پنجے|سمندری غذا|گاڑھا سوپ
🦐;جھینگا;چھوٹا جھینگا|خوراک|غزا|قدرت|کھانا|نعمت
🦑;قیر ماہی;اسکوڈ|جانور|خوراک|قدرت
🦪;صدفہ;سیپ|سیپ کا کیڑا|صدف|غوطہ خوری|موتی
🐌;گھونگھا;اسنیل|باغ|باغیچہ|جانور|صدفہ|قدرت
🦋;تتلی;جاندار|خوبصورت|قدرت|کیڑہ|مخلوق
🐛;کن کھجورا;باغیچہ|جاندار|قدرت|کملا|کیڑا
🐜;چیونٹی;جاندار|قدرت|کیڑٰ|کیڑا|مکڑی
🐝;شہد کی مکھی;شہد|قدرت|مکھی|مُہال پروری|مہال کی مکھی
🪲;بھونرا;بھنورا|جانور|حشرات|کھٹمل|کیڑا
🐞;کھٹمل;باغیچہ|بھنورا|حشرہ|قدرت|کیڑا|گلستان|گلشن|لیڈی بگ
🦗;گرگٹ;آرتھوپڑا|ٹڈا|ٹڈّا|جھینگر|جھینگر، کیڑا، ٹڈّا، حژرہ، آرتھوپڑا|حشرہ|قدرت|کیڑا
🪳;لال بیگ;تل چٹا|حشرات|کاکروچ|کیڑا
🕷️;مکڑی;حشرہ|قدرت|کیڑا
🕸️;مکڑی کا جالا;حشرہ|عنکبوتی حژرہ|قدرت|کیڑا|مکڑی
🦂;بچھو;برج عقرب|برچھک|جاندار|جانور|حشرہ|عقرب|عنکبی حشرہ|قدرت|منطقتہ البروج
🦟;مچھر;بخار|بیماری|بیماری، بخار، کیڑا، ملیریا، مچھر، وائرس، مچھر کی کاٹ|کیڑا|ملیریا|وائرس
🪰;مکھی;بیماری|جانور|حشرات|خراب ہونا|فطرت|کیڑا
🪱;کیچوا;جانور|حشرات|زمینی کیڑا|طفیلیہ|کیڑا
🦠;جرثومہ;امیبا|امیبا، بیکٹیریا، مائیکروب، وائرس، سائنس|بیکٹیریا|وائرس
💐;گلدستہ;پھول|پودہ|تحفہ|عشق|غنچہ|قدرت|گل|محبت|ملاقات
🌸;چیری بلاسم;بلاسم|بہار|پھول|پودہ|چیری|قدرت|کھلا ہوا چیری کا پھول|گل
💮;سفید پھول;پھول|گل
🪷;کنول;اطمینان|امن|بدھ مت|پھول|چین|خوبصورتی|سکون|طہارت|ہندو مت
🏵️;گلاب کا نقش;پھول|پودا
🌹;گلاب;اظہارِ محبت|پھول|پودا|حب|خوبصورتی|شگوفہ|عشق|عقیدت|قدرت|گلِ لالہ|لال گلاب|ویلینٹائن
🥀;مرجھایا ہوا پھول;پژمردہ|پھول|قدرت|کمھلایا ہوا پھول|گل|گلِ پژمردہ|مرجھایا
🌺;گل خطمی;باغ|باغبان|باغیچہ|پھول|پودا|جاسود|قدرت|گل|گلستان|گلشن
🌻;سورج مکھی کا پھول;باغ|باغیچہ|پھول|پودا|سورج|قدرت|گل|گلِ آفتاب گرداں|گلستان
🌼;شگوفہ;پھول|پودا|پودہ|شیر دنداں کا گل|قدرت|کھلا ہوا پھول|گلِ قاصدی
🌷;نرگس کا پھول;پھول|پودا|ٹولپ|شفائق النعمان|قدرت|گلِ دلبند|گلِ لالہ
🪻;سنبل;ارغوان|ارغوانی|بان|بلیو بونیٹ|پھول|پودہ|جامنی|سنیپ ڈریگن|لوپین|لیونڈر
🌱;ننھا پودا;ابتدا|ابتدائی شجر|باقر|بنیاد|بیج کا پھوٹنا|پنپنا|پودا|ڈنٹھل|شاخچہ|قدرت|کونپل|نمو پانا|ننھا
🪴;گملے میں پودا;آرائشی پودا|اکتاہٹ|اگنا|بیکار|پودا|سجاوٹ|گملہ|گھر|نشوونما
🌲;سدا بہار;پودا|جنگل|چیڑ کا درخت|درخت|دیودار|شجر|شجرِ کرسمس|صنوبر|قدرت|ہمیشہ سرسبز
🌳;پت جھڑ درخت;بستی|پت جھڑ|پتکھڑ|پودا|جنگل|جھاڑ|درخت|سبز|شجر|قدرت|معمورہ
🌴;پام کا درخت;پام|پودا|درخت|ساحل|سمندر کنارہ|شجر|قدرت|گرم علاقائی
🌵;کیکٹس;پودا|خشک سالی|صحرا|صحرائی سبزہ|قحط|قدرت|نظارہ
🌾;چاولوں کا گٹھا;اناج|پودا|چاول|دھان|غلہ|قدرت|گیاہ
🌿;جڑی بوٹی;بوٹی|بُوٹی|پتا|پتّی|پودا|ٹہنی|ڈالی|سبزہ|سبزی|شاخ|قدرت
☘️;تین پتی پھول;پودا|سبزہ|شامرک|قدرت|کلوئر
🍀;چار پتیوں والی گھاس;۴|پتا|پودا|چار|چار پتیوں والا سبزا|سبز|قدرت|کلوئر
🍁;میپل کے پتے;پودا|سوکھا پتہ|قدرت|گرنا|میپل|میپل کا خشک پتہ
🍂;گرے ہوئے پتے;پتا|پتجھڑ|پودا|جاڑا|جھڑتے ہوئے پتّے|خزاں|سردی کا موسم|سوکھے پتّے|قدرت|گرنا|موسمِ سرما
🍃;ہوا میں پھڑپھڑاتے پتے;پتا|پتہ|پروائی|پودا|قدرت|ہوا|ہوا کا جھونکا
🪹;خالی گھونسلہ;پرندوں کا گھونسلہ|گھونسلہ|گھونسلہ سازی
🪺;انڈوں کے ساتھ گھونسلہ;پرندے کا گھونسلہ|پرندے کے انڈے|گھونسلہ|گھونسلہ سازی
🍄;کھمبی;پھپھوند|پودا|خمیر|سانپ کی چھتری|فطر|قدرت|کھنبی
🪾;بے برگ درخت;بنجر|خشک سالی|موسم سرما
🍇;انگور;پھل|میوہ
🍈;خربوزہ;پھل|ثمر|شیریں|غزا|کھانا|میٹھا
🍉;تربوز;پھل|تراوٹ|ثمر|شیریں پھل|کھانا
🍊;چھوٹا سنگترہ;آرینج|پھل|ثمر|سنترہ|سنگترہ|نارنج|ویٹامن سی
🍋;لیموں;پھل|تازگی|ترش|ثمر|کھٹا|کھٹاس|لیمن|نیمبو
🍋‍🟩;لائم;پھل|فروٹ|کاک ٹیل|کھٹا|لیمونی، پھل، حاری|مارگریٹا
🍌;کیلا;پھل|پوٹاسئم|ثمر|عنصر
🍍;انناس;پائن ایپل|پھل|ثمر|خط جدی|خط سرطان
🥭;آم;پھل|پھل، آم، برساتی جنگل، شیکر، غذا|ٹروپیکل
🍎;سرخ سیب;پکا ہوا سیب|پھل|ثمر|سرخ|سیب|صحت|کھانا|لال سیب|مفید ثمر
🍏;سبز سیب;پھل|ثمر|سبز|سیب|ہرا سیب
🍐;ناشپاتی;پھل|پیر|ثمر
🍑;آڑو;پھل|پیچ|ثمر|خوراک|زرد آلو|کھانا
🍒;چیریاں;پھل|ثمر|چیری|خوراک|شیریں|کھانا
🍓;اسٹابری;اسٹرو بیری|بیر|بیری|پھل|ثمر|نعمت
🫐;بلو بیریز;بلبری|بلو بیری|بیر|بیری|پھل|غذا|گوندنی|نیلا
🥝;کیوی فروٹ;پھل|ثمر|خوراک|کیوی
🍅;ٹماٹر;پکا ہوا ٹماٹر|پھل|ثمر|خوراک|سبزی
🫒;زیتون;خوراک|غذا|کھانا
🥥;ناریل;انناس اور ناریل کا شربت|پام|پینا کولاڈا|تاڑ|خشک ناریل|کھجور|کھوپرا|نار جیل
🥑;ایوو کیڈو;پھل|ثمر|خوراک
🍆;بینگن;پھل|ثمر|سبزی|غزا|کھانا
🥔;آلو;بٹاٹا|پکانا|خوراک|سبزی|کھانا
🥕;گاجر;پکانا|خوراک|سبزی|شیریں|کھانا
🌽;چھلی;بھٹا|پودا|پیداوار|دہقان|فصل|کسان|کھیت|مکئی
🌶️;تیز مرچ;پودا|تیز|تیزی|سرخ مرچ|مرچ
🫑;شملہ مرچ;سبزی|مرچ
🥒;کھیرا;تازگی|خوراک|سبزی|سلاد|ککڑی|کھانا
🥬;ہرے پتوں والی سبزی;بند گوبھی|بوک چوئف، گوبھی، بند گوبھی، سبز پتے، لیٹس، برگر، سلاد|چینی بند گوبھی|سلاد پتہ
🥦;شاخ گوبھی;بروکولی|جنگلی گوبھی|سبزی
🧄;لہسن;ذائقہ|سبزی|گارلک
🧅;پیاز;ذائقہ|سبزی|کھانا
🥜;مونگ پھلی;پھلی|خوراک|سبزی|گری دار میوہ|میوہ
🫘;پھلیاں;پھلی|کھانا|لال لوبیا|لوبیا
🌰;شاہ بلوط کا پھل;بادام|بیج|پودا|شاہ بلوط|میوہ
🫚;ادرک;بیئر|جڑ|صحت|قدرتی|مصالحہ
🫛;مٹر کی پھلی;ایڈامیم|پھلی|پھلی دانہ|پھلیاں|سبزی|سویا بین|مٹر
🍄‍🟫;بھورے رنگ کا مشروم;پیزا ٹاپنگ|خوراک|غذا، فنگس، قدرت، سبزی|مشروم
🫜;زیر زمین اگنے والی سبزی;باغ|جَڑ|چقندر|سبزی|شلغم
🍞;ڈبل روٹی;بریڈ|پائو روٹی|روٹی|غزا|غلہ|کھانا|نان
🥐;ہلال نما روٹی;خوراک|روٹی|رول|فرنچ|کھانا|ہلال نما
🥖;بیگٹ ڈبل روٹی;بریڈ|بیگٹ|خوراک|ڈبل روٹی|فرانسیسی پائو روٹی|فرنچ
🫓;چپٹی روٹی;اریپا|بریڈ|بسکٹ|پیٹا|چپاتی روٹی|روٹی|غذا|لاوش|نان
🥨;گانٹھ کی شکل کی بسکٹ;بسکٹ|پریٹزیل|پکوان|موڑی ہوئی
🥯;بیگل;بیکری|بیگل، بیکری، بریڈ، ناشتہ، شمئیر|شمئیر
🥞;پین کیکس;پین کیک|خوراک|روٹ|روٹی|کھانا|گلگلے
🧇;ویفل;فولاد|کھانا|متذبذب|ناشتہ|وافل|ووفل
🧀;پنیر کا ٹکڑا;پنیر|ٹکڑا|چیز|چیز کا ٹکڑا
🍖;ہڈی پر گوشت;اسنیک|گوشت|ھڈی پر بوٹی|ہڈی
🍗;چکن کی ٹانگ;اسنیک|بھوک|ترکی مرغ|تیتر|ٹانگ|چکن|مرغ|مرغ کی ٹانگ|ہڈی
🥩;گوشت کا ٹکڑا;بکرے کا گوشت|چاپ|چانپ|چانپیں|سرخ گوشت|سوّر کا گوشت|گائے کا گوشت|گوشت
🥓;سور کا نمکین گوشت;خوراک|سور|کھانا|گوشت|نمکین|نمکین کوشت
🍔;ہیم برگر;اسنیک|برگر|بن کباب|بھوک|پھرتی سے تیار کھانا|خوراک|کھانا
🍟;فرنچ فرائز;آلو|اسنیک|تلے ہوئے آلو|فرائز|فرنچ|کھانا
🍕;پزا;اسنیک|بھوک|پنیر|پیزا|ٹکڑا|خوراک
🌭;ہاٹ ڈاگ;اسنیک|بریڈ|سیخ کباب|کباب|کوفتہ
🥪;سینڈوچ;بریڈ|پائو روٹی|ڈبل روٹی|روٹی|غزا|کھانا
🌮;مسالے بھرا پراٹھا;اسنیک|پراٹھا|ٹاکو|مسالہ|میکسیکن
🌯;بریٹو;اسنیک|بریتو|روٹی میں لپیٹا ہوا کھانا|مسالہ|میکسیکن
🫔;ٹمالے;غذا|لپیٹا ہوا|میکسیکن
🥙;بھری ہوئی چپاتی;بھری ہوئی|جائرو|چپاتی|خوراک|روٹ|روٹی|فلافل|کباب|نان
🧆;فلافل;چنا|سفید چنا|غذا|کھانا|کوفتہ
🥚;انڈا;آملیٹ|بیضہ|خوراک|کیک|مرغ|نانختائی
🍳;پکتا ہوا انڈہ;آملیٹ|انڈا|بیضہ|پین|صبح|ناشتا
🥘;کم گہرے پین میں خوراک;برتن|پکانا|پین|چھتلا برتن|خوراک|کڑھائی|کم گہرا
🍲;خوراک کا برتن;اسٹو|برتن|تازہ کھانا|خوراک|شوربے دار کھانا|گرم کھانا
🫕;فانڈی;برتن|پگھلا ہوا|پنیر|چاکلیٹ|سوئس|کھانا
🥣;چمچ اور کٹورا;اناج|اوٹ میل|پیالہ اور چمچہ|دلیہ|غلہ|کھانا|ناشتہ
🥗;سبز سلاد;خوراک|سبز|سبزی|سلاد|کھانا
🍿;پاپ کارن;اسنیک|بحٹے کے دانے|بھنی ہوئی مکئی کی کیلیں|چٹخی ہوئی مکئی|فلم|موی
🧈;مکھن;بٹر|ڈیری|کھانا پینا
🧂;نمک;مصالحہ|مصالحہ ،نمک، شیکر، فلیور، ذائقہ، نمکین، پریشان، پاگل|نمک دانی
🥫;ڈبہ بند کھانا;ڈبّا|ڈبہ|ڈبّے کا کھانا|کنستر|کین
🍱;بنٹو باکس;بنٹو|خوراک|ڈبہ|غزا|کھانا
🍘;چاولوں کے پاپڑ;اسنیکس|پاپڑ|چاول
🍙;چاولوں کے بالز;جاپانی|چاول|چاولوں کے کوفتے|چاولوں کے گولے|گیند
🍚;پکے ہوئے چاول;پکے ہوئے|چاول|دھان|غلہ|میٹھے چاول
🍛;شوربے والے چاول;بھات|چاول|خعراک|دال چاول|شوربہ|کھانا
🍜;بھاپ نکالتا پیالہ;پھو|پیالہ|گرم خوراک|گرم کھانا|گرم نوڈلس|نوڈل
🍝;اسپیگٹی;اٹالی کا کھانا|اسپیگھیٹی|پاستا|ریتراں|ریسٹورنٹ|کھانا|کوفتے|ہوٹل
🍠;بُھنا ہوا میٹھا آلو;آلو|بُھنا ہوا|بھنا ہوا شکریہ|خوراک|شکریہ|کھانا|میٹھا
🍢;اوڈن;خوراک|ریسٹورنٹ|سٹک|سمندری کھانا|سیخ کباب|کباب|کھانا
🍣;سوشی;جاپانی|خوراک|کھانا
🍤;تلا ہوا شرمپ;تلا ہوا|تلا ہوا جھینگا|ٹیمپورا|جاپانی جھینگے|جھینگا|شرمپ
🍥;بگولا بنا مچھلی کا کیک;پیسٹری|خوراک|ریسٹورنٹ|کیک|مچھلی
🥮;چاند نما کیک;تہوار|خزاں|خزاں، میلہ، چاند کیک، یوبنگ
🍡;ڈینگو;جاپانی|سٹک|سیخ|شیرینی|میٹھا
🥟;پکوڑی;آٹے کی پوٹلی|آٹے کی گٹھری|آٹے کے پیڑے میں کچھ بھر کر بنایا ہوا پکوان|ایمپاناڈا|پاٹ سٹیکر|پوٹلی
🥠;قسمت والا بسکٹ;آگاہی|پروفیسی|پیش گوئی|فارچون کوکی|فال|قسمت|نصیب
🥡;پارسل کا ڈبہ;باہر کا کھانا|چائنیز کھانا|چوپ اسٹکس|خوراک|صدف کی بالٹی|کھانا گھر پر منگوانا
🍦;سافٹ آئس کریم;بالائی|برف|خوراک|ڈیسرٹ|ریسٹورنٹ|شیرینی|کریم|میٹھی|نرم
🍧;تراشیدہ برف;برف|برف کا گولہ|تراشی ہوئی|ٹھنڈک|میٹھی
🍨;آئس کریم;بالائی|برف|ٹھنڈی شیرینی|ریسٹورنٹ|شیرینی|کریم|میٹھی
🍩;ڈونٹ;خوراک|شیرینی|شیریں|کھانا|میٹھا
🍪;کوکی;چاکلیٹ والی نان ختایی|شیرینی|میٹھا|میٹھاس|نان ختایی
🎂;سالگرہ کا کیک;برتھ ڈے|برتھ ڈے کیک|پیدائش|پیسٹری|جشن|سالگرہ|سالگرہ مبارک|شیرینی|کیک|میٹھا|ہیپی برتھ ڈے
🍰;کیک کا ٹکڑا;پیسٹری|ٹکڑا|ڈسرٹ|شیریں|کیک|میٹھا
🧁;کپ کیک;بیکری|بیکری، کپ کیک، مٹھائی، میٹھا، پاشی، دعوت، شوگر|میٹھا
🥧;پائي;بھرنا|پائی|پھل|پورن|پیسری|تنوری|ثمر|سیب|مغز
🍫;چاکلیٹ بار;بار|چاکلیٹ|چاکلیٹ کا مشروب|کوکو|میٹھی|ہالوین
🍬;کینڈی;پنی|دانت کی خرابی|ریسٹورنٹ|شیرین|شیرینی|میٹھی|ہالوین
🍭;لالی پاپ;خوراک|شیرینی|کھانا|کینڈی|مٹھاس|میٹھی|ولی وونکا
🍮;کسٹرڈ;میٹھا
🍯;شہد کا برتن;برتن|شہد|شیریں|کھانا|میٹھا
🍼;فیڈر;بچہ|بچے|بوتل|پیدائش|دودھ|شیر|شیر خوار|شیر خواری|نو مولود|ولادت
🥛;دودھ کا گلاس;دودھ|دودھ کا پیالہ|شیر|شیر خواری|گلاس|مشروب
☕;گرم کافی;اسٹار بکس|چائے|صبح|فجر|قہوہ|کافی|گرم|ناشتہ
🫖;چائے کا برتن;برتن|پینا|چائے|غذا|کیتلی|مشروب
🍵;ہینڈل کے بغیر چائے کا کپ;اولانگ|پیالہ|ٹی کپ|چائے|کپ|مشروبات
🍶;جاپانی شراب;بار|بوتل|پیالا|پینا|ریسٹورنٹ|شراب|کپ
🍾;کارک لگی بوتل;بار|بوتل|پینا|شراب خوری|کارک|کارک کھعلنا|نشہ
🍷;شراب کا گلاس;بار|پیالہ|پینا|پینا پلانا|جام|شراب|شراب خوری|گلاس|مینا|مے
🍸;کاک ٹیل گلاس;بار|پینا|شراب خوری|کاک ٹیل|گلاس|مدیرہ|نشہ
🍹;ٹراپکل مشروب;بار|پینا|ٹراپکل|شراب|شراب خوری|شربت|مشروبات|نشہ
🍺;بیئر کا مگ;بار|پینا|پینا پلانا|جام|جرمنی|شراب|شربت|مگ|مے|نشہ
🍻;ٹکراتے بیئر کے مگ;بار|بے خودی|پیالے|جام|جشن|شراب|شراب خوری|گلاس|مگ|نشہ
🥂;آپس میں ٹکراتے گلاس;ٹکرانا|جام|جامِ جم|خوشی منانا|گلاس|مشروب
🥃;وہسکی والا گلاس;پیالہ|شراب|شربت|گلاس|وہسکی
🫗;مائع بہانا;انڈیلنا|پینا|خالی|گلاس
🥤;کپ اور اسٹرا;اسٹرو کے ساتھ کپ|پانی|جوس|رس|سوڈا|شربت|غیر نشہ آور عرق|ہلکہ مشروب
🧋;بلبلوں والی چائے;بلبلہ|چائے|دودھ|غذا|کھانا|مشروب|موتی
🧃;مشروب کا ڈبہ;اسٹرا|باکس|پیکٹ|جوس|جوس کا پیکٹ|جوس کا ڈبہ|ڈبہ|ڈرنک|سٹرا|شیریں|کولڈ ڈرنک|مشروب|مشروب کا پیکٹ|میٹھا|میٹھی چیز
🧉;ہم پیالہ;ڈرنک|ساتھی|مٹکا|مشروب
🧊;برف کا ٹکڑا;برف|برف کا تودا|برفانی تودا|تودا|ٹھنڈ|ٹھنڈا|ڈرنک
🥢;چینی کانٹا;چوپ اسٹک|چینی یا جاپانی کھانا کھانے کی لکڑی|ہاشی
🍽️;چھری کانٹے کے ساتھ پلیٹ;پکانا|پلیٹ|چھری|خوراک|رکابی|کانٹا|کھانا
🍴;کانٹا اور چھری;بھوک|چھری|ڈنر|ریسٹورنٹ|کانٹا|کھاؤ|کھانے کے چمچے|لذیذ|لنچ|ناشتہ|ہوٹل
🥄;چمچ;اسپون|خوراک|غزا|کھانا|کھانے کی میز
🔪;کچن کی چھری;آلہ|باورچی خانہ|چاکو|چھری|خنجر|کُکنگ
🫙;مرتبان;اسٹور|جار|چٹنی|خالی|خالی برتن|کنٹینر|مصالحہ
🏺;ایمفورا;اوزار|بُرج دِلو|پانی|جگ|ہتھیار
🌍;یورپ اور افریقہ کو دکھاتا گلوب;افریقہ|دنیا|زمین|سیارہ|قدرت|کرہٌ ارض|کرہٌ زمین|گلوب
🌎;امریکہ کو دکھاتا گلوب;امریکہ|دنیا|زمین|سیارہ|قدرت|کرہٌ زمین|گلوب
🌏;ایشیا اور آسٹریلیا کو دکھاتا گلوب;آسٹریلیا|ایشیا|ایشیاء|زمین|قدرت|کرہٌ زمین|گلوب|گولا
🌐;طول البلد کو دکھاتا گلوب;انٹرنیٹ|دنیا|زمین|طول البلد|قرۂ ارض|گلوب|نصفالنہار|ویب
🗺️;دنیا کا نقشہ;جہان|دنیا|نقشہ
🗾;جاپان کا نقشہ;جاپان|نقشہ
🧭;قُطب نُما;قطب نما، مقناطیسی، نیویگیشن، سمت، طرف|مقناطیسی|نقشے کی مدد سے راستہ تلاش کرنا|نیویگیشن
🏔️;برف سے ڈھکا پہاڑ;برف|پہاڑ|ٹھنڈ|قدرت|کوہ
⛰️;پہاڑ;پربت|چٹان|قدرت|کوہ
🛘;لینڈ سلائیڈ;برفانی تودہ|پہاڑ|تباہی|چٹانیں|خطرہ|زلزلہ|مٹی کے تودے
🌋;آتش فشاں;آگ|پھٹنا|پہاڑ|قدرت|کوہ|موسم
🗻;ماؤنٹ فیوجی;پہاڑ|فیجی کا پہاڑ|فیوجی|قدرت|کوہ فیجی
🏕️;پڑاؤ;خیمہ|ڈیرا|سفر|شامیانہ|کیمپنگ
🏖️;ساحل اور چھتری;چھتری|ساحل|سایہ
🏜️;صحرا;بیابان|ریگزار|ریگستان|قدرت
🏝️;صحرائی جزیرہ;ٹاپو|جزیرہ|صحرا|قدرت
🏞️;نیشنل پارک;پارک|جنگل
🏟️;اسٹیڈیم;کھیل کا میدان|گراؤنڈ|میدان
🏛️;کلاسیکی عمارت;عمارت|قدیم عمارت|کلاسیکی
🏗️;عمارت کی تعمیر;تعمیر|عمارت
🧱;اینٹ;اینٹ، اینٹیں، مٹی، مارٹر، دیوار|اینٹیں|تعمیراتی مادہ|دیوار|گارا
🪨;چٹان;بھاری|پتھر|ٹھوس|گول پتھر
🪵;لکڑی;تنا|درخت کی لکڑی|کٹی لکڑی
🛖;جھونپڑی;سائبان|شیلٹر|گنبد نما جھونپڑی|گھر|گول گھر
🏘️;مکانات;بستی|عمارت|قریہ|گھر|گھر کی عمارتیں|مسکن
🏚️;ویران گھر کی عمارت;ٹوٹا پھوٹا گھر|عمارت|غریب خانہ|گھر|ویران|ویران جادہ|ویران مکان
🏠;مکان;عمارت|گھر|گھر کی عمارت|گھروندہ|مسکن
🏡;باغ والا گھر;باغ|خانہ آبادی|سادہ نکان|عمارت|گانئو کا گھر|گھر|گھر بسانہ|گھروندہ
🏢;آفس کی عمارت;دفتر|دفتر کی عمارت|شہر|عمارت|کاروبار|کام
🏣;جاپانی پوسٹ آفس;پوسٹ|جاپانی|عمارت
🏤;پوسٹ آفس;پوسٹ|عمارت|یوروپئن
🏥;اسپتال;دوا|دوائی|ڈاکٹر|طب|عمارت
🏦;بینک;بینک کی عمارت|عمارت
🏨;ہوٹل;رہائش|سرائے|عمارت|مقام
🏩;محبت کا ہوٹل;سرائے|عمارت|محبت|ہوٹل
🏪;سہولت بخش اسٹور;۲۴ گھنٹے چلتی دکان|اسٹور|سہولت|عمارت
🏫;اسکول;اسکول کی عمارت|تعلیم خانہ|عمارت
🏬;ڈپارٹمنٹ اسٹور;اسٹور|دوکان|ڈپارٹمنٹ|عمارت
🏭;فیکٹری;صنعت گاہ|عمارت|کارخانہ
🏯;جاپانی قلعہ;جاپانی|جاپانی محل|عمارت|قلعہ
🏰;قلعہ;عمارت|یورپی|یوروپئن عمارت
💒;شادی;عقد|عمارت|کلیسہ|گرجا گھر|گرجہ
🗼;ٹوکیو ٹاور;ٹاور|ٹوکیو|ٹوکیو کا مینار
🗽;مجسمہ آزادی;آزادی|اسٹیچیو آف لبرٹی|مجسمہ|نیو یارک
⛪;گرجا گھر;دعا|عمارت|عیسائیت|کراس|کلیسہ
🕌;مسجد;اسلام|سجدہ گاہ|عبادت|عمارت|مذہب|مسلمان
🛕;ہندو مندر;مندر|ہندو|ہندو عبادت گاہ
🕍;یہودیوں کی عبادت گاہ;سائناگوگ|عبادت گاہ|یہودی|یہودی عبادت گاہ|یہودی مندر
⛩️;شنٹو مزار;درگاہ|مذہب|مزار
🕋;کعبہ;حج|عبادت|عمارت|عمرہ|مسلمان|مکہ
⛲;چشمہ;پانی کا چشمہ|پانی کا فوارہ|فاؤنٹين|فواره
⛺;خیمہ;ڈیرا|شامیانہ|کیمپنگ
🌁;کُہر آلود;دھند|کہرا|موسم
🌃;ستاروں بھری رات;رات|ستارہ|ستارے
🏙️;اونچی عمارتیں;شہر|عمارت
🌄;پہاڑوں پر طلوع آفتاب;پہاڑوں میں اگتا سورج|پہاڑوں میں طلوع آفتاب|سورج|صبح|طلوع آفتاب
🌅;طلوع آفتاب;سورج|صبح|صبح صادق|فجر|قدرت|موسم
🌆;شام کے وقت اونچی عمارتیں;سورج|شام|شہر|شہر کی شام|عمارت|مغرب|مغرب کا وقت|موسم
🌇;غروبِ آفتاب;سورج|شہر|شہر میں مغرب کا وقت|عمارت|عمارتیں|غروب|موسم
🌉;رات کے وقت پُل;پل|رات|موسم
♨️;گرم ندی;بھاپ|چشمہ|گرم|گرم پانی کا چشمہ|ندی
🎠;گھومتے جھولے کا گھوڑا;تفریح|جھولا|گھوڑا|گھومنا
🛝;کھیل کے میدان کی سلائیڈ;پھسلنا|تفریحی پارک|سلائیڈ|کھیل
🎡;آسمانی جھولا;پارک|پہیہ|جھولا|میلا
🎢;رولر کوسٹر;پارک|تفریحی پارک|رولر|کوسٹر
💈;حجام کا پول;پول|حجام
🎪;سرکس کا ٹینٹ;ٹینٹ|سرکس
🚂;ریل کا انجن;انجن|بھاپ|ریل|سفر|سواری
🚃;ریل گاڑی;بجلی|پٹری|ٹرالی|سواری|گاڑی
🚄;تیز رفتار ٹرین;پٹری|رفتار|ریل|شنکنسن
🚅;بلٹ کے ناک والی تیز رفتار ٹرین;بلٹ|تیز رفتار ریل|ٹرین|رفتار
🚆;ٹرین;چھک چھک|چھک چھک گاڑی|ریل گاڑی|سواری
🚇;میٹرو;ریلوے|زیر زمین
🚈;لائٹ ریل;آمد|بارٹ ریل|ریلوے|سواری|یکہ ریل
🚉;اسٹیشن;بارٹ|ٹرین|ریلوے
🚊;ٹرام;ٹرالی بس|سواری
🚝;مونو ریل;ریل|سواری|یک ریل
🚞;ماؤنٹین ریلوے;پہاڑ|پہاڑی ریل وے|ریل گاڑی|ریلوے|سفر|گاڑی
🚋;ٹرام کار;بس|ٹرالی بس|ٹرام|گاڑی
🚌;بس;اسکول|تعلیم|سواری|علوم
🚍;آتی ہوئی بس;آتی ہوئی|بس|سواری
🚎;ٹرالی بس;بس|ٹرالی|ٹرام|سواری
🚐;منی بس;بس|سواری
🚑;ایمبولنس;سواری|ہنگامی سواری
🚒;فائر انجن;آگ بجھانے والی گاڑی|انجن|ٹرک|فائر
🚓;پولیس کار;۵–۰|پولیس|گاڑی
🚔;آتی ہوئی پولیس کار;آتی ہوئی|پولیس|کار
🚕;ٹیکسی;اوبر|بھاڑے کی سواری|پیلی ٹیکسی|سواری|کیب
🚖;آتی ہوئی ٹیکسی;آتی ہوئی|اوبر|پیلی ٹیکسی|ٹیکسی|سواری
🚗;کار;آٹو موبائل|سواری|سواری چلانا
🚘;آتی ہوئی کار;آتی ہوئی|آٹو موبائل|سواری|کار|گاڑیاں
🚙;تفریحی گاڑی;تفریحی|تفریحی سواری|سواری چلانا|کار|گاڑی
🛻;پک اپ ٹرک;پک اپ|ٹرانسپورٹیشن|ٹرک|کار|گاڑی|نقل و حرکت
🚚;ڈلیوری ٹرک;ارسال|ٹرک|چالک|چلانے والا|ڈلیوری
🚛;جوڑ والی گاڑی;ٹرک|سواری|لاری|نقلِ مکان
🚜;ٹریکٹر;سواری|کسان|کھیتی|کھیتی کی سواری
🏎️;ریس کی کار;ریس|کار|کھیل
🏍️;موٹر سائیکل;ریس|سائیکل|سواری|موٹر
🛵;موٹر والا سکوٹر;سکوٹر|سواری|موٹر
🦽;دستی وہیل چئیر;دسترس
🦼;موٹر والی وہیل چئیر;دسترس
🛺;آٹو رکشا;ٹُک ٹُک|رکشا
🚲;سائیکل;بائک|سائکل سوار|سواری
🛴;کک سکوٹر;اسکوٹر|سکوٹر|کک
🛹;اسکیٹنگ تختہ;بورڈ، سکیٹ بورڈ، سکیٹر، پہیے، سکیٹ|تختہ
🛼;رولر سکیٹ;اسکیٹ|بلیڈز|رولر|سکیٹ|کھیل
🚏;بس اسٹاپ;اسٹاپ|بس
