😀;დაკრეჭილი სახე;დაკრეჭა|დაკრეჭილი|სახე
🕍;სინაგოგა;ებრაელი|ებრაული|რელიგია|ტაძარი
⛩️;შინტოს ტაძარი;რელიგია|ტაძარი|შინტო
🕋;ქააბა;ისლამი|მუსლიმანური|რელიგია
⛲;შადრევანი;
⛺;კარავი;ლაშქრობა
🌁;ნისლიანი ამინდი;ამინდი|ნისლი
🌃;ღამე ვარსკვლავებით;ამინდი|ვარსკვლავი|ღამე
🏙️;ქალაქის ხედი;ქალაქი|შენობა
🌄;მზის ამოსვლა მთებში;ამინდი|დილა|მზე|მზის ამოსვლა|მთა
🌅;მზის ამოსვლა;ამინდი|დილა|მზე
🌆;ქალაქის ხედი დაბინდებისას;ამინდი|ბინდი|მზე|მზის ჩასვლა|პეიზაჟი|საღამო|ქალაქი|შენობა
🌇;მზის ჩასვლა;ამინდი|ბინდი|მზე|შენობა
🌉;ხიდი ღამით;ამინდი|ღამე|ხიდი
♨️;ცხელი წყაროები;ორთქლი|ცხელი|წყაროები
🎠;კარუსელის ცხენი;კარუსელი|ცხენი
🛝;სათამაშო მოედნის სლაიდი;გასართობი პარკი|თამაში
🎡;ეშმაკის ბორბალი;ბორბალი|გასართობი პარკი|ეშმაკი
🎢;ამერიკული გორაკები;ატრაქციონი|გასართობი პარკი
💈;დალაქის სვეტი;დალაქი|თმის შეჭრა|პარიკმახერი|სვეტი
🎪;ცირკის კარავი;კარავი|ცირკი
🚂;ლოკომოტივი;მატარებელი|ორთქლი|რკინიგზა|ტრანსპორტი|ძრავა|ძრავი
🚃;მატარებლის ვაგონი;ელექტრო|მანქანა|მატარებელი|რკინიგზა|ტრამვაი|ტრანსპორტი|ტროლეიბუსი
🚄;მაღალსიჩქარიანი მატარებელი;მატარებელი|რკინიგზა|სინკანსენი|სიჩქარე|ტრანსპორტი
🚅;მაღალსიჩქარიანი მატარებელი ტყვიისებრი ბოლოთი;მატარებელი|რკინიგზა|სინკანსენი|სიჩქარე|ტრანსპორტი|ტყვია
🚆;მატარებელი;რკინიგზა|ტრანსპორტი
🚇;მეტრო;ტრანსპორტი
🚈;მსუბუქი რკინიგზა;რკინიგზა|ტრანსპორტი
🚉;სადგური;მატარებელი|რკინიგზა|ტრანსპორტი
🚊;ტრამვაი;ტრანსპორტი|ტროლეიბუსი
🚝;მონორელსი;ტრანსპორტი
🚞;მთის რკინიგზა;მანქანა|მთა|რკინიგზა|ტრანსპორტი
🚋;ტრამვაის ვაგონი;მანქანა|ტრამვაი|ტრანსპორტი|ტროლეიბუსი
🚌;ავტობუსი;ტრანსპორტი
🚍;მომავალი ავტობუსი;ავტობუსი|მომავალი|ტრანსპორტი
🚎;ტროლეიბუსი;ავტობუსი|ტრამვაი|ტრანსპორტი
🚐;სამარშრუტო ტაქსი;ავტობუსი|ტრანსპორტი
🚑;სასწრაფო მანქანა;ტრანსპორტი
🚒;სახანძრო მანქანა;მანქანა|სატვირთო|სახანძრო|ტრანსპორტი
🚓;პოლიციის მანქანა;მანქანა|პატრული|პოლიცია|ტრანსპორტი
🚔;მომავალი პოლიციის მანქანა;მანქანა|მომავალი|პოლიცია|ტრანსპორტი
🚕;ტაქსი;ტრანსპორტი
🚖;მომავალი ტაქსი;მომავალი|ტაქსი|ტრანსპორტი
🚗;ავტომობილი;მანქანა|ტრანსპორტი
🚘;მომავალი ავტომობილი;ავტომობილი|მანქანა|მომავალი|ტრანსპორტი
🚙;დასასვენებელი ტრანსპორტი;დასასვენებელი|ტრანსპორტი
🛻;პიკაპი;მანქანა|სატვირთო|ტვირთი
🚚;მიმწოდებელი სატვირთო მანქანა;მიტანა|სატვირთო|ტრანსპორტი
🚛;პატარა სატვირთო მანქანა;სატვირთო|ტრანსპორტი
🚜;ტრაქტორი;ტრანსპორტი
🏎️;სარბოლო მანქანა;მანქანა|რბოლა
🏍️;მოტოციკლეტი;რბოლა
🛵;სკუტერი ძრავით;სკუტერი|ძრავა
🦽;შშმ პირის მექანიკური ეტლი;განსაკუთრებული შესაძლებლობების მქონე|შეზღუდული შესაძლებლობების მქონე|შშმ პირი
🦼;შშმ პირის მოტორიანი ეტლი;განსაკუთრებული შესაძლებლობების მქონე|შეზღუდული შესაძლებლობების მქონე|შშმ პირი
🛺;ავტორიქშა;ელექტრო რიქშა|მოტორიანი რიქშა|მოტორიქშა
🚲;ველოსიპედი;ტრანსპორტი
🛴;ფეხის სკუტერი;სკუტერი|ფეხის კვრა
🛹;სკეიტბორდი;სკეიტი
🛼;გორგოლაჭიანი ციგურები;გორგოლაჭები|როლიკები|ციგური
🚏;ავტობუსის გაჩერება;ავტობუსი|გაჩერება
🛣️;ავტომაგისტრალი;ავტობანი|გზა
🛤️;რკინიგზის ლიანდაგი;მატარებელი|რკინიგზა
🛢️;ნავთობპროდუქტების კასრი;კასრი|ნავთობი
⛽;საწვავის ტუმბო;ბენზინი|გასამართი|სადგური|საწვავი
🛞;ბორბალი;მობრუნება|საბურავი|წრე
🚨;პოლიციის მანქანის სირენა;მანქანა|მბრუნავი|პოლიცია|სინათლე|სირენა|ტრანსპორტი|შუქი
🚥;ჰორიზონტალური შუქნიშანი;საგზაო მოძრაობა|სინათლე|შუქი|შუქნიშანი
🚦;ვერტიკალური შუქნიშანი;საგზაო მოძრაობა|სინათლე|შუქი|შუქნიშანი
🛑;გაჩერების ნიშანი;გაჩერება|ნიშანი|რვაკუთხა
🚧;მშენებლობა;ბარიერი
⚓;ღუზა;გემი|ინსტრუმენტი|ხელსაწყო
🛟;ბეჭედი ბუი;ათწილადი|სამაშველო|სიცოცხლის დამზოგველი|სიცოცხლის დამცავი|უსაფრთხოება
⛵;იალქნიანი ნავი;გემი|ზღვა|იახტა|კურორტი|ნავი|ტრანსპორტი
🛶;კანოე;ნავი
🚤;გლისერი;გემი|ნავი|ტრანსპორტი
🛳️;სამგზავრო გემი;გემი|სამგზავრო|ტრანსპორტი
⛴️;ბორანი;გემი|ნავი
🛥️;მოტორიანი გემი;გემი|ნავი|ტრანსპორტი
🚢;გემი;ტრანსპორტი
✈️;თვითმფრინავი;ტრანსპორტი
🛩️;პატარა თვითმფრინავი;თვითმფრინავი|ტრანსპორტი
🛫;თვითმფრინავის გაფრენა;გამგზავრება|თვითმფრინავი|რეგისტრაცია|ტრანსპორტი
🛬;თვითმფრინავის ჩამოფრენა;დაფრენა|თვითმფრინავი|ტრანსპორტი|ჩამოსვლა|ჩამოფრენა
🪂;პარაშუტი;პარაშუტით ხტომა|სკაიდაივინგი
💺;სავარძელი;სკამი
🚁;ვერტმფრენი;ტრანსპორტი
🚟;დაკიდული რკინიგზა;დაკიდული|რკინიგზა|ტრანსპორტი
🚠;მთის საბაგირო;გონდოლა|მთა|საბაგირო|ტრანსპორტი
🚡;საბაგირო;გონდოლა|მანქანა|ტრანსპორტი
🛰️;თანამგზავრი;კოსმოსი|ტრანსპორტი
🚀;რაკეტა;კოსმოსი|ტრანსპორტი
🛸;მფრინავი თეფში;ამო|ამოუცნობი მფრინავი ობიექტი
🛎️;სასტუმროს ზარი;ზარი|სასტუმრო
🧳;ბარგი;მოგზაურობა|ჩალაგება
⌛;ქვიშის საათი;დრო|სილა|ტაიმერი|ქვიშა
⏳;ქვიშის საათი ქვიშის ნაკადით;დრო|სილა|ტაიმერი|ქვიშა|ქვიშის საათი
⌚;საათი;
⏰;მაღვიძარა;საათი
⏱️;წამზომი;საათი
⏲️;ტაიმერი;დრო|საათი
🕰️;ბუხრის საათი;საათი
🕛;თორმეტი საათი;00|12|12:00|დრო|თორმეტი|საათი
🕧;თორმეტი ოცდაათი;12|12:30|30|თორმეტი|ოცდაათი|საათი
🕐;პირველი საათი;00|1|1:00|დრო|ერთი|პირველი|საათი
🕜;ერთი ოცდაათი;1|1:30|30|ერთი|ოცდაათი|პირველი|საათი
🕑;ორი საათი;00|2|2:00|დრო|ორი|საათი
🕝;ორი ოცდაათი;2|2:30|30|ორი|ოცდაათი|საათი
🕒;სამი საათი;00|3|3:00|დრო|საათი|სამი
🕞;სამი ოცდაათი;3|3:30|30|ოცდაათი|საათი|სამი
🕓;ოთხი საათი;00|4|4:00|დრო|ოთხი|საათი
🕟;ოთხი ოცდაათი;30|4|4:30|ოთხი|ოცდაათი|საათი
🕔;ხუთი საათი;00|5|5:00|დრო|საათი|ხუთი
🕠;ხუთი ოცდაათი;30|5|5:30|ოცდაათი|საათი|ხუთი
🕕;ექვსი საათი;00|6|6:00|დრო|ექვსი|საათი
🕡;ექვსი ოცდაათი;30|6|6:30|ექვსი|ოცდაათი|საათი
🕖;შვიდი საათი;00|7|7:00|დრო|საათი|შვიდი
🕢;შვიდი ოცდაათი;30|7|7:30|ოცდაათი|საათი|შვიდი
🕗;რვა საათი;00|8|8:00|დრო|რვა|საათი
🕣;რვა ოცდაათი;30|8|8:30|ოცდაათი|რვა|საათი
🕘;ცხრა საათი;00|9|9:00|დრო|საათი|ცხრა
🕤;ცხრა ოცდაათი;30|9|9:30|ოცდაათი|საათი|ცხრა
🕙;ათი საათი;00|10|10:00|ათი|დრო|საათი
🕥;ათი ოცდაათი;10|10:30|30|ათი|ოცდაათი|საათი
🕚;თერთმეტი საათი;00|11|11:00|დრო|თერთმეტი|საათი
🕦;თერთმეტი ოცდაათი;11|11:30|30|თერთმეტი|ოცდაათი|საათი
🌑;ახალი მთვარე;ამინდი|კოსმოსი|მთვარე|მუქი
🌒;მზარდი ნამგალა მთვარე;ამინდი|კოსმოსი|მზარდი|მთვარე|ნამგალა
🌓;მთვარის პირველი მეოთხედი;ამინდი|კოსმოსი|მეოთხედი|მთვარე
🌔;მზარდი განათებული მთვარე;ამინდი|კოსმოსი|მზარდი|მთვარე
🌕;სავსე მთვარე;ამინდი|კოსმოსი|მთვარე|სავსე
🌖;მცხრალი განათებული მთვარე;ამინდი|კოსმოსი|მთვარე|მცხრალი
🌗;მთვარის ბოლო მეოთხედი;ამინდი|კოსმოსი|მეოთხედი|მთვარე
🌘;მცხრალი ნამგალა მთვარე;ამინდი|კოსმოსი|მთვარე|მცხრალი|ნამგალა
🌙;ნამგალა მთვარე;ამინდი|კოსმოსი|მთვარე|ნამგალა
🌚;ახალი მთვარის სახე;ამინდი|კოსმოსი|მთვარე|სახე
🌛;მთვარის პირველი მეოთხედი სახით;ამინდი|კოსმოსი|მეოთხედი|მთვარე|სახე
🌜;მთვარის ბოლო მეოთხედი სახით;ამინდი|კოსმოსი|მეოთხედი|მთვარე|სახე
🌡️;თერმომეტრი;ამინდი
☀️;მზე;ამინდი|კაშკაშა|კოსმოსი|მზიანი|სხივები
🌝;სავსე მთვარე სახით;ამინდი|კაშკაშა|კოსმოსი|მთვარე|სავსე|სახე
🌞;მზე სახით;ამინდი|კაშკაშა|კოსმოსი|მზე|სახე
🪐;პლანეტა სარტყელით;სატურნი
⭐;საშუალო თეთრი ვარსკვლავი;ვარსკვლავი
🌟;მბრწყინავი ვარსკვლავი;ბრწყინვა|ვარსკვლავი|კაშკაში
🌠;ვარდნილი ვარსკვლავი;ვარდნა|ვარსკვლავი|კოსმოსი
🌌;ირმის ნახტომი;ამინდი|კოსმოსი
☁️;ღრუბელი;ამინდი
⛅;მზე ღრუბლის უკან;ამინდი|მზე|ღრუბელი
⛈️;ღრუბელი ელვითა და წვიმით;ამინდი|ქუხილი|ღრუბელი|წვიმა
🌤️;მზე პატარა ღრუბლის უკან;ამინდი|მზე|ღრუბელი
🌥️;მზე დიდი ღრუბლის უკან;ამინდი|მზე|ღრუბელი
🌦️;მზე წვიმიანი ღრუბლის უკან;ამინდი|მზე|ღრუბელი|წვიმა
🌧️;ღრუბელი წვიმით;ამინდი|ღრუბელი|წვიმა
🌨️;ღრუბელი თოვლით;ამინდი|თოვლი|ღრუბელი|ცივი
🌩️;ღრუბელი ელვით;ამინდი|ელვა|მეხი|ღრუბელი
🌪️;ტორნადო;ამინდი|ქარბორბალა|ღრუბელი
🌫️;ნისლი;ამინდი|ღრუბელი
🌬️;ქარის სახე;ამინდი|სახე|ქარი|ღრუბელი
🌀;ციკლონი;ამინდი|გაბრუებული|ტაიფუნი|ქარბორბალა
🌈;ცისარტყელა;ამინდი|წვიმა
🌂;დახურული ქოლგა;ამინდი|ტანსაცმელი|ქოლგა|წვიმა
☂️;ქოლგა;ამინდი|ტანსაცმელი|წვიმა
☔;ქოლგა წვიმის წვეთებით;ამინდი|ტანსაცმელი|ქოლგა|წვეთი|წვიმა
⛱️;ქოლგა მიწაში;ამინდი|მზე|ქოლგა|წვიმა
⚡;მაღალი ძაბვა;ელექტრო|ელექტროობა|ელვა|მეხი|საფრთხე|ძაბვა
❄️;თოვლის ფანტელი;ამინდი|თოვლი|ცივი
☃️;თოვლის კაცი;ამინდი|თოვლი|ცივი
⛄;თოვლის კაცი თოვლის გარეშე;ამინდი|თოვლი|თოვლის კაცი|ცივი
☄️;კომეტა;კოსმოსი
🔥;ცეცხლი;ალი|ინსტრუმენტი|ხელსაწყო
💧;წვეთი;ამინდი|ოფლი|ოფლიანი|სასაცილო|ცივი
🌊;წყლის ტალღა;ამინდი|ოკეანე|ტალღა|წყალი
🎃;ჰელოუინის გოგრა;აღნიშვნა|გოგრა|ზეიმი|ფარანი|ჰელოუინი
🎄;საახალწლო ნაძვის ხე;აღნიშვნა|ახალი წელი|ზეიმი|შობა|ხე
🎆;ფოიერვერკი;აღნიშვნა|ზეიმი
🎇;ბრწყინვალება;აღნიშვნა|ბრწყინვა|ზეიმი|ფოიერვერკი
🧨;შუშხუნა;ასაფეთქებელი|დინამიტი|ფეიერვერკი
✨;ნაპერწკლები;ბრწყინვა|ვარსკვლავი
🎈;ბუშტი;აღნიშვნა|ზეიმი
🎉;ტკაცუნა;აღნიშვნა|ზეიმი|წვეულება
🎊;კონფეტი;აღნიშვნა|ბურთი|ზეიმი
🎋;ტანაბატას ხე;აღნიშვნა|ზეიმი|იაპონური|ხე
🎍;ფიჭვის დეკორაცია;აღნიშვნა|ბამბუკი|ზეიმი|იაპონური|მცენარე|ფიჭვი
🎎;იაპონური თოჯინები;აღნიშვნა|ზეიმი|თოჯინა|იაპონური|ფესტივალი
🎏;კობრებიანი ალამი;ალამი|აღნიშვნა|ზეიმი|თევზი
🎐;ჩინური ზანზალაკი;აღნიშვნა|ზანზილაკი|ზეიმი|კობრი|ქარი
🎑;მთვარის ცერემონია;აღნიშვნა|ზეიმი|მთვარე|ცერემონია
🧧;წითელი კონვერტი;ბარაქა|იღბალი|საჩუქარი
🎀;ლენტი;აღნიშვნა|ზეიმი
🎁;შეფუთული საჩუქარი;აღნიშვნა|ზეიმი|საჩუქარი|ყუთი|შეფუთვა
🎗️;შემხსენებელი ლენტი;აღნიშვნა|ზეიმი|ლენტი|შეხსენება
🎟️;ბილეთები;ბილეთი|შესვლა
🎫;ბილეთი;შესვლა
🎖️;სამხედრო მედალი;აღნიშვნა|ზეიმი|მედალი|სამხედრო
🏆;პრიზი;ჯილდო
🏅;სპორტული მედალი;მედალი
🥇;1-ლი ადგილის მედალი;მედალი|ოქრო|პირველი
🥈;მე-2 ადგილის მედალი;ვერცხლი|მედალი|მეორე
🥉;მე-3 ადგილი მედალი;ბრინჯაო|მედალი|მესამე
⚽;ფეხბურთი;ბურთი
⚾;ბეისბოლი;ბურთი
🥎;სოფტბოლი;ბურთი|ხელთათმანი
🏀;კალათბურთი;ბურთი|კალათი
🏐;ფრენბურთი;ბურთი|თამაში
🏈;ამერიკული ფეხბურთი;ამერიკული|ბურთი|ფეხბურთი
🏉;რაგბი;ბურთი|ფეხბურთი
🎾;ჩოგბურთი;ბურთი|ჩოგანი
🥏;მფრინავი დისკი;ფრისბი
🎳;ბოულინგი;ბურთი|თამაში
🏏;კრიკეტის თამაში;ბურთი|თამაში|ტაფელი
🏑;ბალახის ჰოკეი;ბალახი|ბურთი|თამაში|ჯოხი|ჰოკეი
🏒;ჰოკეის ყვანჭი და შაიბა;თამაში|ყვანჭი|ყინული|შაიბა|ჯოხი|ჰოკეი
🥍;ლაკროსი;ბურთი|ჯოხი
🏓;მაგიდის ჩოგბურთი;ბურთი|თამაში|ჩოგანი
🏸;ბადმინტონი;ვოლანი|თამაში|ჩოგანი
🥊;კრივის ხელთათმანი;კრივი|სპორტი|ხელთათმანი
🥋;საბრძოლო ხელოვნების უნიფორმა;კარატე|საბრძოლო ხელოვნება|სპორტი|ტაიკვანდო|უნიფორმა|ძიუდო
🥅;ფეხბურთის ბადე;ბადე|კარი|სპორტი
⛳;დროშა ხვრელში;გოლფი|ხვრელი
⛸️;ციგურებით სრიალი;სრიალი|ყინული|ციგურა
🎣;სათევზაო ბოძი;ბოძი|თევზი
🤿;წყლის ნიღაბი;აკვალანგი|დაივინგი|მყვინთავის ნიღაბი|ნიღაბი|ყვინთვა
🎽;სარბენი მაისური;მაისური|სირბილი
🎿;თხილამურები;თოვლი|თხილამური
🛷;ციგა;მარხილი
🥌;კერლინგის ქვა;თამაში|კერლინგი|სპორტი|ქვა
🎯;პირდაპირი მოხვედრა;თამაში|მოხვედრა|სამიზნე|სროლა
🪀;იო-იო;იოიო|სათამაშო
🪁;ფრანი;ნავარდი|ფრენა|ქარი
🔫;პისტოლეტი;თოფი|იარაღი|ინსტრუმენტი|რევოლვერი|ხელსაწყო
🎱;ბილიარდი;8|ბურთი|თამაში|რვა
🔮;კრისტალის ბურთი;ბურთი|ზღაპარი|კრისტალი|მომავალი|ფანტაზია|ფანტასტიკა|ხელსაწყო
🪄;ჯადოსნური ჯოხი;მაგია|ჯადო|ჯადოქარი
🎮;ვიდეო თამაში;თამაში|კონტროლერი
🕹️;ჯოისტიკი;ვიდეო თამაში|თამაში
🎰;სლოტ-ავტომატი;თამაში|სლოტები
🎲;კამათელი;თამაში|კამათლები
🧩;პაზლი;იდეა|ნაჭერი|ფაზლის ნაწილი
🧸;დათუნია;სათამაშო|ხავერდის თოჯინა
🪅;პინიატა;დაბადების დღე|იუბილე|ფართი|ქეიფი|წვეულება
🪩;სარკის ბურთი;ბრჭყვიალა|დისკო|ცეკვა|წვეულება
🪆;მატრიოშკა;ერთმანეთში მოთავსებული|რუსეთი|სათამაშო
♠️;ყვავები;ბანქო|თამაში|კარტი|ფერი|ყვავი
♥️;გულები;ბანქო|გული|თამაში|კარტი|ფერი
♦️;აგურები;აგური|ბანქო|თამაში|კარტი|ფერი
♣️;ჯვრები;ბანქო|თამაში|კარტი|ფერი|ჯვარი
♟️;პაიკი;გაწირვადი|ჭადრაკი
🃏;ჯოკერი;ბანქო|თამაში|კარტი
🀄;მაჯონგის წითელი დრაკონი;თამაში|მაჯონგი|წითელი
🎴;ყვავილებიანი სათამაშო ბანქო;ბანქო|თამაში|იაპონური|კარტი|ყვავილი
🎭;თეატრალური ხელოვნება;თეატრი|ნიღაბი|შესრულება|ხელოვნება
🖼️;ჩარჩო ნახატით;მუზეუმი|ნახატი|სურათი|ჩარჩო|ხატვა|ხელოვნება
🎨;მხატვრის პალიტრა;მუზეუმი|ნახატი|პალიტრა|ხატვა|ხელოვნება
🧵;ძაფის კოჭა;კერვა|მკედი|ნემსი|ძაფი
🪡;ნემსი;კერვა|ნაკერი|ქარგვა
🧶;ძაფის გორგალი;გორგალი|ქსოვა|ყაისნაღი
🪢;კვანძი;ბმა|გაკვანძვა|თოკი|შეკვრა
👓;სათვალე;თვალი|ტანსაცმელი
🕶️;მზის სათვალე;თვალი|მუქი|სათვალე
🥽;დამცავი სათვალე;თვალების დაცვა|ყვინთვა|ცურვა
🥼;ლაბორატორიის კოსტიუმი;ექიმი|ექსპერიმენტი|მეცნიერი
🦺;უსაფრთხოების ჟილეტი;გადაუდებელი|დახმარება|ჟილეტი|უსაფრთხოება
👔;ჰალსტუხი;ტანსაცმელი
👕;მაისური;ზედა|ტანსაცმელი
👖;ჯინსი;ტანსაცმელი|შარვალი
🧣;კაშნე;კისერი|შარფი
🧤;ხელთათმანი;ხელი
🧥;ქურთუკი;მოსაცმელი|ჟაკეტი
🧦;წინდები;
👗;კაბა;ტანსაცმელი
👘;კიმონო;ტანსაცმელი
🥻;სარი;კაბა|სამოსი|ტანსაცმელი
🩱;ერთიანი საცურაო კოსტიუმი;სანაპირო|საცურაო კოსტიუმი|ცურვა
🩲;საცურაო ტრუსი;საცურაო კოსტიუმი
🩳;შორტები;საბანაო კოსტიუმი|საბანაო შორტები|საცვალი|საცურაო კოსტიუმი
👙;ბიკინი;საცურაო|ტანსაცმელი|ცურვა
👚;ქალის ტანსაცმელი;ტანსაცმელი|ქალი
🪭;მარაო;გაგრილება|ვენტილატორი|მორცხვი|ფრიალი|ცეკვა
👛;საფულე;მონეტა|ტანსაცმელი
👜;ხელჩანთა;ტანსაცმელი|ჩანთა
👝;ჩანთა;ტანსაცმელი
🛍️;საყიდლების პარკები;სასტუმრო|საყიდლები|ჩანთა
🎒;სკოლის ზურგჩანთა;ზურგჩანთა|სკოლა|ჩანთა
🩴;თასმიანი სანდლები;თასმიანი|სანაპიროს სანდლები|სანდალი|ჩუსტი
👞;კაცის ფეხსაცმელი;კაცი|ტანსაცმელი|ფეხსაცმელი
👟;ბოტასი;სპორტული|ტანსაცმელი|ფეხსაცმელი
🥾;ბათინკი;კემპინგი|ლაშქრობა|მოგზაურობა
🥿;უქუსლო ფეხსაცმელი;ბალეტკები|პუანტები|წუღა
👠;მაღალქუსლიანი ფეხსაცმელი;ტანსაცმელი|ფეხსაცმელი|ქალი|ქუსლი
👡;ქალის სანდალი;სანდალი|ტანსაცმელი|ფეხსაცმელი|ქალი|ქვიშა
🩰;პუანტები;ბალეტი|პუანტი|საბალეტო ფეხსაცმელი
👢;ქალის ჩექმა;ტანსაცმელი|ფეხსაცმელი|ქალი|ჩექმა
🪮;სავარცხელი;დავარცხნა|თმა
👑;გვირგვინი;დედოფალი|მეფე|ტანსაცმელი
👒;ქალის ქუდი;ტანსაცმელი|ქალი|ქუდი
🎩;ცილინდრი;ტანსაცმელი|ქუდი
🎓;გამოსაშვები ქუდი;აღნიშვნა|გამოშვება|ზეიმი|ტანსაცმელი|ქუდი
🧢;ბეისბოლის კეპი;ბეისბოლი|კეპი
🪖;სამხედრო ჩაფხუტი;არმია|მებრძოლი|სამხედრო|ჩაფხუტი|ჯარისკაცი
⛑️;ჩაფხუტი თეთრი ჯვრით;დახმარება|სახე|ქუდი|ჩაფხუტი|ჯვარი
📿;კრიალოსანი;ლოცვა|რელიგია|ტანსაცმელი
💄;ტუჩის პომადა;კოსმეტიკა|მაკიაჟი
💍;ბეჭედი;ბრილიანტი|რომანტიკა
💎;ძვირფასი ქვა;ბრილიანტი|რომანტიკა|სამკაული
🔇;დინამიკი გამორთულია;დადუმება|დინამიკი|სიჩუმე|სიწყნარე|ხმა
🔈;დინამიკი;ხმა
🔉;დინამიკი ჩართულია;დინამიკი|ტალღა|ხმა
🔊;ხმამაღალი დინამიკი;3|დინამიკი|სამი|ხმა|ხმამაღალი
📢;რუპორი;მიმართვა|ხმამაღალი
📣;მეგაფონი;გულშემატკივრობა
📯;საფოსტო ბუკი;ბუკი|საფოსტო|ფოსტა
🔔;ზარი;
🔕;ხაზგადასმული ზარი;აკრძალვა|აკრძალულია|არა|დადუმება|ზარი|სიჩუმე|სიწყნარე
🎼;მუსიკალური პარტიტურა;მუსიკა|პარტიტურა
🎵;მუსიკალური ნოტი;მუსიკა|ნოტი
🎶;მუსიკალური ნოტები;მუსიკა|ნოტები|ნოტი
🎙️;სტუდიური მიკროფონი;მიკროფონი|მუსიკა|სტუდია
🎚️;დონის გადამრთველი;გადამრთველი|დონე|მუსიკა
🎛️;მართვის ღილაკები;მართვა|მუსიკა|ღილაკები
🎤;მიკროფონი;კარაოკე
🎧;ყურსასმენი;
📻;რადიო;ვიდეო
🎷;საქსოფონი;ინსტრუმენტი|მუსიკა
🎺;საყვირი;ინსტრუმენტი|მუსიკა
🪊;ტრომბონი;მუსიკა|სევდა|ჩასაბერი ინსტრუმენტი|ჯაზი
🪗;აკორდეონი;აკორდიონი|გარმონი
🎸;გიტარა;ინსტრუმენტი|მუსიკა
🎹;მუსიკალური კლავიშები;ინსტრუმენტი|კლავიშები|მუსიკა|პიანინო
🎻;ვიოლინო;ინსტრუმენტი|მუსიკა
🪕;ბანჯო;მუსიკა|სიმები
🥁;ბარაბანი;დოლის ჩხირები|მუსიკა
🪘;გრძელი დოლი;დოლი|კონგა|რითმი
🪇;მარაკა;ინსტრუმენტი|მუსიკა|ქნევა
🪈;ფლეიტა;მილი|მუსიკა|სალამური
🪉;არფა;ინსტრუმენტი|კუპიდონი|მუსიკა|ორკესტრი|სიყვარული
📱;მობილური ტელეფონი;მობილური|ტელეფონი|ფიჭური
📲;მობილური ტელეფონი ისრით;ზარი|ისარი|მიღება|მობილური|ტელეფონი|ფიჭური
☎️;ტელეფონი;
📞;ტელეფონის ყურმილი;მიმღები|ტელეფონი
📟;პეიჯერი;
📠;ფაქსი;
🔋;ბატარეა;
🪫;დამჯდარი ელემენტი;დაბალი ენერგია|ელექტრონული
🔌;შტეკერი;ელექტრო|ელექტროობა
💻;ლეპტოპი;კომპიუტერი|პერსონალური|პირადი
🖥️;დესკტოპი;კომპიუტერი
🖨️;პრინტერი;კომპიუტერი
⌨️;კლავიატურა;კომპიუტერი
🖱️;მაუსი;3|თაგვი|კომპიუტერი|სამი|ღილაკი
🖲️;ბურთიანი მიმთითებელი;კომპიუტერი
💽;მინიდისკი;დისკი|კომპიუტერი|ოპტიკური
💾;დრეკადი დისკი;დისკი|დრეკადი|კომპიუტერი
💿;ოპტიკური დისკი;blu-ray|cd|dvd|დისკი|კომპიუტერი|ოპტიკური
📀;dvd;blu-ray|cd|დისკი|კომპიუტერი|ოპტიკური
🧮;საანგარიშო დაფა;აბაკუსი|ანგარიში|გამოთვლა
🎥;კინოკამერა;კამერა|კინო|კინოთეატრი
🎞️;კადრები;კინო|კინოთეატრი|ფილმი
📽️;კინოპროექტორი;ვიდეო|კინო|კინოთეატრი|პროექტორი|ფილმი
🎬;ნუმერატორი ტკაცუნათი;კინო|ნუმერატორი|ტკაცუნა
📺;ტელევიზორი;ვიდეო|ტვ
📷;ფოტოაპარატი;ვიდეო
📸;ფოტოაპარატი ბლიცით;ბლიცი|ვიდეო|კამერა|მაშუქი
📹;ვიდეოკამერა;ვიდეო|კამერა
📼;ვიდეოკასეტა;vhs|ვიდეო|კასეტა
🔍;მარცხნივ მიმართული გამადიდებელი შუშა;გამადიდებელი|ინსტრუმენტი|შუშა|ძებნა|ძიება|ხელსაწყო
🔎;მარჯვნივ მიმართული გამადიდებელი შუშა;გამადიდებელი|ინსტრუმენტი|შუშა|ძებნა|ძიება|ხელსაწყო
🕯️;სანთელი;სინათლე|შუქი
💡;ნათურა;ელექტრო|იდეა|სასაცილო|სინათლე|შუქი
🔦;ფანარი;ელექტრო|ინსტრუმენტი|სინათლე|შუქი|ხელსაწყო
🏮;ქაღალდის წითელი ფარანი;ბარი|იაპონური|სინათლე|ფარანი|შუქი|წითელი
🪔;ნავთის ლამპა;დია|ლამპა|ნავთი
📔;რვეული დეკორატიული ყდით;დეკორირებული|რვეული|ყდა|წიგნი
📕;დახურული წიგნი;დახურული|წიგნი
📖;გადაშლილი წიგნი;ღია|წიგნი
📗;მწვანე წიგნი;მწვანე|წიგნი
📘;ლურჯი წიგნი;ლურჯი|ცისფერი|წიგნი
📙;სტაფილოსფერი წიგნი;ნარინჯისფერი|სტაფილოსფერი|წიგნი
📚;წიგნები;წიგნი
📓;ნოუთბუქი;ლეპტოპი
📒;დავთარი;რვეული
📃;მომრგვალებული გვერდი;გვერდი|დოკუმენტი
📜;გრაგნილი;ქაღალდი
📄;გვერდი პირით ზემოთ;გვერდი|დოკუმენტი
📰;გაზეთი;ახალი ამბები|ქაღალდი
